sec"   "mA"   "mV
0.154    5.1351375579834    789.436157226563
0.252    4.18613386154175    789.512451171875
0.351    3.55543828010559    789.55029296875
0.449    3.0413818359375    789.512451171875
0.547    2.71320366859436    789.626098632813
0.646    2.43442416191101    789.626098632813
0.744    2.19717311859131    789.626098632813
0.842    2.0291109085083    789.436157226563
0.941    1.90060305595398    789.626098632813
1.039    1.79978096485138    789.55029296875
1.137    1.71872329711914    789.626098632813
1.236    1.65545642375946    789.474060058594
1.334    1.60205912590027    789.474060058594
1.432    1.55658280849457    789.55029296875
1.53    1.51902759075165    789.55029296875
1.629    1.49331593513489    789.436157226563
1.727    1.4616824388504    789.664001464844
1.825    1.43994390964508    789.588195800781
1.924    1.41820538043976    789.474060058594
2.022    1.39051973819733    789.55029296875
2.12    1.36875593662262    789.626098632813
2.219    1.35888636112213    789.3603515625
2.317    1.34899139404297    789.474060058594
2.415    1.31735789775848    789.512451171875
2.514    1.30946218967438    789.512451171875
2.612    1.30351507663727    789.588195800781
2.71    1.28769838809967    789.436157226563
2.808    1.26793372631073    789.626098632813
2.907    1.25606489181519    789.588195800781
3.005    1.25014317035675    789.55029296875
3.103    1.24024820327759    789.55029296875
3.202    1.23235249519348    789.436157226563
3.3    1.21258783340454    789.436157226563
3.398    1.2086147069931    789.588195800781
3.497    1.19677114486694    789.55029296875
3.595    1.19677114486694    789.588195800781
3.693    1.19082403182983    789.588195800781
3.792    1.18687617778778    789.588195800781
3.89    1.17105948925018    789.55029296875
3.988    1.15919053554535    789.626098632813
4.086    1.15326881408691    789.588195800781
4.185    1.1473217010498    789.626098632813
4.283    1.13745200634003    789.55029296875
4.381    1.13150501251221    789.436157226563
4.48    1.13150501251221    789.626098632813
4.578    1.12558317184448    789.626098632813
4.676    1.11371433734894    789.512451171875
4.775    1.09987151622772    789.436157226563
4.873    1.09987151622772    789.588195800781
4.971    1.10384464263916    789.55029296875
5.069    1.09987151622772    789.588195800781
5.168    1.09394967556    789.474060058594
5.266    1.08802795410156    789.626098632813
5.364    1.08802795410156    789.322448730469
5.463    1.08405470848083    789.512451171875
