sec"   "mA"   "mV
0.154    2.04887557029724    789.588195800781
0.252    1.67916882038116    789.512451171875
0.351    1.477499127388    789.588195800781
0.449    1.34504354000092    789.436157226563
0.547    1.26003801822662    789.474060058594
0.646    1.19477188587189    789.626098632813
0.744    1.15919053554535    789.588195800781
0.842    1.14139986038208    789.626098632813
0.941    1.12953102588654    789.626098632813
1.039    1.09592366218567    789.3603515625
1.137    1.09592366218567    789.55029296875
1.235    1.07615900039673    789.588195800781
1.334    1.05639445781708    789.322448730469
1.432    1.05836844444275    789.588195800781
1.53    1.04255163669586    789.512451171875
1.629    1.03860378265381    789.55029296875
1.727    1.02673494815826    789.626098632813
1.825    1.0326566696167    789.588195800781
1.924    0.999049305915833    789.284545898438
2.022    1.00497114658356    789.55029296875
2.12    0.98915433883667    789.512451171875
2.219    1.00697028636932    789.664001464844
2.317    0.987180411815643    789.436157226563
2.415    0.97731077671051    789.664001464844
2.513    0.963468015193939    789.55029296875
2.612    0.971363723278046    789.777709960938
2.71    0.961494088172913    789.512451171875
2.808    0.943703413009644    789.436157226563
2.907    0.939730226993561    789.512451171875
3.005    0.947651267051697    789.474060058594
3.103    0.933808445930481    789.056701660156
3.202    0.929860591888428    789.512451171875
3.3    0.908096790313721    789.246643066406
3.398    0.933808445930481    789.701904296875
3.497    0.935782372951508    789.739807128906
3.595    0.896253228187561    789.626098632813
3.693    0.898227155208588    789.474060058594
3.792    0.904148936271667    789.701904296875
3.89    0.886358261108398    789.398254394531
3.988    0.894253969192505    789.777709960938
4.086    0.886358261108398    789.3603515625
4.185    0.886358261108398    789.626098632813
4.283    0.852750837802887    789.512451171875
4.381    0.882410407066345    789.701904296875
4.48    0.868567585945129    789.246643066406
4.578    0.868567585945129    789.626098632813
4.676    0.848802983760834    789.398254394531
4.775    0.864619731903076    789.701904296875
4.873    0.846803784370422    789.512451171875
4.971    0.854724764823914    789.739807128906
5.07    0.840882003307343    789.398254394531
5.168    0.852750837802887    789.626098632813
5.266    0.838908076286316    789.739807128906
5.364    0.832986295223236    789.512451171875
5.463    0.827039182186127    789.474060058594
5.561    0.83098703622818    789.816101074219
5.659    0.836934149265289    789.588195800781
5.758    0.838908076286316    789.588195800781
5.856    0.817169547080994    789.512451171875
5.954    0.832986295223236    789.777709960938
6.053    0.832986295223236    789.626098632813
6.151    0.821117401123047    789.588195800781
6.249    0.811222434043884    789.588195800781
6.347    0.815170288085938    789.701904296875
6.446    0.801352798938751    789.284545898438
6.544    0.805300652980804    789.701904296875
6.642    0.793431758880615    789.3603515625
6.741    0.811222434043884    789.816101074219
6.839    0.805300652980804    789.664001464844
6.937    0.79935359954834    789.701904296875
7.036    0.769719362258911    789.512451171875
7.134    0.793431758880615    789.626098632813
7.232    0.769719362258911    789.55029296875
7.33    0.785536050796509    789.664001464844
7.429    0.781562924385071    789.398254394531
7.527    0.787509977817535    789.701904296875
7.625    0.777615070343018    789.626098632813
7.724    0.787509977817535    789.626098632813
7.822    0.761798322200775    789.322448730469
7.92    0.775641143321991    789.664001464844
8.019    0.757850468158722    789.056701660156
8.117    0.761798322200775    789.55029296875
8.215    0.759824395179749    789.55029296875
8.313    0.761798322200775    789.512451171875
8.412    0.757850468158722    789.246643066406
8.51    0.771693289279938    789.85400390625
8.608    0.736086666584015    789.3603515625
8.707    0.763772249221802    789.701904296875
8.805    0.744007647037506    789.398254394531
8.903    0.755876541137695    789.701904296875
9.002    0.755876541137695    789.284545898438
9.1    0.742033720016479    789.512451171875
9.198    0.740059792995453    789.436157226563
9.297    0.740059792995453    789.777709960938
9.395    0.718295991420746    789.398254394531
9.493    0.745981574058533    789.626098632813
9.591    0.706452429294586    789.436157226563
9.69    0.738085865974426    789.701904296875
9.788    0.722269117832184    789.55029296875
9.886    0.726216971874237    789.816101074219
9.985    0.728190898895264    789.474060058594
10.083    0.728190898895264    789.626098632813
10.181    0.716322064399719    789.436157226563
10.28    0.706452429294586    789.701904296875
10.378    0.702479243278503    789.284545898438
10.476    0.712374210357666    789.588195800781
10.575    0.702479243278503    789.777709960938
10.673    0.726216971874237    789.739807128906
10.771    0.70445317029953    789.398254394531
10.869    0.702479243278503    789.512451171875
10.968    0.696557462215424    789.436157226563
11.066    0.708426356315613    789.512451171875
11.164    0.696557462215424    789.512451171875
11.263    0.706452429294586    789.436157226563
11.361    0.686662495136261    789.3603515625
11.459    0.696557462215424    789.626098632813
11.558    0.682714641094208    789.512451171875
11.656    0.69260960817337    789.777709960938
11.754    0.678766787052155    789.436157226563
11.853    0.69260960817337    789.701904296875
11.951    0.69260960817337    789.701904296875
12.049    0.688636422157288    789.664001464844
12.147    0.67281973361969    789.626098632813
12.246    0.682714641094208    789.701904296875
12.344    0.69260960817337    789.588195800781
12.442    0.678766787052155    789.664001464844
12.541    0.666897892951965    789.17041015625
12.639    0.67281973361969    789.55029296875
12.737    0.67281973361969    789.588195800781
12.836    0.664923965930939    789.588195800781
12.934    0.668871819972992    789.626098632813
13.032    0.67281973361969    789.436157226563
13.13    0.664923965930939    789.588195800781
13.229    0.660976111888885    789.436157226563
13.327    0.651081204414368    789.436157226563
13.425    0.670845806598663    789.588195800781
13.524    0.668871819972992    789.474060058594
13.622    0.662950038909912    789.55029296875
13.72    0.666897892951965    789.588195800781
13.819    0.660976111888885    789.626098632813
13.917    0.664923965930939    789.588195800781
14.015    0.639212310314178    789.3603515625
14.114    0.655029058456421    789.474060058594
14.212    0.645159423351288    789.55029296875
14.31    0.647133350372314    789.3603515625
14.408    0.631316602230072    789.512451171875
14.507    0.643185496330261    789.474060058594
14.605    0.647133350372314    789.436157226563
14.703    0.635264456272125    789.3603515625
14.802    0.643185496330261    789.85400390625
14.9    0.631316602230072    789.284545898438
14.998    0.631316602230072    789.626098632813
15.097    0.629342675209045    789.3603515625
15.195    0.631316602230072    789.512451171875
15.293    0.635264456272125    789.512451171875
15.391    0.629342675209045    789.55029296875
15.49    0.607578873634338    789.17041015625
15.588    0.629342675209045    789.436157226563
15.686    0.625369489192963    789.588195800781
15.785    0.629342675209045    789.664001464844
15.883    0.621421635150909    789.284545898438
15.981    0.609552800655365    789.436157226563
16.08    0.609552800655365    789.588195800781
16.178    0.621421635150909    789.588195800781
16.276    0.61549985408783    789.664001464844
16.374    0.619447708129883    789.436157226563
16.473    0.619447708129883    789.436157226563
16.571    0.593736052513123    789.398254394531
16.669    0.61549985408783    789.664001464844
16.768    0.613525927066803    789.588195800781
16.866    0.607578873634338    789.436157226563
16.964    0.605604887008667    789.474060058594
17.063    0.607578873634338    789.474060058594
17.161    0.609552800655365    789.588195800781
17.259    0.591762125492096    789.3603515625
17.357    0.595735251903534    789.512451171875
17.456    0.599683105945587    789.588195800781
17.554    0.597709178924561    789.398254394531
17.652    0.599683105945587    789.664001464844
17.751    0.587814271450043    789.626098632813
17.849    0.60363095998764    789.588195800781
17.947    0.605604887008667    789.55029296875
18.046    0.581892490386963    789.436157226563
18.144    0.579918563365936    789.512451171875
18.242    0.58386641740799    789.436157226563
18.341    0.587814271450043    789.55029296875
18.439    0.585840344429016    789.626098632813
18.537    0.581892490386963    789.55029296875
18.635    0.585840344429016    789.436157226563
18.734    0.581892490386963    789.626098632813
18.832    0.570023596286774    789.436157226563
18.93    0.581892490386963    789.701904296875
19.029    0.581892490386963    789.626098632813
19.127    0.568049669265747    789.626098632813
19.225    0.568049669265747    789.588195800781
19.324    0.579918563365936    789.588195800781
19.422    0.57791930437088    789.588195800781
19.52    0.57791930437088    789.436157226563
19.618    0.5719975233078    789.626098632813
19.717    0.575945377349854    789.626098632813
19.815    0.562102556228638    789.436157226563
19.913    0.58386641740799    789.512451171875
20.012    0.564101815223694    789.626098632813
20.11    0.5719975233078    789.512451171875
20.208    0.554206848144531    789.436157226563
20.307    0.5719975233078    789.474060058594
20.405    0.56607574224472    789.512451171875
20.503    0.56607574224472    789.701904296875
20.601    0.573971450328827    789.436157226563
20.7    0.556180775165558    789.436157226563
20.798    0.550258994102478    789.626098632813
20.896    0.56607574224472    789.588195800781
20.995    0.5719975233078    789.626098632813
21.093    0.538390100002289    789.55029296875
21.191    0.548285067081451    789.588195800781
21.29    0.556180775165558    789.626098632813
21.388    0.564101815223694    789.3603515625
21.486    0.550258994102478    789.588195800781
21.584    0.544311940670013    789.55029296875
21.683    0.538390100002289    789.55029296875
21.781    0.554206848144531    789.701904296875
21.879    0.548285067081451    789.701904296875
