sec"   "mA"   "mV
0.154    35.1177406311035    789.55029296875
0.252    31.1675052642822    789.512451171875
0.351    28.5379791259766    789.474060058594
0.449    26.8515110015869    789.588195800781
0.547    25.5031433105469    789.588195800781
0.646    24.3287563323975    789.588195800781
0.744    23.4588356018066    789.588195800781
0.842    22.662052154541    789.55029296875
0.941    22.0373039245605    789.512451171875
1.039    21.4935874938965    789.664001464844
1.137    20.9696617126465    789.626098632813
1.235    20.5683212280273    789.512451171875
1.334    20.2223281860352    789.512451171875
1.432    19.8545951843262    789.626098632813
1.53    19.5639457702637    789.588195800781
1.629    19.3089046478271    789.701904296875
1.727    19.0597858428955    789.626098632813
1.825    18.8561668395996    789.664001464844
1.924    18.6406536102295    789.588195800781
2.022    18.4528274536133    789.55029296875
2.12    18.3005809783936    789.588195800781
2.218    18.1444129943848    789.512451171875
2.317    17.9901943206787    789.474060058594
2.415    17.8458690643311    789.588195800781
2.513    17.7252578735352    789.626098632813
2.612    17.6204624176025    789.588195800781
2.71    17.5038242340088    789.626098632813
2.808    17.3990287780762    789.512451171875
2.907    17.2922840118408    789.588195800781
3.005    17.2112255096436    789.664001464844
3.103    17.1123523712158    789.626098632813
3.201    17.0352439880371    789.588195800781
3.3    16.958158493042    789.626098632813
3.398    16.8672065734863    789.398254394531
3.496    16.7940444946289    789.398254394531
3.595    16.7327518463135    789.626098632813
3.693    16.6457710266113    789.512451171875
3.791    16.5904006958008    789.701904296875
3.89    16.5251598358154    789.436157226563
3.988    16.4638671875    789.664001464844
4.086    16.3986263275146    789.512451171875
4.184    16.3393077850342    789.588195800781
4.283    16.2819862365723    789.626098632813
4.381    16.2325630187988    789.55029296875
4.479    16.1831130981445    789.55029296875
4.578    16.1396369934082    789.512451171875
4.676    16.096134185791    789.512451171875
4.774    16.0467090606689    789.626098632813
4.872    15.9992599487305    789.588195800781
4.971    15.9597053527832    789.626098632813
5.069    15.9201765060425    789.588195800781
5.167    15.8944644927979    789.512451171875
5.266    15.8608570098877    789.701904296875
5.364    15.821328163147    789.588195800781
5.462    15.7916679382324    789.588195800781
5.561    15.7639827728271    789.664001464844
5.659    15.732349395752    789.626098632813
5.757    15.7046632766724    789.664001464844
5.856    15.6829252243042    789.626098632813
5.954    15.649317741394    789.626098632813
6.052    15.6315269470215    789.588195800781
6.15    15.5998935699463    789.55029296875
6.249    15.5801038742065    789.588195800781
6.347    15.5524435043335    789.664001464844
6.445    15.5306797027588    789.474060058594
6.544    15.5029935836792    789.512451171875
6.642    15.4871768951416    789.626098632813
6.74    15.4555435180664    789.701904296875
6.839    15.4377527236938    789.588195800781
6.937    15.4298572540283    789.588195800781
7.035    15.4061193466187    789.626098632813
7.133    15.3863554000854    789.588195800781
7.232    15.3725118637085    789.588195800781
7.33    15.3487997055054    789.436157226563
7.428    15.3408784866333    789.512451171875
7.527    15.3270359039307    789.626098632813
7.625    15.2993755340576    789.512451171875
7.723    15.2914543151855    789.626098632813
7.822    15.273663520813    789.664001464844
7.92    15.2637691497803    789.626098632813
8.018    15.2420301437378    789.626098632813
8.116    15.2380828857422    789.626098632813
8.215    15.2281875610352    789.512451171875
8.313    15.204475402832    789.588195800781
8.411    15.1886587142944    789.588195800781
8.51    15.1807374954224    789.55029296875
8.608    15.1708421707153    789.588195800781
8.706    15.1668949127197    789.777709960938
8.805    15.1451559066772    789.626098632813
8.903    15.1431818008423    789.701904296875
9.001    15.1293392181396    789.626098632813
9.099    15.1293392181396    789.588195800781
9.198    15.1115484237671    789.588195800781
9.296    15.1036281585693    789.626098632813
9.394    15.0897846221924    789.588195800781
9.493    15.0779409408569    789.512451171875
9.591    15.0739679336548    789.588195800781
9.689    15.0621242523193    789.588195800781
9.788    15.0601253509521    789.626098632813
9.886    15.0423345565796    789.588195800781
9.984    15.0324649810791    789.626098632813
10.082    15.028491973877    789.512451171875
10.181    15.0186223983765    789.588195800781
10.279    15.0126752853394    789.626098632813
10.377    15.0028057098389    789.588195800781
10.476    14.9948844909668    789.588195800781
10.574    14.9830408096313    789.626098632813
10.672    14.9770936965942    789.701904296875
10.771    14.9672241210938    789.626098632813
10.869    14.9652252197266    789.626098632813
10.967    14.9593029022217    789.55029296875
11.065    14.949408531189    789.588195800781
11.164    14.9533815383911    789.626098632813
11.262    14.9434862136841    789.664001464844
11.36    14.9316177368164    789.701904296875
11.459    14.919774055481    789.626098632813
11.557    14.9158010482788    789.55029296875
11.655    14.9059314727783    789.626098632813
11.754    14.8960361480713    789.512451171875
11.852    14.8960361480713    789.701904296875
11.95    14.8901147842407    789.588195800781
12.048    14.8841676712036    789.626098632813
12.147    14.8723239898682    789.55029296875
12.245    14.8723239898682    789.55029296875
12.343    14.8565073013306    789.512451171875
12.442    14.8525342941284    789.664001464844
12.54    14.8466119766235    789.588195800781
12.638    14.8446378707886    789.512451171875
12.737    14.8386907577515    789.588195800781
12.835    14.8268480300903    789.626098632813
12.933    14.8248739242554    789.701904296875
13.032    14.8228740692139    789.588195800781
13.13    14.8169527053833    789.588195800781
13.228    14.8130044937134    789.626098632813
13.326    14.8050842285156    789.512451171875
13.425    14.7991619110107    789.436157226563
