sec"   "mA"   "mV
0.154    51.9744300842285    987.003967285156
0.252    46.4464950561523    987.1181640625
0.351    43.1526412963867    986.852416992188
0.449    40.5646438598633    987.1181640625
0.547    38.8050117492676    987.003967285156
0.646    37.4269828796387    986.852416992188
0.744    36.2170181274414    987.041870117188
0.842    35.3154640197754    987.041870117188
0.941    34.5641555786133    987.003967285156
1.039    33.8682174682617    987.1181640625
1.137    33.3403434753418    987.079772949219
1.235    32.891529083252    987.1181640625
1.334    32.4644775390625    987.1181640625
1.432    32.1184844970703    987.041870117188
1.53    31.82785987854    987.041870117188
1.629    31.5490798950195    987.079772949219
1.727    31.317777633667    987.041870117188
1.825    31.1220283508301    987.079772949219
1.924    30.9223594665527    987.079772949219
2.022    30.7661647796631    987.1181640625
2.12    30.6079978942871    987.003967285156
2.219    30.4814643859863    987.079772949219
2.317    30.3667984008789    987.1181640625
2.415    30.2501354217529    987.079772949219
2.513    30.1572074890137    987.079772949219
2.612    30.0603332519531    987.079772949219
2.71    29.9792766571045    987.003967285156
2.808    29.9021663665771    987.1181640625
2.907    29.829029083252    987.079772949219
3.005    29.7538948059082    987.041870117188
3.103    29.700496673584    987.003967285156
3.202    29.6451511383057    987.003967285156
3.3    29.5700149536133    987.079772949219
3.398    29.5205917358398    987.079772949219
3.497    29.4731407165527    987.1181640625
3.595    29.4138221740723    987.079772949219
3.693    29.3703441619873    987.1181640625
3.791    29.332763671875    987.079772949219
3.89    29.2912616729736    987.079772949219
3.988    29.2477588653564    987.079772949219
4.086    29.2022819519043    987.041870117188
4.185    29.176570892334    987.1181640625
4.283    29.135066986084    987.1181640625
4.381    29.1014595031738    987.1181640625
4.48    29.0737743377686    987.1181640625
4.578    29.0381927490234    987.003967285156
4.676    29.0085334777832    987.041870117188
4.774    28.976900100708    986.928161621094
4.873    28.9393196105957    987.079772949219
4.971    28.9254760742188    987.079772949219
5.069    28.8958435058594    987.1181640625
5.168    28.8602352142334    987.1181640625
5.266    28.8365230560303    987.1181640625
5.364    28.808837890625    987.1181640625
5.463    28.798942565918    987.1181640625
5.561    28.796968460083    987.041870117188
5.659    28.7534923553467    987.079772949219
5.758    28.7099895477295    987.079772949219
5.856    28.6823043823242    986.928161621094
5.954    28.6565933227539    987.041870117188
6.052    28.6467227935791    987.1181640625
6.151    28.6150894165039    987.079772949219
6.249    28.6032199859619    987.1181640625
6.347    28.5834560394287    987.079772949219
6.446    28.5696125030518    987.1181640625
6.544    28.5597190856934    987.193969726563
6.642    28.5399532318115    987.156066894531
6.741    28.5221633911133    987.003967285156
6.839    28.5004253387451    987.079772949219
6.937    28.4905300140381    987.041870117188
7.036    28.4786605834961    987.041870117188
7.134    28.4608707427979    987.1181640625
7.232    28.4391307830811    987.079772949219
7.33    28.4252891540527    987.1181640625
7.429    28.4134197235107    987.079772949219
7.527    28.4074974060059    987.1181640625
7.625    28.4015502929688    987.079772949219
7.724    28.3897075653076    987.079772949219
7.822    28.3778381347656    987.041870117188
7.92    28.3659687042236    987.041870117188
8.019    28.3442306518555    987.1181640625
8.117    28.3363094329834    987.003967285156
8.215    28.3284149169922    987.079772949219
8.314    28.3224678039551    987.1181640625
8.412    28.3106231689453    987.079772949219
8.51    28.2928085327148    987.1181640625
8.608    28.284912109375    987.041870117188
8.707    28.271068572998    987.079772949219
8.805    28.2690944671631    987.041870117188
8.903    28.2532787322998    987.156066894531
9.002    28.2394351959229    986.966064453125
9.1    28.2216453552246    987.079772949219
9.198    28.2216453552246    987.003967285156
9.297    28.1801166534424    987.041870117188
9.395    28.1583786010742    987.079772949219
9.493    28.1564044952393    987.079772949219
9.591    28.1544303894043    987.1181640625
9.69    28.1366386413574    987.1181640625
9.788    28.1366386413574    986.928161621094
9.886    28.118824005127    987.079772949219
9.985    28.116849899292    987.041870117188
10.083    28.103006362915    987.041870117188
10.181    28.0911636352539    987.079772949219
10.28    28.0832424163818    987.079772949219
10.378    28.0852165222168    987.079772949219
10.476    28.073371887207    987.1181640625
10.574    28.0634784698486    987.1181640625
10.673    28.0516090393066    987.1181640625
10.771    28.0476608276367    987.041870117188
10.869    28.0437126159668    987.041870117188
10.968    28.0437126159668    987.003967285156
11.066    28.0278968811035    986.966064453125
11.164    28.0298709869385    987.079772949219
11.263    28.0081062316895    987.1181640625
11.361    28.0002098083496    987.156066894531
11.459    27.9962635040283    987.003967285156
11.557    27.9863681793213    987.1181640625
11.656    27.9804458618164    987.079772949219
11.754    27.9784717559814    987.079772949219
11.852    27.9646301269531    986.928161621094
11.951    27.9507865905762    987.041870117188
12.049    27.9527606964111    986.966064453125
