sec"   "mA"   "mV
0.154    61.2040557861328    985.857666015625
0.252    48.3566131591797    988.211791992188
0.351    66.1334762573242    986.199340820313
0.449    45.8337783813477    987.98388671875
0.547    43.6408271789551    985.781860351563
0.646    44.7663650512695    986.996826171875
0.744    42.5150375366211    985.402282714844
0.842    43.5243225097656    986.921020507813
0.941    35.9943161010742    984.756896972656
1.039    41.0596122741699    987.832275390625
1.137    36.0720672607422    984.756896972656
1.236    36.0333137512207    988.325561523438
1.334    34.6553916931152    985.629760742188
1.432    37.8186264038086    988.325561523438
1.531    39.1190452575684    985.515991210938
1.629    36.6349601745605    988.477661132813
1.727    40.0505790710449    985.629760742188
1.826    37.8186264038086    988.135986328125
1.924    39.5651893615723    985.553894042969
2.022    40.9821090698242    987.072631835938
2.121    38.7889099121094    985.781860351563
2.219    40.8656044006348    987.604309082031
2.317    33.0834617614746    984.642700195313
2.415    40.6325988769531    986.996826171875
2.514    33.1222152709961    985.250183105469
2.612    35.9943161010742    988.325561523438
2.71    32.4818153381348    984.680603027344
2.809    35.0434074401855    988.28759765625
2.907    37.3528594970703    985.212280273438
3.005    34.6553916931152    987.98388671875
3.104    37.7217483520508    985.629760742188
3.202    40.7103500366211    987.414306640625
3.3    38.1291389465332    985.553894042969
3.399    39.7981948852539    987.56640625
3.497    37.1201019287109    986.009765625
3.595    39.8756980895996    987.490600585938
3.694    33.8403625488281    984.87060546875
3.792    39.099422454834    987.186828613281
3.89    33.0057106018066    985.212280273438
3.989    33.7238616943359    988.325561523438
4.087    32.6952018737793    985.325988769531
4.185    34.2090034484863    988.059692382813
4.283    37.3916130065918    984.56689453125
4.382    33.4521026611328    988.135986328125
4.48    36.2660751342773    985.781860351563
4.578    40.4773445129395    987.110534667969
4.677    37.139476776123    985.2880859375
4.775    37.5858688354492    987.718017578125
4.873    32.850456237793    985.402282714844
4.972    39.6429405212402    987.414306640625
5.07    32.054801940918    985.212280273438
5.168    38.5367774963379    987.642211914063
5.267    32.3653106689453    985.060668945313
5.365    33.8403625488281    988.325561523438
5.463    31.3562755584717    985.478088378906
5.562    34.5776405334473    987.870178222656
5.66    35.7228050231934    985.553894042969
5.758    34.0149955749512    987.98388671875
5.857    37.042350769043    985.402282714844
5.955    38.8279113769531    987.110534667969
6.053    35.2957878112793    985.668151855469
6.151    38.6336555480957    987.414306640625
6.25    33.568603515625    984.680603027344
6.348    37.3916130065918    987.072631835938
6.446    32.8310813903809    985.098571777344
6.545    39.6041870117188    987.56640625
6.643    32.2294311523438    985.098571777344
6.741    33.490852355957    988.819274902344
6.84    32.5593185424805    984.718505859375
6.938    32.947582244873    988.211791992188
7.036    34.189624786377    985.2880859375
7.135    32.2878074645996    988.249694824219
7.233    35.7615547180176    985.553894042969
7.331    38.8860397338867    987.2626953125
7.429    36.1495704650879    985.629760742188
7.528    37.2753562927246    987.98388671875
7.626    32.6952018737793    984.832702636719
7.724    38.4202728271484    987.110534667969
7.823    31.0457649230957    985.364379882813
7.921    33.3355979919434    988.173889160156
8.019    31.4531555175781    984.832702636719
8.118    33.1415901184082    987.755981445313
8.216    31.5696601867676    985.174377441406
8.314    32.151927947998    988.28759765625
8.413    35.6838035583496    985.478088378906
8.511    33.7819862365723    987.794372558594
8.609    35.4704208374023    985.857666015625
8.707    38.4590225219727    987.300598144531
8.806    36.673713684082    984.984313964844
8.904    38.4008979797363    987.718017578125
9.002    32.6952018737793    985.060668945313
9.101    38.2068901062012    987.338500976563
9.199    32.8698310852051    984.604797363281
9.297    31.5309066772461    988.515563964844
9.396    32.3653106689453    984.908508300781
9.494    32.2878074645996    988.325561523438
9.592    33.0834617614746    985.781860351563
9.691    33.3162231445313    988.211791992188
9.789    35.082405090332    985.857666015625
9.887    32.850456237793    988.28759765625
9.986    35.1405334472656    985.325988769531
10.084    38.2068901062012    986.996826171875
10.182    34.5776405334473    985.553894042969
10.28    37.9157562255859    987.490600585938
10.379    32.2294311523438    985.136474609375
10.477    37.8573799133301    987.832275390625
10.575    31.744291305542    984.908508300781
10.674    33.3162231445313    988.40185546875
10.772    32.2294311523438    985.098571777344
10.87    32.7535781860352    987.908081054688
10.969    34.4417610168457    985.629760742188
11.067    30.9873905181885    988.249694824219
11.165    33.9759941101074    985.591857910156
11.264    38.6142807006836    987.186828613281
11.362    33.8984909057617    985.553894042969
11.46    37.3334846496582    987.338500976563
11.559    35.3151664733887    985.629760742188
11.657    38.944164276123    987.376403808594
11.755    31.6084117889404    985.060668945313
11.853    39.1965484619141    987.186828613281
11.952    31.8995456695557    984.718505859375
12.05    32.0354270935059    988.70556640625
12.148    32.7339515686035    985.136474609375
12.247    32.2100563049316    988.098083496094
12.345    34.0537452697754    986.047668457031
12.443    32.5786972045898    988.28759765625
12.542    33.8207397460938    985.515991210938
12.64    37.3334846496582    987.908081054688
12.738    34.1312484741211    985.478088378906
12.837    38.8279113769531    987.2626953125
12.935    34.616641998291    985.364379882813
13.033    38.4202728271484    987.528503417969
13.131    32.1129302978516    985.325988769531
13.23    37.9545059204102    987.490600585938
13.328    31.3562755584717    985.2880859375
13.426    31.9966735839844    987.718017578125
13.525    32.2681846618652    985.060668945313
13.623    31.0845165252686    987.832275390625
13.721    34.4030075073242    985.857666015625
13.82    31.744291305542    988.363464355469
13.918    34.4030075073242    985.743957519531
14.016    38.303768157959    987.414306640625
14.115    34.985279083252    985.933471679688
14.213    38.8666610717773    987.680114746094
14.311    33.9759941101074    984.718505859375
14.409    40.1668319702148    987.755981445313
14.508    33.7044830322266    984.376831054688
14.606    38.7307815551758    987.56640625
14.704    33.4714775085449    984.794799804688
14.803    33.9566192626953    988.515563964844
14.901    33.2580947875977    985.212280273438
14.999    35.1599082946777    988.857238769531
15.098    35.8390579223633    986.12353515625
15.196    33.6073570251465    988.629272460938
15.294    36.2660751342773    985.478088378906
15.393    40.2833366394043    987.224792480469
15.491    34.7328948974609    985.857666015625
15.589    39.4099311828613    987.338500976563
15.688    33.6654853820801    984.946411132813
15.786    39.9146995544434    987.908081054688
15.884    32.2878074645996    985.174377441406
15.982    32.8310813903809    988.553466796875
16.081    33.5102272033691    984.718505859375
16.179    32.7729530334473    988.553466796875
16.277    32.947582244873    984.908508300781
16.376    34.2671279907227    987.794372558594
16.474    36.9842224121094    985.668151855469
16.572    34.286506652832    987.98388671875
16.671    35.0046539306641    985.781860351563
16.769    40.3220901489258    987.224792480469
16.867    35.7228050231934    985.971862792969
16.966    39.5264358520508    987.642211914063
17.064    33.7626113891602    985.136474609375
17.162    39.9146995544434    987.034729003906
17.26    32.4430656433105    984.756896972656
17.359    33.7238616943359    988.249694824219
17.457    32.2878074645996    984.794799804688
17.555    34.1312484741211    987.98388671875
17.654    32.4234390258789    984.87060546875
17.752    32.3265609741211    988.135986328125
17.85    35.4122924804688    985.933471679688
17.949    32.8117027282715    987.908081054688
18.047    36.1108169555664    985.325988769531
18.145    40.5938491821289    987.680114746094
18.244    36.2660751342773    985.325988769531
18.342    39.3130531311035    987.794372558594
18.44    33.3939743041992    984.718505859375
18.538    39.7594413757324    987.072631835938
18.637    33.0057106018066    984.946411132813
18.735    33.3549728393555    987.98388671875
18.833    33.6654853820801    984.908508300781
18.932    32.5786972045898    988.28759765625
19.03    34.616641998291    985.629760742188
19.128    33.6461067199707    988.28759765625
19.227    34.907527923584    985.743957519531
19.325    32.4818153381348    988.743469238281
19.423    37.5274925231934    985.743957519531
19.522    39.6041870117188    987.56640625
19.62    34.8493995666504    985.325988769531
19.718    40.2639617919922    987.490600585938
19.817    32.5786972045898    984.946411132813
19.915    39.274299621582    987.414306640625
20.013    33.7044830322266    984.453125
20.111    32.9282073974609    987.604309082031
20.21    33.7044830322266    984.756896972656
20.308    32.3846893310547    988.477661132813
20.406    34.8881530761719    985.7060546875
20.505    33.1415901184082    988.477661132813
20.603    35.8974342346191    985.971862792969
20.701    39.0025405883789    987.56640625
20.8    36.2273216247559    985.553894042969
20.898    39.6235618591309    987.2626953125
20.996    36.5378341674805    985.553894042969
21.095    40.0893287658691    987.110534667969
21.193    33.0444641113281    984.832702636719
21.291    39.9146995544434    987.338500976563
21.389    32.9282073974609    984.642700195313
21.488    33.0250854492188    988.515563964844
21.586    32.850456237793    984.718505859375
21.684    33.7044830322266    987.98388671875
21.783    34.1312484741211    985.933471679688
21.881    32.947582244873    988.28759765625
21.979    33.7819862365723    985.478088378906
22.078    40.0115776062012    987.110534667969
22.176    35.6644287109375    985.629760742188
22.274    39.6235618591309    987.376403808594
22.373    33.3939743041992    984.908508300781
22.471    39.0025405883789    987.490600585938
22.569    33.2387199401855    984.832702636719
22.667    38.8666610717773    987.1484375
