sec"   "mA"   "mV
0.154    67.9381637573242    985.971862792969
0.252    61.9415817260742    989.123046875
0.351    62.1549644470215    986.540954589844
0.449    55.149097442627    988.629272460938
0.547    56.7597808837891    986.617248535156
0.646    53.8876800537109    987.642211914063
0.744    53.2276573181152    986.921020507813
0.842    50.6660690307617    987.56640625
0.941    43.6408271789551    986.617248535156
1.039    49.1716423034668    987.2626953125
1.137    41.7777633666992    986.655151367188
1.236    47.4250831604004    987.034729003906
1.334    41.9717712402344    986.693115234375
1.432    42.8839263916016    989.198852539063
1.531    40.0893287658691    987.110534667969
1.629    42.4375343322754    988.819274902344
1.727    47.0951957702637    986.465148925781
1.826    41.486629486084    989.047241210938
1.924    47.1533241271973    986.579345703125
2.022    46.5713043212891    987.832275390625
2.12    46.0859107971191    986.617248535156
2.219    45.7754020690918    987.832275390625
2.317    38.4202728271484    986.693115234375
2.415    44.3781051635742    988.021789550781
2.514    38.1678886413574    986.42724609375
2.612    44.1453437805176    987.908081054688
2.71    38.4590225219727    986.047668457031
2.809    40.3804626464844    989.123046875
2.907    37.2169799804688    986.693115234375
3.005    39.4876823425293    988.970947265625
3.104    43.369068145752    986.465148925781
3.202    40.0309524536133    988.933044433594
3.3    43.5436973571777    986.768920898438
3.399    44.4558563232422    988.059692382813
3.497    43.1944351196289    986.617248535156
3.595    44.1840972900391    987.98388671875
3.694    36.6349601745605    986.199340820313
3.792    44.009464263916    987.832275390625
3.89    36.1885681152344    986.009765625
3.989    38.381519317627    989.426818847656
4.087    36.8095932006836    986.275634765625
4.185    38.55615234375    989.502624511719
4.283    37.0035972595215    986.12353515625
4.382    38.6336555480957    989.274658203125
4.48    41.331371307373    986.503051757813
4.578    37.8963775634766    989.616821289063
4.677    41.3894996643066    986.313537597656
4.775    43.6989555358887    988.211791992188
4.873    40.9043579101563    986.540954589844
4.972    44.009464263916    988.211791992188
5.07    37.3528594970703    985.402282714844
5.168    43.369068145752    988.477661132813
5.267    36.6930885314941    985.668151855469
5.365    37.1782302856445    989.350952148438
5.463    35.878059387207    985.325988769531
5.562    37.1976051330566    989.198852539063
5.66    39.6429405212402    986.275634765625
5.758    37.1201019287109    989.54052734375
5.856    39.5264358520508    986.540954589844
5.955    37.2753562927246    989.274658203125
6.053    39.5070610046387    986.540954589844
6.151    43.2525634765625    988.439758300781
6.25    39.9728240966797    986.199340820313
6.348    43.0391807556152    988.211791992188
6.446    35.6838035583496    985.7060546875
6.545    43.1166839599609    988.363464355469
6.643    36.0720672607422    985.895568847656
6.741    35.9555625915527    989.350952148438
6.84    34.8300247192383    985.895568847656
6.938    35.6838035583496    989.426818847656
7.036    38.1875152587891    986.199340820313
7.135    36.1691932678223    989.047241210938
7.233    38.4590225219727    986.42724609375
7.331    36.0914421081543    989.198852539063
7.429    38.2650184631348    986.237243652344
7.528    42.5150375366211    988.591369628906
7.626    38.4202728271484    986.693115234375
7.724    42.8451728820801    988.70556640625
