sec"   "mA"   "mV
0.154    40.069953918457    787.474365234375
0.252    32.151927947998    791.043518066406
0.351    32.7339515686035    788.15771484375
0.449    27.0478782653809    790.891418457031
0.547    28.9884452819824    788.46142578125
0.646    29.2602043151855    789.866455078125
0.744    27.0672550201416    788.613525390625
0.842    27.8435306549072    789.562683105469
0.941    25.9998435974121    788.385620117188
1.039    26.4462337493896    789.410583496094
1.137    20.430025100708    788.15771484375
1.236    25.5728282928467    789.258972167969
1.334    19.6149978637695    788.15771484375
1.432    19.9448833465576    790.663452148438
1.531    19.3819904327393    788.233520507813
1.629    19.4209899902344    790.549743652344
1.727    22.3708419799805    788.309326171875
1.825    19.226734161377    790.587646484375
1.924    21.7691974639893    788.347717285156
2.022    24.563793182373    789.6005859375
2.12    22.0213317871094    788.347717285156
2.219    24.1561546325684    789.866455078125
2.317    17.9653167724609    787.816040039063
2.415    23.360502243042    789.6005859375
2.514    17.5773029327393    787.816040039063
2.612    23.4576301574707    789.752258300781
2.71    17.5189266204834    787.740234375
2.809    17.7906856536865    790.815551757813
2.907    17.6160545349121    787.853942871094
3.005    17.5966777801514    790.777648925781
3.104    19.5566215515137    788.385620117188
3.202    17.3830471038818    790.73974609375
3.3    19.5372447967529    788.499328613281
3.399    23.1471195220947    789.790161132813
3.497    20.2553939819336    788.233520507813
3.595    23.1274948120117    789.904357910156
3.693    17.0725364685059    788.119812011719
3.792    22.9722385406494    789.904357910156
3.89    17.422046661377    787.967651367188
3.988    23.108118057251    789.714294433594
4.087    17.3055438995361    788.005554199219
4.185    16.6845226287842    790.891418457031
4.283    16.9756565093994    787.929748535156
4.382    16.5680179595947    790.777648925781
4.48    18.858097076416    788.46142578125
4.578    16.8397769927979    790.625549316406
4.677    18.5863380432129    788.233520507813
4.775    22.9334869384766    789.828552246094
4.873    18.6250896453857    788.385620117188
4.972    22.7201042175293    789.676391601563
5.07    17.6935577392578    787.663940429688
5.168    22.6229763031006    789.790161132813
5.266    17.2277908325195    787.891845703125
5.365    16.0635013580322    790.511840820313
5.463    17.5773029327393    787.816040039063
5.561    16.0635013580322    790.397644042969
5.66    17.4801750183105    787.778137207031
5.758    15.8888692855835    790.663452148438
5.856    18.0236930847168    788.46142578125
5.955    16.0828762054443    790.625549316406
6.053    17.6741809844971    788.499328613281
6.151    22.2930908203125    789.942260742188
6.25    17.7906856536865    788.423522949219
6.348    22.3124656677246    789.638488769531
6.446    17.8684368133545    787.740234375
6.544    22.2737140655518    789.866455078125
6.643    17.8294372558594    787.816040039063
6.741    15.442479133606    790.511840820313
6.839    17.6354293823242    788.005554199219
6.938    15.4037275314331    790.701354980469
7.036    16.7426490783691    788.87890625
7.134    15.3647270202637    790.511840820313
7.233    17.5773029327393    788.689392089844
7.331    15.5199823379517    790.43603515625
7.429    17.1502876281738    788.651489257813
7.528    22.1378345489502    789.942260742188
7.626    17.1502876281738    788.537231445313
7.724    22.4289703369141    789.676391601563
7.823    18.1205711364746    787.967651367188
7.921    22.1378345489502    789.752258300781
8.019    18.2758274078369    787.778137207031
8.117    14.9960889816284    789.942260742188
8.216    17.5773029327393    787.967651367188
8.314    15.1707201004028    790.170166015625
8.412    16.4321384429932    789.031005859375
8.511    14.9573373794556    790.170166015625
8.609    16.5098915100098    788.727294921875
8.707    21.3421821594238    789.676391601563
8.806    17.033784866333    788.993103027344
8.904    21.6914443969727    789.6005859375
9.002    16.5680179595947    788.87890625
9.101    21.8273239135742    789.562683105469
9.199    17.8878135681152    788.081848144531
9.297    21.8079490661621    789.676391601563
9.396    17.6935577392578    787.891845703125
9.494    14.6468267440796    789.904357910156
9.592    17.8100605010986    788.0439453125
9.69    14.666202545166    789.942260742188
9.789    16.3740119934082    789.144714355469
9.887    14.5690746307373    790.055969238281
