sec"   "mA"   "mV
0.154    37.4693641662598    787.512268066406
0.252    44.7469902038574    791.081420898438
0.351    34.1312484741211    788.15771484375
0.449    26.8538703918457    791.119323730469
0.547    27.8047790527344    788.46142578125
0.646    30.0364818572998    790.01806640625
0.744    26.3491058349609    788.119812011719
0.842    28.1152896881104    789.904357910156
0.941    21.2063026428223    788.119812011719
1.039    27.0478782653809    789.828552246094
1.137    20.7017841339111    787.740234375
1.236    25.6893310546875    789.904357910156
1.334    19.3044872283936    787.891845703125
1.432    19.3044872283936    790.967224121094
1.531    18.6640892028809    788.233520507813
1.629    18.6834659576416    790.891418457031
1.727    21.4780616760254    788.347717285156
1.825    18.7803440093994    791.005126953125
1.924    20.7017841339111    788.423522949219
2.022    23.9233951568604    789.904357910156
2.12    20.682409286499    788.499328613281
2.219    23.8456439971924    789.942260742188
2.317    17.7325572967529    787.891845703125
2.415    23.5351333618164    789.904357910156
2.514    17.1890392303467    787.967651367188
2.612    17.3055438995361    790.815551757813
2.71    17.1696643829346    788.081848144531
2.809    16.6845226287842    791.043518066406
2.907    16.8591537475586    787.891845703125
3.005    16.7426490783691    790.967224121094
3.104    19.0133514404297    788.309326171875
3.202    16.7038974761963    791.081420898438
3.3    19.0714797973633    788.423522949219
3.398    22.6036014556885    789.790161132813
3.497    19.2851104736328    788.385620117188
3.595    22.5842247009277    789.828552246094
3.693    17.2084159851074    787.778137207031
3.792    22.6036014556885    789.752258300781
3.89    16.5292663574219    788.005554199219
3.988    16.1993789672852    791.005126953125
4.087    16.5292663574219    787.816040039063
4.185    15.9082450866699    790.701354980469
4.283    18.1789474487305    788.537231445313
4.382    16.0053730010986    790.701354980469
4.48    18.0624446868896    788.575134277344
4.578    16.1410045623779    790.473937988281
4.677    18.2176990509033    788.309326171875
4.775    22.4289703369141    789.942260742188
4.873    18.4310817718506    788.309326171875
4.971    22.2349624633789    789.904357910156
5.07    16.8979053497314    787.816040039063
5.168    22.1184597015381    790.01806640625
5.266    17.0144081115723    787.967651367188
5.365    15.4618549346924    790.815551757813
5.463    16.490514755249    787.740234375
5.561    15.5006065368652    790.891418457031
5.66    17.422046661377    788.537231445313
5.758    15.4037275314331    790.777648925781
5.856    17.3249187469482    788.575134277344
5.955    15.5977344512939    790.663452148438
6.053    17.4995498657227    788.499328613281
6.151    22.176586151123    789.942260742188
6.25    17.7906856536865    788.499328613281
6.348    21.8079490661621    789.866455078125
6.446    16.9950332641602    787.701843261719
6.544    21.9050769805908    790.132263183594
6.643    16.5873947143555    787.816040039063
6.741    14.976713180542    790.777648925781
6.839    16.2962589263916    787.967651367188
6.938    15.3259754180908    790.815551757813
7.036    16.6651458740234    788.727294921875
7.134    15.2484722137451    790.777648925781
7.233    16.8979053497314    788.689392089844
7.331    21.9244518280029    789.904357910156
7.429    16.5680179595947    788.613525390625
7.528    21.7885723114014    789.904357910156
7.626    16.9562816619873    788.46142578125
7.724    21.6333179473877    789.904357910156
7.823    17.0144081115723    787.891845703125
7.921    21.4974384307861    790.245971679688
8.019    16.6067695617676    787.967651367188
8.117    14.6468267440796    790.511840820313
8.216    16.3352584838867    787.816040039063
8.314    14.6080751419067    790.511840820313
8.412    16.3158836364746    788.87890625
8.511    14.5690746307373    790.549743652344
8.609    16.6845226287842    788.841003417969
8.707    21.5749416351318    789.828552246094
8.806    16.5098915100098    788.955200195313
8.904    21.5749416351318    789.828552246094
9.002    17.0144081115723    787.891845703125
9.101    21.5945644378662    789.752258300781
9.199    17.3249187469482    787.816040039063
9.297    21.7301959991455    789.904357910156
9.396    17.1696643829346    787.891845703125
9.494    14.2391881942749    790.397644042969
9.592    16.7816486358643    787.891845703125
9.69    14.3750677108765    790.321838378906
9.789    15.9082450866699    789.221069335938
9.887    14.4915714263916    790.43603515625
9.985    15.7723655700684    788.993103027344
10.084    21.225679397583    789.676391601563
10.182    16.2962589263916    788.689392089844
10.28    21.4393100738525    789.828552246094
10.379    17.8100605010986    787.853942871094
10.477    21.6720695495605    789.752258300781
10.575    17.3055438995361    788.081848144531
10.674    13.9674291610718    790.093872070313
10.772    17.5383014678955    788.0439453125
10.87    14.0645570755005    790.093872070313
10.968    17.3636703491211    787.929748535156
11.067    14.1423082351685    789.942260742188
11.165    15.5199823379517    789.372680664063
11.263    14.1616840362549    790.245971679688
11.362    15.7142381668091    789.182678222656
11.46    20.8957920074463    789.372680664063
11.558    15.3065996170044    789.372680664063
11.657    20.7405376434326    789.714294433594
11.755    18.0818195343018    788.575134277344
11.853    20.8182888031006    789.524780273438
11.952    18.1011962890625    788.309326171875
12.05    14.0064287185669    789.676391601563
12.148    18.0624446868896    788.233520507813
12.246    14.0064287185669    789.676391601563
12.345    17.9071884155273    788.271423339844
12.443    13.8705492019653    789.828552246094
12.541    15.5783586502075    789.752258300781
12.64    13.7540464401245    789.562683105469
12.738    15.3453512191772    789.448486328125
12.836    20.1582679748535    789.334777832031
12.935    15.2678480148315    789.676391601563
13.033    20.4494018554688    789.182678222656
13.131    19.0327281951904    788.727294921875
13.23    20.5271530151367    789.372680664063
13.328    18.916223526001    788.689392089844
13.426    13.8511734008789    789.106811523438
13.525    18.4117069244385    788.917297363281
13.623    13.7927980422974    789.258972167969
13.721    15.0348405838013    789.904357910156
13.819    13.5212869644165    789.334777832031
13.918    15.0348405838013    789.942260742188
14.016    13.8121738433838    789.106811523438
14.114    15.0154647827148    790.170166015625
14.213    19.711877822876    788.87890625
14.311    15.4037275314331    789.866455078125
14.409    19.6731243133545    788.803100585938
14.508    19.4597415924072    789.296875
14.606    19.8283805847168    788.87890625
14.704    19.0908546447754    789.031005859375
14.803    14.2198123931885    788.727294921875
14.901    19.226734161377    789.221069335938
14.999    13.9674291610718    788.765197753906
15.098    15.1125926971436    790.473937988281
15.196    13.6959180831909    788.87890625
15.294    14.821457862854    790.43603515625
15.392    18.0818195343018    788.87890625
15.491    14.7827062606812    790.321838378906
15.589    18.2758274078369    788.651489257813
15.687    14.7049541473389    790.587646484375
15.786    19.0327281951904    788.537231445313
15.884    20.1776428222656    789.524780273438
15.982    18.4310817718506    788.87890625
16.081    20.2941474914551    789.221069335938
16.179    14.3944435119629    788.271423339844
16.277    19.8671321868896    789.372680664063
16.376    14.5496988296509    788.309326171875
16.474    14.821457862854    790.625549316406
16.572    14.2004365921021    788.309326171875
16.67    14.7437057495117    790.73974609375
16.769    17.2277908325195    788.689392089844
16.867    14.6468267440796    790.777648925781
16.965    17.3830471038818    788.651489257813
17.064    14.3750677108765    790.853515625
17.162    17.033784866333    788.613525390625
17.26    20.8376636505127    789.828552246094
17.359    17.1696643829346    788.385620117188
17.457    20.6434097290039    789.714294433594
17.555    14.8602094650269    787.929748535156
17.654    20.4494018554688    789.676391601563
17.752    15.442479133606    788.0439453125
17.85    14.0839328765869    790.815551757813
17.948    14.976713180542    788.081848144531
18.047    14.1423082351685    790.815551757813
18.145    15.9469966888428    788.537231445313
18.243    14.1226844787598    790.777648925781
18.342    16.1022529602051    788.613525390625
18.44    20.7986640930176    789.904357910156
18.538    16.1606273651123    788.689392089844
18.637    20.4687786102295    789.790161132813
18.735    16.5098915100098    788.689392089844
18.833    20.9345436096191    790.093872070313
18.932    16.0635013580322    787.929748535156
19.03    20.682409286499    789.866455078125
19.128    16.2381324768066    787.853942871094
19.226    13.7346706390381    790.245971679688
19.325    16.0053730010986    787.967651367188
19.423    13.7152938842773    790.511840820313
19.521    15.4231033325195    788.803100585938
19.62    13.8121738433838    790.397644042969
19.718    15.3647270202637    788.803100585938
19.816    20.682409286499    789.524780273438
19.915    15.2484722137451    789.144714355469
20.013    20.5271530151367    789.942260742188
20.111    17.1502876281738    788.309326171875
20.21    20.4687786102295    789.524780273438
20.308    17.2667922973633    788.195617675781
20.406    20.5271530151367    789.676391601563
20.504    17.033784866333    788.15771484375
20.603    13.307656288147    789.676391601563
20.701    17.0144081115723    788.309326171875
20.799    13.2882804870605    789.676391601563
20.898    15.0154647827148    789.676391601563
20.996    13.4435358047485    789.638488769531
21.094    14.9573373794556    789.486389160156
21.193    19.3626136779785    789.296875
21.291    14.2198123931885    789.714294433594
21.389    19.4597415924072    789.372680664063
21.488    17.9265651702881    788.803100585938
21.586    19.7896289825439    789.486389160156
21.684    18.1205711364746    788.689392089844
21.782    13.2495279312134    789.144714355469
21.881    18.3923301696777    788.651489257813
21.979    13.230152130127    788.917297363281
22.077    18.0624446868896    788.841003417969
22.176    13.0942726135254    789.182678222656
22.274    14.5303230285645    790.283935546875
22.372    12.9390172958374    789.296875
22.471    14.821457862854    790.132263183594
22.569    18.1983242034912    788.87890625
22.667    14.4915714263916    790.359741210938
22.766    18.2564506530762    788.689392089844
22.864    19.6731243133545    789.296875
22.962    18.2176990509033    788.689392089844
23.06    18.9552249908447    789.334777832031
23.159    14.2391881942749    788.385620117188
23.257    19.1492309570313    789.182678222656
23.355    14.1033086776733    788.233520507813
23.454    14.2975635528564    790.701354980469
23.552    14.1033086776733    788.347717285156
23.65    14.1616840362549    790.663452148438
23.749    13.9286775588989    788.271423339844
23.847    14.0064287185669    790.473937988281
23.945    17.111536026001    788.385620117188
24.044    14.4528188705444    790.701354980469
24.142    16.7426490783691    788.765197753906
24.24    20.1582679748535    789.676391601563
24.338    16.6651458740234    788.499328613281
24.437    20.1388912200928    789.904357910156
24.535    14.4138193130493    788.15771484375
24.633    20.2166423797607    789.752258300781
24.732    14.7633304595947    787.891845703125
24.83    13.8511734008789    790.777648925781
24.928    14.8989610671997    788.0439453125
25.027    13.8899259567261    790.511840820313
25.125    14.8602094650269    787.967651367188
25.223    13.7346706390381    790.663452148438
25.322    15.7336139678955    788.537231445313
25.42    13.7346706390381    790.663452148438
25.518    15.5006065368652    788.651489257813
25.616    20.3912734985352    789.828552246094
25.715    15.5396070480347    788.575134277344
25.813    20.1972675323486    789.866455078125
25.911    15.8304929733276    788.0439453125
26.01    20.2941474914551    789.942260742188
26.108    15.3647270202637    787.929748535156
26.206    13.307656288147    790.321838378906
26.305    15.8694934844971    787.929748535156
26.403    13.1136484146118    790.511840820313
26.501    15.0738410949707    788.87890625
26.6    13.4241590499878    790.587646484375
26.698    14.510947227478    788.87890625
26.796    13.3464078903198    790.321838378906
26.895    14.8408336639404    789.106811523438
26.993    19.8671321868896    789.6005859375
27.091    14.6468267440796    789.106811523438
27.189    20.2166423797607    789.6005859375
27.288    16.8397769927979    788.309326171875
27.386    19.9448833465576    789.752258300781
27.484    16.9172801971436    788.347717285156
27.583    12.8418893814087    789.638488769531
27.681    16.8591537475586    788.46142578125
27.779    13.1717767715454    789.676391601563
27.878    14.1033086776733    789.638488769531
27.976    13.0165214538574    789.410583496094
28.074    14.7437057495117    789.676391601563
28.172    18.8774719238281    789.334777832031
28.271    13.8121738433838    789.752258300781
28.369    19.4597415924072    789.182678222656
28.467    14.4331951141357    789.6005859375
28.566    19.1298561096191    788.955200195313
28.664    18.1789474487305    788.651489257813
28.762    19.0133514404297    789.410583496094
28.861    18.0624446868896    788.87890625
28.959    13.1136484146118    788.955200195313
29.057    17.6741809844971    788.87890625
29.156    12.8806419372559    788.841003417969
29.254    14.5690746307373    790.43603515625
29.352    12.997145652771    788.803100585938
29.45    14.1810607910156    790.321838378906
29.549    17.654806137085    788.955200195313
29.647    14.35569190979    790.321838378906
29.745    18.0040683746338    788.765197753906
29.844    18.7415924072266    789.790161132813
29.942    18.1205711364746    788.803100585938
30.04    19.2851104736328    789.524780273438
30.139    17.5383014678955    788.765197753906
30.237    19.4403667449951    789.221069335938
30.335    13.8317975997925    788.46142578125
30.434    19.1492309570313    789.410583496094
30.532    13.6765422821045    788.46142578125
30.63    13.9480533599854    790.853515625
30.728    13.6959180831909    788.233520507813
30.827    14.0451812744141    790.663452148438
30.925    16.9369049072266    788.613525390625
31.023    14.1226844787598    790.587646484375
31.122    16.723274230957    788.689392089844
31.22    19.5956211090088    789.6005859375
31.318    16.8591537475586    788.727294921875
31.417    19.7702522277832    789.6005859375
31.515    14.1423082351685    788.233520507813
31.613    19.5566215515137    789.980163574219
31.711    14.0451812744141    788.233520507813
31.81    19.5762462615967    789.714294433594
31.908    14.7437057495117    787.891845703125
32.006    13.7927980422974    790.549743652344
32.105    14.4915714263916    788.005554199219
32.203    13.5987911224365    790.891418457031
32.301    15.5783586502075    788.385620117188
32.4    13.5987911224365    790.511840820313
32.498    15.7336139678955    788.537231445313
32.596    20.0420112609863    789.980163574219
32.695    16.0053730010986    788.46142578125
32.793    19.9448833465576    789.904357910156
32.891    15.4037275314331    787.626037597656
32.99    19.7508773803711    790.170166015625
33.088    14.9379615783691    787.891845703125
33.186    13.307656288147    790.587646484375
33.284    15.13196849823    787.891845703125
33.383    13.152400970459    790.777648925781
33.481    14.9185857772827    787.853942871094
33.579    13.1911525726318    790.663452148438
33.678    14.6080751419067    788.841003417969
33.776    13.462911605835    790.663452148438
33.874    14.7827062606812    788.651489257813
33.973    19.9642601013184    789.828552246094
34.071    15.1125926971436    788.727294921875
34.169    19.7315006256104    790.055969238281
34.268    16.1022529602051    787.929748535156
34.366    19.711877822876    790.01806640625
34.464    16.0441246032715    787.967651367188
34.562    13.2107763290405    790.093872070313
34.661    15.9082450866699    788.0439453125
34.759    13.0555210113525    789.828552246094
34.857    15.7917413711548    787.816040039063
34.956    13.0942726135254    790.093872070313
35.054    14.2585639953613    788.955200195313
35.152    13.0165214538574    790.208068847656
35.251    14.0451812744141    789.106811523438
35.349    19.6149978637695    789.448486328125
35.447    14.3169403076172    788.917297363281
35.545    19.711877822876    789.562683105469
35.644    16.801025390625    788.46142578125
35.742    19.4597415924072    789.714294433594
35.84    16.9562816619873    788.15771484375
35.939    12.7837619781494    789.638488769531
36.037    16.9562816619873    788.233520507813
36.135    13.0358972549438    789.562683105469
36.234    14.35569190979    789.486389160156
36.332    12.9583930969238    789.6005859375
36.43    13.8511734008789    789.790161132813
36.529    13.1136484146118    789.6005859375
36.627    13.6765422821045    789.866455078125
36.725    19.0133514404297    789.258972167969
36.823    14.2779397964478    789.524780273438
36.922    19.2851104736328    789.068908691406
37.02    17.9071884155273    788.765197753906
37.118    18.9939765930176    789.372680664063
37.217    17.9653167724609    788.651489257813
37.315    12.7450103759766    788.955200195313
37.413    17.4801750183105    788.727294921875
37.512    12.7450103759766    789.031005859375
37.61    14.2391881942749    789.942260742188
37.708    13.1330242156982    788.841003417969
37.806    14.4915714263916    789.866455078125
37.905    18.0624446868896    788.689392089844
38.003    14.0645570755005    789.980163574219
38.101    17.9653167724609    788.727294921875
38.2    13.6765422821045    790.170166015625
38.298    18.2370758056641    788.87890625
38.396    18.5863380432129    789.182678222656
38.495    17.7713088989258    788.917297363281
38.593    18.295202255249    789.334777832031
38.691    12.997145652771    788.613525390625
38.79    18.7028408050537    789.106811523438
38.888    13.1136484146118    788.613525390625
38.986    13.5987911224365    790.815551757813
39.084    13.0165214538574    788.537231445313
39.183    13.9480533599854    790.625549316406
39.281    16.723274230957    788.727294921875
39.379    13.6569185256958    790.511840820313
39.478    16.5873947143555    788.575134277344
39.576    19.2461109161377    789.6005859375
39.674    17.0144081115723    788.689392089844
39.773    19.4597415924072    789.372680664063
39.871    17.0144081115723    788.841003417969
39.969    19.4984931945801    789.562683105469
40.067    13.8705492019653    788.499328613281
40.166    19.2073593139648    789.828552246094
40.264    13.8511734008789    788.195617675781
40.362    13.6569185256958    790.321838378906
40.461    14.0258054733276    788.15771484375
40.559    13.6375427246094    790.73974609375
40.657    15.6752376556396    788.651489257813
40.756    13.5212869644165    790.777648925781
40.854    15.5396070480347    788.765197753906
40.952    19.8867568969727    789.714294433594
41.051    15.7142381668091    788.689392089844
41.149    19.8283805847168    790.01806640625
41.247    14.8020820617676    787.891845703125
41.345    19.6925010681152    789.6005859375
41.444    14.8795852661133    787.816040039063
41.542    19.5762462615967    789.904357910156
41.64    14.8795852661133    787.891845703125
41.739    13.230152130127    790.587646484375
41.837    14.7049541473389    788.119812011719
41.935    13.307656288147    790.397644042969
42.034    15.0932168960571    788.651489257813
42.132    13.230152130127    790.549743652344
42.23    15.0154647827148    788.689392089844
42.328    20.022388458252    789.6005859375
42.427    14.7633304595947    788.87890625
42.525    19.6537494659424    789.524780273438
42.623    16.0053730010986    787.929748535156
42.722    19.7896289825439    789.942260742188
42.82    15.8111171722412    788.0439453125
42.918    12.8806419372559    790.093872070313
43.017    15.6558618545532    788.119812011719
43.115    12.8806419372559    790.397644042969
43.213    15.9857482910156    787.778137207031
43.312    12.9002656936646    790.01806640625
43.41    14.3169403076172    789.144714355469
43.508    12.9777688980103    790.321838378906
43.606    14.0645570755005    789.258972167969
43.705    19.479118347168    789.144714355469
43.803    14.2198123931885    789.334777832031
43.901    19.3626136779785    789.334777832031
44    17.0144081115723    788.309326171875
44.098    19.4403667449951    789.031005859375
44.196    16.801025390625    788.651489257813
44.295    12.4926271438599    789.372680664063
44.393    17.2084159851074    788.347717285156
44.491    12.8418893814087    789.562683105469
44.589    14.1226844787598    789.866455078125
44.688    12.8806419372559    789.372680664063
44.786    13.9674291610718    789.904357910156
44.884    12.8612661361694    789.372680664063
44.983    13.6569185256958    789.752258300781
45.081    18.1205711364746    788.955200195313
45.179    13.7152938842773    789.828552246094
45.278    18.605712890625    788.955200195313
45.376    17.9653167724609    788.87890625
45.474    18.7999687194824    789.031005859375
45.573    18.0818195343018    788.803100585938
45.671    12.997145652771    788.87890625
45.769    18.1789474487305    788.955200195313
45.867    12.9583930969238    788.613525390625
45.966    13.9674291610718    790.283935546875
46.064    13.1330242156982    788.651489257813
46.162    13.7540464401245    790.321838378906
46.261    17.0531597137451    788.651489257813
46.359    13.5406627655029    790.208068847656
46.457    16.9369049072266    788.955200195313
46.556    13.5987911224365    790.245971679688
46.654    17.1696643829346    788.803100585938
46.752    18.5669612884521    789.6005859375
46.85    16.8979053497314    788.689392089844
46.949    18.4504585266113    789.448486328125
47.047    13.3854074478149    788.233520507813
47.145    18.858097076416    789.562683105469
47.244    13.6375427246094    788.233520507813
47.342    13.5406627655029    790.587646484375
47.44    13.4822874069214    788.119812011719
47.539    13.3660316467285    790.891418457031
47.637    15.6558618545532    788.689392089844
47.735    13.1717767715454    790.73974609375
47.834    15.8694934844971    788.46142578125
47.932    19.4597415924072    789.638488769531
48.03    16.0247478485107    788.537231445313
48.128    19.3432388305664    789.752258300781
48.227    15.9276208877563    788.537231445313
48.325    19.3432388305664    790.132263183594
48.423    14.2391881942749    788.0439453125
48.522    19.226734161377    789.980163574219
48.62    14.1226844787598    788.119812011719
48.718    13.0555210113525    790.549743652344
48.817    14.6080751419067    787.740234375
48.915    13.2107763290405    790.73974609375
49.013    14.6855783462524    788.689392089844
49.112    13.1911525726318    790.73974609375
49.21    14.6855783462524    788.613525390625
49.308    19.5762462615967    789.828552246094
49.406    14.666202545166    788.575134277344
49.505    19.3626136779785    789.524780273438
49.603    14.8795852661133    788.727294921875
49.701    19.4597415924072    789.942260742188
49.8    15.3453512191772    788.119812011719
49.898    19.6537494659424    789.790161132813
49.996    15.2094717025757    788.0439453125
50.095    12.9777688980103    790.170166015625
50.193    15.2290964126587    788.271423339844
50.291    12.6866340637207    790.245971679688
50.39    14.0839328765869    789.182678222656
50.488    12.5701313018799    790.245971679688
50.586    14.0839328765869    789.144714355469
50.684    19.3044872283936    789.448486328125
50.783    13.8705492019653    789.106811523438
50.881    18.7803440093994    789.524780273438
50.979    16.2768840789795    788.46142578125
51.078    19.1879825592041    789.562683105469
51.176    16.723274230957    788.233520507813
51.274    18.8968486785889    789.6005859375
51.373    16.4321384429932    788.119812011719
51.471    12.5701313018799    789.6005859375
51.569    17.0531597137451    788.233520507813
51.667    12.8806419372559    789.752258300781
51.766    13.6765422821045    789.448486328125
51.864    12.143364906311    789.676391601563
51.962    13.9286775588989    789.790161132813
52.061    18.1789474487305    789.031005859375
52.159    13.5212869644165    789.714294433594
52.257    18.1205711364746    789.221069335938
52.356    17.5966777801514    788.917297363281
52.454    18.3342037200928    789.296875
52.552    17.5383014678955    788.575134277344
52.651    12.919641494751    788.841003417969
52.749    17.6935577392578    788.803100585938
52.847    12.5897550582886    788.955200195313
52.945    17.654806137085    788.803100585938
53.044    12.8612661361694    788.993103027344
53.142    13.307656288147    790.43603515625
53.24    12.8418893814087    789.031005859375
53.339    13.3464078903198    790.321838378906
53.437    17.111536026001    788.765197753906
53.535    13.7152938842773    790.245971679688
53.634    16.9950332641602    788.803100585938
53.732    18.5088348388672    789.638488769531
53.83    16.9369049072266    788.689392089844
53.928    18.4504585266113    789.334777832031
54.027    13.5406627655029    788.233520507813
54.125    18.1593227386475    789.334777832031
54.223    13.3660316467285    788.309326171875
54.322    13.4241590499878    790.511840820313
54.42    13.1911525726318    788.309326171875
54.518    13.3270320892334    790.663452148438
54.617    13.3854074478149    788.385620117188
54.715    13.307656288147    790.891418457031
54.813    16.0053730010986    788.803100585938
54.912    13.6959180831909    790.587646484375
55.01    15.8304929733276    788.727294921875
55.108    19.4013652801514    789.828552246094
55.207    15.6752376556396    788.841003417969
55.305    18.7609691619873    789.638488769531
55.403    13.9480533599854    787.967651367188
55.501    19.1492309570313    789.6005859375
55.6    13.9480533599854    788.0439453125
55.698    13.0555210113525    790.663452148438
55.796    13.6959180831909    788.0439453125
55.895    12.7837619781494    790.777648925781
55.993    14.4528188705444    788.727294921875
56.091    12.9583930969238    790.473937988281
56.19    15.13196849823    788.575134277344
56.288    12.9583930969238    790.815551757813
56.386    14.7633304595947    788.575134277344
56.485    19.1879825592041    789.714294433594
56.583    15.1513442993164    788.803100585938
56.681    19.3626136779785    790.170166015625
56.779    14.8795852661133    787.929748535156
56.878    19.226734161377    789.752258300781
56.976    14.8020820617676    787.891845703125
57.074    12.5313787460327    790.663452148438
57.173    14.8602094650269    788.119812011719
57.271    12.5701313018799    790.397644042969
57.369    14.2198123931885    788.955200195313
57.468    12.7253866195679    790.587646484375
57.566    14.1810607910156    789.144714355469
57.664    19.1298561096191    789.942260742188
57.763    14.1226844787598    789.296875
57.861    19.4984931945801    789.6005859375
57.959    14.1810607910156    788.803100585938
58.057    19.226734161377    789.866455078125
58.156    15.5199823379517    788.119812011719
58.254    19.2851104736328    789.6005859375
58.352    15.9276208877563    788.15771484375
58.451    12.3567476272583    790.132263183594
58.549    15.5783586502075    787.967651367188
58.647    12.6672582626343    789.828552246094
58.746    14.0064287185669    789.334777832031
58.844    12.5701313018799    789.980163574219
58.942    14.0645570755005    789.106811523438
59.04    18.8968486785889    789.448486328125
59.139    13.7346706390381    789.258972167969
59.237    18.8193454742432    789.942260742188
59.335    14.0645570755005    789.106811523438
59.434    18.7609691619873    789.638488769531
59.532    16.2575073242188    788.46142578125
59.63    18.4894580841064    789.524780273438
59.729    16.0828762054443    788.385620117188
59.827    12.3954992294312    789.6005859375
59.925    16.7620258331299    788.309326171875
60.023    12.4732513427734    789.676391601563
60.121    13.4047832489014    789.6005859375
60.219    12.453875541687    789.448486328125
60.317    13.5600385665894    789.676391601563
60.416    18.1399478912354    789.221069335938
60.514    13.7734222412109    789.524780273438
60.612    18.2176990509033    789.182678222656
60.711    17.6935577392578    788.689392089844
60.809    18.1399478912354    789.258972167969
60.907    16.8979053497314    788.955200195313
61.006    18.0818195343018    789.031005859375
61.104    17.111536026001    788.803100585938
61.202    12.3179960250854    789.106811523438
61.3    17.2277908325195    788.537231445313
61.399    12.3954992294312    789.031005859375
61.497    13.230152130127    790.43603515625
61.595    12.1043643951416    788.993103027344
61.694    13.4241590499878    790.055969238281
61.792    16.6651458740234    789.106811523438
61.89    13.1136484146118    790.245971679688
61.989    16.9756565093994    788.993103027344
62.087    17.7906856536865    789.448486328125
62.185    17.422046661377    788.727294921875
62.284    18.1593227386475    789.296875
62.382    12.6866340637207    788.499328613281
62.48    17.8100605010986    789.182678222656
62.578    12.9002656936646    788.765197753906
62.677    17.6160545349121    789.334777832031
62.775    12.8225135803223    788.537231445313
62.873    13.4241590499878    790.397644042969
62.972    13.074896812439    788.727294921875
63.07    13.0555210113525    790.397644042969
63.168    16.1993789672852    788.689392089844
63.267    13.074896812439    790.397644042969
63.365    15.8694934844971    788.87890625
63.463    18.54758644104    789.676391601563
63.561    16.0635013580322    788.727294921875
63.66    18.7609691619873    789.714294433594
63.758    13.4241590499878    788.233520507813
63.856    18.5669612884521    789.6005859375
63.955    13.2882804870605    788.385620117188
64.053    12.9583930969238    790.587646484375
64.151    13.230152130127    788.233520507813
64.25    12.9583930969238    790.663452148438
64.348    13.3854074478149    788.195617675781
64.446    12.9390172958374    790.511840820313
64.545    15.0932168960571    788.46142578125
64.643    13.0165214538574    790.701354980469
64.741    15.0348405838013    788.689392089844
64.84    18.7999687194824    789.752258300781
64.938    14.976713180542    788.765197753906
65.036    18.7609691619873    790.170166015625
65.134    13.8899259567261    788.15771484375
65.233    18.9356002807617    789.828552246094
65.331    13.9870529174805    788.081848144531
65.429    12.5897550582886    790.549743652344
65.528    13.6765422821045    788.081848144531
65.626    12.8225135803223    790.43603515625
65.724    14.7437057495117    788.613525390625
65.823    12.7837619781494    790.701354980469
65.921    14.5496988296509    788.803100585938
66.019    12.6478824615479    790.549743652344
66.117    14.3750677108765    788.841003417969
66.216    19.0327281951904    789.828552246094
66.314    14.510947227478    788.689392089844
66.412    18.916223526001    789.828552246094
66.511    14.6080751419067    788.0439453125
66.609    18.9745998382568    789.676391601563
66.707    14.2198123931885    788.15771484375
66.806    12.3567476272583    790.473937988281
66.904    14.666202545166    787.929748535156
67.002    12.453875541687    790.473937988281
67.1    13.7152938842773    788.803100585938
67.199    12.4926271438599    790.397644042969
67.297    13.7927980422974    788.917297363281
67.395    19.0133514404297    789.676391601563
67.494    14.1423082351685    788.803100585938
67.592    18.8774719238281    789.714294433594
67.69    13.9674291610718    788.917297363281
67.789    18.9745998382568    789.828552246094
67.887    15.3065996170044    788.271423339844
67.985    19.0714797973633    789.752258300781
68.084    14.8795852661133    788.005554199219
68.182    12.1627407073975    790.170166015625
68.28    14.7049541473389    788.119812011719
68.378    12.2014923095703    790.132263183594
68.477    13.3660316467285    789.221069335938
68.575    12.4344997406006    790.170166015625
68.673    14.0064287185669    789.144714355469
68.772    18.8774719238281    789.6005859375
68.87    13.6569185256958    789.258972167969
68.968    18.3923301696777    789.828552246094
69.067    16.3740119934082    788.005554199219
69.165    19.0521030426025    789.676391601563
69.263    15.8888692855835    788.233520507813
