sec"   "mA"   "mV
0.154    40.4192161560059    787.663940429688
0.252    30.0752334594727    790.132263183594
0.351    42.7092933654785    789.448486328125
0.449    27.3583889007568    790.321838378906
0.547    26.7179908752441    789.068908691406
0.646    23.1274948120117    790.701354980469
0.744    24.1367778778076    788.993103027344
0.842    29.0468215942383    789.752258300781
0.941    23.2052459716797    788.803100585938
1.039    27.7854042053223    789.714294433594
1.137    24.1561546325684    788.309326171875
1.236    27.0866298675537    789.676391601563
1.334    23.2827491760254    788.46142578125
1.432    19.0714797973633    789.6005859375
1.531    22.7782325744629    788.347717285156
1.629    18.5863380432129    789.562683105469
1.727    20.371898651123    789.828552246094
1.826    18.0624446868896    789.258972167969
1.924    19.3432388305664    790.055969238281
2.022    17.6160545349121    789.790161132813
2.12    19.1298561096191    789.904357910156
2.219    23.5545082092285    789.182678222656
2.317    19.1298561096191    790.01806640625
2.415    23.4576301574707    788.87890625
2.514    22.4677219390869    789.372680664063
2.612    23.2439975738525    788.841003417969
2.71    22.6036014556885    788.955200195313
2.809    17.5773029327393    788.46142578125
2.907    21.9050769805908    789.486389160156
3.005    17.2667922973633    788.385620117188
3.104    18.1011962890625    790.625549316406
3.202    16.490514755249    788.727294921875
3.3    17.6935577392578    790.929321289063
3.399    21.1091747283936    788.385620117188
3.497    17.6354293823242    790.73974609375
3.595    20.7986640930176    788.613525390625
3.694    17.422046661377    790.815551757813
3.792    20.1972675323486    788.651489257813
3.89    23.1471195220947    789.714294433594
3.988    20.4687786102295    788.309326171875
4.087    23.0887432098389    789.790161132813
4.185    17.1890392303467    787.853942871094
4.283    22.9141120910645    789.790161132813
4.382    16.9172801971436    788.0439453125
4.48    17.1309127807617    790.701354980469
4.578    17.2277908325195    787.929748535156
4.677    16.801025390625    790.473937988281
4.775    18.9745998382568    788.385620117188
4.873    16.4711380004883    791.119323730469
4.972    18.2176990509033    788.613525390625
5.07    23.360502243042    790.132263183594
5.168    18.605712890625    788.575134277344
5.266    23.418628692627    789.866455078125
5.365    18.4894580841064    788.537231445313
5.463    22.9528636932373    789.866455078125
5.561    18.3923301696777    787.816040039063
5.66    23.2246227264404    789.790161132813
5.758    17.7519340515137    787.778137207031
5.856    15.8501176834106    790.283935546875
5.955    17.9459400177002    787.929748535156
6.053    15.8111171722412    790.587646484375
6.151    17.4414234161377    789.031005859375
6.25    15.5783586502075    790.321838378906
6.348    16.8591537475586    789.182678222656
6.446    22.3124656677246    789.714294433594
6.544    17.1696643829346    789.106811523438
6.643    22.176586151123    789.828552246094
6.741    16.9172801971436    789.221069335938
6.839    22.3902187347412    789.752258300781
6.938    18.9939765930176    788.309326171875
7.036    22.0019550323486    789.828552246094
7.134    19.3819904327393    788.309326171875
7.233    14.8602094650269    789.524780273438
7.331    18.7999687194824    788.499328613281
7.429    14.8795852661133    789.6005859375
7.528    16.5680179595947    789.904357910156
7.626    14.8602094650269    789.524780273438
7.724    16.7426490783691    789.866455078125
7.823    20.682409286499    789.182678222656
7.921    16.0441246032715    790.055969238281
8.019    21.0122947692871    789.182678222656
8.117    20.7211608886719    789.221069335938
8.216    20.7405376434326    789.031005859375
8.314    20.2941474914551    789.221069335938
8.412    20.915168762207    788.727294921875
8.511    20.5077781677246    789.068908691406
8.609    14.976713180542    788.689392089844
8.707    20.4687786102295    789.182678222656
8.806    15.2484722137451    788.765197753906
8.904    16.3933868408203    790.853515625
9.002    14.9185857772827    788.46142578125
9.101    15.9276208877563    790.473937988281
9.199    18.605712890625    788.575134277344
9.297    15.8111171722412    790.587646484375
9.395    18.9552249908447    788.651489257813
9.494    21.5749416351318    789.752258300781
9.592    18.7609691619873    788.689392089844
9.69    21.1287994384766    789.790161132813
9.789    15.8304929733276    788.0439453125
9.887    21.6526927947998    789.714294433594
9.985    15.9857482910156    788.195617675781
10.084    21.7108211517334    789.904357910156
10.182    16.0828762054443    788.005554199219
10.28    15.442479133606    790.587646484375
10.379    16.1993789672852    787.891845703125
10.477    15.4231033325195    790.73974609375
10.575    17.0921611785889    788.689392089844
10.673    15.2678480148315    790.967224121094
10.772    17.1890392303467    788.575134277344
10.87    21.8273239135742    789.866455078125
10.968    16.8591537475586    788.727294921875
11.067    21.9244518280029    790.01806640625
11.165    16.8397769927979    787.967651367188
11.263    21.7498207092285    789.752258300781
11.362    16.9756565093994    787.929748535156
11.46    14.821457862854    790.359741210938
11.558    16.490514755249    788.119812011719
11.657    14.7049541473389    790.473937988281
11.755    17.0144081115723    788.15771484375
11.853    14.5884504318237    790.473937988281
11.951    15.9663724899292    789.031005859375
12.05    14.7243299484253    790.321838378906
12.148    16.180004119873    788.87890625
12.246    21.5168132781982    789.6005859375
12.345    16.1216278076172    788.87890625
12.443    21.5555648803711    789.486389160156
12.541    18.5863380432129    788.233520507813
12.64    21.0704231262207    789.676391601563
12.738    18.295202255249    788.46142578125
12.836    14.3750677108765    789.676391601563
12.935    17.8100605010986    788.46142578125
13.033    14.0645570755005    789.752258300781
13.131    18.0236930847168    788.271423339844
13.229    14.3750677108765    789.372680664063
13.328    15.9469966888428    789.904357910156
13.426    14.1226844787598    789.752258300781
13.524    15.4231033325195    789.828552246094
13.623    20.5465297698975    789.144714355469
13.721    15.287223815918    789.828552246094
13.819    20.3912734985352    789.144714355469
13.918    19.0714797973633    788.841003417969
14.016    20.1001396179199    789.144714355469
14.114    19.6149978637695    788.803100585938
14.213    13.9480533599854    788.955200195313
14.311    19.9448833465576    788.955200195313
14.409    14.2779397964478    788.803100585938
14.508    15.0932168960571    790.701354980469
14.606    14.3169403076172    788.803100585938
14.704    14.8989610671997    790.473937988281
14.802    13.9286775588989    788.917297363281
14.901    15.5783586502075    790.283935546875
14.999    18.9552249908447    788.87890625
15.097    15.0348405838013    790.777648925781
15.196    18.8774719238281    788.803100585938
15.294    20.4494018554688    789.828552246094
15.392    18.5669612884521    789.068908691406
15.491    20.6434097290039    789.676391601563
15.589    15.0542163848877    788.195617675781
15.687    20.5271530151367    789.372680664063
15.785    14.8795852661133    788.005554199219
15.884    14.9379615783691    790.359741210938
15.982    15.2290964126587    788.0439453125
16.08    14.9185857772827    790.891418457031
16.179    17.4026718139648    788.46142578125
16.277    14.9185857772827    790.511840820313
16.375    17.0531597137451    788.499328613281
16.474    15.0154647827148    790.587646484375
16.572    17.654806137085    788.537231445313
16.67    20.9735431671143    790.01806640625
16.769    17.6935577392578    788.613525390625
16.867    20.992919921875    789.904357910156
16.965    15.7917413711548    787.663940429688
17.064    21.3615589141846    789.828552246094
17.162    15.5783586502075    787.778137207031
17.26    14.510947227478    790.663452148438
17.358    15.6752376556396    788.15771484375
17.457    14.3169403076172    790.663452148438
17.555    16.5486431121826    788.537231445313
17.653    14.510947227478    790.663452148438
17.752    15.9857482910156    788.613525390625
17.85    21.1675510406494    789.790161132813
17.948    15.9276208877563    788.651489257813
18.047    21.1869277954102    789.752258300781
18.145    16.0053730010986    788.651489257813
18.243    21.1091747283936    789.790161132813
18.342    16.6457691192627    787.929748535156
18.44    21.0510482788086    789.904357910156
18.538    16.5873947143555    787.891845703125
18.636    14.2779397964478    790.01806640625
18.735    16.5486431121826    787.967651367188
18.833    14.0258054733276    790.245971679688
18.931    15.7723655700684    789.068908691406
19.03    13.9674291610718    790.170166015625
19.128    15.9276208877563    789.182678222656
19.226    21.0122947692871    789.714294433594
19.325    15.442479133606    789.106811523438
19.423    20.8764152526855    789.524780273438
19.521    17.6935577392578    788.119812011719
19.619    20.4106502532959    789.676391601563
19.718    17.6160545349121    788.271423339844
19.816    20.7211608886719    789.562683105469
19.914    17.8488121032715    788.119812011719
20.013    13.6569185256958    789.714294433594
20.111    17.8488121032715    788.081848144531
20.209    13.9480533599854    789.676391601563
20.308    15.1513442993164    789.524780273438
20.406    13.5406627655029    789.828552246094
20.504    14.8602094650269    789.676391601563
20.603    19.5762462615967    789.258972167969
20.701    15.0738410949707    789.6005859375
20.799    19.8671321868896    789.334777832031
20.897    18.6447143554688    788.689392089844
20.996    20.2360191345215    789.258972167969
21.094    19.0327281951904    788.689392089844
21.192    20.0030117034912    789.410583496094
21.291    18.4894580841064    788.613525390625
21.389    13.8121738433838    788.917297363281
21.487    19.0908546447754    788.537231445313
21.586    13.5987911224365    789.334777832031
21.684    15.0932168960571    789.980163574219
21.782    13.8705492019653    789.372680664063
21.881    14.9960889816284    790.055969238281
21.979    19.2461109161377    788.917297363281
22.077    14.8020820617676    790.321838378906
22.176    19.2073593139648    788.689392089844
22.274    19.8671321868896    789.182678222656
22.372    19.4984931945801    788.537231445313
22.47    19.9448833465576    789.182678222656
22.569    14.2975635528564    788.385620117188
22.667    19.9642601013184    789.221069335938
22.765    14.2391881942749    788.385620117188
