sec"   "mA"   "mV
0.154    11.4203033447266    789.208251953125
0.252    10.2676553726196    789.701904296875
0.351    9.33644199371338    789.018798828125
0.449    8.89754676818848    789.474060058594
0.548    8.52584075927734    789.132507324219
0.646    8.04541683197021    789.3603515625
0.744    7.7765326499939    788.980895996094
0.843    7.39890480041504    789.284545898438
0.941    7.24271154403687    789.132507324219
1.039    6.91450786590576    789.474060058594
1.138    6.79984283447266    789.056701660156
1.236    6.51711511611938    789.512451171875
1.334    6.2759165763855    789.056701660156
1.433    6.21659708023071    789.398254394531
1.531    6.00108480453491    789.132507324219
1.629    5.98526811599731    789.474060058594
1.728    5.7539644241333    789.132507324219
1.826    5.73022651672363    789.474060058594
1.924    5.75001621246338    789.018798828125
2.023    5.56021547317505    789.3603515625
2.121    5.57403326034546    789.094604492188
2.219    5.40402221679688    789.512451171875
2.318    5.41983890533447    789.132507324219
2.416    5.25769853591919    789.588195800781
2.514    5.25572443008423    789.208251953125
2.613    5.1193208694458    789.512451171875
2.711    4.97697019577026    789.284545898438
2.809    5.04023742675781    789.246643066406
2.908    4.88207006454468    789.284545898438
3.006    4.92357301712036    789.664001464844
3.104    4.78319644927979    788.942993164063
3.203    4.85043668746948    789.3603515625
3.301    4.90183448791504    789.208251953125
3.399    4.75156307220459    789.436157226563
3.498    4.83659362792969    789.056701660156
3.596    4.69621706008911    789.474060058594
3.694    4.7753005027771    789.018798828125
3.793    4.68040037155151    789.512451171875
3.891    4.73377227783203    789.208251953125
3.99    4.63492393493652    789.474060058594
4.088    4.48467779159546    789.094604492188
4.186    4.57957792282104    789.3603515625
4.285    4.42338466644287    788.942993164063
4.383    4.49652147293091    789.512451171875
4.481    4.36998748779297    789.132507324219
4.58    4.4154634475708    789.588195800781
4.678    4.53410196304321    789.284545898438
4.776    4.39175128936768    789.436157226563
4.875    4.50838994979858    789.094604492188
4.973    4.35417079925537    789.55029296875
5.071    4.46291399002075    789.132507324219
5.17    4.38777828216553    789.208251953125
5.268    4.43920135498047    789.056701660156
5.366    4.36011791229248    789.55029296875
5.465    4.21776723861694    789.132507324219
5.563    4.31464147567749    789.208251953125
5.661    4.16239595413208    789.322448730469
5.76    4.2513747215271    789.55029296875
5.858    4.16239595413208    789.284545898438
5.956    4.22566270828247    789.701904296875
6.055    4.31661558151245    789.322448730469
6.153    4.16437005996704    789.512451171875
6.251    4.31069374084473    789.018798828125
6.35    4.15450000762939    789.512451171875
6.448    4.30277252197266    789.284545898438
6.546    4.21974086761475    789.3603515625
6.645    4.25729656219482    789.094604492188
6.743    4.20392417907715    789.3603515625
6.841    4.04180908203125    789.018798828125
6.94    4.16634368896484    789.398254394531
7.038    4.01412343978882    788.790954589844
7.136    4.08133840560913    789.474060058594
7.235    3.99633288383484    789.132507324219
7.333    4.05562686920166    789.626098632813
7.431    4.19797706604004    789.208251953125
7.53    4.05167865753174    789.436157226563
7.628    4.17229080200195    789.208251953125
7.726    4.0220193862915    789.626098632813
7.825    4.15252637863159    789.398254394531
7.923    4.11494588851929    789.322448730469
8.021    4.12878847122192    789.018798828125
8.12    4.03191423416138    789.512451171875
8.218    3.92711877822876    789.284545898438
8.316    4.05562686920166    789.284545898438
8.415    3.89153742790222    789.284545898438
8.513    3.91130208969116    789.284545898438
8.611    3.85990405082703    789.17041015625
8.71    3.9073543548584    789.3603515625
8.808    4.0378360748291    789.3603515625
8.906    3.91327595710754    789.284545898438
9.005    4.05167865753174    789.094604492188
9.103    4.00817632675171    789.322448730469
9.201    4.0220193862915    789.018798828125
9.3    4.00225448608398    789.512451171875
9.398    4.02599239349365    789.208251953125
9.496    3.94490957260132    789.474060058594
9.595    3.80455827713013    789.132507324219
9.693    3.95677828788757    789.246643066406
9.791    3.81047987937927    789.132507324219
9.89    3.83619165420532    789.436157226563
9.988    3.82234883308411    789.3603515625
10.086    3.82037496566772    789.436157226563
10.185    3.96272540092468    789.17041015625
10.283    3.80455827713013    789.3603515625
10.381    3.96272540092468    789.208251953125
10.48    3.89745926856995    789.588195800781
10.578    3.93306589126587    789.512451171875
10.676    3.91922307014465    789.474060058594
10.775    3.923171043396    789.132507324219
10.873    3.88164258003235    789.512451171875
10.971    3.76105570793152    789.132507324219
11.07    3.87966871261597    789.3603515625
11.168    3.73929190635681    789.094604492188
11.266    3.73534417152405    789.588195800781
11.365    3.72547459602356    789.284545898438
11.463    3.72744846343994    789.284545898438
11.561    3.90538024902344    789.474060058594
11.66    3.74129128456116    789.664001464844
11.758    3.86782503128052    789.512451171875
11.856    3.70173668861389    789.284545898438
11.955    3.85793018341064    789.322448730469
12.053    3.85793018341064    789.284545898438
12.151    3.86582589149475    789.056701660156
12.25    3.82629656791687    789.322448730469
12.348    3.64639091491699    789.322448730469
12.446    3.82037496566772    789.3603515625
12.545    3.6542866230011    789.3603515625
12.643    3.6701033115387    789.132507324219
12.742    3.67602515220642    789.55029296875
12.84    3.68394613265991    789.55029296875
12.938    3.82234883308411    789.17041015625
13.037    3.68789386749268    789.208251953125
13.135    3.83024454116821    789.056701660156
13.233    3.68789386749268    789.436157226563
13.332    3.80653214454651    789.018798828125
13.43    3.78874135017395    789.322448730469
13.528    3.81047987937927    789.208251953125
13.627    3.78279423713684    789.588195800781
13.725    3.64639091491699    789.512451171875
13.823    3.7847683429718    789.208251953125
13.922    3.64044380187988    789.132507324219
14.02    3.61275815963745    789.208251953125
14.118    3.61275815963745    789.132507324219
14.217    3.61870527267456    789.626098632813
14.315    3.7768726348877    789.398254394531
14.413    3.65231251716614    789.284545898438
14.512    3.80455827713013    789.3603515625
14.61    3.64836478233337    789.436157226563
14.708    3.79268932342529    789.246643066406
14.807    3.80653214454651    789.398254394531
14.905    3.79663705825806    789.056701660156
15.003    3.79466319084167    789.588195800781
15.102    3.6542866230011    789.3603515625
15.2    3.81047987937927    789.246643066406
15.298    3.66220760345459    789.626098632813
15.397    3.65823435783386    789.55029296875
15.495    3.67405104637146    789.436157226563
15.593    3.68592000007629    789.284545898438
15.692    3.81047987937927    789.284545898438
15.79    3.64639091491699    789.132507324219
15.888    3.76697754859924    789.284545898438
15.987    3.63846969604492    789.284545898438
16.085    3.8005850315094    789.208251953125
16.184    3.79268932342529    789.132507324219
16.282    3.76302981376648    789.208251953125
16.38    3.80653214454651    789.436157226563
16.479    3.64241766929626    789.3603515625
16.577    3.79268932342529    789.208251953125
16.675    3.65823435783386    789.436157226563
16.774    3.60288858413696    789.284545898438
16.872    3.65231251716614    789.3603515625
16.97    3.61673140525818    789.322448730469
17.069    3.74129128456116    789.322448730469
17.167    3.600914478302    789.474060058594
17.265    3.75510883331299    789.436157226563
17.364    3.64044380187988    789.436157226563
17.462    3.74129128456116    789.398254394531
17.56    3.7689516544342    789.398254394531
17.659    3.75710797309875    789.512451171875
17.757    3.7768726348877    789.284545898438
17.855    3.64639091491699    789.284545898438
17.954    3.77292466163635    789.246643066406
18.052    3.63649582862854    789.284545898438
18.15    3.61078429222107    789.056701660156
18.249    3.63649582862854    789.436157226563
18.347    3.58707165718079    789.018798828125
18.445    3.69778895378113    789.322448730469
18.544    3.58707165718079    789.246643066406
18.642    3.72547459602356    789.398254394531
18.74    3.56730723381042    789.132507324219
18.839    3.71163177490234    789.436157226563
18.937    3.75908184051514    789.436157226563
19.035    3.68394613265991    789.3603515625
19.134    3.74523901939392    789.398254394531
19.232    3.60683631896973    789.246643066406
19.33    3.73534417152405    789.208251953125
19.429    3.60881018638611    789.208251953125
19.527    3.57125496864319    789.284545898438
19.625    3.60683631896973    789.17041015625
19.724    3.57125496864319    789.436157226563
19.822    3.68986797332764    789.436157226563
19.92    3.56730723381042    789.246643066406
20.019    3.71163177490234    789.208251953125
20.117    3.54949116706848    789.322448730469
20.215    3.69184184074402    789.284545898438
20.314    3.74129128456116    789.208251953125
20.412    3.70173668861389    789.436157226563
20.511    3.74523901939392    789.284545898438
20.609    3.60486245155334    789.436157226563
20.707    3.71952748298645    789.284545898438
20.806    3.60486245155334    789.3603515625
20.904    3.54554343223572    789.284545898438
21.002    3.60486245155334    789.3603515625
