sec"   "mA"   "mV
0.193    7.00743436813354    789.588195800781
0.331    6.20670223236084    789.626098632813
0.468    5.61556148529053    789.512451171875
0.606    5.18456172943115    789.701904296875
0.744    4.93346786499023    789.701904296875
0.881    4.68632221221924    789.512451171875
1.019    4.5756049156189    789.55029296875
1.156    4.54794454574585    789.626098632813
1.294    4.53607559204102    789.512451171875
1.431    4.47873067855835    789.436157226563
1.569    4.3818564414978    789.626098632813
1.706    4.39175128936768    789.701904296875
1.844    4.28300809860229    789.398254394531
1.981    4.2849817276001    789.512451171875
2.119    4.27113914489746    789.739807128906
2.256    4.22566270828247    789.588195800781
2.394    4.28300809860229    789.664001464844
2.531    4.21182012557983    789.85400390625
2.669    4.24742650985718    789.398254394531
2.806    4.23950576782227    789.512451171875
2.944    4.20787239074707    789.701904296875
3.082    4.19600343704224    789.588195800781
3.219    4.11494588851929    789.588195800781
3.357    4.14065742492676    789.701904296875
3.494    4.11099767684937    789.436157226563
3.632    4.08331203460693    789.474060058594
3.769    4.14855289459229    789.588195800781
3.907    4.12681484222412    789.701904296875
4.044    4.15252637863159    789.626098632813
4.182    4.13670969009399    789.398254394531
4.319    4.09715509414673    789.701904296875
4.457    4.13670969009399    789.777709960938
4.594    4.05562686920166    789.739807128906
4.732    4.05959987640381    789.777709960938
4.869    4.03388833999634    789.3603515625
5.007    4.01807117462158    789.512451171875
5.144    4.08133840560913    789.85400390625
5.282    4.03586196899414    789.588195800781
5.419    4.10902404785156    789.512451171875
5.557    4.0220193862915    789.664001464844
5.694    4.05562686920166    789.512451171875
5.832    3.96272540092468    789.474060058594
5.97    3.98446393013    789.474060058594
6.107    4.01017570495605    789.626098632813
6.245    3.96272540092468    789.664001464844
6.382    4.06552171707153    789.588195800781
6.52    4.01807117462158    789.777709960938
6.657    4.05959987640381    789.664001464844
6.795    4.05167865753174    789.322448730469
6.932    4.01017570495605    789.626098632813
7.07    4.06552171707153    789.436157226563
7.207    3.97259521484375    789.55029296875
7.345    3.99435901641846    789.626098632813
7.482    3.97854232788086    789.891906738281
7.62    3.98249006271362    789.55029296875
7.757    4.05562686920166    789.701904296875
7.895    4.02796649932861    789.626098632813
8.032    4.05562686920166    789.398254394531
8.17    4.04378318786621    789.664001464844
8.307    3.98051619529724    789.85400390625
8.445    4.04575681686401    789.512451171875
8.583    3.96469950675964    789.398254394531
8.72    3.99435901641846    789.512451171875
8.858    3.99235963821411    789.626098632813
8.995    3.95085668563843    789.436157226563
9.133    4.0536527633667    789.626098632813
9.27    3.98841190338135    789.588195800781
9.408    4.02796649932861    789.512451171875
9.545    4.04180908203125    789.588195800781
9.683    3.99633288383484    789.701904296875
9.82    4.03388833999634    789.512451171875
9.958    3.94096159934998    789.512451171875
10.095    4.02399301528931    789.777709960938
10.233    3.95480442047119    789.664001464844
10.37    4.04773092269897    789.474060058594
10.508    4.04180908203125    789.512451171875
10.645    4.0220193862915    789.626098632813
10.783    4.0536527633667    789.512451171875
10.921    3.95480442047119    789.436157226563
11.058    3.98249006271362    789.739807128906
11.196    3.97854232788086    789.512451171875
11.333    3.95283055305481    789.777709960938
11.471    4.04773092269897    789.777709960938
11.608    3.97259521484375    789.701904296875
11.746    4.05959987640381    789.436157226563
11.883    4.0378360748291    789.701904296875
12.021    4.02796649932861    789.777709960938
12.158    4.01609754562378    789.55029296875
12.296    3.95875239372253    789.664001464844
12.433    3.99435901641846    789.664001464844
12.571    3.95677828788757    789.701904296875
12.708    3.95085668563843    789.626098632813
12.846    4.00028085708618    789.701904296875
12.983    3.96272540092468    789.777709960938
13.121    4.03191423416138    789.3603515625
13.258    4.01609754562378    789.664001464844
13.396    4.01609754562378    789.626098632813
13.534    4.01412343978882    789.132507324219
13.671    3.95085668563843    789.512451171875
13.809    3.95677828788757    789.929748535156
13.946    3.90340638160706    789.512451171875
14.084    3.90340638160706    789.701904296875
14.221    3.95085668563843    789.85400390625
14.359    3.99038577079773    789.891906738281
14.496    3.99633288383484    789.512451171875
14.634    3.94096159934998    789.816101074219
14.771    4.00620269775391    789.55029296875
14.909    3.90932822227478    789.436157226563
15.046    3.9073543548584    789.701904296875
15.184    3.93306589126587    789.816101074219
15.321    3.90932822227478    789.626098632813
15.459    4.01017570495605    789.664001464844
15.597    3.94490957260132    789.739807128906
15.734    3.98446393013    789.588195800781
15.872    3.98446393013    789.436157226563
16.009    3.94490957260132    789.85400390625
16.147    3.98841190338135    789.777709960938
16.284    3.91327595710754    789.512451171875
16.422    3.93109202384949    789.55029296875
16.559    3.92514491081238    789.626098632813
16.697    3.91724920272827    789.664001464844
16.834    4.00028085708618    789.588195800781
16.972    3.94490957260132    789.967651367188
17.109    3.99633288383484    789.55029296875
17.247    4.00225448608398    789.626098632813
17.384    3.98249006271362    789.929748535156
17.522    3.99038577079773    789.55029296875
17.659    3.91130208969116    789.626098632813
17.797    3.93701386451721    789.777709960938
17.934    3.923171043396    789.512451171875
18.072    3.85990405082703    789.512451171875
18.209    3.94490957260132    789.777709960938
18.347    3.87966871261597    789.626098632813
18.485    3.94293570518494    789.284545898438
18.622    3.95875239372253    789.588195800781
18.76    3.93701386451721    789.701904296875
18.897    3.85990405082703    789.626098632813
19.035    3.84211349487305    789.588195800781
19.172    3.9073543548584    789.816101074219
19.31    3.85990405082703    789.512451171875
19.447    3.92909288406372    789.512451171875
19.585    3.93306589126587    789.701904296875
19.722    3.93503999710083    789.588195800781
19.86    3.94096159934998    789.3603515625
19.997    3.89153742790222    789.588195800781
20.135    3.90143251419067    789.929748535156
20.272    3.85595631599426    789.3603515625
20.41    3.8539822101593    789.626098632813
20.547    3.90932822227478    789.626098632813
20.685    3.84803509712219    789.739807128906
20.823    3.92711877822876    789.436157226563
20.96    3.92514491081238    789.739807128906
21.098    3.91527533531189    789.588195800781
21.235    3.95085668563843    789.512451171875
21.373    3.85200834274292    789.816101074219
21.51    3.90143251419067    789.85400390625
21.648    3.85990405082703    789.284545898438
21.785    3.8539822101593    789.436157226563
21.923    3.88758969306946    789.739807128906
22.06    3.85200834274292    789.701904296875
22.198    3.96469950675964    789.436157226563
22.335    3.923171043396    789.701904296875
22.473    3.90340638160706    789.739807128906
22.611    3.96667337417603    789.701904296875
22.748    3.87177300453186    789.626098632813
22.886    3.90538024902344    789.626098632813
23.023    3.85793018341064    789.816101074219
23.161    3.86187791824341    789.284545898438
23.298    3.89351153373718    789.777709960938
23.436    3.93109202384949    789.3603515625
23.573    3.92909288406372    789.626098632813
23.711    3.89945864677429    789.777709960938
23.848    3.92711877822876    789.701904296875
23.986    3.86385202407837    789.816101074219
24.123    3.87177300453186    789.588195800781
24.261    3.85000920295715    789.739807128906
24.398    3.83419251441956    789.284545898438
24.536    3.923171043396    789.512451171875
24.673    3.87572073936462    789.777709960938
24.811    3.89548540115356    789.436157226563
24.949    3.90932822227478    789.512451171875
25.086    3.85595631599426    789.777709960938
25.224    3.9073543548584    789.3603515625
25.361    3.81047987937927    789.512451171875
25.499    3.82234883308411    789.664001464844
25.636    3.83419251441956    789.664001464844
25.774    3.80653214454651    789.739807128906
25.911    3.88164258003235    789.436157226563
26.049    3.85595631599426    789.85400390625
26.186    3.87177300453186    789.474060058594
26.324    3.88164258003235    789.436157226563
26.461    3.84803509712219    789.816101074219
26.599    3.87374687194824    789.55029296875
26.736    3.77884650230408    789.474060058594
26.874    3.80455827713013    789.701904296875
27.012    3.83419251441956    789.701904296875
27.149    3.7689516544342    789.3603515625
27.287    3.84606122970581    789.626098632813
27.424    3.79466319084167    789.626098632813
27.562    3.84211349487305    789.664001464844
27.699    3.8539822101593    789.701904296875
27.837    3.8381655216217    789.739807128906
27.974    3.79071545600891    789.436157226563
28.112    3.79861116409302    789.626098632813
28.249    3.85000920295715    789.739807128906
28.387    3.82432270050049    789.436157226563
28.524    3.86385202407837    789.3603515625
28.662    3.84408736228943    789.588195800781
28.799    3.83221840858459    789.85400390625
28.937    3.85793018341064    789.512451171875
29.075    3.78874135017395    789.588195800781
29.212    3.82037496566772    789.816101074219
29.35    3.7847683429718    789.701904296875
29.487    3.78082036972046    789.436157226563
29.625    3.83221840858459    789.739807128906
29.762    3.79466319084167    789.816101074219
29.9    3.85990405082703    789.512451171875
30.037    3.83024454116821    789.777709960938
30.175    3.83024454116821    789.626098632813
30.312    3.85793018341064    789.512451171875
30.45    3.7768726348877    789.588195800781
30.587    3.81442785263062    789.701904296875
