sec"   "mA"   "mV
0.154    51.561222076416    789.018798828125
0.253    47.9332695007324    789.436157226563
0.351    47.3164138793945    789.474060058594
0.449    45.246395111084    789.55029296875
0.548    44.9142456054688    789.284545898438
0.646    44.1490936279297    789.626098632813
0.744    43.8387069702148    789.512451171875
0.843    43.3740768432617    789.398254394531
0.941    43.0142631530762    789.208251953125
1.039    42.5061302185059    789.626098632813
1.138    41.6559982299805    789.208251953125
1.236    41.4464073181152    789.436157226563
1.334    40.6733856201172    789.284545898438
1.433    40.2917861938477    789.3603515625
1.531    39.4871063232422    789.398254394531
1.629    39.0738983154297    789.3603515625
1.728    38.8406181335449    789.3603515625
1.826    37.8876419067383    789.3603515625
1.924    37.6286544799805    789.436157226563
2.023    36.5808029174805    789.588195800781
2.121    36.3297080993652    789.3603515625
2.219    35.687141418457    789.891906738281
2.318    35.1019248962402    789.17041015625
2.416    34.4672813415527    789.132507324219
2.514    33.6586532592773    789.436157226563
2.613    33.5558319091797    789.322448730469
2.711    32.7373352050781    789.208251953125
2.809    32.4031829833984    789.094604492188
2.908    31.9603157043457    789.284545898438
3.006    31.6439819335938    789.55029296875
3.104    31.673641204834    789.55029296875
3.203    31.0488929748535    789.512451171875
3.301    31.1576347351074    789.512451171875
3.399    30.6238136291504    789.132507324219
3.498    30.7345314025879    789.208251953125
3.596    30.562520980835    789.626098632813
3.694    30.3529567718506    789.512451171875
3.793    30.2382659912109    789.701904296875
3.891    29.7281818389893    789.588195800781
3.989    29.9812507629395    789.322448730469
4.088    29.4078998565674    789.398254394531
4.186    29.2378635406494    789.398254394531
4.284    29.0460891723633    789.474060058594
4.383    28.9729270935059    789.284545898438
4.481    29.1607532501221    789.626098632813
4.579    28.76930809021    789.3603515625
4.678    28.9927177429199    789.398254394531
4.776    28.4667911529541    789.398254394531
4.874    28.7218589782715    789.322448730469
4.973    28.6744079589844    789.246643066406
5.071    28.4509754180908    789.55029296875
5.169    28.4193420410156    789.132507324219
5.268    28.0180015563965    789.588195800781
5.366    28.1069793701172    789.398254394531
5.464    27.6957454681396    789.322448730469
5.563    27.5059432983398    789.398254394531
5.661    27.5059432983398    789.626098632813
5.759    27.2449550628662    789.436157226563
5.858    27.4031219482422    789.512451171875
5.956    27.0096778869629    789.284545898438
6.054    27.1560020446777    789.626098632813
6.153    26.7941913604736    789.436157226563
6.251    26.9721221923828    789.512451171875
6.349    26.9978351593018    789.284545898438
6.448    26.7230033874512    789.3603515625
6.546    26.7348728179932    789.512451171875
6.644    26.2702674865723    789.588195800781
6.743    26.4995975494385    789.322448730469
6.841    26.0389366149902    789.284545898438
6.939    25.8056335449219    789.246643066406
7.038    25.853084564209    789.246643066406
7.136    25.6909694671631    789.208251953125
7.234    25.8155288696289    789.929748535156
7.333    25.4517440795898    789.588195800781
7.431    25.7482891082764    789.777709960938
7.53    25.4240589141846    789.55029296875
7.628    25.692943572998    789.588195800781
7.726    25.851110458374    789.3603515625
7.825    25.5604877471924    789.588195800781
7.923    25.8095817565918    789.094604492188
8.021    25.5169849395752    789.3603515625
