sec"    "mA"    "mV
0.154    10.8252143859863    765.940795898438
0.253    10.2182312011719    765.940795898438
0.351    9.82478713989258    766.054443359375
0.449    9.57964038848877    765.978698730469
0.548    9.41157817840576    766.054443359375
0.646    9.2791223526001    766.092346191406
0.744    9.18027400970459    766.130249023438
0.843    9.085373878479    766.20654296875
0.941    9.02010726928711    766.20654296875
1.039    8.9746561050415    766.054443359375
1.138    8.91138935089111    765.978698730469
1.236    8.86788749694824    766.092346191406
1.334    8.84020137786865    766.016540527344
1.433    8.79275131225586    766.130249023438
1.531    8.76111793518066    766.358093261719
1.629    8.74332714080811    766.092346191406
1.728    8.69390296936035    766.130249023438
1.826    8.66424369812012    765.788696289063
1.924    8.63655757904053    766.20654296875
2.023    8.60689830780029    766.016540527344
2.121    8.56342124938965    766.092346191406
2.219    8.52189254760742    765.902893066406
2.318    8.50410175323486    766.130249023438
2.416    8.48433780670166    765.978698730469
2.514    8.44478321075439    766.244445800781
2.613    8.4131498336792    765.978698730469
2.711    8.39535903930664    766.130249023438
2.809    8.36372566223145    766.130249023438
2.908    8.33406639099121    766.244445800781
3.006    8.29453659057617    765.712890625
3.105    8.27474689483643    766.130249023438
3.203    8.24508762359619    765.902893066406
3.301    8.20358467102051    766.130249023438
3.4    8.17984676361084    765.940795898438
3.498    8.15218639373779    766.054443359375
3.596    8.09286689758301    765.940795898438
3.695    8.08297252655029    766.320251464844
3.793    8.0513391494751    766.016540527344
3.891    8.00783634185791    765.978698730469
3.99    7.97820234298706    765.864990234375
4.088    7.95446443557739    766.244445800781
4.186    7.9248046875    765.978698730469
4.285    7.88922357559204    766.168640136719
4.383    7.86945915222168    766.054443359375
4.481    7.82595682144165    766.130249023438
4.58    7.80421829223633    766.054443359375
4.678    7.7607159614563    766.016540527344
4.776    7.74292516708374    766.054443359375
4.875    7.69150161743164    766.20654296875
4.973    7.65986824035645    766.168640136719
5.071    7.63812971115112    766.282348632813
5.17    7.57683658599854    765.902893066406
5.268    7.57683658599854    766.054443359375
5.366    7.53533363342285    765.864990234375
5.465    7.51159572601318    766.244445800781
5.563    7.47404050827026    765.978698730469
5.662    7.45227670669556    766.20654296875
5.76    7.42659044265747    765.940795898438
5.858    7.39495706558228    766.320251464844
5.957    7.37121915817261    765.864990234375
6.055    7.34750699996948    765.902893066406
6.153    7.29808282852173    765.978698730469
6.252    7.29808282852173    766.092346191406
6.35    7.25852823257446    766.016540527344
6.448    7.23678970336914    766.092346191406
6.547    7.21107816696167    765.902893066406
6.645    7.18933963775635    766.168640136719
6.743    7.16362762451172    766.054443359375
6.842    7.13199424743652    766.130249023438
6.94    7.10825634002686    765.826599121094
7.038    7.10036087036133    765.978698730469
7.137    7.08849191665649    766.130249023438
7.235    7.05883264541626    765.864990234375
7.333    7.03512001037598    766.092346191406
7.432    7.03906774520874    766.130249023438
7.53    6.99953842163086    766.130249023438
7.629    6.99161767959595    766.168640136719
7.727    6.96393203735352    765.978698730469
7.825    6.96790504455566    765.978698730469
7.924    6.92440271377563    765.978698730469
8.022    6.92045497894287    766.130249023438
8.12    6.89079523086548    766.168640136719
8.219    6.88682222366333    765.902893066406
8.317    6.87300491333008    766.20654296875
8.415    6.86903142929077    766.20654296875
8.514    6.84926700592041    766.130249023438
8.612    6.82555437088013    766.20654296875
8.71    6.82158136367798    766.130249023438
8.809    6.80181694030762    765.788696289063
8.907    6.79786920547485    766.092346191406
9.005    6.78007841110229    765.978698730469
9.104    6.77413129806519    766.20654296875
9.202    6.75634050369263    766.130249023438
9.3    6.7346019744873    766.016540527344
9.399    6.7346019744873    765.902893066406
9.497    6.71483755111694    765.902893066406
9.596    6.70691633224487    765.978698730469
9.694    6.70494270324707    766.20654296875
9.792    6.68517780303955    766.054443359375
9.891    6.68320417404175    766.168640136719
9.989    6.65946626663208    766.016540527344
10.087    6.66341400146484    766.168640136719
10.186    6.66144037246704    765.978698730469
10.284    6.64562320709229    766.20654296875
10.382    6.62980651855469    765.826599121094
10.481    6.62388467788696    766.358093261719
10.579    6.61004161834717    765.978698730469
10.677    6.61004161834717    766.244445800781
10.776    6.61398935317993    765.978698730469
10.874    6.58235597610474    765.940795898438
10.972    6.58038234710693    766.016540527344
11.071    6.5704870223999    766.20654296875
