sec"    "mA"    "mV
0.154    11.1000204086304    766.130249023438
0.253    10.3665285110474    766.130249023438
0.351    9.96121597290039    765.902893066406
0.449    9.72593879699707    765.712890625
0.548    9.51042652130127    766.130249023438
0.646    9.39773464202881    766.244445800781
0.744    9.27714824676514    765.902893066406
0.843    9.20793437957764    765.826599121094
0.941    9.11303424835205    766.054443359375
1.039    9.05966186523438    765.978698730469
1.138    9.00429058074951    766.130249023438
1.236    8.9528923034668    766.016540527344
1.334    8.91336345672607    766.130249023438
1.433    8.86591339111328    765.788696289063
1.531    8.84812259674072    766.092346191406
1.629    8.7907772064209    766.092346191406
1.728    8.7591438293457    766.130249023438
1.826    8.73740577697754    766.092346191406
1.924    8.69982433319092    766.016540527344
2.023    8.67808628082275    766.168640136719
2.121    8.628662109375    766.054443359375
2.219    8.60887241363525    766.320251464844
2.318    8.57723903656006    766.130249023438
2.416    8.53178787231445    765.788696289063
2.514    8.49420738220215    766.130249023438
2.613    8.47641658782959    766.054443359375
2.711    8.43488788604736    766.130249023438
2.81    8.3973331451416    765.978698730469
2.908    8.38743782043457    766.320251464844
3.006    8.32417106628418    765.940795898438
3.105    8.29848480224609    766.244445800781
3.203    8.27277278900146    766.054443359375
3.301    8.22729682922363    765.902893066406
3.4    8.19171524047852    765.788696289063
3.498    8.16403007507324    766.282348632813
3.596    8.12252712249756    765.940795898438
3.695    8.08494567871094    766.320251464844
3.793    8.0355224609375    765.902893066406
3.891    8.00191497802734    766.358093261719
3.99    7.95446443557739    766.092346191406
4.088    7.9228310585022    766.244445800781
4.186    7.86748504638672    765.978698730469
4.285    7.83979940414429    766.016540527344
4.383    7.80221891403198    765.902893066406
4.481    7.7607159614563    766.39599609375
4.58    7.73303031921387    765.826599121094
4.678    7.68163204193115    766.358093261719
4.776    7.64605093002319    765.940795898438
4.875    7.60452222824097    766.092346191406
4.973    7.57683658599854    766.282348632813
5.071    7.5313606262207    766.20654296875
5.17    7.48391008377075    765.902893066406
5.268    7.46019792556763    766.282348632813
5.367    7.39693069458008    765.750793457031
5.465    7.3850622177124    766.130249023438
5.563    7.32574272155762    766.130249023438
5.662    7.29808282852173    766.244445800781
5.76    7.26445007324219    766.016540527344
5.858    7.23479032516479    766.054443359375
5.957    7.22097301483154    766.130249023438
6.055    7.17352247238159    766.282348632813
6.153    7.13199424743652    765.826599121094
6.252    7.11617755889893    766.016540527344
6.35    7.08651781082153    766.054443359375
6.448    7.0410418510437    765.902893066406
6.547    7.03314590454102    765.864990234375
6.645    6.99556541442871    766.244445800781
6.743    6.94416761398315    765.978698730469
6.842    6.93824577331543    766.433898925781
6.94    6.90661239624023    766.130249023438
7.038    6.8789267539978    766.130249023438
7.137    6.84334516525269    765.978698730469
7.235    6.83542442321777    766.130249023438
7.334    6.82158136367798    766.016540527344
7.432    6.78402614593506    766.092346191406
7.53    6.7820520401001    766.016540527344
7.629    6.74447154998779    765.940795898438
7.727    6.71878528594971    766.282348632813
7.825    6.70691633224487    765.978698730469
7.924    6.68320417404175    765.788696289063
8.022    6.67528295516968    765.978698730469
8.12    6.6357536315918    765.712890625
8.219    6.63375425338745    765.940795898438
8.317    6.61596345901489    765.978698730469
8.415    6.59817266464233    766.168640136719
8.514    6.58235597610474    765.940795898438
8.612    6.56653928756714    766.092346191406
8.71    6.5526967048645    765.826599121094
8.809    6.54085302352905    765.826599121094
8.907    6.5368800163269    765.788696289063
9.005    6.52503633499146    766.20654296875
9.104    6.48745584487915    765.864990234375
9.202    6.47758626937866    765.978698730469
9.3    6.46769094467163    765.940795898438
9.399    6.47163915634155    766.320251464844
9.497    6.43605756759644    766.282348632813
9.595    6.4400053024292    766.130249023438
9.694    6.4063982963562    765.940795898438
9.792    6.41034603118896    766.054443359375
9.89    6.40047645568848    765.940795898438
9.989    6.38465976715088    765.940795898438
10.087    6.37279081344604    765.940795898438
10.185    6.35894775390625    766.20654296875
10.284    6.36884307861328    766.016540527344
10.382    6.37081670761108    766.168640136719
10.481    6.33523559570313    765.864990234375
10.579    6.33523559570313    766.130249023438
10.677    6.33126211166382    766.130249023438
10.776    6.32731437683105    766.20654296875
10.874    6.2937068939209    766.130249023438
10.972    6.30754995346069    765.826599121094
11.071    6.2778902053833    765.978698730469
11.169    6.26996946334839    766.054443359375
11.267    6.26404762268066    765.788696289063
11.366    6.26602125167847    765.978698730469
11.464    6.25615167617798    766.130249023438
11.562    6.2600998878479    766.054443359375
11.661    6.2600998878479    766.092346191406
11.759    6.25020456314087    766.282348632813
11.857    6.23833560943604    766.054443359375
11.956    6.22251892089844    766.168640136719
12.054    6.22649240493774    766.20654296875
12.152    6.22251892089844    766.282348632813
12.251    6.19088554382324    766.20654296875
12.349    6.21659708023071    765.902893066406
12.447    6.17904186248779    766.092346191406
12.546    6.18299007415771    766.130249023438
12.644    6.17506885528564    766.054443359375
12.742    6.16914701461792    765.940795898438
12.841    6.17309474945068    766.054443359375
12.939    6.1632251739502    766.282348632813
13.037    6.15333032608032    766.130249023438
13.136    6.16125154495239    765.940795898438
13.234    6.15727806091309    765.978698730469
13.332    6.14938259124756    766.016540527344
13.431    6.15135622024536    766.130249023438
13.529    6.1474084854126    765.978698730469
13.627    6.11380100250244    766.130249023438
13.726    6.12367105484009    765.978698730469
13.824    6.12367105484009    766.130249023438
13.922    6.10588026046753    765.978698730469
14.021    6.09798431396484    765.902893066406
14.119    6.09598541259766    765.940795898438
14.217    6.10785388946533    766.20654296875
14.316    6.0999584197998    765.978698730469
14.414    6.09203720092773    766.016540527344
14.512    6.09798431396484    765.978698730469
14.611    6.09203720092773    766.092346191406
14.709    6.09203720092773    766.016540527344
14.807    6.07424688339233    765.978698730469
14.906    6.07622051239014    766.054443359375
15.004    6.05448198318481    766.358093261719
15.102    6.08216762542725    766.054443359375
15.201    6.0465612411499    765.978698730469
15.299    6.05843019485474    766.130249023438
15.397    6.04458713531494    766.092346191406
15.496    6.04458713531494    766.054443359375
15.594    6.04261302947998    765.902893066406
15.692    6.04063940048218    765.940795898438
15.791    6.04458713531494    766.092346191406
15.889    6.05250835418701    766.016540527344
15.987    6.03669166564941    765.978698730469
16.086    6.03271818161011    766.130249023438
16.184    6.02087450027466    765.978698730469
16.282    6.04261302947998    765.978698730469
16.381    6.01097965240479    766.092346191406
16.479    6.02482271194458    765.788696289063
16.577    6.02087450027466    766.054443359375
16.676    6.00308418273926    765.788696289063
16.774    6.00308418273926    765.978698730469
16.872    5.99318933486938    765.978698730469
16.971    6.00308418273926    765.978698730469
17.069    5.99121522903442    766.130249023438
17.167    5.99121522903442    766.054443359375
17.266    5.99516296386719    766.016540527344
17.364    5.99318933486938    766.282348632813
17.462    5.98726749420166    765.637084960938
17.561    5.98526811599731    766.20654296875
17.659    5.99516296386719    766.20654296875
17.757    5.98132038116455    766.054443359375
17.856    5.98726749420166    765.826599121094
17.954    5.96945142745972    766.130249023438
18.053    5.96155548095703    766.054443359375
18.151    5.96155548095703    766.092346191406
18.249    5.96352958679199    766.20654296875
18.348    5.95958185195923    766.016540527344
18.446    5.95363473892212    766.016540527344
18.544    5.95563364028931    766.054443359375
18.643    5.95363473892212    766.092346191406
18.741    5.96155548095703    766.320251464844
18.839    5.96945142745972    765.940795898438
18.938    5.95563364028931    766.282348632813
19.036    5.95563364028931    766.054443359375
19.134    5.94179105758667    766.130249023438
19.233    5.95958185195923    766.282348632813
19.331    5.94179105758667    765.940795898438
19.429    5.9338698387146    765.826599121094
19.528    5.93781805038452    766.016540527344
19.626    5.92002725601196    765.902893066406
19.724    5.92992210388184    766.130249023438
19.823    5.92400026321411    766.054443359375
19.921    5.92992210388184    766.282348632813
20.019    5.92992210388184    766.054443359375
20.118    5.92400026321411    766.244445800781
20.216    5.92597436904907    765.826599121094
20.314    5.92200136184692    766.282348632813
20.413    5.93781805038452    766.016540527344
20.511    5.92400026321411    766.054443359375
20.609    5.92002725601196    765.902893066406
20.708    5.91410541534424    766.130249023438
20.806    5.91213130950928    765.902893066406
20.904    5.90618419647217    766.20654296875
21.003    5.88247203826904    765.940795898438
21.101    5.89828872680664    766.054443359375
21.199    5.89828872680664    765.902893066406
21.298    5.89631462097168    766.054443359375
21.396    5.89828872680664    766.016540527344
21.494    5.89236688613892    766.244445800781
21.593    5.90421056747437    766.016540527344
21.691    5.89036750793457    766.20654296875
21.789    5.9022364616394    765.902893066406
21.888    5.88641977310181    766.168640136719
21.986    5.89036750793457    765.902893066406
22.084    5.88839387893677    765.978698730469
22.183    5.88049793243408    765.978698730469
22.281    5.87852430343628    766.130249023438
22.379    5.87060308456421    766.016540527344
22.478    5.88641977310181    766.39599609375
22.576    5.87655019760132    765.978698730469
22.675    5.87655019760132    766.168640136719
22.773    5.86468124389648    765.940795898438
22.871    5.86862897872925    766.20654296875
22.97    5.86862897872925    765.864990234375
23.068    5.87257719039917    766.20654296875
23.166    5.86468124389648    765.674987792969
23.265    5.87455081939697    766.054443359375
23.363    5.86468124389648    765.637084960938
23.461    5.87257719039917    766.20654296875
23.56    5.84886455535889    765.788696289063
23.658    5.87455081939697    766.244445800781
23.756    5.84689044952393    766.054443359375
23.855    5.86468124389648    766.130249023438
23.953    5.85478639602661    766.054443359375
24.051    5.86270761489868    766.168640136719
24.15    5.85873413085938    766.054443359375
24.248    5.85083866119385    766.092346191406
24.346    5.85873413085938    765.864990234375
24.445    5.85281229019165    766.358093261719
24.543    5.83699560165405    766.016540527344
24.641    5.85873413085938    766.282348632813
24.74    5.84291744232178    765.864990234375
24.838    5.84291744232178    766.282348632813
