sec"    "mA"    "mV
0.154    17.0807189941406    963.698059082031
0.252    16.2780132293701    963.584411621094
0.351    15.7659568786621    963.546508789063
0.449    15.485203742981    963.508605957031
0.548    15.2954025268555    963.660217285156
0.646    15.1313133239746    963.584411621094
0.744    15.026517868042    963.735961914063
0.843    14.9335918426514    963.508605957031
0.941    14.8466119766235    963.584411621094
1.039    14.7635803222656    963.584411621094
1.138    14.6825227737427    963.774353027344
1.236    14.6232042312622    963.546508789063
1.334    14.5263299942017    963.622314453125
1.433    14.4650363922119    963.660217285156
1.531    14.3800058364868    963.774353027344
1.629    14.3127908706665    963.470703125
1.728    14.2337074279785    963.622314453125
1.826    14.146728515625    963.470703125
1.924    14.0775136947632    963.432312011719
2.023    13.9826135635376    963.622314453125
2.121    13.9173727035522    963.698059082031
2.219    13.8303937911987    963.622314453125
2.318    13.7216501235962    963.698059082031
2.416    13.6484880447388    963.660217285156
2.515    13.5417194366455    963.698059082031
2.613    13.4646348953247    963.774353027344
2.711    13.35191822052    963.812255859375
2.81    13.2787818908691    963.584411621094
2.908    13.1720123291016    963.584411621094
3.006    13.0790863037109    963.432312011719
3.105    12.9921064376831    963.735961914063
3.203    12.9189443588257    963.470703125
3.301    12.8398609161377    963.774353027344
3.4    12.7528820037842    963.508605957031
3.498    12.6896142959595    963.660217285156
3.596    12.6164531707764    963.204956054688
3.695    12.5432910919189    963.698059082031
3.793    12.4998140335083    963.508605957031
3.891    12.4147834777832    963.735961914063
3.99    12.3633852005005    963.584411621094
4.088    12.3040657043457    963.660217285156
4.186    12.2546415328979    963.622314453125
4.285    12.1933488845825    963.622314453125
4.383    12.1419506072998    963.584411621094
4.481    12.1083431243896    963.850158691406
4.58    12.0628671646118    963.432312011719
4.678    12.0292596817017    963.698059082031
4.776    11.9778614044189    963.584411621094
4.875    11.9521503448486    963.735961914063
4.973    11.9323854446411    963.356506347656
5.071    11.8888826370239    963.735961914063
5.17    11.8671188354492    963.622314453125
5.268    11.8256158828735    963.888061523438
5.366    11.8018779754639    963.470703125
5.465    11.7821140289307    963.698059082031
5.563    11.7504806518555    963.584411621094
5.662    11.726767539978    963.584411621094
5.76    11.6911611557007    963.508605957031
5.858    11.6733703613281    963.622314453125
5.957    11.65163230896    963.546508789063
6.055    11.6437110900879    963.622314453125
6.153    11.6219730377197    963.622314453125
6.252    11.6022081375122    963.735961914063
6.35    11.5962610244751    963.735961914063
6.448    11.5666017532349    963.774353027344
6.547    11.558705329895    963.660217285156
6.645    11.5369672775269    963.774353027344
6.743    11.5171775817871    963.508605957031
6.842    11.5033340454102    963.622314453125
6.94    11.4855442047119    963.622314453125
7.038    11.4776477813721    963.698059082031
7.137    11.4558839797974    963.584411621094
7.235    11.4558839797974    963.774353027344
7.333    11.4361200332642    963.584411621094
7.432    11.4242506027222    963.735961914063
7.53    11.4104328155518    963.508605957031
7.628    11.4104328155518    963.622314453125
7.727    11.400538444519    963.622314453125
7.825    11.3807735443115    963.698059082031
7.923    11.3807735443115    963.622314453125
8.022    11.3689050674438    963.698059082031
8.12    11.3511142730713    963.508605957031
8.218    11.3530883789063    963.584411621094
8.317    11.3333234786987    963.850158691406
8.415    11.3313493728638    963.850158691406
8.513    11.3095855712891    963.508605957031
8.612    11.3076114654541    963.622314453125
8.71    11.2917947769165    963.432312011719
8.808    11.2878475189209    963.698059082031
8.907    11.2680826187134    963.660217285156
9.005    11.2740039825439    963.660217285156
9.103    11.2660837173462    963.432312011719
9.202    11.2601613998413    963.774353027344
9.3    11.2601613998413    963.584411621094
9.399    11.2502670288086    963.546508789063
9.497    11.2443447113037    963.546508789063
9.595    11.232476234436    963.622314453125
9.694    11.2384233474731    963.660217285156
9.792    11.234450340271    963.735961914063
9.89    11.2028160095215    963.394409179688
9.989    11.1968946456909    963.850158691406
10.087    11.1909732818604    963.622314453125
10.185    11.194920539856    963.546508789063
10.284    11.1652612686157    963.698059082031
10.382    11.1771297454834    963.850158691406
10.48    11.1751565933228    963.546508789063
10.579    11.1672353744507    963.622314453125
10.677    11.1652612686157    963.470703125
