sec"    "mA"    "mV
0.154    23.6407165527344    1161.07641601563
0.252    22.5849418640137    1160.84851074219
0.351    21.9720630645752    1160.81066894531
0.449    21.5706977844238    1160.69653320313
0.548    21.3196029663086    1160.84851074219
0.646    21.1298027038574    1160.77282714844
0.744    20.9696617126465    1160.65856933594
0.843    20.8055725097656    1160.81066894531
0.941    20.6730918884277    1160.81066894531
1.039    20.5149250030518    1160.81066894531
1.138    20.3903903961182    1161.00012207031
1.236    20.2440662384033    1160.77282714844
1.334    20.0898723602295    1160.81066894531
1.433    19.9633388519287    1160.92431640625
1.531    19.7814331054688    1160.81066894531
1.629    19.6232662200928    1160.73486328125
1.728    19.4631252288818    1160.73486328125
1.826    19.285192489624    1161.00012207031
1.924    19.1151561737061    1160.77282714844
2.023    18.9391975402832    1160.84851074219
2.121    18.8027687072754    1160.65856933594
2.219    18.6287860870361    1160.88647460938
2.318    18.4884090423584    1160.73486328125
2.416    18.3421096801758    1160.84851074219
2.514    18.2195243835449    1160.69653320313
2.613    18.0949649810791    1160.81066894531
2.711    17.9882202148438    1160.88647460938
2.809    17.8933200836182    1160.77282714844
2.908    17.7964458465576    1160.73486328125
3.006    17.7153625488281    1160.65856933594
3.104    17.6540946960449    1160.92431640625
3.202    17.5730113983154    1160.77282714844
3.301    17.5077705383301    1160.73486328125
3.399    17.4326610565186    1160.84851074219
3.498    17.3970546722412    1160.81066894531
3.596    17.325891494751    1160.73486328125
3.694    17.3021545410156    1160.81066894531
3.793    17.2210960388184    1160.73486328125
3.891    17.1993579864502    1160.81066894531
3.989    17.1499328613281    1160.81066894531
4.087    17.1301441192627    1160.73486328125
4.186    17.1103782653809    1160.81066894531
4.284    17.0629291534424    1161.00012207031
4.382    17.0352439880371    1160.88647460938
4.481    17.0135040283203    1160.65856933594
4.579    16.9957141876221    1161.00012207031
4.677    16.9680290222168    1160.92431640625
4.776    16.9423427581787    1161.03857421875
4.874    16.9225521087646    1160.84851074219
4.972    16.8928928375244    1160.92431640625
5.071    16.8988399505615    1160.81066894531
5.169    16.8434677124023    1160.77282714844
5.267    16.8335990905762    1160.73486328125
5.366    16.8118343353271    1160.58276367188
5.464    16.790096282959    1160.81066894531
5.562    16.780200958252    1160.84851074219
5.661    16.7683582305908    1160.65856933594
5.759    16.7604370117188    1160.73486328125
5.857    16.7643852233887    1160.84851074219
5.956    16.7307777404785    1160.92431640625
6.054    16.7268295288086    1160.84851074219
6.153    16.7129859924316    1160.81066894531
6.251    16.7090396881104    1160.77282714844
6.349    16.671459197998    1160.88647460938
6.448    16.6754322052002    1160.88647460938
6.546    16.6516933441162    1160.84851074219
6.644    16.643798828125    1160.73486328125
6.743    16.6358776092529    1160.92431640625
6.841    16.6121654510498    1160.84851074219
6.939    16.608190536499    1160.84851074219
7.037    16.5963478088379    1160.65856933594
7.136    16.5943737030029    1160.84851074219
7.234    16.5923748016357    1160.77282714844
7.332    16.5686626434326    1160.73486328125
7.431    16.5647144317627    1160.73486328125
7.529    16.5469245910645    1161.00012207031
7.627    16.5488967895508    1160.62072753906
7.726    16.5311069488525    1160.84851074219
