sec"    "mA"    "mV
0.154    23.8957576751709    1160.84851074219
0.252    22.8142986297607    1160.62072753906
0.351    22.1658115386963    1160.84851074219
0.449    21.7407341003418    1160.84851074219
0.547    21.4659271240234    1160.92431640625
0.646    21.2800750732422    1160.65856933594
0.744    21.0922470092773    1160.84851074219
0.842    20.9498977661133    1160.81066894531
0.941    20.7917289733887    1161.00012207031
1.039    20.6711177825928    1160.73486328125
1.137    20.5406360626221    1161.07641601563
1.235    20.3943367004395    1160.62072753906
1.334    20.2618560791016    1160.92431640625
1.432    20.1234798431396    1160.62072753906
1.53    19.9475212097168    1160.84851074219
1.629    19.8051700592041    1160.88647460938
1.727    19.6450042724609    1160.81066894531
1.825    19.4908103942871    1160.81066894531
1.924    19.3148517608643    1160.92431640625
2.022    19.1586589813232    1160.81066894531
2.12    18.9965171813965    1160.96228027344
2.218    18.8541679382324    1160.81066894531
2.317    18.7138156890869    1160.84851074219
2.415    18.5674915313721    1160.65856933594
2.513    18.4627227783203    1160.92431640625
2.612    18.3203716278076    1161.00012207031
2.71    18.2214984893799    1160.84851074219
2.808    18.1444129943848    1160.81066894531
2.906    18.0336971282959    1160.73486328125
3.005    17.9546127319336    1160.69653320313
3.103    17.8577136993408    1160.73486328125
3.201    17.8023681640625    1160.65856933594
3.3    17.7193355560303    1160.84851074219
3.398    17.6600170135498    1160.69653320313
3.496    17.5967502593994    1160.88647460938
3.595    17.5433769226074    1160.65856933594
3.693    17.5038242340088    1160.88647460938
3.791    17.4603214263916    1160.92431640625
3.889    17.4148445129395    1160.84851074219
3.988    17.3852100372314    1160.84851074219
4.086    17.3476295471191    1160.96228027344
4.184    17.3061275482178    1160.69653320313
4.283    17.2764663696289    1160.81066894531
4.381    17.2487812042236    1160.65856933594
4.479    17.2072525024414    1160.65856933594
4.577    17.2052783966064    1160.62072753906
4.676    17.1598033905029    1160.81066894531
4.774    17.1321430206299    1160.77282714844
4.872    17.1084041595459    1160.81066894531
4.971    17.0787448883057    1160.92431640625
5.069    17.0688762664795    1160.84851074219
5.167    17.0431632995605    1160.77282714844
5.265    17.0352439880371    1160.84851074219
5.364    17.0135040283203    1160.65856933594
5.462    16.9917659759521    1160.73486328125
5.56    16.9660549163818    1160.81066894531
5.659    16.944314956665    1160.92431640625
5.757    16.9403419494629    1160.65856933594
5.855    16.9146556854248    1160.92431640625
5.954    16.9146556854248    1161.07641601563
6.052    16.8830223083496    1160.81066894531
6.15    16.8731288909912    1160.62072753906
6.248    16.8513889312744    1160.81066894531
6.347    16.8672065734863    1160.88647460938
6.445    16.8474407196045    1160.92431640625
6.543    16.8256778717041    1160.88647460938
6.642    16.8237037658691    1160.92431640625
6.74    16.8039398193359    1160.88647460938
6.838    16.7960186004639    1160.84851074219
6.936    16.780200958252    1160.77282714844
7.035    16.7604370117188    1160.84851074219
7.133    16.776252746582    1160.92431640625
7.231    16.7446193695068    1160.81066894531
7.33    16.7268295288086    1160.81066894531
7.428    16.7169342041016    1161.00012207031
7.526    16.7169342041016    1160.88647460938
7.625    16.7011184692383    1160.92431640625
7.723    16.6892738342285    1160.84851074219
7.821    16.6872749328613    1160.84851074219
7.919    16.6872749328613    1160.81066894531
8.018    16.6734580993652    1160.84851074219
8.116    16.6694850921631    1160.88647460938
8.214    16.6536674499512    1160.81066894531
8.313    16.6556415557861    1160.92431640625
8.411    16.6279811859131    1160.92431640625
8.509    16.6358776092529    1160.84851074219
8.607    16.6062183380127    1160.81066894531
8.706    16.6180858612061    1160.88647460938
8.804    16.5983219146729    1160.84851074219
8.902    16.5923748016357    1160.77282714844
9.001    16.5825042724609    1160.84851074219
9.099    16.5923748016357    1160.77282714844
9.197    16.5686626434326    1160.92431640625
9.296    16.5745830535889    1160.88647460938
9.394    16.5627403259277    1160.81066894531
9.492    16.5528450012207    1160.69653320313
9.59    16.5409774780273    1160.84851074219
9.689    16.5469245910645    1160.81066894531
9.787    16.5192375183105    1160.92431640625
9.885    16.5350551605225    1160.92431640625
9.984    16.5053958892822    1160.81066894531
10.082    16.5093421936035    1160.73486328125
10.18    16.4915523529053    1160.81066894531
10.278    16.4836311340332    1160.544921875
10.377    16.4876041412354    1160.84851074219
10.475    16.475736618042    1160.73486328125
10.573    16.4717884063721    1160.88647460938
10.672    16.475736618042    1160.81066894531
10.77    16.4678153991699    1160.81066894531
10.868    16.465841293335    1160.92431640625
10.966    16.4441013336182    1160.73486328125
11.065    16.4441013336182    1160.73486328125
11.163    16.4322338104248    1160.81066894531
11.261    16.450023651123    1161.00012207031
11.36    16.42236328125    1160.88647460938
11.458    16.4183902740479    1160.92431640625
11.556    16.4065475463867    1160.84851074219
11.654    16.412467956543    1160.81066894531
11.753    16.4085216522217    1160.81066894531
11.851    16.3966522216797    1160.81066894531
11.949    16.3986263275146    1160.84851074219
12.048    16.4065475463867    1160.81066894531
12.146    16.3966522216797    1160.84851074219
12.244    16.3986263275146    1160.88647460938
12.342    16.3729133605957    1161.07641601563
12.441    16.3887310028076    1160.84851074219
12.539    16.3650188446045    1160.88647460938
12.637    16.3630447387695    1160.65856933594
12.736    16.3630447387695    1160.84851074219
12.834    16.3551235198975    1161.11437988281
12.932    16.3531494140625    1160.81066894531
13.03    16.3452548980713    1160.81066894531
13.129    16.3333854675293    1160.84851074219
13.227    16.3294372558594    1160.84851074219
13.325    16.3353595733643    1160.92431640625
13.424    16.3393077850342    1161.11437988281
13.522    16.3353595733643    1160.92431640625
13.62    16.3274631500244    1160.81066894531
13.718    16.3017520904541    1160.88647460938
13.817    16.3116474151611    1160.77282714844
13.915    16.2918567657471    1160.73486328125
14.013    16.305700302124    1160.88647460938
14.112    16.2958297729492    1160.84851074219
14.21    16.3017520904541    1161.00012207031
14.308    16.2879085540771    1160.92431640625
14.406    16.2819862365723    1160.92431640625
14.505    16.2760391235352    1160.88647460938
14.603    16.2760391235352    1160.65856933594
14.701    16.2800140380859    1160.69653320313
14.8    16.2800140380859    1160.88647460938
14.898    16.2740669250488    1160.92431640625
14.996    16.2839603424072    1160.96228027344
15.094    16.2582492828369    1160.84851074219
15.193    16.2760391235352    1160.96228027344
