sec"   "mA"   "mV
0.154    38.6532783508301    787.588134765625
0.253    28.0181617736816    787.550231933594
0.351    18.4698333740234    789.676391601563
0.449    15.6171102523804    787.967651367188
0.548    15.7529897689819    789.676391601563
0.646    13.7927980422974    788.15771484375
0.744    13.8705492019653    789.448486328125
0.843    21.9050769805908    787.094360351563
0.941    12.8418893814087    789.752258300781
1.039    21.1869277954102    787.322265625
1.138    20.8570404052734    788.119812011719
1.236    21.2063026428223    787.740234375
1.334    20.7211608886719    788.15771484375
1.433    12.6285066604614    787.094360351563
1.531    19.7315006256104    788.15771484375
1.63    11.3864641189575    786.866882324219
1.728    19.2657356262207    788.537231445313
1.826    12.1627407073975    786.752685546875
1.925    11.8328542709351    790.208068847656
2.023    11.7551021575928    787.322265625
2.121    12.6866340637207    790.01806640625
2.22    19.3044872283936    786.90478515625
2.318    12.1043643951416    790.093872070313
2.416    16.9369049072266    787.512268066406
2.515    20.682409286499    788.613525390625
2.613    19.1492309570313    786.866882324219
2.711    19.9836349487305    788.689392089844
2.81    10.8235702514648    786.980590820313
2.908    20.6434097290039    788.537231445313
3.006    13.3270320892334    786.145202636719
3.105    21.2840538024902    788.309326171875
3.203    11.1340808868408    786.676879882813
3.302    10.9206981658936    790.245971679688
3.4    11.2893362045288    786.752685546875
3.498    10.7070665359497    789.942260742188
3.597    16.5098915100098    787.550231933594
3.695    10.9982013702393    789.980163574219
3.793    16.5098915100098    786.828979492188
3.892    20.430025100708    788.651489257813
3.99    15.5396070480347    787.474365234375
4.088    20.8570404052734    788.537231445313
4.187    11.8909816741943    786.448974609375
4.285    20.1001396179199    788.917297363281
4.383    11.2893362045288    786.373107910156
4.482    20.0807628631592    788.689392089844
4.58    11.5417194366455    786.60107421875
4.678    10.5518112182617    789.904357910156
4.777    11.4445915222168    786.448974609375
4.875    9.62027931213379    790.208068847656
4.974    13.8511734008789    787.663940429688
5.072    10.7654428482056    789.828552246094
5.17    12.1627407073975    787.701843261719
5.269    21.0510482788086    788.87890625
5.367    14.8795852661133    787.701843261719
5.465    20.7986640930176    788.765197753906
5.564    13.4047832489014    785.955688476563
5.662    20.3135223388672    788.613525390625
5.76    13.8899259567261    786.18310546875
5.859    20.4494018554688    788.499328613281
5.957    14.2004365921021    786.335205078125
6.055    9.58152770996094    789.334777832031
6.154    14.0258054733276    786.525268554688
6.252    9.3875207901001    789.486389160156
6.35    11.095329284668    788.46142578125
6.449    9.27101707458496    789.562683105469
6.547    13.7927980422974    787.967651367188
6.645    20.022388458252    788.537231445313
6.744    11.6775989532471    788.081848144531
6.842    19.4984931945801    788.575134277344
6.941    12.5120029449463    788.005554199219
7.039    20.8764152526855    788.005554199219
7.137    15.2290964126587    787.0185546875
7.236    19.5178699493408    788.233520507813
7.334    14.8020820617676    786.90478515625
7.432    9.52340030670166    788.689392089844
7.531    15.7917413711548    786.335205078125
7.629    8.53349208831787    788.689392089844
7.727    10.8235702514648    788.87890625
7.826    8.59186744689941    788.727294921875
7.924    10.9206981658936    789.258972167969
8.022    19.0714797973633    787.816040039063
8.121    12.143364906311    788.955200195313
8.219    21.3615589141846    787.056457519531
8.317    11.5610952377319    788.46142578125
8.416    20.022388458252    787.588134765625
8.514    17.1309127807617    787.132751464844
8.612    19.3626136779785    787.967651367188
8.711    15.4231033325195    787.588134765625
8.809    10.319052696228    787.550231933594
8.908    16.0441246032715    787.512268066406
9.006    9.4650239944458    787.816040039063
9.104    11.9297332763672    789.6005859375
9.203    10.1831731796265    787.474365234375
9.301    12.3761234283447    789.372680664063
9.399    18.4894580841064    787.474365234375
9.498    9.91141414642334    790.397644042969
9.596    16.801025390625    787.701843261719
9.694    11.4833431243896    789.372680664063
9.793    18.0624446868896    787.550231933594
9.891    18.295202255249    787.701843261719
9.989    17.4414234161377    787.398071289063
10.088    16.6263942718506    788.385620117188
10.186    11.1728324890137    786.448974609375
10.284    16.8591537475586    788.385620117188
10.383    9.54277610778809    786.942687988281
10.481    10.1250457763672    789.790161132813
10.579    9.23226547241211    786.752685546875
10.678    10.5518112182617    790.321838378906
10.776    16.4127635955811    786.90478515625
10.874    9.91141414642334    790.170166015625
10.973    15.442479133606    787.474365234375
11.071    10.0279178619385    790.511840820313
11.169    15.7723655700684    787.170654296875
11.268    18.7609691619873    788.537231445313
