sec"   "mA"   "mV
0.154    39.4489326477051    790.777648925781
0.252    26.2328491210938    787.853942871094
0.351    25.8639640808105    789.942260742188
0.449    15.5006065368652    787.322265625
0.547    25.2816944122314    789.524780273438
0.646    13.6959180831909    787.626037597656
0.744    14.4331951141357    791.612609863281
0.842    13.5794143676758    787.436462402344
0.941    14.7633304595947    791.233032226563
1.039    18.2758274078369    787.929748535156
1.137    13.8705492019653    791.536804199219
1.236    19.3044872283936    788.385620117188
1.334    14.9185857772827    791.308837890625
1.432    21.225679397583    787.701843261719
1.531    22.9334869384766    790.093872070313
1.629    19.4209899902344    787.701843261719
1.727    22.2737140655518    789.980163574219
1.826    11.7357263565063    787.246459960938
1.924    22.0797080993652    789.866455078125
2.022    14.510947227478    787.398071289063
2.121    12.7837619781494    791.57470703125
2.219    13.3270320892334    786.90478515625
2.317    13.1136484146118    791.423095703125
2.415    15.7336139678955    788.499328613281
2.514    12.3761234283447    791.460998535156
2.612    17.111536026001    788.081848144531
2.71    12.4148759841919    791.57470703125
2.809    18.1205711364746    788.271423339844
2.907    22.5648498535156    789.828552246094
3.005    16.0247478485107    788.271423339844
3.104    22.3512172698975    789.752258300781
3.202    13.2107763290405    787.436462402344
3.3    23.418628692627    789.638488769531
3.399    15.4037275314331    786.942687988281
3.497    13.0555210113525    791.119323730469
3.595    11.3087120056152    787.816040039063
3.694    12.3179960250854    791.347229003906
3.792    16.1606273651123    787.701843261719
3.89    12.997145652771    790.891418457031
3.989    15.3647270202637    788.499328613281
4.087    22.6036014556885    789.904357910156
4.185    15.2678480148315    788.575134277344
4.284    22.1184597015381    789.866455078125
4.382    15.8111171722412    788.309326171875
4.48    22.2349624633789    789.942260742188
4.578    14.4138193130493    786.942687988281
4.677    22.3512172698975    790.055969238281
4.775    14.4528188705444    787.246459960938
4.873    11.4833431243896    791.005126953125
4.972    12.143364906311    787.663940429688
5.07    11.3477125167847    791.043518066406
5.168    16.180004119873    787.740234375
5.267    10.5908117294312    791.460998535156
5.365    16.1022529602051    788.423522949219
5.463    21.8854522705078    789.714294433594
5.562    14.7243299484253    788.499328613281
5.66    21.2840538024902    789.942260742188
5.758    14.9185857772827    788.727294921875
5.857    21.5945644378662    789.866455078125
5.955    15.8304929733276    787.474365234375
6.053    21.9050769805908    789.790161132813
6.152    13.7540464401245    786.90478515625
6.25    11.2118330001831    790.815551757813
6.348    16.1410045623779    786.828979492188
6.446    11.2118330001831    790.815551757813
6.545    13.2689037322998    788.841003417969
6.643    10.2413005828857    791.043518066406
6.741    14.7437057495117    788.537231445313
6.84    21.4780616760254    789.828552246094
6.938    13.6959180831909    788.537231445313
7.036    20.7986640930176    789.638488769531
7.135    15.3843517303467    787.663940429688
7.233    20.915168762207    789.904357910156
7.331    14.3944435119629    787.588134765625
7.43    22.1572113037109    789.410583496094
7.528    13.3270320892334    787.929748535156
7.626    11.2312088012695    789.828552246094
7.725    13.2882804870605    788.0439453125
7.823    10.474308013916    790.359741210938
7.921    12.5120029449463    789.258972167969
8.019    10.0085420608521    790.73974609375
8.118    13.1717767715454    789.524780273438
8.216    20.6434097290039    789.372680664063
8.314    12.9390172958374    789.562683105469
8.413    21.5168132781982    789.410583496094
8.511    18.1593227386475    787.398071289063
8.609    21.4780616760254    789.448486328125
8.708    15.8111171722412    788.46142578125
8.806    11.1534566879272    790.01806640625
8.904    16.3158836364746    787.891845703125
9.003    9.36814498901367    789.676391601563
9.101    14.7437057495117    788.233520507813
9.199    11.8134784698486    789.486389160156
9.297    14.4528188705444    789.372680664063
9.396    10.7460670471191    790.397644042969
9.494    12.2402439117432    789.942260742188
9.592    20.6046581268311    789.296875
9.691    11.8134784698486    789.6005859375
9.789    21.536190032959    788.727294921875
9.887    15.6171102523804    788.233520507813
9.986    20.6434097290039    789.221069335938
10.084    16.6263942718506    787.778137207031
10.182    10.9206981658936    789.031005859375
10.281    18.2758274078369    787.967651367188
10.379    10.4936838150024    789.6005859375
10.477    12.997145652771    790.473937988281
10.575    10.1056699752808    789.524780273438
10.674    11.5610952377319    790.170166015625
10.772    9.27101707458496    789.334777832031
10.87    11.095329284668    790.055969238281
10.969    19.9836349487305    788.385620117188
11.067    13.230152130127    790.01806640625
11.165    19.9836349487305    788.803100585938
11.264    19.1298561096191    787.967651367188
11.362    20.9539203643799    788.803100585938
11.46    16.4127635955811    788.955200195313
11.559    10.6101875305176    788.993103027344
11.657    19.3432388305664    787.967651367188
11.755    9.36814498901367    788.727294921875
11.854    11.1924571990967    790.511840820313
11.952    10.8429460525513    788.917297363281
12.05    10.6683149337769    790.815551757813
12.149    10.16379737854    788.727294921875
12.247    13.1136484146118    790.093872070313
12.345    17.3830471038818    788.841003417969
12.443    13.5794143676758    789.980163574219
12.542    19.5762462615967    788.347717285156
12.64    18.0430679321289    789.448486328125
12.738    18.3342037200928    788.15771484375
12.837    18.4894580841064    789.031005859375
12.935    12.4344997406006    788.0439453125
13.033    18.1593227386475    789.106811523438
13.132    10.629563331604    788.727294921875
13.23    10.7654428482056    791.081420898438
13.328    11.4058399200439    787.929748535156
13.427    11.2893362045288    790.815551757813
13.525    16.8785285949707    788.119812011719
13.623    12.4344997406006    790.853515625
13.721    17.6935577392578    788.385620117188
13.82    12.1627407073975    790.587646484375
13.918    17.111536026001    788.651489257813
14.016    20.5852813720703    789.106811523438
14.115    18.0624446868896    788.423522949219
14.213    19.5566215515137    789.524780273438
14.311    11.1728324890137    787.284362792969
14.41    18.605712890625    789.6005859375
14.508    9.9697904586792    788.0439453125
14.606    12.2596197128296    790.929321289063
14.705    11.5223436355591    787.929748535156
14.803    11.0372018814087    791.308837890625
14.901    16.6651458740234    787.701843261719
14.999    11.5029678344727    790.967224121094
15.098    14.2391881942749    788.46142578125
15.196    21.0316715240479    789.486389160156
15.294    14.666202545166    788.575134277344
15.393    19.5372447967529    789.790161132813
15.491    16.3933868408203    788.081848144531
15.589    19.4403667449951    790.170166015625
15.688    11.5610952377319    787.246459960938
15.786    21.1675510406494    789.182678222656
15.884    12.1043643951416    787.322265625
15.983    10.8041944503784    791.043518066406
16.081    10.7070665359497    787.967651367188
16.179    10.0279178619385    791.1572265625
16.278    15.7142381668091    788.0439453125
16.376    11.3087120056152    791.043518066406
16.474    15.6364860534668    788.499328613281
16.572    20.1582679748535    789.790161132813
16.671    14.2779397964478    788.499328613281
16.769    20.5271530151367    789.6005859375
16.867    13.5987911224365    787.436462402344
16.966    20.1582679748535    790.283935546875
17.064    11.8716058731079    787.816040039063
17.162    19.7896289825439    790.170166015625
17.261    11.6192226409912    787.398071289063
17.359    11.4058399200439    790.549743652344
17.457    11.7357263565063    787.246459960938
17.556    10.16379737854    790.815551757813
17.654    11.4058399200439    789.031005859375
17.752    10.4355564117432    790.663452148438
17.85    14.5303230285645    788.195617675781
17.949    20.5852813720703    789.942260742188
18.047    11.8134784698486    788.993103027344
18.145    20.3525218963623    789.752258300781
18.244    14.0645570755005    787.663940429688
18.342    20.6434097290039    789.6005859375
18.44    14.6080751419067    787.0185546875
18.539    20.4687786102295    789.904357910156
18.637    13.6375427246094    787.626037597656
18.735    9.89203834533691    790.321838378906
18.834    14.821457862854    787.094360351563
18.932    10.2996768951416    790.321838378906
19.03    11.4639673233032    789.486389160156
19.128    10.319052696228    790.777648925781
19.227    11.8328542709351    789.144714355469
19.325    19.711877822876    789.562683105469
19.423    13.2495279312134    789.031005859375
19.522    20.4494018554688    789.182678222656
19.62    15.3647270202637    788.0439453125
19.718    20.4687786102295    789.448486328125
19.817    16.2768840789795    787.550231933594
19.915    9.1351375579834    790.132263183594
20.013    14.8795852661133    788.0439453125
20.111    9.11576175689697    789.714294433594
20.21    15.0932168960571    787.701843261719
20.308    10.0472936630249    789.904357910156
20.406    10.6101875305176    790.055969238281
20.505    9.75615882873535    789.676391601563
20.603    12.3179960250854    790.01806640625
20.701    19.9255084991455    789.068908691406
20.8    13.152400970459    789.752258300781
20.898    20.2166423797607    788.385620117188
20.996    15.7529897689819    788.993103027344
21.095    19.8867568969727    789.106811523438
21.193    18.1593227386475    788.195617675781
21.291    10.6489391326904    788.955200195313
21.389    16.6651458740234    788.119812011719
21.488    9.75615882873535    788.499328613281
21.586    12.2596197128296    790.777648925781
21.684    10.9788255691528    788.537231445313
21.783    10.8623218536377    790.73974609375
21.881    9.89203834533691    789.106811523438
21.979    11.3477125167847    790.967224121094
22.078    18.1789474487305    788.537231445313
22.176    11.3477125167847    790.815551757813
22.274    18.0040683746338    788.537231445313
22.373    18.605712890625    789.372680664063
22.471    19.9836349487305    788.233520507813
22.569    19.3432388305664    788.689392089844
22.667    9.62027931213379    788.15771484375
22.766    16.5486431121826    789.334777832031
22.864    11.4639673233032    787.550231933594
22.962    11.4252157211304    790.663452148438
23.061    10.784818649292    788.575134277344
23.159    11.9491090774536    790.891418457031
23.257    15.5006065368652    788.499328613281
23.356    10.8819465637207    791.043518066406
23.454    17.2277908325195    788.385620117188
23.552    11.1728324890137    791.081420898438
23.651    16.4321384429932    787.929748535156
23.749    20.2166423797607    789.638488769531
23.847    14.5496988296509    788.803100585938
23.945    19.4013652801514    789.676391601563
24.044    11.5998468399048    787.360168457031
24.142    20.2941474914551    789.486389160156
24.24    10.8429460525513    787.663940429688
24.339    10.8235702514648    791.308837890625
24.437    10.9788255691528    787.853942871094
24.535    10.5518112182617    790.891418457031
24.634    14.1810607910156    788.46142578125
24.732    11.2118330001831    791.308837890625
24.83    15.0348405838013    787.967651367188
24.929    10.319052696228    790.929321289063
25.027    13.8705492019653    788.385620117188
25.125    20.6434097290039    789.562683105469
25.224    15.9082450866699    787.816040039063
25.322    19.1298561096191    789.942260742188
25.42    11.5029678344727    787.512268066406
25.518    20.119514465332    789.676391601563
25.617    12.298620223999    787.170654296875
25.715    9.91141414642334    791.119323730469
25.813    13.6569185256958    786.828979492188
25.912    10.7266912460327    790.929321289063
26.01    13.4435358047485    788.575134277344
26.108    10.319052696228    791.043518066406
26.207    13.8899259567261    788.119812011719
26.305    19.5566215515137    790.283935546875
26.403    13.3660316467285    788.385620117188
26.502    20.7017841339111    789.752258300781
26.6    12.7253866195679    788.575134277344
26.698    20.1582679748535    789.904357910156
26.797    13.2107763290405    787.816040039063
26.895    21.0122947692871    789.676391601563
26.993    13.4435358047485    787.246459960938
27.091    10.2996768951416    790.701354980469
27.19    14.5690746307373    787.170654296875
27.288    9.73678302764893    790.321838378906
27.386    13.5600385665894    788.46142578125
27.485    9.58152770996094    790.73974609375
27.583    14.3944435119629    788.651489257813
27.681    19.3819904327393    789.828552246094
27.78    12.0462369918823    789.182678222656
27.878    20.0613880157471    789.524780273438
27.976    15.8501176834106    787.588134765625
28.075    19.8477554321289    789.942260742188
28.173    13.5987911224365    787.816040039063
28.271    20.7986640930176    789.524780273438
28.369    15.6171102523804    787.322265625
28.468    10.319052696228    790.132263183594
28.566    15.0932168960571    787.891845703125
28.664    9.21288967132568    790.093872070313
28.763    11.4639673233032    789.334777832031
28.861    10.6489391326904    789.752258300781
28.959    10.4549322128296    789.638488769531
29.058    18.5088348388672    788.537231445313
29.156    12.6866340637207    789.714294433594
29.254    20.4881534576416    788.46142578125
29.353    15.442479133606    788.651489257813
29.451    20.7211608886719    788.689392089844
29.549    16.0828762054443    788.309326171875
29.648    11.2893362045288    788.727294921875
29.746    16.2768840789795    788.005554199219
29.844    10.4355564117432    788.955200195313
29.942    16.0053730010986    788.727294921875
30.041    9.93078994750977    788.917297363281
30.139    11.5029678344727    789.942260742188
30.237    9.48464775085449    789.486389160156
30.336    10.9788255691528    790.777648925781
30.434    19.3044872283936    788.613525390625
30.532    10.5324354171753    790.43603515625
30.631    19.8283805847168    788.385620117188
30.729    16.2381324768066    789.296875
30.827    19.0133514404297    788.651489257813
30.925    19.2073593139648    788.613525390625
31.024    10.2803010940552    788.46142578125
31.122    17.7713088989258    788.955200195313
31.22    9.27101707458496    788.803100585938
31.319    12.2596197128296    790.549743652344
31.417    9.63990306854248    788.993103027344
31.515    10.0279178619385    791.270935058594
31.614    10.3578042984009    788.46142578125
31.712    11.9491090774536    790.73974609375
31.81    15.8501176834106    788.46142578125
31.909    11.3670883178711    791.005126953125
32.007    16.8979053497314    788.119812011719
32.105    18.5669612884521    789.6005859375
32.203    15.6752376556396    788.537231445313
32.302    18.6250896453857    789.638488769531
32.4    9.85328674316406    788.0439453125
32.498    19.0908546447754    788.993103027344
32.597    9.79515933990479    788.119812011719
32.695    10.4161806106567    791.270935058594
32.793    10.2803010940552    788.081848144531
32.892    10.5908117294312    791.233032226563
32.99    9.58152770996094    787.816040039063
33.088    10.3965559005737    791.1572265625
33.186    17.0531597137451    787.816040039063
33.285    10.7070665359497    791.270935058594
33.383    16.0441246032715    788.347717285156
33.481    20.0613880157471    789.676391601563
33.58    16.3546352386475    788.15771484375
33.678    18.0624446868896    789.828552246094
33.776    12.7450103759766    787.170654296875
33.875    20.6046581268311    789.448486328125
33.973    12.5701313018799    787.322265625
34.071    10.1250457763672    791.233032226563
34.17    12.9002656936646    787.398071289063
34.268    10.8819465637207    791.043518066406
34.366    13.2107763290405    788.271423339844
34.464    10.8235702514648    790.967224121094
34.563    14.5690746307373    787.967651367188
34.661    10.5324354171753    791.460998535156
34.759    14.3363161087036    788.195617675781
34.858    20.4881534576416    789.638488769531
34.956    13.7927980422974    788.613525390625
35.054    19.9255084991455    789.904357910156
35.153    12.9583930969238    787.170654296875
35.251    20.3135223388672    789.6005859375
35.349    12.4732513427734    787.322265625
35.448    10.2996768951416    790.815551757813
35.546    10.629563331604    787.891845703125
35.644    10.2025489807129    791.119323730469
35.742    13.8511734008789    788.309326171875
35.841    10.0860452651978    791.195129394531
35.939    13.7346706390381    788.613525390625
36.037    20.1972675323486    789.638488769531
36.136    13.6181669235229    788.651489257813
36.234    20.7792892456055    789.676391601563
36.332    11.5223436355591    788.727294921875
36.431    19.6343727111816    789.790161132813
36.529    14.1226844787598    787.246459960938
36.627    20.1388912200928    789.6005859375
36.725    13.9674291610718    787.512268066406
36.824    10.2413005828857    790.359741210938
36.922    14.1226844787598    787.360168457031
37.02    9.79515933990479    790.43603515625
37.119    12.0268611907959    789.258972167969
37.217    10.2803010940552    790.208068847656
37.315    14.2391881942749    788.841003417969
37.414    19.711877822876    789.448486328125
37.512    12.9777688980103    789.144714355469
37.61    19.9255084991455    789.144714355469
37.709    15.3453512191772    788.081848144531
37.807    20.915168762207    789.524780273438
37.905    14.821457862854    787.853942871094
38.003    20.0030117034912    789.296875
38.102    13.9093017578125    788.271423339844
38.2    10.3771800994873    789.372680664063
38.298    15.9857482910156    788.005554199219
38.397    9.9697904586792    789.676391601563
38.495    11.5610952377319    789.752258300781
38.593    10.0666694641113    789.296875
38.692    10.7070665359497    789.904357910156
38.79    19.168607711792    788.803100585938
38.888    12.3761234283447    790.132263183594
38.986    20.4687786102295    788.727294921875
39.085    17.422046661377    788.727294921875
39.183    18.4310817718506    789.296875
39.281    16.6845226287842    788.841003417969
39.38    9.9697904586792    788.575134277344
39.478    17.7519340515137    788.46142578125
39.576    10.5908117294312    788.651489257813
39.675    17.4607982635498    788.537231445313
39.773    9.52340030670166    788.613525390625
39.871    10.0472936630249    791.119323730469
39.97    11.7163505554199    788.46142578125
40.068    10.7266912460327    790.587646484375
40.166    15.9276208877563    788.727294921875
40.264    11.8716058731079    790.473937988281
40.363    16.9756565093994    788.309326171875
40.461    18.5088348388672    789.410583496094
40.559    19.1492309570313    788.233520507813
40.658    19.2461109161377    789.221069335938
40.756    9.58152770996094    788.0439453125
40.854    18.1205711364746    789.334777832031
40.953    10.7070665359497    787.967651367188
41.051    10.8819465637207    790.891418457031
41.149    9.15451335906982    787.929748535156
41.247    10.8819465637207    790.929321289063
41.346    10.5518112182617    787.740234375
41.444    10.9788255691528    791.308837890625
41.542    15.5783586502075    788.613525390625
41.641    10.9206981658936    791.119323730469
41.739    15.9082450866699    788.119812011719
41.837    20.0807628631592    789.752258300781
41.936    14.6080751419067    788.46142578125
42.034    19.711877822876    789.410583496094
42.132    12.997145652771    787.208557128906
42.23    19.0908546447754    789.980163574219
42.329    11.4252157211304    787.398071289063
42.427    11.0175771713257    790.815551757813
42.525    12.7837619781494    787.550231933594
42.624    10.8819465637207    791.308837890625
42.722    14.5690746307373    788.309326171875
42.82    10.2803010940552    790.929321289063
42.919    12.9390172958374    788.613525390625
43.017    10.0666694641113    791.347229003906
43.115    13.8511734008789    788.613525390625
43.214    20.4106502532959    789.562683105469
43.312    15.1513442993164    788.081848144531
43.41    19.7315006256104    789.828552246094
43.508    13.9093017578125    787.740234375
