sec"   "mA"   "mV
0.153    -4.54670906066895    -19.1965770721436
0.251    -11.0674333572388    -12.9321432113647
0.349    -4.39145374298096    -9.66676425933838
0.446    -3.73168063163757    -5.83180379867554
0.544    -10.1552772521973    -0.592327117919922
0.642    -5.01247501373291    4.19177532196045
0.742    -10.1359014511108    8.89957714080811
0.842    -3.59580111503601    13.3420276641846
0.942    -10.1940288543701    17.7465705871582
1.042    -4.35270214080811    22.4164657592773
1.143    -12.1348457336426    27.618034362793
1.243    -4.44958162307739    32.1742095947266
1.343    -4.48833322525024    37.6037101745605
1.443    -4.54670906066895    41.0586242675781
1.543    -4.02256727218628    46.829776763916
1.644    -3.07165908813477    49.9814300537109
1.744    -4.37207794189453    56.3979797363281
1.844    -4.25557422637939    60.1945495605469
1.944    -3.32404232025146    65.5861434936523
2.044    -3.61517715454102    68.7373123168945
2.144    -4.31370210647583    74.9264144897461
2.245    -2.97477984428406    78.4192352294922
2.345    -3.61517715454102    84.2287826538086
2.445    -8.66085147857666    88.974494934082
2.545    -3.94506359100342    93.9102249145508
2.645    -8.09820652008057    98.8464431762695
2.746    -2.56714129447937    103.060958862305
2.846    -7.67119216918945    108.489974975586
2.946    -2.81952452659607    112.097007751465
3.046    -8.56397247314453    117.640716552734
3.146    -3.14941096305847    121.778930664063
3.247    -7.16667413711548    126.753059387207
3.347    -10.9509305953979    132.220458984375
3.447    -8.09820652008057    136.66242980957
3.547    -10.9896821975708    141.901901245117
3.647    -7.94295072555542    145.357299804688
3.748    -10.6210432052612    151.128448486328
3.848    -8.73860359191895    155.077133178711
3.948    -9.88351821899414    160.240798950195
4.048    -8.79673099517822    164.606948852539
4.148    -9.39837646484375    169.61897277832
4.249    -10.2717809677124    174.060943603516
4.349    -9.57300758361816    179.186706542969
4.449    -10.2327814102173    183.0595703125
4.549    -8.85510730743408    188.451156616211
4.649    -11.688455581665    192.703582763672
4.75    -8.23408603668213    197.677230834961
4.85    -11.3973207473755    201.663818359375
4.95    -7.36068105697632    206.979598999023
5.05    -11.7659587860107    211.117813110352
5.15    1.99339139461517    215.142791748047
5.251    -14.754810333252    221.179779052734
5.351    1.35299408435822    224.824722290039
5.451    -11.5138235092163    229.646255493164
5.551    0.829100430011749    233.860763549805
5.651    -11.8049583435059    239.138641357422
5.752    2.01276731491089    242.707275390625
5.852    -14.8323135375977    248.858474731445
5.952    1.5082494020462    252.313385009766
6.052    -13.5515193939209    258.198760986328
6.152    0.479838013648987    261.919494628906
6.253    -5.3617377281189    268.373962402344
6.353    0.208079040050507    271.828857421875
6.453    -6.44852495193481    277.524200439453
6.553    0.906603872776031    280.523742675781
6.653    -5.32298612594604    287.396148681641
6.754    1.93526375293732    289.560272216797
6.854    -5.40048933029175    296.394287109375
6.954    1.21711456775665    298.786346435547
7.054    -3.57642531394958    305.848297119141
7.154    -7.30255365371704    310.594482421875
7.255    -5.18710660934448    315.41650390625
7.355    -5.86625528335571    319.706848144531
