sec"   "mA"   "mV
0.156    -12.1929731369019    -22.3482322692871
0.254    -10.407660484314    -20.6394863128662
0.351    -9.49550437927246    -18.7032947540283
0.449    -8.89385890960693    -16.8808250427246
0.546    -8.64147567749023    -15.2478933334351
0.644    -8.38934135437012    -13.3496103286743
0.742    -8.31158924102783    -11.6787700653076
0.839    -8.21446132659912    -10.0463237762451
0.937    -8.11758232116699    -8.26176261901855
1.035    -8.05920600891113    -6.3634786605835
1.132    -8.00107860565186    -4.73054647445679
1.23    -8.02045440673828    -2.94647097587585
1.327    -7.94295072555542    -1.16190946102142
1.425    -7.94295072555542    0.850582361221313
1.525    -7.92357492446899    2.52093601226807
1.626    -7.90395069122314    4.34340476989746
1.726    -7.88457489013672    5.9384298324585
1.826    -7.90395069122314    8.02673625946045
1.926    -7.90395069122314    9.62127494812012
2.026    -7.94295072555542    11.4816513061523
2.127    -7.88457489013672    13.3799352645874
2.227    -7.88457489013672    14.9365663528442
2.327    -7.78769540786743    16.8353366851807
2.427    -7.80707168579102    18.5435962677002
2.527    -7.86519908905029    20.518180847168
2.628    -7.84582328796387    22.1885356903076
2.728    -7.80707168579102    23.8972816467285
2.828    -7.76831960678101    26.0614032745361
2.928    -7.82644748687744    27.7317562103271
3.028    -7.69056797027588    29.5542259216309
3.129    -7.72931957244873    31.4150886535645
3.229    -7.74869537353516    33.1991653442383
3.329    -7.7099437713623    35.0979347229004
3.429    -7.69056797027588    36.9204025268555
3.529    -7.76831960678101    38.7049674987793
3.63    -7.69056797027588    40.4511337280273
3.73    -7.72931957244873    42.5015335083008
3.83    -7.7099437713623    43.9444427490234
3.93    -7.69056797027588    45.9564476013184
4.03    -7.72931957244873    47.817310333252
4.131    -7.72931957244873    49.5255699157715
4.231    -7.72931957244873    51.3101348876953
4.331    -7.69056797027588    53.322624206543
4.431    -7.63244009017944    54.8034400939941
4.532    -7.67119216918945    56.7775421142578
4.632    -7.67119216918945    58.258358001709
4.732    -7.7099437713623    60.3087577819824
4.832    -7.7099437713623    62.169132232666
4.932    -7.63244009017944    63.9157867431641
5.033    -7.69056797027588    65.7761611938477
5.133    -7.69056797027588    67.522331237793
5.233    -7.67119216918945    69.3831939697266
5.333    -7.69056797027588    71.2056655883789
5.433    -7.69056797027588    72.9897384643555
5.534    -7.72931957244873    74.6605758666992
5.634    -7.72931957244873    76.5588607788086
5.734    -7.63244009017944    78.457633972168
5.834    -7.7099437713623    80.2037963867188
