sec"   "mA"   "mV
0.154    23.8262672424316    986.579345703125
0.252    18.295202255249    986.579345703125
0.351    15.5006065368652    986.540954589844
0.449    13.4047832489014    986.617248535156
0.547    12.1043643951416    986.731018066406
0.646    11.0175771713257    986.540954589844
0.744    10.0279178619385    986.8447265625
0.842    9.34876823425293    986.540954589844
0.941    8.70837116241455    986.579345703125
1.039    8.02897357940674    986.503051757813
1.137    7.62158393859863    986.540954589844
1.236    7.05869007110596    986.540954589844
1.334    6.53479671478271    986.768920898438
1.432    6.1852855682373    986.540954589844
1.531    5.8553991317749    986.617248535156
1.629    5.48676109313965    986.655151367188
1.727    5.2731294631958    986.731018066406
1.826    4.96261882781982    986.465148925781
1.924    4.69110822677612    986.540954589844
2.022    4.53585290908813    986.465148925781
2.121    4.26409387588501    986.540954589844
2.219    4.07008695602417    986.617248535156
2.317    3.8564555644989    986.540954589844
2.416    3.62369680404663    986.768920898438
2.514    3.44906544685364    986.617248535156
2.612    3.29381012916565    986.693115234375
2.71    3.08017873764038    986.617248535156
2.809    3.06080293655396    986.731018066406
2.907    2.71154046058655    986.540954589844
3.005    2.71154046058655    986.465148925781
3.104    2.47853326797485    986.503051757813
3.202    2.38165402412415    986.540954589844
3.3    2.28452610969543    986.617248535156
3.399    2.12927079200745    986.693115234375
3.497    2.05176734924316    986.617248535156
3.595    1.97401547431946    986.503051757813
3.694    1.85751187801361    986.579345703125
3.792    1.68288064002991    986.693115234375
3.89    1.60537719726563    986.579345703125
3.989    1.43074595928192    986.731018066406
4.087    1.35299408435822    986.540954589844
4.185    1.27549064159393    986.617248535156
4.284    1.08123517036438    986.806823730469
4.382    1.04248332977295    986.617248535156
4.48    0.887228012084961    986.693115234375
4.579    0.790348708629608    986.806823730469
4.677    0.673845112323761    986.617248535156
4.775    0.615469098091125    986.617248535156
4.874    0.460213720798492    986.465148925781
4.972    0.402086108922958    986.693115234375
5.07    0.324582666158676    986.465148925781
5.169    0.227454900741577    986.540954589844
5.267    0.169327303767204    986.540954589844
5.365    0.0721995607018471    986.693115234375
5.464    -0.0249281860888004    986.579345703125
5.562    -0.102431654930115    986.768920898438
5.66    -0.141183391213417    986.617248535156
5.759    -0.180183529853821    986.693115234375
5.857    -0.277062863111496    986.617248535156
5.955    -0.335438877344131    986.579345703125
6.054    -0.432318210601807    986.540954589844
6.152    -0.471318364143372    986.655151367188
6.25    -0.490694224834442    986.768920898438
6.349    -0.548821806907654    986.8447265625
6.447    -0.58757358789444    986.806823730469
6.545    -0.723453044891357    986.617248535156
6.644    -0.704077184200287    986.617248535156
6.742    -0.742828905582428    986.617248535156
6.84    -0.801204919815063    986.655151367188
6.938    -0.859332501888275    986.465148925781
7.037    -0.898084282875061    986.540954589844
7.135    -0.975836157798767    986.655151367188
7.233    -1.07271552085876    986.768920898438
7.332    -1.07271552085876    986.617248535156
7.43    -1.1698431968689    986.617248535156
7.528    -1.1698431968689    986.693115234375
7.627    -1.1698431968689    986.617248535156
7.725    -1.18921911716461    986.693115234375
7.823    -1.38322615623474    986.693115234375
7.922    -1.3444744348526    986.540954589844
8.02    -1.38322615623474    986.617248535156
8.118    -1.44160223007202    986.731018066406
8.217    -1.44160223007202    986.693115234375
8.315    -1.5191056728363    986.693115234375
8.413    -1.61623334884644    986.655151367188
8.512    -1.71336114406586    986.540954589844
8.61    -1.77148878574371    986.579345703125
8.708    -1.71336114406586    986.768920898438
8.807    -1.752112865448    986.540954589844
8.905    -1.77148878574371    986.731018066406
9.003    -1.81024050712585    986.806823730469
9.102    -1.98487174510956    986.768920898438
9.2    -1.848992228508    986.693115234375
9.298    -1.98487174510956    986.768920898438
9.397    -1.98487174510956    986.617248535156
9.495    -2.08199954032898    986.693115234375
9.593    -2.02387189865112    986.693115234375
9.692    -2.15950298309326    986.655151367188
9.79    -2.14012694358826    986.540954589844
9.888    -2.19850301742554    986.768920898438
9.987    -2.25663065910339    986.693115234375
10.085    -2.21787881851196    986.693115234375
10.183    -2.29538249969482    986.768920898438
10.281    -2.31475830078125    986.655151367188
10.38    -2.35375833511353    986.617248535156
10.478    -2.43126177787781    986.693115234375
10.576    -2.3343825340271    986.540954589844
10.675    -2.43126177787781    986.768920898438
10.773    -2.45063781738281    986.768920898438
10.871    -2.45063781738281    986.693115234375
10.97    -2.47001361846924    986.806823730469
11.068    -2.52838969230652    986.579345703125
11.166    -2.56714129447937    986.693115234375
11.265    -2.64489316940308    986.768920898438
11.363    -2.58651733398438    986.768920898438
11.461    -2.56714129447937    986.693115234375
11.56    -2.72239661216736    986.883117675781
11.658    -2.74177265167236    986.693115234375
11.756    -2.68364500999451    986.693115234375
11.855    -2.74177265167236    986.768920898438
11.953    -2.74177265167236    986.693115234375
12.051    -2.78052425384521    986.693115234375
12.15    -2.85827612876892    986.693115234375
12.248    -2.81952452659607    986.617248535156
12.346    -2.8389003276825    986.693115234375
12.445    -2.89702796936035    986.579345703125
12.543    -2.95540404319763    986.540954589844
12.641    -2.9357795715332    986.693115234375
12.739    -3.01353144645691    986.540954589844
12.838    -3.01353144645691    986.693115234375
12.936    -2.95540404319763    986.465148925781
13.034    -3.05228328704834    986.693115234375
13.133    -2.97477984428406    986.617248535156
13.231    -3.09103488922119    986.617248535156
13.329    -3.09103488922119    986.617248535156
13.428    -3.09103488922119    986.693115234375
13.526    -3.20753860473633    986.617248535156
13.624    -3.13003516197205    986.617248535156
13.723    -3.20753860473633    986.655151367188
13.821    -3.22691440582275    986.655151367188
13.919    -3.20753860473633    986.768920898438
14.018    -3.22691440582275    986.579345703125
14.116    -3.20753860473633    986.389343261719
14.214    -3.24629044532776    986.693115234375
14.313    -3.30466628074646    986.617248535156
14.411    -3.30466628074646    986.731018066406
14.509    -3.30466628074646    986.503051757813
14.608    -3.34341812133789    986.693115234375
14.706    -3.30466628074646    986.540954589844
14.804    -3.30466628074646    986.8447265625
14.902    -3.28529047966003    986.579345703125
15.001    -3.4211699962616    986.579345703125
15.099    -3.38216972351074    986.540954589844
15.197    -3.38216972351074    986.768920898438
15.296    -3.34341812133789    986.731018066406
15.394    -3.40154576301575    986.617248535156
15.492    -3.49867343902588    986.768920898438
15.591    -3.53742527961731    986.693115234375
15.689    -3.53742527961731    986.731018066406
15.787    -3.5180492401123    986.806823730469
15.886    -3.49867343902588    986.465148925781
15.984    -3.55680108070374    986.693115234375
16.082    -3.59580111503601    986.693115234375
16.181    -3.57642531394958    986.540954589844
16.279    -3.63455295562744    986.540954589844
16.377    -3.57642531394958    986.617248535156
16.476    -3.49867343902588    986.693115234375
16.574    -3.65392875671387    986.693115234375
16.672    -3.71205639839172    986.806823730469
16.771    -3.6926805973053    986.617248535156
16.869    -3.65392875671387    986.617248535156
16.967    -3.6926805973053    986.693115234375
17.065    -3.65392875671387    986.617248535156
17.164    -3.6926805973053    986.768920898438
17.262    -3.63455295562744    986.579345703125
17.36    -3.770432472229    986.693115234375
17.459    -3.73168063163757    986.579345703125
17.557    -3.73168063163757    986.617248535156
17.655    -3.73168063163757    986.693115234375
17.754    -3.751056432724    986.617248535156
17.852    -3.65392875671387    986.617248535156
17.95    -3.78980827331543    986.693115234375
18.049    -3.6926805973053    986.693115234375
18.147    -3.78980827331543    986.768920898438
18.245    -3.751056432724    986.731018066406
18.344    -3.751056432724    986.693115234375
18.442    -3.751056432724    986.693115234375
18.54    -3.78980827331543    986.617248535156
