sec"   "mA"   "mV
0.153    -6.99204301834106    -22.4240474700928
0.251    -7.22480201721191    -21.9681873321533
0.349    -7.32192945480347    -21.6265354156494
0.446    -7.41880893707275    -20.8295078277588
0.544    -7.47718477249146    -20.4115562438965
0.642    -7.53531265258789    -19.8798809051514
0.739    -7.53531265258789    -19.5003204345703
0.837    -7.55468845367432    -19.0449466705322
0.934    -7.55468845367432    -18.3995494842529
1.032    -7.53531265258789    -18.1716194152832
1.13    -7.51593685150146    -17.4499225616455
1.227    -7.53531265258789    -17.0703620910645
1.325    -7.51593685150146    -16.4628734588623
1.422    -7.53531265258789    -16.0833129882813
1.52    -7.57406425476074    -15.7795686721802
1.618    -7.53531265258789    -15.3621015548706
1.715    -7.53531265258789    -14.6783113479614
1.813    -7.65181589126587    -14.2608442306519
1.911    -7.57406425476074    -13.9950065612793
2.008    -7.59344005584717    -13.4254245758057
2.106    -7.59344005584717    -13.0079574584961
2.204    -7.63244009017944    -12.2862596511841
2.301    -7.59344005584717    -11.7929782867432
2.399    -7.55468845367432    -11.4134187698364
2.496    -7.51593685150146    -10.9196510314941
2.594    -7.63244009017944    -10.5016984939575
2.692    -7.63244009017944    -9.93260192871094
2.789    -7.59344005584717    -9.28671932220459
2.887    -7.53531265258789    -8.90715980529785
2.985    -7.65181589126587    -8.29967021942139
3.082    -7.51593685150146    -7.69218015670776
3.18    -7.59344005584717    -7.35052824020386
3.278    -7.57406425476074    -6.85676050186157
3.375    -7.59344005584717    -6.439293384552
3.473    -7.69056797027588    -5.86971139907837
3.57    -7.59344005584717    -5.49015188217163
3.668    -7.57406425476074    -5.14849948883057
3.766    -7.59344005584717    -4.73054647445679
3.863    -7.59344005584717    -4.27517223358154
3.961    -7.65181589126587    -3.70559000968933
4.058    -7.51593685150146    -3.28812313079834
4.156    -7.57406425476074    -2.60433292388916
4.254    -7.57406425476074    -2.22477340698242
4.351    -7.59344005584717    -1.80730640888214
4.449    -7.61306428909302    -1.27563142776489
4.547    -7.59344005584717    -0.820257246494293
4.644    -7.53531265258789    -0.364396989345551
4.742    -7.59344005584717    0.205185323953629
4.842    -7.57406425476074    0.584744870662689
4.942    -7.61306428909302    1.23014187812805
5.042    -7.45780897140503    1.68600213527679
5.143    -7.53531265258789    2.29349184036255
5.243    -7.59344005584717    2.63514399528503
5.343    -7.53531265258789    3.31844830513
5.443    -7.57406425476074    3.50847101211548
5.544    -7.59344005584717    4.15386819839478
5.644    -7.61306428909302    4.64714956283569
5.744    -7.53531265258789    5.14091730117798
5.844    -7.55468845367432    5.52047681808472
5.944    -7.53531265258789    6.2042670249939
6.045    -7.59344005584717    6.62173414230347
6.145    -7.55468845367432    7.11550188064575
6.245    -7.57406425476074    7.34294605255127
6.345    -7.59344005584717    8.17836570739746
6.445    -7.51593685150146    8.33048057556152
6.546    -7.55468845367432    9.12750720977783
6.646    -7.55468845367432    9.43125247955322
6.746    -7.59344005584717    9.84920501708984
6.846    -7.59344005584717    10.532509803772
6.946    -7.47718477249146    10.9120693206787
7.047    -7.55468845367432    11.3679294586182
7.147    -7.57406425476074    11.9754190444946
7.247    -7.55468845367432    12.4307928085327
7.347    -7.59344005584717    12.8482599258423
7.447    -7.63244009017944    13.3420276641846
7.548    -7.57406425476074    13.7594947814941
7.648    -7.59344005584717    14.3290767669678
7.748    -7.53531265258789    14.8607521057129
7.848    -7.41880893707275    15.0886821746826
7.948    -7.63244009017944    15.6961717605591
8.049    -7.51593685150146    16.0757312774658
8.149    -7.57406425476074    16.4931983947754
8.249    -7.59344005584717    16.9490585327148
8.349    -7.57406425476074    17.3665256500244
8.449    -7.57406425476074    17.8602924346924
8.55    -7.53531265258789    18.354061126709
8.65    -7.57406425476074    18.9994583129883
8.75    -7.57406425476074    19.4927387237549
8.85    -7.53531265258789    20.0244140625
8.95    -7.53531265258789    20.1765289306641
9.051    -7.65181589126587    20.8219261169434
9.151    -7.57406425476074    21.391508102417
9.251    -7.47718477249146    21.8089752197266
9.351    -7.53531265258789    22.4922790527344
9.451    -7.57406425476074    22.9102325439453
9.552    -7.55468845367432    23.4035148620605
9.652    -7.63244009017944    23.8972816467285
9.752    -7.59344005584717    24.3526554107666
9.852    -7.55468845367432    24.6943092346191
9.952    -7.57406425476074    25.4160060882568
10.053    -7.59344005584717    25.6818428039551
10.153    -7.53531265258789    26.1751251220703
10.253    -7.59344005584717    26.3272399902344
10.353    -7.63244009017944    27.0484523773193
10.453    -7.51593685150146    27.5422191619873
10.554    -7.51593685150146    28.1118030548096
10.654    -7.59344005584717    28.7192916870117
10.754    -7.63244009017944    29.0988521575928
10.854    -7.61306428909302    29.4025955200195
10.954    -7.53531265258789    30.2759227752686
11.055    -7.59344005584717    30.7692050933838
11.155    -7.59344005584717    31.1871585845947
11.255    -7.51593685150146    31.6046257019043
11.355    -7.57406425476074    32.1742095947266
11.455    -7.59344005584717    32.553768157959
11.556    -7.59344005584717    33.0096282958984
11.656    -7.57406425476074    33.6171188354492
11.756    -7.61306428909302    34.0345840454102
11.856    -7.55468845367432    34.6420745849609
11.956    -7.63244009017944    34.9837265014648
12.057    -7.57406425476074    35.5154037475586
12.157    -7.69056797027588    36.0470771789551
12.257    -7.57406425476074    36.6166610717773
12.357    -7.61306428909302    37.1862411499023
12.457    -7.57406425476074    37.4899864196777
12.558    -7.57406425476074    37.9453620910645
12.658    -7.61306428909302    38.3249206542969
12.758    -7.57406425476074    39.0466194152832
12.858    -7.51593685150146    39.4261779785156
12.958    -7.53531265258789    39.8815536499023
13.059    -7.59344005584717    40.3374137878418
13.159    -7.53531265258789    40.9069938659668
13.259    -7.65181589126587    41.324462890625
13.359    -7.57406425476074    41.7424125671387
13.459    -7.59344005584717    42.4257202148438
13.56    -7.57406425476074    42.7673721313477
13.66    -7.51593685150146    43.2227439880371
13.76    -7.55468845367432    43.7165107727051
13.86    -7.47718477249146    44.2860946655273
13.96    -7.53531265258789    44.6656532287598
14.061    -7.57406425476074    45.1973304748535
14.161    -7.61306428909302    45.72900390625
14.261    -7.53531265258789    46.2601928710938
14.361    -7.65181589126587    46.6402397155762
14.461    -7.59344005584717    47.247730255127
14.562    -7.63244009017944    47.6272888183594
14.662    -7.51593685150146    48.2726860046387
14.762    -7.59344005584717    48.6901512145996
14.862    -7.63244009017944    49.0322914123535
14.962    -7.49656057357788    49.7535018920898
15.063    -7.61306428909302    49.9814300537109
15.163    -7.55468845367432    50.5126190185547
15.263    -7.53531265258789    51.234317779541
15.363    -7.61306428909302    51.6138763427734
15.463    -7.53531265258789    52.0313453674316
15.564    -7.59344005584717    52.4113922119141
15.664    -7.57406425476074    53.0946960449219
15.764    -7.51593685150146    53.5121612548828
15.864    -7.57406425476074    53.9301147460938
15.964    -7.55468845367432    54.5376052856445
16.065    -7.61306428909302    54.6134185791016
16.165    -7.57406425476074    55.3346290588379
16.265    -7.57406425476074    55.6004676818848
16.365    -7.51593685150146    56.4358863830566
16.465    -7.53531265258789    56.7775421142578
16.566    -7.63244009017944    57.1571006774902
16.666    -7.49656057357788    57.6508674621582
16.766    -7.51593685150146    58.2962646484375
16.866    -7.57406425476074    58.827938079834
16.966    -7.47718477249146    59.0174751281738
17.067    -7.59344005584717    59.7012672424316
17.167    -7.51593685150146    60.005012512207
17.267    -7.55468845367432    60.7641296386719
17.367    -7.53531265258789    61.0299682617188
17.467    -7.51593685150146    61.8274803161621
17.568    -7.63244009017944    62.3586692810059
17.668    -7.55468845367432    62.8145294189453
17.768    -7.63244009017944    63.1182746887207
17.868    -7.55468845367432    63.7257652282715
17.968    -7.49656057357788    64.2195281982422
18.069    -7.53531265258789    64.5990905761719
18.169    -7.57406425476074    65.2823944091797
18.269    -7.57406425476074    65.6240463256836
18.369    -7.53531265258789    66.1936264038086
18.469    -7.51593685150146    66.6874008178711
18.57    -7.57406425476074    67.029052734375
18.67    -7.61306428909302    67.5607223510742
18.77    -7.57406425476074    67.9402847290039
18.87    -7.55468845367432    68.3956604003906
18.97    -7.63244009017944    68.6614990234375
19.071    -7.53531265258789    69.3068923950195
19.171    -7.51593685150146    69.9522933959961
19.271    -7.51593685150146    70.6360778808594
19.371    -7.57406425476074    71.0914535522461
19.471    -7.57406425476074    71.509407043457
19.571    -7.69056797027588    72.002685546875
19.672    -7.53531265258789    72.2685241699219
19.772    -7.57406425476074    72.8002014160156
19.872    -7.57406425476074    73.2555770874023
19.972    -7.47718477249146    73.5972290039063
20.072    -7.51593685150146    73.7114334106445
20.173    -7.57406425476074    74.5084609985352
20.273    -7.59344005584717    75.343879699707
20.373    -7.57406425476074    75.7997436523438
20.473    -7.55468845367432    76.2172088623047
20.573    -7.57406425476074    76.9005126953125
20.674    -7.55468845367432    77.1284408569336
20.774    -7.57406425476074    77.2805557250977
20.874    -7.59344005584717    78.1538848876953
20.974    -7.53531265258789    78.4955368041992
21.074    -7.61306428909302    79.2167510986328
21.175    -7.41880893707275    79.5584030151367
21.275    -7.49656057357788    80.2037963867188
21.375    -7.41880893707275    80.8112869262695
21.475    -7.53531265258789    80.8875885009766
21.575    -7.51593685150146    81.798828125
21.676    -7.65181589126587    82.1404800415039
21.776    -7.53531265258789    82.5579452514648
21.876    -7.51593685150146    83.0896148681641
21.976    -7.51593685150146    83.3933639526367
22.076    -7.59344005584717    83.7729263305664
22.177    -7.47718477249146    84.5325241088867
22.277    -7.51593685150146    84.9878997802734
22.377    -7.53531265258789    85.4053726196289
22.477    -7.49656057357788    85.8612289428711
22.577    -7.51593685150146    86.202880859375
22.678    -7.51593685150146    86.696647644043
22.778    -7.51593685150146    87.0762100219727
22.878    -7.57406425476074    87.7595138549805
22.978    -7.59344005584717    88.0632553100586
23.078    -7.57406425476074    88.5570220947266
23.179    -7.57406425476074    89.3540496826172
23.279    -7.47718477249146    89.4303512573242
23.379    -7.57406425476074    89.9999313354492
23.479    -7.57406425476074    90.4932174682617
23.579    -7.51593685150146    90.9869842529297
23.68    -7.59344005584717    91.4044494628906
23.78    -7.43818473815918    91.6702880859375
23.88    -7.59344005584717    92.2777786254883
23.98    -7.53531265258789    92.6194305419922
24.08    -7.53531265258789    93.4927597045898
24.181    -7.47718477249146    93.8344116210938
24.281    -7.51593685150146    94.1002502441406
24.381    -7.57406425476074    94.7077331542969
24.481    -7.49656057357788    95.0493850708008
24.581    -7.53531265258789    95.6189727783203
24.682    -7.51593685150146    96.2264633178711
24.782    -7.59344005584717    96.7960433959961
24.882    -7.55468845367432    97.2514190673828
24.982    -7.47718477249146    97.2898101806641
25.082    -7.57406425476074    98.1247482299805
25.183    -7.47718477249146    98.8085327148438
25.283    -7.51593685150146    99.3018188476563
25.383    -7.53531265258789    99.7576751708984
25.483    -7.57406425476074    100.061424255371
25.583    -7.51593685150146    100.592613220215
25.684    -7.53531265258789    101.16219329834
25.784    -7.51593685150146    101.769683837891
25.884    -7.47718477249146    101.997611999512
25.984    -7.53531265258789    102.718826293945
26.084    -7.53531265258789    102.946754455566
26.185    -7.53531265258789    103.782173156738
26.285    -7.53531265258789    104.048011779785
26.385    -7.51593685150146    104.465476989746
26.485    -7.51593685150146    105.110877990723
26.585    -7.59344005584717    105.490921020508
26.686    -7.51593685150146    105.984199523926
26.786    -7.53531265258789    106.629600524902
26.886    -7.51593685150146    107.351295471191
26.986    -7.55468845367432    107.427108764648
27.086    -7.55468845367432    107.920883178711
27.186    -7.53531265258789    108.489974975586
27.287    -7.43818473815918    108.870018005371
27.387    -7.45780897140503    109.211669921875
27.487    -7.65181589126587    109.894981384277
27.587    -7.47718477249146    110.464561462402
27.687    -7.51593685150146    110.844116210938
27.788    -7.59344005584717    111.223678588867
27.888    -7.45780897140503    111.717445373535
27.988    -7.57406425476074    112.249122619629
28.088    -7.49656057357788    112.85661315918
28.188    -7.53531265258789    113.236167907715
28.289    -7.65181589126587    113.881568908691
28.389    -7.45780897140503    114.261131286621
28.489    -7.43818473815918    114.641174316406
28.589    -7.47718477249146    115.17236328125
28.689    -7.51593685150146    115.552406311035
28.79    -7.51593685150146    115.894058227539
28.89    -7.41880893707275    116.615272521973
28.99    -7.49656057357788    116.88111114502
29.09    -7.57406425476074    117.640716552734
29.19    -7.55468845367432    118.096092224121
29.291    -7.67119216918945    118.437744140625
29.391    -7.53531265258789    119.00732421875
29.491    -7.43818473815918    119.539001464844
29.591    -7.53531265258789    120.070671081543
29.691    -7.49656057357788    120.450233459473
29.792    -7.47718477249146    121.057723999023
29.892    -7.53531265258789    121.32356262207
29.992    -7.53531265258789    121.741027832031
30.092    -7.51593685150146    122.310607910156
30.192    -7.51593685150146    122.956008911133
30.293    -7.51593685150146    123.335563659668
30.393    -7.55468845367432    123.980964660645
30.493    -7.47718477249146    124.36100769043
30.593    -7.57406425476074    125.006401062012
30.693    -7.59344005584717    125.385963439941
30.794    -7.47718477249146    125.727615356445
30.894    -7.53531265258789    126.373016357422
30.994    -7.51593685150146    126.638847351074
31.094    -7.53531265258789    127.246337890625
31.194    -7.55468845367432    127.81591796875
31.295    -7.41880893707275    128.309677124023
31.395    -7.53531265258789    128.879272460938
31.495    -7.53531265258789    129.410461425781
31.595    -7.53531265258789    129.790496826172
31.695    -7.61306428909302    130.283782958984
31.796    -7.47718477249146    130.967086791992
31.896    -7.47718477249146    131.422943115234
31.996    -7.51593685150146    131.840408325195
32.096    -7.41880893707275    132.296279907227
32.196    -7.57406425476074    132.827941894531
32.297    -7.55468845367432    133.321228027344
32.397    -7.39943313598633    133.815002441406
32.497    -7.51593685150146    134.232467651367
32.597    -7.51593685150146    134.764144897461
32.697    -7.49656057357788    135.219512939453
32.798    -7.51593685150146    135.637466430664
32.898    -7.51593685150146    136.24494934082
32.998    -7.53531265258789    136.776626586914
33.098    -7.39943313598633    137.156188964844
33.198    -7.45780897140503    137.80158996582
33.298    -7.41880893707275    138.219055175781
33.399    -7.57406425476074    138.674911499023
33.499    -7.61306428909302    139.130294799805
33.599    -7.51593685150146    139.737777709961
33.699    -7.49656057357788    140.041519165039
33.799    -7.43818473815918    140.649017333984
33.9    -7.57406425476074    141.142776489258
34    -7.3800573348999    141.674453735352
34.1    -7.3800573348999    142.091918945313
34.2    -7.51593685150146    142.509384155273
34.3    -7.49656057357788    143.078964233398
34.401    -7.43818473815918    143.382720947266
34.501    -7.43818473815918    144.104415893555
34.601    -7.51593685150146    144.446060180664
34.701    -7.41880893707275    145.129364013672
34.801    -7.43818473815918    145.395202636719
34.901    -7.47718477249146    145.888977050781
35.002    -7.45780897140503    146.572280883789
35.102    -7.55468845367432    146.648101806641
35.202    -7.51593685150146    147.407699584961
35.302    -7.51593685150146    147.863067626953
35.402    -7.43818473815918    148.394744873047
35.503    -7.47718477249146    148.888031005859
35.603    -7.45780897140503    149.381805419922
35.703    -7.51593685150146    149.799270629883
35.803    -7.51593685150146    150.44514465332
35.903    -7.47718477249146    150.786804199219
36.004    -7.51593685150146    151.280075073242
36.104    -7.32192945480347    151.849670410156
36.204    -7.43818473815918    152.419250488281
36.304    -7.51593685150146    152.798812866211
36.404    -7.49656057357788    153.406295776367
36.505    -7.41880893707275    153.975875854492
36.605    -7.49656057357788    154.355438232422
36.705    -7.45780897140503    154.773391723633
36.805    -7.49656057357788    155.228759765625
36.905    -7.47718477249146    155.608810424805
37.005    -7.47718477249146    156.139999389648
37.106    -7.51593685150146    156.443740844727
37.206    -7.47718477249146    157.089141845703
37.306    -7.45780897140503    157.544998168945
37.406    -7.47718477249146    158.038772583008
37.506    -7.45780897140503    158.722076416016
37.607    -7.47718477249146    159.253753662109
37.707    -7.43818473815918    159.709121704102
37.807    -7.53531265258789    160.01286315918
37.907    -7.43818473815918    160.430328369141
38.007    -7.53531265258789    160.962005615234
38.108    -7.47718477249146    161.531585693359
38.208    -7.51593685150146    162.063262939453
38.308    -7.53531265258789    162.480728149414
38.408    -7.43818473815918    163.088226318359
38.508    -7.53531265258789    163.581985473633
38.609    -7.45780897140503    163.771530151367
38.709    -7.41880893707275    164.379013061523
38.809    -7.59344005584717    164.759063720703
38.909    -7.53531265258789    165.366546630859
39.009    -7.47718477249146    165.708206176758
39.109    -7.49656057357788    166.277786254883
39.21    -7.47718477249146    166.923187255859
39.31    -7.51593685150146    167.226928710938
39.41    -7.47718477249146    167.796508789063
39.51    -7.49656057357788    168.213973999023
39.61    -7.43818473815918    168.859375
39.711    -7.45780897140503    169.353149414063
39.811    -7.51593685150146    169.846908569336
39.911    -7.51593685150146    170.264373779297
40.011    -7.51593685150146    170.758148193359
40.111    -7.39943313598633    171.479354858398
40.212    -7.47718477249146    171.896820068359
40.312    -7.47718477249146    172.200561523438
40.412    -7.43818473815918    172.770156860352
40.512    -7.45780897140503    173.301818847656
40.612    -7.45780897140503    173.529754638672
40.713    -7.47718477249146    174.21305847168
40.813    -7.41880893707275    174.668426513672
40.913    -7.43818473815918    175.275924682617
41.013    -7.36068105697632    175.503860473633
41.113    -7.45780897140503    176.111343383789
41.214    -7.47718477249146    176.718826293945
41.314    -7.43818473815918    177.212600708008
41.414    -7.49656057357788    177.70588684082
41.514    -7.43818473815918    178.275466918945
41.614    -7.51593685150146    178.769226074219
41.714    -7.3800573348999    179.338821411133
41.815    -7.41880893707275    179.756286621094
41.915    -7.41880893707275    180.287963867188
42.015    -7.43818473815918    180.553787231445
42.115    -7.43818473815918    181.009170532227
42.215    -7.47718477249146    181.616653442383
42.316    -7.51593685150146    181.996704101563
42.416    -7.47718477249146    182.604187011719
