sec"   "mA"   "mV
0.153    -6.73965978622437    -23.6390266418457
0.251    -7.06954622268677    -22.917329788208
0.349    -7.14729833602905    -22.0444869995117
0.446    -7.22480201721191    -21.1332530975342
0.544    -7.30255365371704    -20.3357410430908
0.642    -7.30255365371704    -19.5382289886475
0.739    -7.39943313598633    -18.9686470031738
0.837    -7.41880893707275    -17.7920608520508
0.935    -7.41880893707275    -17.2224788665771
1.032    -7.43818473815918    -16.3870582580566
1.13    -7.51593685150146    -15.5516386032104
1.228    -7.3800573348999    -14.7162189483643
1.325    -7.47718477249146    -14.0329141616821
1.423    -7.53531265258789    -13.0837726593018
1.521    -7.49656057357788    -12.3246536254883
1.619    -7.51593685150146    -11.4892339706421
1.716    -7.47718477249146    -10.7296285629272
1.814    -7.55468845367432    -9.85630130767822
1.912    -7.49656057357788    -9.13508987426758
2.009    -7.49656057357788    -8.29967021942139
2.107    -7.47718477249146    -7.54055070877075
2.204    -7.47718477249146    -6.62931632995605
2.302    -7.47718477249146    -6.05973386764526
2.4    -7.49656057357788    -5.1864070892334
2.497    -7.51593685150146    -4.27517223358154
2.595    -7.51593685150146    -3.59186792373657
2.693    -7.53531265258789    -2.60433292388916
2.79    -7.39943313598633    -1.76939904689789
2.888    -7.47718477249146    -0.933979272842407
2.986    -7.59344005584717    -0.2127675563097
3.083    -7.49656057357788    0.698466956615448
3.184    -7.51593685150146    1.38225734233856
3.284    -7.47718477249146    2.36930656433105
3.384    -7.59344005584717    3.20472621917725
3.484    -7.57406425476074    3.96384525299072
3.585    -7.53531265258789    4.76135778427124
3.685    -7.51593685150146    5.71049976348877
3.785    -7.51593685150146    6.2042670249939
3.885    -7.57406425476074    7.19131660461426
3.986    -7.61306428909302    7.98834276199341
4.086    -7.53531265258789    8.74794769287109
4.186    -7.53531265258789    9.58336734771729
4.286    -7.49656057357788    10.5704164505005
4.387    -7.49656057357788    11.3679294586182
4.487    -7.49656057357788    12.0133266448975
4.587    -7.51593685150146    12.924560546875
4.687    -7.53531265258789    13.6078653335571
4.788    -7.43818473815918    14.5190992355347
4.888    -7.53531265258789    15.2403116226196
4.988    -7.45780897140503    16.265754699707
5.088    -7.53531265258789    16.9111518859863
5.189    -7.59344005584717    17.7844772338867
5.289    -7.51593685150146    18.5815048217773
5.389    -7.55468845367432    19.5690402984619
5.489    -7.53531265258789    20.2523441314697
5.59    -7.55468845367432    21.2014865875244
5.69    -7.55468845367432    21.8468837738037
5.79    -7.47718477249146    22.7960243225098
5.89    -7.53531265258789    23.7072601318359
5.99    -7.47718477249146    24.2768421173096
6.091    -7.49656057357788    25.1880760192871
6.191    -7.51593685150146    26.0993099212646
6.291    -7.57406425476074    26.8205223083496
6.391    -7.43818473815918    27.6938495635986
6.492    -7.51593685150146    28.4534549713135
6.592    -7.53531265258789    29.364688873291
6.692    -7.51593685150146    30.23801612854
6.792    -7.53531265258789    30.959228515625
6.893    -7.51593685150146    31.8704643249512
