sec"   "mA"   "mV
0.543    -8.02045440673828    -217.997817993164
1.03    -7.98170280456543    -213.935409545898
1.517    -7.88457489013672    -209.720886230469
2.004    -7.80707168579102    -205.810119628906
2.491    -7.82644748687744    -201.405578613281
2.978    -7.90395069122314    -197.722732543945
3.464    -7.82644748687744    -193.66032409668
3.951    -7.84582328796387    -189.521621704102
4.438    -7.86519908905029    -185.61083984375
4.925    -7.80707168579102    -181.358413696289
5.412    -7.76831960678101    -177.409729003906
5.899    -7.78769540786743    -173.271514892578
6.386    -7.78769540786743    -169.398635864258
6.873    -7.82644748687744    -165.374145507813
7.36    -7.78769540786743    -161.501281738281
7.847    -7.74869537353516    -157.476776123047
8.334    -7.72931957244873    -153.185958862305
8.821    -7.63244009017944    -149.085647583008
9.308    -7.65181589126587    -145.250686645508
9.795    -7.72931957244873    -141.036163330078
10.282    -7.72931957244873    -136.973754882813
10.769    -7.59344005584717    -133.253005981445
11.256    -7.7099437713623    -129.114303588867
11.743    -7.59344005584717    -125.127708435059
12.229    -7.63244009017944    -121.065299987793
12.716    -7.57406425476074    -116.774963378906
13.203    -7.59344005584717    -112.826286315918
13.69    -7.59344005584717    -108.915504455566
14.177    -7.57406425476074    -105.080543518066
14.664    -7.57406425476074    -100.903930664063
15.151    -7.43818473815918    -96.8415298461914
15.638    -7.57406425476074    -92.9686584472656
16.125    -7.53531265258789    -88.8299560546875
16.612    -7.39943313598633    -84.6538314819336
17.099    -7.53531265258789    -80.5151214599609
17.586    -7.63244009017944    -76.6422576904297
18.073    -7.51593685150146    -72.6556625366211
18.56    -7.55468845367432    -68.59326171875
19.047    -7.45780897140503    -64.6066665649414
19.534    -7.43818473815918    -60.5437774658203
20.021    -7.51593685150146    -56.5571899414063
20.508    -7.53531265258789    -52.4568748474121
20.995    -7.49656057357788    -48.470287322998
21.481    -7.43818473815918    -44.1415596008301
21.968    -7.47718477249146    -40.1928749084473
22.455    -7.47718477249146    -36.1304702758789
22.942    -7.57406425476074    -32.0680656433105
23.429    -7.57406425476074    -28.2331066131592
23.916    -7.55468845367432    -24.3223304748535
24.403    -7.43818473815918    -20.2599258422852
24.89    -7.43818473815918    -16.1970348358154
25.377    -7.51593685150146    -12.1346302032471
25.864    -7.49656057357788    -7.95801782608032
26.351    -7.47718477249146    -3.93352031707764
26.838    -7.43818473815918    0.356814742088318
27.338    -7.47718477249146    4.22968292236328
27.838    -7.49656057357788    8.21627330780029
28.338    -7.47718477249146    12.6208162307739
28.838    -7.3800573348999    16.683219909668
29.339    -7.3800573348999    20.4802742004395
29.839    -7.49656057357788    24.7706089019775
30.339    -7.41880893707275    28.9851303100586
30.839    -7.3800573348999    33.047534942627
31.339    -7.49656057357788    37.4136848449707
31.839    -7.39943313598633    41.7424125671387
32.339    -7.41880893707275    45.6910972595215
32.84    -7.34130525588989    49.7535018920898
33.34    -7.3800573348999    54.0817451477051
33.84    -7.3800573348999    57.8787956237793
34.34    -7.47718477249146    62.244945526123
34.84    -7.41880893707275    66.4594650268555
35.34    -7.3800573348999    70.3323364257813
35.84    -7.39943313598633    74.5468521118164
36.341    -7.41880893707275    78.8371887207031
36.841    -7.47718477249146    82.9754104614258
37.341    -7.39943313598633    86.9624862670898
37.841    -7.36068105697632    91.1386108398438
38.341    -7.41880893707275    95.1252059936523
38.841    -7.39943313598633    99.3018188476563
39.341    -7.3800573348999    103.554244995117
39.841    -7.41880893707275    107.692947387695
40.342    -7.47718477249146    111.755355834961
40.842    -7.39943313598633    115.969871520996
41.342    -7.36068105697632    120.070671081543
41.842    -7.41880893707275    124.323097229004
42.342    -7.3800573348999    128.309677124023
42.842    -7.36068105697632    132.485809326172
43.342    -7.3800573348999    136.548706054688
43.843    -7.3800573348999    140.876937866211
44.343    -7.30255365371704    144.977737426758
44.843    -7.32192945480347    148.964324951172
45.343    -7.36068105697632    153.254669189453
45.843    -7.43818473815918    157.241256713867
