sec"   "mA"   "mV
0.154    -457.892578125    659.294067382813
0.252    -457.096923828125    661.381896972656
0.351    -455.932373046875    663.584411621094
0.449    -460.842437744141    663.090637207031
0.547    -465.635986328125    663.280639648438
0.646    -471.671539306641    662.786865234375
0.744    -473.942016601563    663.432312011719
0.842    -478.4833984375    662.786865234375
0.941    -481.064392089844    662.824829101563
1.039    -483.296325683594    663.660217285156
1.137    -485.101135253906    663.090637207031
1.236    -486.8671875    663.280639648438
1.334    -487.721099853516    663.736022949219
1.432    -489.157165527344    662.939025878906
1.531    -489.545288085938    663.47021484375
1.629    -489.9140625    663.850219726563
1.727    -490.535064697266    663.660217285156
1.825    -490.961975097656    664.001892089844
1.924    -490.729095458984    663.698120117188
2.022    -492.106994628906    663.014831542969
2.12    -491.466613769531    663.3564453125
2.219    -491.757751464844    663.660217285156
2.317    -491.427734375    663.660217285156
2.415    -491.815887451172    663.660217285156
2.514    -491.835388183594    663.660217285156
2.612    -491.815887451172    663.698120117188
2.71    -492.048767089844    663.432312011719
2.809    -492.708648681641    663.242736816406
2.907    -491.621856689453    663.811828613281
3.005    -492.398132324219    663.280639648438
3.104    -492.204010009766    663.698120117188
3.202    -492.223510742188    663.850219726563
3.3    -492.087646484375    663.77392578125
3.399    -492.436889648438    663.811828613281
3.497    -492.126373291016    663.698120117188
3.595    -492.631011962891    663.736022949219
3.693    -491.971130371094    663.850219726563
3.792    -492.359252929688    663.811828613281
3.89    -492.048767089844    663.888122558594
3.988    -492.145874023438    663.77392578125
4.087    -491.990631103516    663.850219726563
4.185    -492.475769042969    663.508117675781
4.283    -491.233734130859    664.153991699219
4.382    -492.145874023438    663.546508789063
4.48    -492.029388427734    663.963989257813
4.578    -491.932373046875    664.001892089844
4.677    -491.524871826172    663.926086425781
4.775    -491.602478027344    664.077697753906
4.873    -491.621856689453    664.077697753906
4.972    -492.184631347656    663.926086425781
5.07    -491.544250488281    664.267700195313
5.168    -491.757751464844    663.850219726563
5.266    -491.641235351563    664.077697753906
5.365    -491.757751464844    663.850219726563
5.463    -491.544250488281    664.001892089844
5.561    -491.854736328125    663.926086425781
5.66    -490.942596435547    664.229797363281
5.758    -491.971130371094    663.926086425781
5.856    -491.408355712891    664.001892089844
5.955    -491.233734130859    664.153991699219
6.053    -491.466613769531    664.229797363281
6.151    -491.971130371094    664.647277832031
6.25    -490.438079833984    664.001892089844
6.348    -491.35009765625    664.647277832031
6.446    -491.117218017578    664.077697753906
6.544    -491.13671875    664.837280273438
