sec"   "mA"   "mV
0.154    17.422046661377    789.410583496094
0.252    15.5396070480347    789.410583496094
0.351    14.4528188705444    789.334777832031
0.449    13.5600385665894    789.486389160156
0.547    12.8031377792358    789.448486328125
0.646    12.143364906311    789.410583496094
0.744    11.5804710388184    789.410583496094
0.842    10.8623218536377    789.372680664063
0.941    10.2609252929688    789.448486328125
1.039    9.52340030670166    789.410583496094
1.137    8.96050643920898    789.486389160156
1.236    8.417236328125    789.410583496094
1.334    8.00959777832031    789.448486328125
1.432    7.56320810317993    789.334777832031
1.531    7.23332166671753    789.486389160156
1.629    6.92281055450439    789.372680664063
1.727    6.57354831695557    789.486389160156
1.826    6.437668800354    789.486389160156
1.924    6.22428607940674    789.486389160156
2.022    6.01065444946289    789.562683105469
2.121    5.9137749671936    789.410583496094
2.219    5.9137749671936    789.448486328125
2.317    5.81664752960205    789.486389160156
2.415    5.70014381408691    789.486389160156
2.514    5.58364009857178    789.448486328125
2.612    5.54488849639893    789.486389160156
2.71    5.48676109313965    789.448486328125
2.809    5.48676109313965    789.448486328125
2.907    5.48676109313965    789.486389160156
3.005    5.31212949752808    789.448486328125
3.104    5.35088157653809    789.334777832031
3.202    5.23437786102295    789.448486328125
3.3    5.23437786102295    789.486389160156
3.399    5.15687417984009    789.448486328125
3.497    5.15687417984009    789.486389160156
3.595    5.13749837875366    789.334777832031
3.694    5.05974674224854    789.486389160156
3.792    5.15687417984009    789.562683105469
3.89    5.07912254333496    789.410583496094
3.989    5.09849834442139    789.486389160156
4.087    5.11787414550781    789.410583496094
4.185    5.07912254333496    789.372680664063
4.284    5.02099466323853    789.448486328125
4.382    5.02099466323853    789.410583496094
4.48    5.05974674224854    789.448486328125
4.578    5.0016188621521    789.486389160156
4.677    4.88511514663696    789.448486328125
4.775    4.9432430267334    789.486389160156
4.873    4.90449142456055    789.410583496094
4.972    4.90449142456055    789.486389160156
5.07    4.84636354446411    789.410583496094
5.168    4.88511514663696    789.296875
5.267    4.86573934555054    789.410583496094
5.365    4.82698774337769    789.448486328125
5.463    4.78798770904541    789.486389160156
5.562    4.78798770904541    789.410583496094
5.66    4.78798770904541    789.562683105469
5.758    4.7492356300354    789.410583496094
5.857    4.80736351013184    789.410583496094
5.955    4.72985982894897    789.486389160156
6.053    4.72985982894897    789.372680664063
6.151    4.69110822677612    789.486389160156
6.25    4.69110822677612    789.486389160156
6.348    4.6717324256897    789.448486328125
6.446    4.72985982894897    789.448486328125
6.545    4.65210819244385    789.486389160156
6.643    4.69110822677612    789.486389160156
6.741    4.72985982894897    789.486389160156
6.84    4.72985982894897    789.448486328125
6.938    4.72985982894897    789.486389160156
7.036    4.6717324256897    789.448486328125
7.135    4.6717324256897    789.448486328125
7.233    4.69110822677612    789.448486328125
7.331    4.71048402786255    789.410583496094
7.43    4.76861190795898    789.334777832031
7.528    4.71048402786255    789.448486328125
7.626    4.6717324256897    789.486389160156
7.725    4.65210819244385    789.486389160156
7.823    4.7492356300354    789.6005859375
7.921    4.65210819244385    789.372680664063
8.019    4.6717324256897    789.448486328125
8.118    4.65210819244385    789.410583496094
8.216    4.63273239135742    789.410583496094
8.314    4.57460451126099    789.448486328125
8.413    4.59398031234741    789.448486328125
8.511    4.57460451126099    789.486389160156
8.609    4.613356590271    789.410583496094
8.708    4.57460451126099    789.448486328125
8.806    4.59398031234741    789.372680664063
8.904    4.63273239135742    789.410583496094
9.003    4.63273239135742    789.410583496094
9.101    4.59398031234741    789.486389160156
9.199    4.613356590271    789.486389160156
9.297    4.59398031234741    789.486389160156
9.396    4.55522871017456    789.486389160156
9.494    4.53585290908813    789.448486328125
9.592    4.613356590271    789.448486328125
9.691    4.57460451126099    789.486389160156
9.789    4.63273239135742    789.448486328125
9.887    4.55522871017456    789.486389160156
9.986    4.51647710800171    789.410583496094
10.084    4.55522871017456    789.486389160156
10.182    4.59398031234741    789.448486328125
10.281    4.51647710800171    789.486389160156
10.379    4.53585290908813    789.486389160156
10.477    4.49685287475586    789.486389160156
10.576    4.57460451126099    789.486389160156
10.674    4.53585290908813    789.334777832031
10.772    4.45810127258301    789.296875
10.871    4.47747707366943    789.372680664063
10.969    4.59398031234741    789.448486328125
11.067    4.57460451126099    789.448486328125
11.165    4.63273239135742    789.410583496094
11.264    4.57460451126099    789.486389160156
11.362    4.51647710800171    789.372680664063
11.46    4.43872499465942    789.410583496094
11.559    4.51647710800171    789.372680664063
11.657    4.45810127258301    789.486389160156
11.755    4.53585290908813    789.410583496094
11.854    4.51647710800171    789.486389160156
11.952    4.49685287475586    789.448486328125
12.05    4.53585290908813    789.410583496094
12.149    4.53585290908813    789.372680664063
12.247    4.47747707366943    789.486389160156
12.345    4.51647710800171    789.334777832031
12.444    4.38059759140015    789.486389160156
12.542    4.45810127258301    789.410583496094
12.64    4.51647710800171    789.410583496094
12.738    4.45810127258301    789.334777832031
12.837    4.45810127258301    789.334777832031
12.935    4.45810127258301    789.372680664063
13.033    4.45810127258301    789.410583496094
13.132    4.45810127258301    789.334777832031
13.23    4.49685287475586    789.486389160156
13.328    4.45810127258301    789.448486328125
13.427    4.43872499465942    789.410583496094
13.525    4.47747707366943    789.372680664063
13.623    4.43872499465942    789.334777832031
13.722    4.45810127258301    789.410583496094
13.82    4.47747707366943    789.410583496094
13.918    4.38059759140015    789.372680664063
14.016    4.43872499465942    789.524780273438
14.115    4.419349193573    789.334777832031
14.213    4.419349193573    789.448486328125
14.311    4.45810127258301    789.524780273438
14.41    4.39997339248657    789.410583496094
14.508    4.38059759140015    789.334777832031
14.606    4.43872499465942    789.296875
14.705    4.47747707366943    789.334777832031
14.803    4.38059759140015    789.486389160156
14.901    4.45810127258301    789.486389160156
15    4.45810127258301    789.410583496094
15.098    4.38059759140015    789.410583496094
15.196    4.38059759140015    789.448486328125
15.295    4.419349193573    789.448486328125
15.393    4.39997339248657    789.410583496094
15.491    4.36122179031372    789.334777832031
15.589    4.43872499465942    789.486389160156
15.688    4.419349193573    789.334777832031
15.786    4.45810127258301    789.410583496094
15.884    4.39997339248657    789.410583496094
15.983    4.43872499465942    789.448486328125
16.081    4.419349193573    789.372680664063
16.179    4.419349193573    789.410583496094
16.278    4.39997339248657    789.410583496094
16.376    4.419349193573    789.410583496094
16.474    4.38059759140015    789.334777832031
16.573    4.39997339248657    789.486389160156
16.671    4.419349193573    789.372680664063
16.769    4.38059759140015    789.562683105469
16.868    4.419349193573    789.448486328125
16.966    4.39997339248657    789.410583496094
17.064    4.38059759140015    789.410583496094
17.162    4.419349193573    789.486389160156
17.261    4.49685287475586    789.410583496094
17.359    4.43872499465942    789.258972167969
17.457    4.36122179031372    789.410583496094
17.556    4.36122179031372    789.524780273438
17.654    4.38059759140015    789.410583496094
17.752    4.419349193573    789.410583496094
17.851    4.36122179031372    789.448486328125
17.949    4.419349193573    789.486389160156
18.047    4.38059759140015    789.448486328125
18.146    4.38059759140015    789.486389160156
18.244    4.39997339248657    789.448486328125
18.342    4.38059759140015    789.372680664063
18.44    4.39997339248657    789.372680664063
18.539    4.36122179031372    789.486389160156
18.637    4.419349193573    789.562683105469
18.735    4.36122179031372    789.486389160156
18.834    4.419349193573    789.410583496094
18.932    4.419349193573    789.372680664063
19.03    4.39997339248657    789.486389160156
19.129    4.36122179031372    789.524780273438
19.227    4.38059759140015    789.524780273438
19.325    4.45810127258301    789.524780273438
19.424    4.38059759140015    789.410583496094
19.522    4.419349193573    789.372680664063
19.62    4.45810127258301    789.448486328125
19.719    4.39997339248657    789.486389160156
19.817    4.39997339248657    789.448486328125
19.915    4.36122179031372    789.410583496094
20.013    4.419349193573    789.486389160156
20.112    4.32222175598145    789.334777832031
20.21    4.419349193573    789.410583496094
20.308    4.32222175598145    789.372680664063
20.407    4.39997339248657    789.448486328125
20.505    4.38059759140015    789.524780273438
20.603    4.38059759140015    789.448486328125
20.702    4.36122179031372    789.448486328125
20.8    4.36122179031372    789.486389160156
20.898    4.39997339248657    789.448486328125
20.997    4.34159755706787    789.524780273438
21.095    4.36122179031372    789.448486328125
21.193    4.36122179031372    789.410583496094
21.292    4.36122179031372    789.372680664063
21.39    4.34159755706787    789.410583496094
21.488    4.36122179031372    789.410583496094
21.586    4.38059759140015    789.410583496094
21.685    4.36122179031372    789.486389160156
21.783    4.36122179031372    789.486389160156
21.881    4.419349193573    789.410583496094
21.98    4.36122179031372    789.448486328125
22.078    4.32222175598145    789.410583496094
22.176    4.419349193573    789.486389160156
22.275    4.32222175598145    789.410583496094
22.373    4.34159755706787    789.410583496094
22.471    4.32222175598145    789.410583496094
22.57    4.28346967697144    789.524780273438
22.668    4.32222175598145    789.448486328125
22.766    4.36122179031372    789.524780273438
22.864    4.34159755706787    789.410583496094
22.963    4.34159755706787    789.372680664063
23.061    4.28346967697144    789.410583496094
23.159    4.34159755706787    789.448486328125
23.258    4.36122179031372    789.486389160156
23.356    4.43872499465942    789.410583496094
23.454    4.28346967697144    789.486389160156
23.553    4.32222175598145    789.524780273438
23.651    4.36122179031372    789.562683105469
23.749    4.32222175598145    789.486389160156
23.848    4.30284547805786    789.372680664063
23.946    4.30284547805786    789.410583496094
24.044    4.32222175598145    789.410583496094
