sec"   "mA"   "mV
0.154    17.9653167724609    789.410583496094
0.252    16.2575073242188    789.372680664063
0.351    14.9960889816284    789.410583496094
0.449    14.1423082351685    789.334777832031
0.547    13.3464078903198    789.372680664063
0.646    12.7253866195679    789.372680664063
0.744    12.0656127929688    789.486389160156
0.842    11.4445915222168    789.410583496094
0.941    10.7460670471191    789.562683105469
1.039    10.1250457763672    789.372680664063
1.137    9.54277610778809    789.448486328125
1.236    9.0576343536377    789.410583496094
1.334    8.61124324798584    789.372680664063
1.432    8.0873498916626    789.221069335938
1.531    7.73783922195435    789.448486328125
1.629    7.34982490539551    789.296875
1.727    7.09744215011597    789.410583496094
1.826    6.74817943572998    789.372680664063
1.924    6.55417251586914    789.410583496094
2.022    6.37954139709473    789.524780273438
2.12    6.24366188049316    789.296875
2.219    6.12715816497803    789.258972167969
2.317    5.97190284729004    789.334777832031
2.415    5.95252704620361    789.410583496094
2.514    5.8553991317749    789.524780273438
2.612    5.73889541625977    789.448486328125
2.71    5.71951961517334    789.334777832031
2.809    5.58364009857178    789.486389160156
2.907    5.60326433181763    789.448486328125
3.005    5.48676109313965    789.410583496094
3.104    5.42838478088379    789.410583496094
3.202    5.42838478088379    789.334777832031
3.3    5.38963317871094    789.334777832031
3.399    5.3315052986145    789.410583496094
3.497    5.21500205993652    789.448486328125
3.595    5.23437786102295    789.334777832031
3.694    5.15687417984009    789.296875
3.792    5.21500205993652    789.372680664063
3.89    5.13749837875366    789.410583496094
3.988    5.11787414550781    789.334777832031
4.087    5.11787414550781    789.410583496094
4.185    5.09849834442139    789.486389160156
4.283    5.11787414550781    789.372680664063
4.382    5.09849834442139    789.486389160156
4.48    5.07912254333496    789.486389160156
4.578    5.04037046432495    789.486389160156
4.677    5.02099466323853    789.334777832031
4.775    4.9432430267334    789.410583496094
4.873    4.98224306106567    789.410583496094
4.972    4.9432430267334    789.334777832031
5.07    4.88511514663696    789.296875
5.168    4.84636354446411    789.410583496094
