sec"   "mA"   "mV
0.154    63.6847610473633    789.17041015625
0.253    57.9847869873047    789.436157226563
0.351    54.3489379882813    789.208251953125
0.449    52.4489326477051    789.474060058594
0.548    50.4362602233887    789.094604492188
0.646    49.2282676696777    789.664001464844
0.744    47.431079864502    789.208251953125
0.843    46.4662590026855    789.398254394531
0.941    45.1020736694336    789.322448730469
1.039    44.471378326416    789.55029296875
1.138    44.1174621582031    789.322448730469
1.236    42.9648132324219    789.512451171875
1.334    42.8699150085449    789.284545898438
1.433    42.1542129516602    789.322448730469
1.531    41.8813819885254    789.322448730469
1.629    41.219051361084    789.664001464844
1.728    40.4084510803223    789.018798828125
1.826    40.4282150268555    789.398254394531
1.924    39.7065658569336    789.17041015625
2.023    39.5741119384766    789.55029296875
2.121    39.1806678771973    789.246643066406
2.219    39.099609375    789.436157226563
2.318    38.6468467712402    789.208251953125
2.416    38.5222854614258    789.3603515625
2.514    38.8188552856445    789.17041015625
2.613    38.1328163146973    789.398254394531
2.711    38.3898315429688    789.436157226563
2.809    38.1308403015137    789.474060058594
2.908    38.0023345947266    789.3603515625
3.006    37.7611083984375    789.018798828125
3.104    37.1660194396973    789.208251953125
3.203    37.4250106811523    789.246643066406
3.301    36.7962875366211    789.398254394531
3.399    36.8061828613281    789.436157226563
3.498    36.5531158447266    789.246643066406
3.596    36.4839286804199    789.398254394531
3.694    36.3435516357422    789.056701660156
3.793    36.3376045227051    789.246643066406
3.891    36.677677154541    789.474060058594
3.989    36.0845336914063    789.626098632813
4.088    36.381103515625    789.474060058594
4.186    36.3158645629883    789.132507324219
4.284    36.2565460205078    789.322448730469
4.383    36.1715393066406    789.246643066406
4.481    35.5942153930664    789.17041015625
4.579    36.0351104736328    789.474060058594
4.678    35.4676818847656    789.474060058594
4.776    35.3134880065918    789.436157226563
4.874    35.2620658874512    789.322448730469
4.973    35.1612434387207    789.322448730469
5.071    35.1177406311035    789.436157226563
5.169    34.9793395996094    789.246643066406
5.268    35.3589401245117    789.17041015625
5.366    34.8824653625488    789.246643066406
5.464    35.2304306030273    789.246643066406
5.563    35.333251953125    789.284545898438
5.661    35.1058731079102    789.664001464844
5.759    35.1810073852539    789.3603515625
5.858    34.680793762207    789.436157226563
5.956    35.044605255127    789.17041015625
6.054    34.5957870483398    789.55029296875
6.153    34.313060760498    789.512451171875
6.251    34.4890174865723    789.284545898438
6.349    34.1964225769043    789.208251953125
6.448    34.3585357666016    789.55029296875
6.546    34.1094169616699    789.246643066406
6.644    34.4811248779297    789.474060058594
6.743    34.0184898376465    789.588195800781
6.841    34.317008972168    789.626098632813
6.939    34.5562591552734    789.208251953125
7.038    34.2201347351074    789.474060058594
7.136    34.4435424804688    789.322448730469
7.234    34.0441780090332    789.588195800781
7.333    34.340747833252    789.3603515625
7.431    33.9413795471191    789.398254394531
7.529    33.567699432373    789.322448730469
7.628    33.8484535217285    789.474060058594
7.726    33.5123558044434    789.284545898438
7.824    33.7752914428711    789.474060058594
7.922    33.3838233947754    789.284545898438
8.021    33.6942329406738    789.739807128906
8.119    33.2849731445313    789.398254394531
8.218    33.5736236572266    789.3603515625
8.316    33.8761405944824    789.322448730469
8.414    33.5004844665527    789.436157226563
8.512    33.789134979248    789.094604492188
8.611    33.5143280029297    789.322448730469
8.709    33.7179718017578    789.17041015625
8.807    33.4629058837891    789.3603515625
8.906    32.9725875854492    789.284545898438
9.004    33.3403434753418    789.246643066406
9.102    32.8658409118652    789.17041015625
9.201    33.0635375976563    789.701904296875
9.299    32.8302345275879    789.094604492188
9.397    33.0101661682129    789.436157226563
9.496    32.7373352050781    789.284545898438
9.594    32.9745864868164    789.474060058594
9.692    33.3225555419922    789.322448730469
9.791    32.8618698120117    789.398254394531
9.889    33.2493934631348    789.322448730469
9.987    33.0793571472168    789.398254394531
10.086    33.1663589477539    789.398254394531
10.184    32.9923782348633    789.512451171875
10.282    32.468448638916    789.246643066406
10.381    32.8994483947754    789.55029296875
10.479    32.4368171691895    789.246643066406
10.577    32.4901885986328    789.246643066406
10.676    32.3300476074219    789.322448730469
10.774    32.4585571289063    789.664001464844
10.872    32.2648086547852    789.208251953125
10.971    32.4031829833984    789.474060058594
11.069    32.7610473632813    789.474060058594
11.167    32.2648086547852    789.701904296875
11.266    32.7432556152344    789.474060058594
11.364    32.670093536377    789.474060058594
11.462    32.6444091796875    789.3603515625
11.561    32.5910110473633    789.132507324219
11.659    32.156063079834    789.322448730469
11.757    32.5317192077637    789.322448730469
11.856    32.0433731079102    789.246643066406
11.954    32.0117378234863    789.398254394531
12.052    32.0077667236328    788.980895996094
12.151    31.9524192810059    789.55029296875
12.249    31.9346294403076    789.094604492188
12.347    31.8990478515625    789.3603515625
12.446    32.3419151306152    789.246643066406
12.544    31.8337821960449    789.474060058594
12.642    32.1995658874512    789.588195800781
12.741    32.3003883361816    789.474060058594
12.839    32.1857223510742    789.55029296875
12.937    32.2845726013184    789.3603515625
13.036    31.8495979309082    789.398254394531
13.134    32.2193298339844    789.322448730469
13.232    31.7527236938477    789.322448730469
13.331    31.6044521331787    789.284545898438
13.429    31.7507495880127    789.17041015625
13.527    31.5411853790283    789.018798828125
13.626    31.8535709381104    789.322448730469
13.724    31.4917602539063    789.17041015625
13.822    31.7784366607666    788.942993164063
13.921    31.4225463867188    789.17041015625
14.019    31.7329597473145    789.246643066406
14.117    32.0235824584961    789.322448730469
14.216    31.6874828338623    789.588195800781
14.314    31.9781322479248    789.094604492188
14.412    31.6855087280273    789.398254394531
14.511    31.9484729766846    789.284545898438
14.609    31.6163215637207    789.132507324219
14.707    31.2248497009277    789.094604492188
14.806    31.5728187561035    789.436157226563
14.904    31.1675052642822    789.208251953125
15.002    31.462100982666    789.55029296875
15.101    31.1437931060791    789.284545898438
15.199    31.3474369049072    789.588195800781
15.297    31.0844745635986    789.246643066406
15.396    31.3731231689453    789.284545898438
15.494    31.7349338531494    789.398254394531
15.592    31.30788230896    789.816101074219
15.691    31.6815624237061    789.284545898438
15.789    31.5372371673584    789.056701660156
15.887    31.630163192749    789.284545898438
15.986    31.4383640289307    789.132507324219
16.084    30.9658603668213    789.17041015625
16.182    31.4008083343506    789.512451171875
16.281    30.9085159301758    789.132507324219
16.379    31.0311012268066    789.398254394531
16.477    30.8986206054688    789.018798828125
16.576    31.0133113861084    789.777709960938
16.674    30.8610649108887    789.322448730469
16.772    30.9836521148682    789.398254394531
16.871    31.4027824401855    789.398254394531
16.969    30.9025936126709    789.474060058594
17.067    31.3790702819824    789.246643066406
17.166    31.3513851165771    789.55029296875
17.264    31.3019599914551    789.208251953125
17.362    31.2643795013428    789.246643066406
17.461    30.8333797454834    789.588195800781
17.559    31.2900905609131    789.398254394531
17.657    30.7740612030029    789.284545898438
17.756    30.7088203430176    789.17041015625
17.854    30.728609085083    789.398254394531
17.952    30.6851081848145    789.398254394531
18.051    30.7562694549561    789.588195800781
18.149    30.6297359466553    789.322448730469
18.247    31.0726051330566    789.322448730469
18.346    30.5803127288818    789.55029296875
18.444    31.0152854919434    789.626098632813
18.542    31.137845993042    789.322448730469
18.641    30.9717826843262    789.284545898438
18.739    31.1260013580322    789.17041015625
18.837    30.6732387542725    789.512451171875
18.936    31.1121597290039    789.246643066406
19.034    30.6811599731445    789.474060058594
19.132    30.4478569030762    789.322448730469
19.231    30.6771869659424    789.284545898438
19.329    30.390510559082    789.132507324219
19.427    30.6851081848145    789.246643066406
19.526    30.3470096588135    789.322448730469
19.624    30.7009239196777    789.398254394531
19.722    30.3232975006104    789.132507324219
19.821    30.6653423309326    789.398254394531
19.919    31.0073642730713    789.132507324219
20.1    -111.210868835449    -207.360687255859
20.199    -98.8500747680664    -207.474380493164
20.297    -88.9606552124023    -207.512268066406
20.395    -80.413688659668    -207.360687255859
20.494    -73.5472412109375    -207.398590087891
20.592    -68.2664260864258    -207.626449584961
20.69    -62.5249519348145    -207.436477661133
20.789    -57.8945960998535    -207.512268066406
20.887    -53.8771438598633    -207.778030395508
20.986    -49.1281661987305    -207.436477661133
21.084    -45.9944648742676    -207.588562011719
21.182    -42.5049133300781    -207.588562011719
21.281    -39.1695556640625    -207.474380493164
21.379    -36.2454376220703    -207.398590087891
21.477    -32.9575309753418    -207.284896850586
21.576    -29.6478595733643    -207.550170898438
21.674    -25.3298892974854    -207.740142822266
21.772    -20.1756076812744    -207.588562011719
21.871    -15.391058921814    -207.930114746094
21.969    -12.0794143676758    -207.740142822266
22.067    -9.58829212188721    -207.740142822266
22.166    -8.00661849975586    -207.588562011719
22.264    -7.14854192733765    -207.664352416992
22.362    -5.89507246017456    -207.892211914063
22.461    -5.57873773574829    -207.664352416992
22.559    -5.22087478637695    -207.702239990234
22.657    -4.7187123298645    -207.512268066406
22.756    -4.48935699462891    -207.815933227539
22.854    -3.88437342643738    -207.740142822266
22.952    -3.98322153091431    -207.664352416992
23.051    -3.47708606719971    -207.588562011719
23.149    -3.61943674087524    -207.626449584961
23.247    -3.12911796569824    -207.664352416992
23.346    -2.85628581047058    -207.664352416992
23.444    -2.92152667045593    -207.398590087891
23.542    -2.56763672828674    -207.892211914063
23.641    -2.7870717048645    -207.815933227539
23.739    -2.44899845123291    -207.664352416992
23.838    -2.58937525749207    -207.588562011719
23.936    -2.82465219497681    -207.626449584961
24.034    -2.51621317863464    -207.626449584961
24.133    -2.66451096534729    -207.85383605957
24.231    -2.3639931678772    -207.664352416992
24.329    -2.57158446311951    -207.85383605957
24.428    -2.29083108901978    -207.702239990234
24.526    -2.44505071640015    -207.892211914063
24.624    -2.20977354049683    -207.436477661133
24.723    -1.86772727966309    -207.892211914063
24.821    -2.09708261489868    -207.892211914063
24.919    -1.74316728115082    -207.664352416992
25.018    -1.92902028560638    -207.588562011719
25.116    -1.70363807678223    -207.740142822266
25.215    -1.90728175640106    -207.588562011719
25.313    -2.1880350112915    -207.588562011719
25.411    -1.81040740013123    -207.398590087891
25.51    -2.13266372680664    -207.815933227539
25.608    -1.92902028560638    -207.398590087891
25.706    -2.06939697265625    -207.740142822266
25.805    -1.91912531852722    -207.474380493164
25.903    -2.02194666862488    -207.815933227539
26.001    -1.80840814113617    -207.778030395508
26.1    -1.48022997379303    -207.740142822266
26.198    -1.73132371902466    -207.512268066406
26.297    -1.4604400396347    -207.588562011719
26.395    -1.50394237041473    -207.474380493164
26.493    -1.40509414672852    -207.702239990234
26.592    -1.51975905895233    -207.702239990234
26.69    -1.86970114707947    -207.815933227539
26.788    -1.43870151042938    -207.815933227539
26.887    -1.78864359855652    -207.815933227539
26.985    -1.39917230606079    -207.664352416992
27.083    -1.7669050693512    -207.588562011719
27.182    -1.69969022274017    -207.474380493164
27.28    -1.70955991744995    -207.512268066406
27.379    -1.59292101860046    -207.512268066406
27.477    -1.23703181743622    -207.892211914063
27.575    -1.5830260515213    -207.892211914063
27.674    -1.2073723077774    -207.778030395508
27.772    -1.22913610935211    -207.664352416992
