sec"   "mA"   "mV
0.154    16.4895782470703    789.626098632813
0.252    15.7540874481201    789.322448730469
0.351    14.8446378707886    789.474060058594
0.449    14.5599374771118    789.3603515625
0.548    14.2178907394409    789.398254394531
0.646    14.0735664367676    789.246643066406
0.744    13.8620271682739    789.398254394531
0.843    13.5595350265503    789.398254394531
0.941    13.6326713562012    789.512451171875
1.039    13.3717079162598    789.17041015625
1.138    13.3499441146851    789.474060058594
1.236    13.166090965271    789.132507324219
1.334    13.1502742767334    789.474060058594
1.433    13.1838817596436    789.398254394531
1.531    12.9822120666504    789.322448730469
1.629    13.0711898803711    789.398254394531
1.728    12.8082275390625    789.816101074219
1.826    12.8556776046753    789.284545898438
1.924    12.7350654602051    789.398254394531
2.023    12.6896142959595    789.246643066406
2.121    12.5927152633667    789.664001464844
2.219    12.3693065643311    789.55029296875
2.318    12.4068870544434    789.436157226563
2.416    12.1894006729126    789.322448730469
2.514    12.1498460769653    789.474060058594
2.613    12.0213384628296    789.55029296875
2.711    12.0193643569946    789.208251953125
2.809    12.0371551513672    789.3603515625
2.908    11.835485458374    789.55029296875
3.006    11.9106216430664    789.132507324219
3.104    11.6931352615356    789.3603515625
3.203    11.7326898574829    789.322448730469
3.301    11.639762878418    789.474060058594
3.4    11.5567321777344    789.664001464844
3.498    11.4440402984619    789.246643066406
3.596    11.2917947769165    789.208251953125
3.695    11.3708791732788    789.246643066406
3.793    11.1296796798706    789.398254394531
3.891    11.0802555084229    789.398254394531
3.99    10.9873294830322    789.284545898438
4.088    10.9339323043823    789.55029296875
4.186    11.0328054428101    789.474060058594
4.285    10.8252143859863    789.588195800781
4.383    10.8924293518066    789.3603515625
4.481    10.696681022644    789.588195800781
4.58    10.8172931671143    789.398254394531
4.678    10.7579736709595    789.322448730469
4.776    10.6828632354736    789.322448730469
4.875    10.6136493682861    789.3603515625
4.973    10.4337434768677    789.284545898438
5.071    10.5187492370605    789.398254394531
5.17    10.332896232605    789.208251953125
5.268    10.3091840744019    789.284545898438
5.366    10.2814979553223    789.55029296875
5.465    10.2123098373413    789.398254394531
5.563    10.3289480209351    789.436157226563
5.661    10.133225440979    789.398254394531
5.76    10.2103357315063    789.246643066406
5.858    10.0739068984985    789.398254394531
5.956    10.1846237182617    789.246643066406
6.055    10.1391477584839    789.284545898438
6.153    10.1174087524414    789.284545898438
