sec"   "mA"   "mV
0.154    14.8209009170532    789.474060058594
0.253    13.8857393264771    788.942993164063
0.351    13.2708606719971    789.55029296875
0.449    12.9545259475708    789.018798828125
0.548    12.6836671829224    789.398254394531
0.646    12.5373687744141    789.094604492188
0.744    12.3356990814209    789.588195800781
0.843    12.1083431243896    789.246643066406
0.941    12.1182126998901    789.284545898438
1.039    11.9205169677734    789.512451171875
1.138    11.9145946502686    789.512451171875
1.236    11.7702445983887    789.246643066406
1.334    11.7524547576904    789.474060058594
1.433    11.807825088501    789.398254394531
1.531    11.6120777130127    789.474060058594
1.629    11.6635007858276    789.208251953125
1.728    11.5784702301025    789.512451171875
1.826    11.5468368530273    789.17041015625
1.924    11.4163551330566    789.398254394531
2.023    11.4460144042969    789.17041015625
2.121    11.3155326843262    789.664001464844
2.219    11.1296796798706    789.436157226563
2.318    11.1613130569458    789.322448730469
2.416    10.9754600524902    789.17041015625
2.514    10.9754600524902    789.246643066406
2.613    10.8370580673218    789.436157226563
2.711    10.8469524383545    789.588195800781
2.809    10.8746385574341    789.17041015625
2.908    10.6986799240112    789.322448730469
3.006    10.7243661880493    789.398254394531
3.104    10.6037797927856    789.436157226563
3.203    10.6136493682861    789.322448730469
3.301    10.421875    789.208251953125
3.399    10.4574556350708    789.3603515625
3.498    10.3348951339722    789.436157226563
3.596    10.1549644470215    789.17041015625
3.695    10.1628856658936    789.3603515625
3.793    10.0066919326782    789.322448730469
3.891    9.97703266143799    789.474060058594
3.99    9.85839462280273    789.246643066406
4.088    9.84060382843018    789.739807128906
4.186    9.90784358978271    789.474060058594
4.285    9.72988605499268    789.55029296875
4.383    9.76944065093994    789.208251953125
4.481    9.67059230804443    789.398254394531
4.58    9.67256641387939    789.398254394531
4.678    9.55392837524414    789.474060058594
4.776    9.55987548828125    789.474060058594
4.875    9.43926334381104    789.322448730469
4.973    9.30283451080322    789.436157226563
5.071    9.36017990112305    789.664001464844
5.17    9.19609069824219    789.55029296875
5.268    9.17235279083252    789.398254394531
5.366    9.1011905670166    789.398254394531
5.465    9.1170072555542    789.398254394531
5.563    9.18224811553955    789.17041015625
5.661    9.00034236907959    789.474060058594
5.76    9.09129524230957    789.17041015625
5.858    9.01615905761719    789.322448730469
5.956    9.02010726928711    789.284545898438
6.055    8.92323303222656    789.436157226563
6.153    8.94302272796631    789.17041015625
6.251    8.86393928527832    789.398254394531
6.35    8.69982433319092    789.436157226563
6.448    8.78880310058594    789.588195800781
6.546    8.64250469207764    789.322448730469
6.645    8.65632247924805    789.246643066406
6.743    8.57131671905518    789.208251953125
6.841    8.5970287322998    789.284545898438
6.94    8.68795585632324    789.436157226563
7.038    8.52386665344238    789.474060058594
7.136    8.60689830780029    789.246643066406
7.235    8.53178787231445    789.55029296875
7.333    8.58516025543213    789.474060058594
7.431    8.46852111816406    789.512451171875
7.53    8.50607585906982    789.246643066406
7.628    8.4170970916748    789.322448730469
7.726    8.28858947753906    789.284545898438
7.825    8.381516456604    789.474060058594
7.923    8.24508762359619    789.246643066406
8.021    8.24708652496338    789.436157226563
8.12    8.1976375579834    789.436157226563
8.218    8.24311351776123    789.512451171875
8.316    8.32417106628418    789.3603515625
8.415    8.20950603485107    789.436157226563
8.513    8.28464221954346    789.284545898438
8.611    8.20950603485107    789.3603515625
8.71    8.2510347366333    789.17041015625
8.808    8.1561336517334    789.398254394531
8.906    8.20161056518555    789.474060058594
9.005    8.12844848632813    789.55029296875
9.103    7.99994087219238    789.246643066406
9.201    8.11263179779053    789.474060058594
9.3    7.96435928344727    789.398254394531
9.398    8.0098352432251    789.474060058594
9.496    7.9070143699646    789.474060058594
9.595    7.98017597198486    789.3603515625
9.693    8.0552864074707    789.208251953125
9.791    7.93864774703979    789.398254394531
9.89    8.03157424926758    789.246643066406
9.988    7.96238565444946    789.3603515625
10.086    7.99201965332031    789.322448730469
10.185    7.94456958770752    789.322448730469
10.283    7.97225522994995    789.436157226563
10.381    7.92875289916992    789.322448730469
10.48    7.78048038482666    789.322448730469
10.578    7.8931713104248    789.588195800781
10.676    7.7607159614563    789.322448730469
10.775    7.78640222549438    789.3603515625
10.873    7.73895215988159    789.094604492188
10.971    7.76663732528687    789.436157226563
11.07    7.87340688705444    789.398254394531
11.168    7.73303031921387    789.322448730469
11.266    7.85166835784912    789.3603515625
11.365    7.79037523269653    789.588195800781
11.463    7.83187818527222    789.474060058594
11.561    7.78048038482666    789.398254394531
