sec"   "mA"   "mV
0.154    13.7117547988892    789.739807128906
0.253    13.077112197876    789.3603515625
0.351    12.5828456878662    789.246643066406
0.449    12.0272855758667    789.284545898438
0.548    11.9125957489014    789.398254394531
0.646    11.6160507202148    789.474060058594
0.744    11.5804443359375    789.398254394531
0.843    11.4657793045044    789.17041015625
0.941    11.3866958618164    789.208251953125
1.039    11.3036642074585    789.322448730469
1.138    11.1217584609985    789.398254394531
1.236    11.1593399047852    789.284545898438
1.334    11.0070934295654    789.17041015625
1.433    10.9497489929199    789.398254394531
1.531    10.8845081329346    789.246643066406
1.629    10.8153190612793    789.3603515625
1.728    10.8904552459717    789.284545898438
1.826    10.6986799240112    789.246643066406
1.924    10.7678689956665    789.284545898438
2.023    10.6017808914185    789.55029296875
2.121    10.670994758606    789.436157226563
2.219    10.6610994338989    789.474060058594
2.318    10.5741205215454    789.739807128906
2.416    10.5345659255981    789.3603515625
2.514    10.3625555038452    789.55029296875
2.613    10.4436130523682    789.322448730469
2.711    10.2736024856567    789.322448730469
2.809    10.2063627243042    789.056701660156
2.908    10.147068977356    789.436157226563
3.006    10.0818281173706    789.55029296875
3.104    10.1292781829834    789.512451171875
3.203    9.96911144256592    789.17041015625
3.301    10.0205345153809    789.626098632813
3.399    9.90189647674561    789.208251953125
3.498    9.92366027832031    789.474060058594
3.596    9.90584468841553    789.094604492188
3.694    9.82083892822266    789.474060058594
3.793    9.79117965698242    789.246643066406
3.891    9.65277671813965    789.474060058594
3.989    9.68441009521484    789.398254394531
4.088    9.54998016357422    789.322448730469
4.186    9.48276615142822    789.55029296875
4.285    9.45705413818359    789.474060058594
4.383    9.38589096069336    789.17041015625
4.481    9.36610126495361    789.436157226563
4.58    9.3147029876709    789.246643066406
4.678    9.34436321258545    789.398254394531
4.776    9.20596027374268    789.3603515625
4.875    9.25935745239258    789.436157226563
4.973    9.24946212768555    789.246643066406
5.071    9.13082408905029    789.398254394531
5.17    9.19014358520508    789.512451171875
5.268    9.04187107086182    789.436157226563
5.366    9.1011905670166    789.17041015625
5.465    8.95091819763184    789.664001464844
5.563    8.87380886077881    789.056701660156
5.661    8.90149402618408    789.3603515625
5.76    8.81251621246338    789.474060058594
5.858    8.82438468933105    789.474060058594
5.956    8.73740577697754    789.094604492188
6.055    8.79669952392578    789.398254394531
6.153    8.67213916778564    789.132507324219
6.251    8.7591438293457    789.322448730469
6.35    8.76111793518066    789.208251953125
6.448    8.69982433319092    789.55029296875
6.546    8.70577144622803    789.094604492188
6.645    8.58910751342773    789.664001464844
6.743    8.65040111541748    789.17041015625
6.841    8.56934261322021    789.398254394531
6.94    8.41907119750977    789.474060058594
7.038    8.46454811096191    789.3603515625
7.136    8.36175155639648    789.17041015625
7.235    8.44478321075439    789.55029296875
7.333    8.33011817932129    789.3603515625
7.431    8.40128040313721    789.398254394531
7.53    8.29651069641113    789.018798828125
7.628    8.34790897369385    789.512451171875
7.726    8.41117572784424    789.664001464844
7.825    8.34198665618896    789.474060058594
7.923    8.36964702606201    789.512451171875
8.021    8.26487731933594    789.474060058594
8.12    8.31035327911377    789.208251953125
8.218    8.23126983642578    789.436157226563
8.316    8.11065769195557    788.828857421875
8.415    8.17195129394531    789.398254394531
8.513    8.05925941467285    789.132507324219
8.611    8.10868358612061    789.664001464844
8.71    8.04146957397461    789.474060058594
8.808    8.104736328125    789.55029296875
8.906    8.02167892456055    789.664001464844
9.005    8.05925941467285    789.55029296875
9.103    8.1245002746582    789.094604492188
9.201    8.03946971893311    789.3603515625
9.3    8.10076332092285    789.322448730469
9.398    8.00783634185791    789.588195800781
9.496    8.05331230163574    789.398254394531
9.595    7.98017597198486    789.474060058594
