sec"   "mA"   "mV
0.154    20.6240329742432    789.372680664063
0.252    19.3626136779785    789.334777832031
0.351    18.3535785675049    789.486389160156
0.449    17.4414234161377    789.296875
0.547    16.7038974761963    789.410583496094
0.646    16.0053730010986    789.410583496094
0.744    15.3647270202637    789.410583496094
0.842    14.8020820617676    789.410583496094
0.941    14.3363161087036    789.524780273438
1.039    13.8121738433838    789.410583496094
1.137    13.4047832489014    789.486389160156
1.236    13.0555210113525    789.334777832031
1.334    12.8418893814087    789.562683105469
1.432    12.5897550582886    789.410583496094
1.531    12.3373718261719    789.486389160156
1.629    12.1627407073975    789.410583496094
1.727    12.0074853897095    789.448486328125
1.826    11.9297332763672    789.410583496094
1.924    11.8134784698486    789.448486328125
2.022    11.6192226409912    789.486389160156
2.12    11.5029678344727    789.448486328125
2.219    11.2893362045288    789.334777832031
2.317    11.2312088012695    789.410583496094
2.415    11.1924571990967    789.410583496094
2.514    11.095329284668    789.410583496094
2.612    10.9982013702393    789.334777832031
2.71    10.9206981658936    789.448486328125
2.809    10.9206981658936    789.524780273438
2.907    10.7654428482056    789.562683105469
3.005    10.7070665359497    789.410583496094
3.104    10.6683149337769    789.524780273438
3.202    10.6101875305176    789.486389160156
3.3    10.5130596160889    789.334777832031
3.399    10.474308013916    789.448486328125
3.497    10.4936838150024    789.562683105469
3.595    10.3578042984009    789.334777832031
3.694    10.4161806106567    789.562683105469
3.792    10.2996768951416    789.372680664063
3.89    10.2219247817993    789.486389160156
3.989    10.1831731796265    789.638488769531
4.087    10.2025489807129    789.372680664063
4.185    10.0666694641113    789.410583496094
4.283    10.0666694641113    789.448486328125
4.382    10.0279178619385    789.486389160156
4.48    10.0279178619385    789.562683105469
4.578    9.98916625976563    789.334777832031
4.677    9.93078994750977    789.524780273438
4.775    9.93078994750977    789.410583496094
4.873    9.93078994750977    789.486389160156
4.972    9.91141414642334    789.410583496094
5.07    9.87266254425049    789.486389160156
5.168    9.91141414642334    789.448486328125
5.267    9.85328674316406    789.486389160156
5.365    9.79515933990479    789.410583496094
5.463    9.73678302764893    789.562683105469
5.561    9.75615882873535    789.448486328125
5.66    9.69803142547607    789.486389160156
5.758    9.63990306854248    789.448486328125
5.856    9.65927982330322    789.486389160156
5.955    9.63990306854248    789.372680664063
6.053    9.52340030670166    789.486389160156
6.151    9.48464775085449    789.334777832031
6.25    9.52340030670166    789.448486328125
6.348    9.4650239944458    789.410583496094
6.446    9.48464775085449    789.410583496094
6.545    9.42627239227295    789.410583496094
6.643    9.44564819335938    789.486389160156
6.741    9.42627239227295    789.486389160156
6.839    9.42627239227295    789.486389160156
6.938    9.44564819335938    789.448486328125
7.036    9.42627239227295    789.448486328125
7.134    9.44564819335938    789.410583496094
7.233    9.36814498901367    789.372680664063
7.331    9.36814498901367    789.524780273438
7.429    9.34876823425293    789.372680664063
7.528    9.3875207901001    789.448486328125
7.626    9.36814498901367    789.296875
7.724    9.29039287567139    789.486389160156
7.823    9.36814498901367    789.524780273438
7.921    9.29039287567139    789.486389160156
8.019    9.25164127349854    789.410583496094
8.118    9.27101707458496    789.372680664063
8.216    9.23226547241211    789.334777832031
8.314    9.25164127349854    789.486389160156
8.412    9.23226547241211    789.410583496094
8.511    9.27101707458496    789.562683105469
8.609    9.19351291656494    789.524780273438
8.707    9.17413711547852    789.486389160156
8.806    9.15451335906982    789.372680664063
8.904    9.1351375579834    789.486389160156
9.002    9.11576175689697    789.334777832031
9.101    9.11576175689697    789.448486328125
9.199    9.07701015472412    789.448486328125
9.297    9.0576343536377    789.448486328125
9.396    9.0576343536377    789.410583496094
9.494    9.01888179779053    789.486389160156
9.592    9.01888179779053    789.334777832031
9.691    9.01888179779053    789.486389160156
9.789    8.94113063812256    789.410583496094
9.887    9.01888179779053    789.486389160156
9.985    9.01888179779053    789.334777832031
10.084    8.99925804138184    789.486389160156
10.182    8.99925804138184    789.296875
10.28    8.96050643920898    789.562683105469
10.379    8.99925804138184    789.410583496094
10.477    8.96050643920898    789.486389160156
10.575    8.96050643920898    789.562683105469
10.674    8.99925804138184    789.410583496094
10.772    8.94113063812256    789.372680664063
10.87    8.96050643920898    789.448486328125
10.969    8.96050643920898    789.448486328125
11.067    8.94113063812256    789.448486328125
11.165    8.94113063812256    789.334777832031
11.263    8.86362648010254    789.524780273438
11.362    8.90237808227539    789.334777832031
11.46    8.86362648010254    789.6005859375
11.558    8.84400272369385    789.714294433594
11.657    8.86362648010254    789.524780273438
11.755    8.84400272369385    789.410583496094
11.853    8.82462692260742    789.486389160156
11.952    8.94113063812256    789.334777832031
12.05    8.84400272369385    789.410583496094
12.148    8.86362648010254    789.524780273438
12.247    8.84400272369385    789.448486328125
12.345    8.86362648010254    789.562683105469
12.443    8.86362648010254    789.448486328125
12.541    8.84400272369385    789.448486328125
12.64    8.84400272369385    789.562683105469
12.738    8.805251121521    789.448486328125
12.836    8.86362648010254    789.372680664063
12.935    8.86362648010254    789.524780273438
13.033    8.88300228118896    789.486389160156
13.131    8.84400272369385    789.486389160156
13.23    8.84400272369385    789.486389160156
13.328    8.84400272369385    789.486389160156
13.426    8.84400272369385    789.486389160156
13.524    8.805251121521    789.524780273438
13.623    8.72774696350098    789.562683105469
13.721    8.76649951934814    789.562683105469
13.819    8.7471227645874    789.410583496094
13.918    8.78587532043457    789.486389160156
14.016    8.82462692260742    789.448486328125
14.114    8.78587532043457    789.486389160156
14.213    8.70837116241455    789.410583496094
14.311    8.78587532043457    789.486389160156
14.409    8.78587532043457    789.448486328125
14.508    8.76649951934814    789.410583496094
14.606    8.78587532043457    789.486389160156
14.704    8.76649951934814    789.486389160156
14.802    8.78587532043457    789.410583496094
14.901    8.72774696350098    789.448486328125
14.999    8.70837116241455    789.410583496094
15.097    8.72774696350098    789.524780273438
15.196    8.805251121521    789.524780273438
15.294    8.72774696350098    789.524780273438
15.392    8.70837116241455    789.334777832031
15.491    8.72774696350098    789.486389160156
15.589    8.72774696350098    789.638488769531
15.687    8.64999580383301    789.524780273438
15.786    8.64999580383301    789.334777832031
15.884    8.68874740600586    789.410583496094
15.982    8.7471227645874    789.486389160156
16.08    8.68874740600586    789.6005859375
16.179    8.68874740600586    789.638488769531
16.277    8.66937160491943    789.562683105469
16.375    8.70837116241455    789.486389160156
16.474    8.68874740600586    789.524780273438
16.572    8.64999580383301    789.372680664063
16.67    8.66937160491943    789.486389160156
16.769    8.70837116241455    789.410583496094
16.867    8.64999580383301    789.524780273438
16.965    8.66937160491943    789.410583496094
17.064    8.68874740600586    789.486389160156
17.162    8.63062000274658    789.486389160156
17.26    8.66937160491943    789.448486328125
17.359    8.70837116241455    789.410583496094
17.457    8.63062000274658    789.638488769531
17.555    8.63062000274658    789.448486328125
17.653    8.64999580383301    789.410583496094
17.752    8.61124324798584    789.448486328125
17.85    8.63062000274658    789.448486328125
17.948    8.57249164581299    789.334777832031
18.047    8.59186744689941    789.524780273438
18.145    8.63062000274658    789.372680664063
18.243    8.53349208831787    789.448486328125
18.342    8.59186744689941    789.410583496094
18.44    8.59186744689941    789.562683105469
18.538    8.53349208831787    789.448486328125
18.636    8.61124324798584    789.372680664063
18.735    8.55311584472656    789.334777832031
18.833    8.55311584472656    789.372680664063
18.931    8.59186744689941    789.562683105469
19.03    8.51411628723145    789.486389160156
19.128    8.57249164581299    789.486389160156
19.226    8.57249164581299    789.410583496094
19.325    8.47536468505859    789.524780273438
19.423    8.55311584472656    789.486389160156
19.521    8.51411628723145    789.486389160156
19.619    8.55311584472656    789.524780273438
19.718    8.51411628723145    789.486389160156
19.816    8.49474048614502    789.410583496094
19.914    8.47536468505859    789.410583496094
20.013    8.49474048614502    789.448486328125
20.111    8.45598793029785    789.486389160156
20.209    8.47536468505859    789.334777832031
20.308    8.49474048614502    789.486389160156
20.406    8.57249164581299    789.334777832031
20.504    8.57249164581299    789.486389160156
20.603    8.47536468505859    789.372680664063
20.701    8.51411628723145    789.410583496094
20.799    8.45598793029785    789.410583496094
20.897    8.51411628723145    789.486389160156
20.996    8.45598793029785    789.334777832031
21.094    8.417236328125    789.410583496094
21.192    8.47536468505859    789.448486328125
21.291    8.47536468505859    789.524780273438
21.389    8.43661212921143    789.524780273438
21.487    8.47536468505859    789.524780273438
21.586    8.47536468505859    789.486389160156
21.684    8.51411628723145    789.486389160156
21.782    8.53349208831787    789.410583496094
21.88    8.417236328125    789.448486328125
21.979    8.43661212921143    789.448486328125
22.077    8.49474048614502    789.486389160156
22.175    8.43661212921143    789.410583496094
22.274    8.47536468505859    789.372680664063
22.372    8.45598793029785    789.486389160156
22.47    8.43661212921143    789.410583496094
22.569    8.47536468505859    789.524780273438
22.667    8.47536468505859    789.486389160156
22.765    8.47536468505859    789.448486328125
22.864    8.49474048614502    789.562683105469
22.962    8.417236328125    789.410583496094
23.06    8.417236328125    789.410583496094
23.158    8.417236328125    789.410583496094
23.257    8.47536468505859    789.562683105469
23.355    8.47536468505859    789.410583496094
23.453    8.47536468505859    789.448486328125
23.552    8.43661212921143    789.410583496094
23.65    8.43661212921143    789.562683105469
23.748    8.417236328125    789.486389160156
23.847    8.417236328125    789.448486328125
23.945    8.49474048614502    789.372680664063
24.043    8.43661212921143    789.410583496094
24.142    8.49474048614502    789.486389160156
24.24    8.49474048614502    789.486389160156
24.338    8.43661212921143    789.524780273438
24.436    8.417236328125    789.410583496094
24.535    8.43661212921143    789.486389160156
24.633    8.43661212921143    789.410583496094
24.731    8.417236328125    789.410583496094
24.83    8.43661212921143    789.448486328125
24.928    8.35886096954346    789.448486328125
25.026    8.45598793029785    789.410583496094
25.125    8.43661212921143    789.410583496094
25.223    8.45598793029785    789.448486328125
25.321    8.417236328125    789.486389160156
25.42    8.39786052703857    789.486389160156
25.518    8.43661212921143    789.6005859375
25.616    8.417236328125    789.562683105469
25.714    8.47536468505859    789.334777832031
25.813    8.43661212921143    789.372680664063
25.911    8.417236328125    789.524780273438
26.009    8.417236328125    789.410583496094
26.108    8.39786052703857    789.448486328125
26.206    8.417236328125    789.410583496094
26.304    8.43661212921143    789.448486328125
26.402    8.45598793029785    789.524780273438
26.501    8.43661212921143    789.562683105469
26.599    8.37823677062988    789.372680664063
26.697    8.35886096954346    789.562683105469
26.796    8.417236328125    789.524780273438
26.894    8.49474048614502    789.448486328125
26.992    8.43661212921143    789.334777832031
27.091    8.417236328125    789.562683105469
27.189    8.32010841369629    789.486389160156
27.287    8.417236328125    789.486389160156
27.385    8.37823677062988    789.486389160156
27.484    8.43661212921143    789.562683105469
27.582    8.33948516845703    789.524780273438
27.68    8.417236328125    789.334777832031
