sec"   "mA"   "mV
0.154    28.6779346466064    791.802612304688
0.252    24.874303817749    791.954772949219
0.351    21.6526927947998    791.916381835938
0.449    19.4984931945801    791.954772949219
0.547    17.8294372558594    791.87841796875
0.646    16.4321384429932    791.916381835938
0.744    15.4812307357788    791.87841796875
0.842    14.821457862854    791.802612304688
0.941    14.2004365921021    791.916381835938
1.039    13.8121738433838    792.030578613281
1.137    13.4822874069214    791.916381835938
1.236    13.1330242156982    791.840515136719
1.334    12.9002656936646    791.87841796875
1.432    12.764386177063    791.802612304688
1.531    12.4732513427734    791.87841796875
1.629    12.3954992294312    791.99267578125
1.727    12.2402439117432    791.916381835938
1.826    12.2208681106567    791.99267578125
1.924    12.0268611907959    791.840515136719
2.022    11.9103574752808    791.87841796875
2.121    11.7744779586792    791.916381835938
2.219    11.6969747543335    791.916381835938
2.317    11.7357263565063    791.954772949219
2.416    11.6385984420776    791.87841796875
2.514    11.5998468399048    791.916381835938
2.612    11.5610952377319    791.916381835938
2.71    11.4833431243896    792.030578613281
2.809    11.3864641189575    791.802612304688
2.907    11.3280878067017    791.802612304688
3.005    11.3087120056152    791.87841796875
3.104    11.2699604034424    791.916381835938
3.202    11.2312088012695    791.802612304688
3.3    11.1924571990967    791.87841796875
3.399    11.1147050857544    791.916381835938
3.497    11.1340808868408    791.99267578125
3.595    11.1340808868408    791.954772949219
3.694    11.1147050857544    791.954772949219
3.792    11.0759534835815    791.99267578125
3.89    11.0759534835815    791.916381835938
3.989    11.0759534835815    791.954772949219
4.087    11.0759534835815    791.954772949219
4.185    10.9594497680664    791.954772949219
4.284    10.9788255691528    791.840515136719
4.382    10.9982013702393    792.106384277344
4.48    10.9594497680664    792.182189941406
4.579    10.9206981658936    791.99267578125
4.677    10.9788255691528    791.802612304688
4.775    10.8623218536377    791.87841796875
4.874    10.8623218536377    791.916381835938
4.972    10.9594497680664    791.87841796875
5.07    10.9013223648071    791.916381835938
5.169    10.784818649292    791.87841796875
5.267    10.784818649292    791.87841796875
5.365    10.8429460525513    791.99267578125
5.463    10.7654428482056    791.99267578125
5.562    10.7460670471191    791.954772949219
5.66    10.7070665359497    791.87841796875
5.758    10.7070665359497    792.182189941406
5.857    10.7266912460327    791.916381835938
5.955    10.7070665359497    791.764709472656
6.053    10.7460670471191    791.764709472656
6.152    10.7460670471191    791.99267578125
6.25    10.7654428482056    791.954772949219
6.348    10.6489391326904    792.106384277344
6.447    10.6489391326904    791.99267578125
6.545    10.6101875305176    791.840515136719
6.643    10.6101875305176    792.030578613281
6.742    10.629563331604    791.840515136719
6.84    10.6489391326904    792.030578613281
6.938    10.6489391326904    791.802612304688
7.037    10.5518112182617    791.954772949219
7.135    10.6101875305176    791.87841796875
7.233    10.5518112182617    792.068481445313
7.331    10.5908117294312    791.954772949219
7.43    10.5324354171753    791.954772949219
7.528    10.5518112182617    792.030578613281
7.626    10.5908117294312    791.87841796875
7.725    10.5518112182617    791.954772949219
7.823    10.5908117294312    791.99267578125
7.921    10.5714359283447    791.954772949219
8.02    10.4936838150024    791.916381835938
8.118    10.474308013916    791.87841796875
8.216    10.474308013916    792.106384277344
8.315    10.5324354171753    791.840515136719
8.413    10.5518112182617    791.954772949219
8.511    10.4936838150024    791.954772949219
8.61    10.4936838150024    791.954772949219
