sec"   "mA"   "mV
0.153    -5.88563108444214    -4.73054647445679
0.251    -6.46790075302124    -4.16145038604736
0.349    -6.75903558731079    -3.62977528572083
0.446    -6.95304298400879    -3.32603049278259
0.544    -6.99204301834106    -2.79435563087463
0.642    -7.01141881942749    -2.07314395904541
0.739    -7.10829830169678    -1.65519106388092
0.837    -7.1276741027832    -1.27563142776489
0.934    -7.20542573928833    -0.706049144268036
1.032    -7.20542573928833    -0.2127675563097
1.13    -7.1860499382019    0.243092685937881
1.23    -7.32192945480347    0.888489723205566
1.33    -7.28292942047119    1.04060506820679
1.43    -7.22480201721191    1.7618168592453
1.531    -7.28292942047119    2.2555844783783
1.631    -7.28292942047119    2.93888878822327
1.731    -7.34130525588989    3.12842559814453
1.831    -7.3800573348999    3.54637837409973
1.931    -7.45780897140503    4.26759004592896
2.032    -7.3800573348999    4.60924243927002
2.132    -7.36068105697632    5.06510257720947
2.232    -7.43818473815918    5.74840688705444
2.332    -7.45780897140503    5.9384298324585
2.432    -7.32192945480347    6.39380407333374
2.533    -7.39943313598633    7.03920078277588
2.633    -7.39943313598633    7.53296852111816
2.733    -7.43818473815918    8.14045810699463
2.833    -7.39943313598633    8.59583282470703
2.933    -7.49656057357788    8.97587776184082
3.034    -7.39943313598633    9.65918254852295
3.134    -7.51593685150146    9.96292686462402
3.234    -7.53531265258789    10.532509803772
3.334    -7.47718477249146    10.836254119873
3.434    -7.3800573348999    11.4437437057495
3.535    -7.43818473815918    11.9754190444946
3.635    -7.47718477249146    12.5066080093384
3.735    -7.49656057357788    12.8482599258423
3.835    -7.45780897140503    13.5320501327515
3.936    -7.47718477249146    13.8737030029297
4.036    -7.55468845367432    14.3669843673706
4.136    -7.55468845367432    14.8607521057129
4.236    -7.53531265258789    15.164496421814
4.336    -7.45780897140503    15.3924264907837
4.437    -7.49656057357788    16.189453125
4.537    -7.53531265258789    16.6453132629395
4.637    -7.51593685150146    17.0248737335205
4.737    -7.55468845367432    17.7465705871582
4.837    -7.47718477249146    18.3156661987305
4.938    -7.51593685150146    18.5815048217773
5.038    -7.59344005584717    19.0373649597168
5.138    -7.53531265258789    19.6069469451904
5.238    -7.47718477249146    20.0623207092285
5.338    -7.47718477249146    20.4802742004395
5.439    -7.49656057357788    21.0493698120117
5.539    -7.53531265258789    21.6568603515625
5.639    -7.53531265258789    22.112720489502
5.739    -7.51593685150146    22.4922790527344
5.839    -7.57406425476074    22.9102325439453
5.94    -7.47718477249146    23.4414215087891
6.04    -7.51593685150146    23.7072601318359
6.14    -7.53531265258789    24.3526554107666
6.24    -7.57406425476074    24.9222393035889
6.34    -7.47718477249146    25.3780994415283
6.441    -7.49656057357788    26.0993099212646
6.541    -7.59344005584717    26.5167770385742
6.641    -7.55468845367432    26.9347305297852
6.741    -7.55468845367432    27.5043125152588
6.841    -7.55468845367432    27.997594833374
6.942    -7.59344005584717    28.3776397705078
7.042    -7.55468845367432    28.9088287353516
7.142    -7.57406425476074    29.4025955200195
7.242    -7.53531265258789    29.7063407897949
7.342    -7.53531265258789    30.3517379760742
7.443    -7.59344005584717    30.9213199615479
7.543    -7.55468845367432    31.6804389953613
7.643    -7.55468845367432    31.9083709716797
7.743    -7.53531265258789    32.2121162414551
7.843    -7.55468845367432    32.8575134277344
7.944    -7.57406425476074    33.0854454040527
8.044    -7.57406425476074    33.5792121887207
8.144    -7.51593685150146    34.300422668457
8.244    -7.49656057357788    34.794189453125
8.344    -7.55468845367432    35.4395866394043
8.445    -7.55468845367432    35.9328689575195
8.545    -7.53531265258789    36.5403594970703
8.645    -7.57406425476074    36.7682876586914
8.745    -7.51593685150146    37.3378715515137
8.845    -7.55468845367432    37.6416168212891
8.946    -7.57406425476074    38.135383605957
9.046    -7.57406425476074    38.7428741455078
9.146    -7.59344005584717    39.0466194152832
9.246    -7.47718477249146    39.6920166015625
9.346    -7.55468845367432    40.2615966796875
9.447    -7.55468845367432    40.6411552429199
9.547    -7.53531265258789    41.1349258422852
9.647    -7.59344005584717    41.7803230285645
9.747    -7.53531265258789    42.4257202148438
9.847    -7.59344005584717    42.6536483764648
9.948    -7.53531265258789    43.1090240478516
10.048    -7.61306428909302    43.412769317627
10.148    -7.57406425476074    44.0960731506348
10.248    -7.59344005584717    44.5140266418457
10.348    -7.53531265258789    45.0452156066895
10.449    -7.53531265258789    45.4252586364746
10.549    -7.55468845367432    45.8427276611328
10.649    -7.59344005584717    46.3364944458008
10.749    -7.61306428909302    46.8676834106445
10.849    -7.63244009017944    47.1335220336914
10.949    -7.57406425476074    47.7031021118164
11.05    -7.55468845367432    48.3864059448242
11.15    -7.51593685150146    48.918083190918
11.25    -7.53531265258789    49.3360366821289
11.35    -7.59344005584717    49.9051322937012
11.45    -7.55468845367432    50.2851753234863
11.551    -7.61306428909302    50.9684829711914
11.651    -7.63244009017944    51.3480415344238
11.751    -7.57406425476074    51.7659950256348
11.851    -7.53531265258789    52.2971839904785
11.951    -7.55468845367432    52.8667640686035
12.052    -7.57406425476074    53.1705093383789
12.152    -7.49656057357788    53.7400932312012
12.252    -7.59344005584717    54.2338600158691
12.352    -7.57406425476074    54.7271423339844
12.452    -7.61306428909302    55.4109306335449
