sec"   "mA"   "mV
0.153    -6.21576642990112    -23.7148418426514
0.251    -6.70090818405151    -22.8794212341309
0.349    -6.91429090499878    -22.2340240478516
0.446    -7.10829830169678    -21.2848834991455
0.544    -7.16667413711548    -20.525764465332
0.642    -7.22480201721191    -19.576135635376
0.739    -7.28292942047119    -18.8549251556396
0.837    -7.34130525588989    -17.9815979003906
0.934    -7.3800573348999    -17.1461772918701
1.032    -7.39943313598633    -16.311243057251
1.13    -7.36068105697632    -15.4379167556763
1.227    -7.45780897140503    -14.792519569397
1.325    -7.41880893707275    -13.8812847137451
1.423    -7.45780897140503    -13.1595869064331
1.52    -7.47718477249146    -12.2104454040527
1.618    -7.43818473815918    -11.4513263702393
1.716    -7.49656057357788    -10.7675361633301
1.813    -7.47718477249146    -9.62885761260986
1.911    -7.47718477249146    -9.09718227386475
2.008    -7.43818473815918    -8.26176261901855
2.106    -7.47718477249146    -7.54055070877075
2.204    -7.47718477249146    -6.62931632995605
2.301    -7.53531265258789    -5.94552612304688
2.399    -7.49656057357788    -5.14849948883057
2.496    -7.47718477249146    -4.12305688858032
2.594    -7.49656057357788    -3.43975257873535
2.692    -7.49656057357788    -2.68063354492188
2.789    -7.47718477249146    -1.88312113285065
2.887    -7.49656057357788    -0.896071910858154
2.985    -7.49656057357788    -0.0985594987869263
3.082    -7.49656057357788    0.546837508678436
3.182    -7.49656057357788    1.49597930908203
3.283    -7.53531265258789    2.2555844783783
3.383    -7.49656057357788    3.16681885719299
3.483    -7.47718477249146    3.92593789100647
3.583    -7.49656057357788    4.87507963180542
3.683    -7.55468845367432    5.63468503952026
3.784    -7.49656057357788    6.50801181793213
3.884    -7.47718477249146    7.41924667358398
3.984    -7.53531265258789    8.02673625946045
4.084    -7.49656057357788    8.89957714080811
4.184    -7.47718477249146    9.50706672668457
4.285    -7.47718477249146    10.6462316513062
4.385    -7.49656057357788    11.3679294586182
4.485    -7.43818473815918    12.051233291626
4.585    -7.49656057357788    13.0003757476807
4.685    -7.47718477249146    13.6078653335571
4.786    -7.53531265258789    14.7091226577759
4.886    -7.55468845367432    15.2782192230225
4.986    -7.47718477249146    16.3794765472412
5.086    -7.53531265258789    16.9111518859863
5.187    -7.47718477249146    17.7465705871582
5.287    -7.53531265258789    18.6194114685059
5.387    -7.49656057357788    19.4548320770264
5.487    -7.59344005584717    20.2523441314697
5.587    -7.55468845367432    21.1256713867188
5.688    -7.53531265258789    21.9989986419678
5.788    -7.55468845367432    22.6443958282471
5.888    -7.49656057357788    23.5556297302246
5.988    -7.51593685150146    24.2768421173096
6.088    -7.51593685150146    25.3401908874512
6.188    -7.55468845367432    26.0234966278076
6.289    -7.47718477249146    26.8589153289795
6.389    -7.51593685150146    27.8838729858398
6.489    -7.55468845367432    28.5671768188477
6.589    -7.55468845367432    29.4784107208252
6.689    -7.53531265258789    30.3138313293457
6.79    -7.51593685150146    31.1113433837891
6.89    -7.51593685150146    31.9841861724854
6.99    -7.49656057357788    32.7817001342773
7.09    -7.55468845367432    33.5792121887207
7.19    -7.53531265258789    34.3383293151855
7.291    -7.53531265258789    35.3637733459473
7.391    -7.53531265258789    36.2750053405762
7.491    -7.47718477249146    37.0720329284668
7.591    -7.51593685150146    37.7937316894531
7.691    -7.53531265258789    38.552848815918
7.792    -7.55468845367432    39.4261779785156
7.892    -7.57406425476074    40.299503326416
7.992    -7.49656057357788    41.0965309143066
8.092    -7.51593685150146    41.8561363220215
8.192    -7.51593685150146    42.6915550231934
8.293    -7.51593685150146    43.564884185791
8.393    -7.49656057357788    44.3998184204102
8.493    -7.53531265258789    45.1215133666992
8.593    -7.47718477249146    45.8806343078613
8.693    -7.51593685150146    46.8676834106445
8.794    -7.49656057357788    47.7789192199707
8.894    -7.55468845367432    48.3484992980957
8.994    -7.51593685150146    49.2218284606934
9.094    -7.49656057357788    49.9814300537109
9.194    -7.53531265258789    50.9305725097656
9.295    -7.45780897140503    51.7276000976563
9.395    -7.43818473815918    52.6772270202637
9.495    -7.53531265258789    53.3984413146973
9.595    -7.43818473815918    54.3096733093262
9.695    -7.51593685150146    55.0308876037598
9.796    -7.55468845367432    55.8283996582031
9.896    -7.47718477249146    56.8533554077148
9.996    -7.55468845367432    57.3092155456543
10.096    -7.49656057357788    58.409984588623
10.196    -7.49656057357788    59.3212203979492
10.297    -7.55468845367432    59.852897644043
10.397    -7.49656057357788    60.7641296386719
10.497    -7.51593685150146    61.5616416931152
10.597    -7.51593685150146    62.5866012573242
10.697    -7.47718477249146    63.2319946289063
10.798    -7.49656057357788    64.1053237915039
10.898    -7.53531265258789    64.9407424926758
10.998    -7.49656057357788    65.8519744873047
11.098    -7.47718477249146    66.4973754882813
11.198    -7.47718477249146    67.3707046508789
11.299    -7.51593685150146    68.2819366455078
11.399    -7.51593685150146    69.0031509399414
11.499    -7.53531265258789    69.9522933959961
11.599    -7.51593685150146    70.7118988037109
11.699    -7.53531265258789    71.6610336303711
11.8    -7.49656057357788    72.3064346313477
11.9    -7.49656057357788    73.1418533325195
12    -7.51593685150146    73.8251571655273
12.1    -7.53531265258789    74.8122100830078
12.2    -7.49656057357788    75.6476287841797
12.301    -7.51593685150146    76.7109756469727
12.401    -7.49656057357788    77.3184661865234
12.501    -7.3800573348999    78.1538848876953
12.601    -7.55468845367432    78.9888229370117
12.701    -7.49656057357788    79.8621444702148
12.802    -7.47718477249146    80.6596603393555
12.902    -7.49656057357788    81.4187774658203
13.002    -7.45780897140503    81.9883575439453
13.102    -7.53531265258789    82.9754104614258
13.202    -7.43818473815918    83.6212921142578
13.303    -7.49656057357788    84.7220611572266
13.403    -7.49656057357788    85.5953903198242
13.503    -7.49656057357788    86.278694152832
13.603    -7.49656057357788    87.2278366088867
13.703    -7.49656057357788    88.0632553100586
13.804    -7.43818473815918    88.7086563110352
13.904    -7.47718477249146    89.6198883056641
14.004    -7.49656057357788    90.4553070068359
14.104    -7.53531265258789    91.4044494628906
14.204    -7.45780897140503    92.0498504638672
14.305    -7.49656057357788    92.9610824584961
14.405    -7.47718477249146    93.8344116210938
14.505    -7.49656057357788    94.4798049926758
14.605    -7.47718477249146    95.2773208618164
