sec"   "mA"   "mV
0.156    -8.33096504211426    -19.6903438568115
0.254    -7.962327003479    -15.7416610717773
0.351    -7.82644748687744    -12.2483530044556
0.449    -7.78769540786743    -8.83134460449219
0.547    -7.72931957244873    -5.14849948883057
0.644    -7.57406425476074    -1.19981670379639
0.742    -7.55468845367432    2.44512128829956
0.842    -7.47718477249146    5.78631448745728
0.942    -7.47718477249146    9.7349967956543
1.042    -7.49656057357788    13.5320501327515
1.143    -7.43818473815918    16.9490585327148
1.243    -7.43818473815918    20.897741317749
1.343    -7.3800573348999    24.3905639648438
1.443    -7.41880893707275    28.3776397705078
1.543    -7.3800573348999    31.9841861724854
1.644    -7.3800573348999    36.0849838256836
1.744    -7.41880893707275    39.6541061401367
1.844    -7.32192945480347    43.4506759643555
1.944    -7.36068105697632    47.0956115722656
2.044    -7.28292942047119    50.7026443481445
2.145    -7.39943313598633    54.8792572021484
2.245    -7.36068105697632    58.334171295166
2.345    -7.28292942047119    62.169132232666
2.445    -7.30255365371704    65.7761611938477
2.546    -7.34130525588989    69.4590072631836
2.646    -7.32192945480347    73.2176666259766
2.746    -7.32192945480347    77.0147247314453
2.846    -7.28292942047119    81.0392227172852
2.946    -7.26355361938477    84.3425064086914
3.047    -7.26355361938477    88.3290939331055
3.147    -7.32192945480347    91.7840118408203
3.247    -7.24417781829834    95.7710876464844
3.347    -7.22480201721191    99.4539337158203
3.447    -7.1860499382019    103.28840637207
3.547    -7.26355361938477    106.743804931641
3.648    -7.26355361938477    110.692489624023
3.748    -7.1860499382019    114.564872741699
3.848    -7.14729833602905    118.209808349609
3.948    -7.22480201721191    122.006866455078
4.049    -7.1276741027832    125.461776733398
4.149    -7.1276741027832    129.486755371094
4.249    -7.1276741027832    133.093292236328
4.349    -7.1860499382019    136.776626586914
4.449    -7.16667413711548    140.573196411133
4.549    -7.1276741027832    144.256042480469
4.65    -7.16667413711548    147.938888549805
4.75    -7.08892250061035    151.9638671875
4.85    -7.03079462051392    155.646713256836
4.95    -7.05017042160034    159.139541625977
5.05    -7.03079462051392    162.974502563477
5.151    -7.10829830169678    166.657348632813
5.251    -7.01141881942749    170.606033325195
5.351    -7.03079462051392    174.21305847168
5.451    -7.05017042160034    177.933807373047
5.551    -7.01141881942749    181.5029296875
5.652    -7.01141881942749    185.37580871582
5.752    -6.95304298400879    189.514022827148
5.852    -6.97241878509521    192.893127441406
5.952    -6.93366718292236    196.538055419922
6.052    -6.91429090499878    200.145095825195
6.153    -6.97241878509521    204.131683349609
6.253    -6.89491510391235    207.624984741211
6.353    -6.89491510391235    211.649490356445
6.453    -6.8561635017395    215.028594970703
6.553    -6.83678770065308    219.053573608398
6.654    -6.8561635017395    222.888046264648
6.754    -6.8561635017395    226.41926574707
6.854    -6.89491510391235    230.292129516602
6.954    -6.7977876663208    233.822860717773
7.054    -6.75903558731079    237.771545410156
7.155    -6.7977876663208    241.416488647461
7.255    -6.7977876663208    245.289352416992
7.355    -6.75903558731079    248.820571899414
7.455    -6.77841138839722    252.807159423828
7.555    -6.72028398513794    256.565826416016
7.656    -6.75903558731079    260.059112548828
7.756    -6.68153238296509    264.0078125
7.856    -6.70090818405151    267.4248046875
7.956    -6.75903558731079    271.411407470703
8.056    -6.68153238296509    274.904724121094
8.157    -6.64253234863281    278.891296386719
8.257    -6.68153238296509    282.270416259766
8.357    -6.6037802696228    286.256988525391
8.457    -6.62315607070923    290.129852294922
8.557    -6.56502866744995    293.736907958984
8.658    -6.6037802696228    297.647186279297
8.758    -6.54565286636353    301.140502929688
8.858    -6.54565286636353    304.823333740234
8.958    -6.54565286636353    308.582000732422
9.058    -6.5262770652771    312.379058837891
9.159    -6.48727703094482    315.948181152344
9.259    -6.48727703094482    319.858947753906
9.359    -6.44852495193481    323.503875732422
9.459    -6.48727703094482    327.452575683594
9.559    -6.44852495193481    331.249145507813
9.66    -6.37102174758911    334.969879150391
9.76    -6.37102174758911    338.652740478516
9.86    -6.35139751434326    342.259765625
9.96    -6.29326963424683    346.0947265625
10.06    -6.33202123641968    349.701751708984
10.161    -6.29326963424683    353.460418701172
10.261    -6.29326963424683    357.105346679688
10.361    -6.17676591873169    360.788208007813
10.461    -6.15739011764526    364.775268554688
10.561    -6.07988691329956    368.343902587891
10.662    -6.0215106010437    372.292602539063
10.762    -5.98275899887085    375.747985839844
10.862    -5.78875207901001    379.658782958984
10.962    -5.71099996566772    383.189514160156
11.062    -5.57512044906616    387.024475097656
11.163    -5.43948936462402    390.669403076172
11.263    -5.32298612594604    394.503875732422
11.363    -5.1093544960022    398.528869628906
11.463    -4.95409917831421    402.021667480469
11.563    -4.74071645736694    405.818725585938
11.664    -4.54670906066895    409.311553955078
11.764    -4.37207794189453    413.222320556641
11.864    -4.17782258987427    416.715637207031
11.964    -4.08094310760498    420.740142822266
12.064    -3.86731171607971    424.232971191406
12.165    -3.770432472229    428.143737792969
12.265    -3.59580111503601    432.092407226563
12.365    -3.49867343902588    435.509918212891
12.465    -3.32404232025146    439.420196533203
12.565    -3.14941096305847    442.989318847656
12.666    -2.99415564537048    447.052215576172
12.766    -2.89702796936035    450.431304931641
12.866    -2.76114845275879    454.380004882813
12.966    -2.64489316940308    457.834930419922
13.066    -2.54776549339294    461.821502685547
13.166    -2.48963785171509    465.314819335938
13.267    -2.41188597679138    469.2255859375
13.367    -2.37313437461853    473.212188720703
13.467    -2.31475830078125    476.705017089844
13.567    -2.25663065910339    480.539978027344
13.667    -2.15950298309326    484.032775878906
13.768    -2.10137534141541    487.791931152344
