sec"   "mA"   "mV
0.154    73.6826095581055    786.069396972656
0.253    67.2202606201172    785.917785644531
0.351    59.0886077880859    786.145202636719
0.449    55.1878509521484    786.259399414063
0.548    50.3943099975586    786.145202636719
0.646    48.4147415161133    786.107299804688
0.744    45.5813941955566    786.031494140625
0.843    44.3781051635742    786.335205078125
0.941    42.8645515441895    786.145202636719
1.039    42.6509170532227    785.993591308594
1.138    42.7674217224121    786.259399414063
1.236    41.1567420959473    786.259399414063
1.334    41.8552665710449    786.145202636719
1.433    41.6418838500977    786.18310546875
1.531    41.0402374267578    786.145202636719
1.629    40.690975189209    785.917785644531
1.728    38.808536529541    785.765625
1.826    40.1668319702148    786.525268554688
1.924    37.8573799133301    786.069396972656
2.023    39.0412940979004    786.676879882813
2.121    37.5081176757813    786.107299804688
2.22    37.682746887207    786.259399414063
2.318    36.673713684082    785.841430664063
2.416    36.6349601745605    786.60107421875
2.515    37.8770027160645    786.107299804688
2.613    36.1885681152344    786.563171386719
2.711    37.0617256164551    786.525268554688
2.81    37.5858688354492    785.993591308594
2.908    36.6349601745605    786.335205078125
3.006    36.6349601745605    786.411010742188
3.105    36.7512168884277    785.879333496094
3.203    36.499080657959    786.486877441406
3.301    35.1986618041992    785.803527832031
3.4    36.5378341674805    786.297302246094
3.498    34.3061294555664    786.107299804688
3.596    34.9465255737305    786.297302246094
3.695    34.3836326599121    785.765625
3.793    34.9465255737305    786.335205078125
3.891    35.3929176330566    786.259399414063
3.99    34.7718963623047    786.335205078125
4.088    35.703426361084    786.18310546875
4.187    35.8390579223633    786.335205078125
4.285    35.4897956848145    786.069396972656
4.383    35.8974342346191    786.107299804688
4.482    36.0526924133301    785.765625
4.58    35.8586845397949    786.297302246094
4.678    34.0731239318848    785.879333496094
4.777    35.9555625915527    786.259399414063
4.875    34.3836326599121    785.689819335938
4.973    34.3061294555664    786.259399414063
5.072    34.0537452697754    785.993591308594
5.17    34.8687744140625    786.411010742188
5.268    35.8003082275391    786.145202636719
5.367    34.5582656860352    786.335205078125
5.465    35.6838035583496    786.259399414063
5.563    35.6644287109375    786.297302246094
5.662    35.6450538635254    786.031494140625
5.76    35.7421798706055    786.069396972656
5.858    35.5869255065918    785.993591308594
5.957    35.3151664733887    786.411010742188
6.055    34.0924987792969    786.069396972656
6.153    35.7228050231934    786.373107910156
6.252    33.7044830322266    786.107299804688
6.35    34.0537452697754    786.373107910156
6.448    33.8791160583496    786.031494140625
6.547    34.286506652832    786.335205078125
6.645    35.1017837524414    786.259399414063
6.743    34.0924987792969    786.297302246094
6.842    35.4704208374023    786.259399414063
6.94    35.8586845397949    786.259399414063
7.038    35.3345413208008    786.107299804688
7.137    35.4122924804688    786.18310546875
7.235    35.2764129638672    786.069396972656
7.334    35.6644287109375    786.221496582031
7.432    33.8791160583496    785.879333496094
7.53    35.2180366516113    786.18310546875
7.629    34.189624786377    785.841430664063
7.727    33.8597412109375    786.373107910156
7.825    34.2090034484863    786.031494140625
7.924    33.6461067199707    786.714782714844
8.022    35.4510459899902    786.145202636719
8.12    33.9956207275391    786.259399414063
8.219    35.237663269043    786.069396972656
8.317    35.3151664733887    786.259399414063
8.415    35.5091743469238    786.145202636719
8.514    35.4704208374023    785.917785644531
8.612    35.237663269043    786.069396972656
8.71    35.3929176330566    786.411010742188
8.809    33.7626113891602    786.18310546875
8.907    35.3151664733887    786.259399414063
9.005    34.1508750915527    785.689819335938
9.104    34.2477531433105    786.259399414063
9.202    33.6851081848145    785.879333496094
9.3    34.286506652832    786.448974609375
9.399    34.8106460571289    786.107299804688
9.497    33.9956207275391    786.335205078125
9.595    34.8881530761719    785.841430664063
9.694    35.2957878112793    786.259399414063
9.792    34.6941452026367    786.525268554688
9.89    35.237663269043    786.411010742188
9.989    34.8106460571289    786.411010742188
10.087    35.237663269043    786.221496582031
10.185    34.1312484741211    785.765625
10.284    35.0240287780762    786.335205078125
10.382    33.490852355957    786.069396972656
10.48    33.6073570251465    786.486877441406
10.579    33.4714775085449    785.841430664063
10.677    33.9759941101074    786.297302246094
10.775    35.2957878112793    785.841430664063
10.874    33.490852355957    786.563171386719
10.972    35.2764129638672    785.765625
11.07    35.2764129638672    786.448974609375
11.169    34.9271507263184    785.803527832031
11.267    35.082405090332    786.448974609375
11.365    35.2180366516113    786.18310546875
11.464    35.082405090332    786.221496582031
11.562    33.2580947875977    786.221496582031
11.66    35.1405334472656    786.411010742188
11.759    33.0640869140625    786.259399414063
11.857    33.5298538208008    786.448974609375
11.956    33.6073570251465    785.841430664063
12.054    33.4133491516113    786.638977050781
12.152    35.0627822875977    786.145202636719
12.251    33.8207397460938    786.676879882813
12.349    34.8687744140625    786.373107910156
12.447    35.1017837524414    786.069396972656
12.546    35.1986618041992    786.259399414063
12.644    34.8881530761719    786.107299804688
12.742    35.2570381164551    785.879333496094
12.841    34.8881530761719    786.145202636719
12.939    33.6267318725586    786.107299804688
13.037    34.8881530761719    786.411010742188
13.136    33.0640869140625    786.069396972656
13.234    33.6267318725586    786.335205078125
13.332    33.3355979919434    785.917785644531
13.431    33.743236541748    786.335205078125
13.529    34.5388870239258    786.259399414063
13.627    33.6654853820801    786.448974609375
13.726    34.985279083252    785.993591308594
13.824    34.8493995666504    786.259399414063
13.922    34.7135200500488    785.993591308594
14.021    35.2180366516113    786.107299804688
14.119    34.8300247192383    786.145202636719
14.217    34.8300247192383    786.297302246094
14.316    33.6654853820801    785.689819335938
14.414    34.5582656860352    786.259399414063
14.512    33.3162231445313    786.145202636719
14.611    33.8984909057617    786.18310546875
14.709    33.4327239990234    785.917785644531
14.807    33.6461067199707    786.335205078125
14.906    35.0240287780762    786.145202636719
15.004    33.9566192626953    786.411010742188
15.102    34.7912712097168    785.993591308594
15.201    35.1017837524414    786.031494140625
15.299    35.1017837524414    785.993591308594
15.397    34.9271507263184    786.335205078125
15.496    34.7328948974609    785.879333496094
15.594    34.6553916931152    786.221496582031
15.693    33.3162231445313    785.955688476563
15.791    34.7135200500488    786.486877441406
15.889    33.3745994567871    785.765625
15.988    33.8013648986816    786.60107421875
16.086    33.3549728393555    786.069396972656
16.184    33.5492286682129    786.297302246094
16.283    34.5195121765137    786.259399414063
16.381    33.7238616943359    786.448974609375
16.479    35.0627822875977    785.993591308594
16.578    35.1986618041992    786.107299804688
16.676    34.5001373291016    786.221496582031
16.774    34.8300247192383    786.297302246094
16.873    35.1599082946777    786.145202636719
16.971    35.082405090332    786.18310546875
17.069    33.9956207275391    785.879333496094
17.168    34.9659042358398    786.259399414063
17.266    33.1803436279297    786.221496582031
17.364    33.3549728393555    786.638977050781
17.463    33.1222152709961    786.221496582031
17.561    33.3745994567871    786.335205078125
17.659    34.1508750915527    786.335205078125
17.758    34.0343704223633    786.221496582031
17.856    34.6941452026367    786.335205078125
17.954    35.1405334472656    786.373107910156
18.053    34.9465255737305    786.145202636719
18.151    34.985279083252    785.993591308594
18.249    35.1211585998535    786.145202636719
18.348    34.8300247192383    786.373107910156
18.446    33.3745994567871    785.993591308594
18.544    35.1017837524414    786.411010742188
18.643    32.8117027282715    786.259399414063
18.741    33.6073570251465    786.676879882813
18.839    33.2387199401855    786.145202636719
18.938    33.6267318725586    786.525268554688
19.036    34.111873626709    786.638977050781
19.134    33.3162231445313    786.638977050781
19.233    34.9271507263184    785.879333496094
19.331    34.8687744140625    786.145202636719
19.429    35.1792869567871    786.031494140625
19.528    35.2570381164551    785.993591308594
19.626    34.8106460571289    786.145202636719
19.724    34.9465255737305    786.335205078125
19.823    33.2774696350098    785.765625
19.921    35.2570381164551    786.145202636719
20.019    33.2774696350098    786.18310546875
20.118    33.5298538208008    786.638977050781
20.216    33.2968444824219    786.18310546875
20.314    33.5879821777344    786.335205078125
