sec"   "mA"   "mV
0.154    85.540397644043    786.448974609375
0.252    79.9122009277344    786.069396972656
0.351    78.7091598510742    786.411010742188
0.449    77.6998748779297    786.145202636719
0.548    74.3426361083984    786.411010742188
0.646    73.3914794921875    786.031494140625
0.744    71.295654296875    786.259399414063
0.843    69.7431030273438    785.993591308594
0.941    66.5796203613281    786.411010742188
1.039    65.7839660644531    786.107299804688
1.138    62.7759857177734    786.486877441406
1.236    59.8455123901367    785.765625
1.334    59.0498580932617    786.335205078125
1.433    56.5076446533203    785.917785644531
1.531    56.1387596130371    786.676879882813
1.629    54.3921966552734    785.955688476563
1.728    54.6249580383301    786.411010742188
1.826    54.5474510192871    786.145202636719
1.924    52.5485076904297    786.60107421875
2.023    52.8202667236328    786.145202636719
2.121    51.8887367248535    786.297302246094
2.22    51.8109855651855    786.069396972656
2.318    50.9959564208984    786.335205078125
2.416    50.6854438781738    785.993591308594
2.515    50.0838012695313    786.259399414063
2.613    48.201358795166    785.993591308594
2.711    49.3658981323242    786.411010742188
2.81    47.3475799560547    786.031494140625
2.908    48.1432304382324    786.221496582031
3.006    46.9786911010742    786.069396972656
3.105    47.2892036437988    786.563171386719
3.203    48.0461044311523    786.145202636719
3.301    46.5516777038574    786.563171386719
3.4    47.1339492797852    786.221496582031
3.498    47.1145706176758    786.525268554688
3.596    46.9593162536621    786.107299804688
3.695    46.5129280090332    786.145202636719
3.793    46.5713043212891    786.069396972656
3.891    46.0277862548828    786.335205078125
3.99    44.3781051635742    785.879333496094
4.088    45.9112815856934    786.411010742188
4.187    43.8929595947266    786.221496582031
4.285    44.8438682556152    786.525268554688
4.383    43.2138137817383    785.917785644531
4.482    44.2034721374512    786.714782714844
4.58    45.0381240844727    786.335205078125
4.678    44.0288391113281    786.60107421875
4.777    45.1740036010742    785.917785644531
4.875    44.7082366943359    786.335205078125
4.973    44.9409980773926    786.221496582031
5.072    44.261848449707    786.221496582031
5.17    44.4364776611328    786.069396972656
5.268    43.5630760192871    786.60107421875
5.367    42.3794097900391    786.145202636719
5.465    43.757080078125    786.335205078125
5.563    42.1657752990723    785.651916503906
5.662    42.9420547485352    786.563171386719
5.76    42.2241516113281    785.993591308594
5.858    42.4375343322754    786.638977050781
5.957    43.7960815429688    785.917785644531
6.055    42.5150375366211    786.790588378906
6.153    43.4271965026855    786.031494140625
6.252    43.2138137817383    786.221496582031
6.35    43.5630760192871    786.107299804688
6.448    43.2525634765625    786.411010742188
6.547    43.2525634765625    786.18310546875
6.645    42.6899185180664    786.221496582031
6.743    41.2729949951172    785.651916503906
