sec"   "mA"   "mV
0.154    20.7462539672852    789.664001464844
0.252    19.445333480835    788.904602050781
0.351    18.907564163208    789.398254394531
0.449    18.7335815429688    789.246643066406
0.548    18.2907123565674    789.398254394531
0.646    17.7845764160156    789.17041015625
0.744    17.7292060852051    789.322448730469
0.843    17.6382789611816    788.904602050781
0.941    17.2883110046387    789.436157226563
1.039    17.2744941711426    789.132507324219
1.138    16.9403419494629    789.436157226563
1.236    16.8928928375244    789.17041015625
1.334    16.6161117553711    789.474060058594
1.433    16.5429496765137    788.980895996094
1.531    16.2720928192139    789.398254394531
1.629    15.9379663467407    789.17041015625
1.728    15.8786478042603    789.3603515625
1.826    15.5840768814087    789.246643066406
1.924    15.5524435043335    789.55029296875
2.023    15.2321357727051    789.056701660156
2.121    15.1985282897949    789.664001464844
2.219    15.1807374954224    789.094604492188
2.318    14.8624286651611    789.474060058594
2.416    14.8386907577515    789.132507324219
2.514    14.5619106292725    789.322448730469
2.613    14.5361995697021    789.018798828125
2.711    14.2890787124634    789.284545898438
2.809    14.2455759048462    789.322448730469
2.908    13.9786653518677    789.436157226563
3.006    13.7097816467285    789.018798828125
3.105    13.7295455932617    789.398254394531
3.203    13.4646348953247    789.246643066406
3.301    13.4804515838623    789.3603515625
3.4    13.2471485137939    789.018798828125
3.498    13.2688865661621    789.3603515625
3.596    13.2945985794067    789.094604492188
3.695    13.0830335617065    789.246643066406
3.793    13.0889806747437    788.942993164063
3.891    12.8833637237549    789.55029296875
3.99    12.916971206665    789.17041015625
4.088    12.7014579772949    789.626098632813
4.186    12.7311182022095    789.094604492188
4.285    12.5373687744141    789.474060058594
4.383    12.2941961288452    789.246643066406
4.481    12.3396472930908    789.55029296875
4.58    12.1458988189697    789.322448730469
4.678    12.2151126861572    789.246643066406
4.776    12.0094947814941    789.208251953125
4.875    12.0608930587769    789.398254394531
4.973    12.1340293884277    789.17041015625
5.071    11.9304113388062    789.436157226563
5.17    12.0233125686646    789.322448730469
5.268    11.8295640945435    789.474060058594
5.366    11.9106216430664    789.094604492188
5.465    11.7405853271484    789.436157226563
5.563    11.8137474060059    789.018798828125
5.661    11.6259202957153    789.474060058594
5.76    11.4499626159668    789.132507324219
5.858    11.5290460586548    789.322448730469
5.956    11.3669309616089    789.094604492188
6.055    11.4420671463013    789.55029296875
6.153    11.2799263000488    789.246643066406
6.251    11.3451671600342    789.3603515625
6.35    11.4657793045044    789.208251953125
6.448    11.3076114654541    789.17041015625
6.546    11.3787994384766    789.17041015625
6.645    11.2087631225586    789.474060058594
6.743    11.3273763656616    788.980895996094
6.841    11.1514186859131    789.474060058594
6.94    11.2463188171387    788.980895996094
7.038    11.0861778259277    789.3603515625
7.136    10.8983507156372    789.17041015625
7.235    11.0229110717773    789.398254394531
7.333    10.8647432327271    789.246643066406
7.431    10.9655656814575    789.208251953125
7.53    10.8192672729492    789.17041015625
7.628    10.9201145172119    789.474060058594
7.726    11.0288324356079    789.246643066406
7.825    10.8726644515991    789.55029296875
7.923    10.9774341583252    789.246643066406
8.022    10.8331098556519    789.3603515625
8.12    10.9260358810425    789.246643066406
8.218    10.787633895874    789.588195800781
8.317    10.8904552459717    789.208251953125
8.415    10.7263402938843    789.474060058594
8.513    10.5998067855835    788.980895996094
8.612    10.6986799240112    789.398254394531
8.71    10.5503826141357    789.246643066406
8.808    10.6373872756958    789.436157226563
8.907    10.5068798065186    789.17041015625
9.005    10.6452827453613    789.398254394531
9.103    10.7382097244263    789.246643066406
9.202    10.6017808914185    789.55029296875
9.3    10.7026281356812    789.398254394531
9.398    10.5839900970459    789.55029296875
9.497    10.6650476455688    789.322448730469
9.595    10.5088796615601    789.512451171875
9.693    10.6235446929932    789.094604492188
9.792    10.4792203903198    789.398254394531
9.89    10.3348951339722    789.436157226563
9.988    10.4159526824951    789.588195800781
10.087    10.3250007629395    789.398254394531
10.185    10.4456129074097    789.55029296875
10.283    10.2913932800293    789.246643066406
10.382    10.4357175827026    789.246643066406
10.48    10.5128269195557    789.398254394531
10.578    10.3961629867554    789.474060058594
10.677    10.4950370788574    789.246643066406
10.775    10.3843193054199    789.512451171875
10.873    10.4554824829102    789.094604492188
10.972    10.3012628555298    789.398254394531
11.07    10.4317693710327    789.246643066406
11.168    10.2913932800293    789.398254394531
11.267    10.1529903411865    789.284545898438
11.365    10.2379961013794    789.3603515625
11.463    10.133225440979    789.17041015625
11.562    10.2814979553223    789.436157226563
11.66    10.1193828582764    789.094604492188
11.758    10.2558116912842    789.3603515625
11.857    10.3348951339722    789.436157226563
11.955    10.2360219955444    789.284545898438
12.053    10.3151054382324    788.904602050781
12.152    10.2281265258789    789.474060058594
12.25    10.2953405380249    789.246643066406
12.348    10.1193828582764    789.512451171875
12.447    10.2716283798218    788.942993164063
12.545    10.1075143814087    789.55029296875
12.643    10.0165615081787    789.132507324219
12.742    10.0640115737915    789.664001464844
12.84    9.99877071380615    789.17041015625
12.938    10.1094875335693    789.474060058594
13.037    9.965163230896    789.17041015625
13.135    10.145094871521    789.322448730469
13.233    10.1964921951294    789.246643066406
13.332    10.1213569641113    789.436157226563
13.43    10.1885719299316    789.284545898438
13.528    10.1094875335693    789.588195800781
13.627    10.1569385528564    789.132507324219
13.725    9.98295402526855    789.474060058594
13.823    10.1549644470215    789.322448730469
13.922    9.97111034393311    789.398254394531
14.02    9.91179180145264    789.246643066406
14.118    9.94342517852783    789.55029296875
14.217    9.90189647674561    789.056701660156
14.315    10.0521678924561    789.55029296875
14.413    9.87621021270752    789.246643066406
14.512    10.0343770980835    789.474060058594
14.61    10.1134614944458    789.474060058594
14.708    10.0244827270508    789.588195800781
14.807    10.0818281173706    789.094604492188
14.905    10.0047178268433    789.246643066406
15.003    10.0699586868286    789.208251953125
15.102    9.91179180145264    789.3603515625
15.2    10.0600643157959    789.094604492188
15.298    9.87818431854248    789.322448730469
15.397    9.82478713989258    789.398254394531
15.495    9.86828899383545    789.246643066406
15.593    9.79712677001953    789.322448730469
15.692    9.97308444976807    789.588195800781
15.79    9.80699634552002    789.246643066406
15.888    9.95726776123047    789.3603515625
15.987    10.0066919326782    789.284545898438
16.085    9.9493465423584    789.322448730469
16.183    10.0027437210083    789.3603515625
16.282    9.82083892822266    789.322448730469
16.38    9.96911144256592    789.132507324219
16.478    9.79117965698242    789.398254394531
16.577    9.98097991943359    789.246643066406
16.675    9.76349353790283    789.322448730469
16.773    9.74570274353027    789.246643066406
16.872    9.75757217407227    789.398254394531
16.97    9.75362396240234    789.208251953125
17.068    9.90784358978271    789.398254394531
17.167    9.73978137969971    789.17041015625
17.265    9.92366027832031    789.246643066406
17.363    9.9335298538208    789.17041015625
17.462    9.92760848999023    789.512451171875
17.56    9.93155574798584    789.398254394531
17.658    9.7555980682373    789.322448730469
17.757    9.89992237091064    789.3603515625
17.855    9.71604347229004    789.436157226563
17.953    9.89992237091064    789.322448730469
18.052    9.70022678375244    789.398254394531
18.15    9.68441009521484    789.246643066406
18.248    9.70222568511963    789.208251953125
18.347    9.70022678375244    789.284545898438
18.445    9.87818431854248    789.588195800781
18.543    9.70022678375244    789.512451171875
18.642    9.89002799987793    789.3603515625
18.74    9.87621021270752    789.246643066406
18.838    9.89202690124512    789.398254394531
18.937    9.85049819946289    789.132507324219
19.035    9.66859340667725    789.284545898438
19.133    9.84655094146729    789.17041015625
19.232    9.65080261230469    789.246643066406
19.33    9.82478713989258    789.3603515625
19.428    9.64488124847412    789.208251953125
19.527    9.65477561950684    789.17041015625
