sec"   "mA"   "mV
0.193    20.3310699462891    789.398254394531
0.331    19.7933025360107    789.018798828125
0.468    18.7691612243652    789.398254394531
0.606    18.3440837860107    789.284545898438
0.743    18.0040378570557    789.094604492188
0.881    17.4702167510986    789.3603515625
1.019    17.3001804351807    789.436157226563
1.156    16.8810482025146    789.322448730469
1.294    16.608190536499    789.246643066406
1.431    16.4816570281982    789.246643066406
1.569    16.0803165435791    789.17041015625
1.706    16.0605525970459    789.094604492188
1.844    15.6651344299316    789.474060058594
1.981    15.4575433731079    788.942993164063
2.119    14.9869890213013    789.512451171875
2.256    14.8110313415527    789.398254394531
2.394    14.5342254638672    789.246643066406
2.531    14.2337074279785    788.942993164063
2.669    14.1981258392334    789.132507324219
2.806    13.8798179626465    789.322448730469
2.944    13.9055042266846    789.246643066406
3.082    13.6662788391113    789.398254394531
3.219    13.4369487762451    789.322448730469
3.357    13.3381004333496    789.094604492188
3.494    12.9663944244385    789.512451171875
3.632    12.909049987793    789.474060058594
3.769    12.6658773422241    789.398254394531
3.907    12.5037612915039    789.398254394531
4.044    12.5334215164185    789.246643066406
4.182    12.2902231216431    789.398254394531
4.319    12.3890972137451    789.474060058594
4.457    12.1913747787476    789.246643066406
4.594    12.1202125549316    789.17041015625
4.732    12.0608930587769    789.246643066406
4.869    11.7544279098511    789.474060058594
5.007    11.7623491287231    789.512451171875
5.144    11.5448627471924    789.094604492188
5.282    11.4638051986694    789.132507324219
5.42    11.5092811584473    789.246643066406
5.557    11.3372716903687    789.208251953125
5.695    11.5171775817871    789.284545898438
5.832    11.3352975845337    789.474060058594
5.97    11.3333234786987    789.246643066406
6.107    11.3254022598267    789.018798828125
6.245    11.0703611373901    789.322448730469
6.382    11.1079158782959    789.284545898438
6.52    10.9102191925049    789.436157226563
6.657    11.0407009124756    789.322448730469
6.795    10.8884811401367    789.436157226563
6.932    11.0169887542725    789.436157226563
7.07    10.9635915756226    789.094604492188
7.208    10.8291616439819    789.322448730469
7.345    10.8726644515991    789.094604492188
7.483    10.6057538986206    789.17041015625
7.62    10.667046546936    789.284545898438
7.758    10.5642251968384    789.17041015625
7.895    10.4871158599854    789.246643066406
8.033    10.6077280044556    789.474060058594
8.17    10.4554824829102    789.322448730469
8.308    10.6492309570313    789.132507324219
8.445    10.5839900970459    789.17041015625
8.583    10.4950370788574    789.322448730469
8.72    10.5306177139282    789.094604492188
8.858    10.3131313323975    789.322448730469
8.995    10.3981618881226    789.474060058594
9.133    10.2360219955444    789.208251953125
9.27    10.1885719299316    789.056701660156
9.408    10.3072099685669    789.284545898438
9.545    10.1609115600586    789.018798828125
9.683    10.3941888809204    789.132507324219
9.821    10.2459163665771    789.55029296875
9.958    10.3230266571045    789.284545898438
10.096    10.3289480209351    789.094604492188
10.233    10.1035661697388    789.246643066406
10.371    10.2103357315063    789.208251953125
10.508    9.99679660797119    788.980895996094
10.646    10.0066919326782    789.284545898438
10.783    10.0580902099609    789.512451171875
10.921    9.965163230896    789.208251953125
11.058    10.1510162353516    789.246643066406
11.196    10.0699586868286    789.55029296875
11.333    10.1253051757813    789.322448730469
11.471    9.88410568237305    789.018798828125
11.608    9.965163230896    789.322448730469
11.746    9.89002799987793    789.284545898438
11.883    9.85049819946289    789.284545898438
12.021    10.0027437210083    789.398254394531
12.158    9.89992237091064    789.17041015625
12.296    10.056116104126    789.284545898438
12.433    9.97703266143799    789.3603515625
12.571    9.93747806549072    789.512451171875
12.708    9.9869270324707    789.056701660156
12.846    9.74175548553467    789.3603515625
12.984    9.87223720550537    789.3603515625
13.121    9.74372959136963    789.208251953125
13.259    9.70617389678955    789.17041015625
13.396    9.83270740509033    789.436157226563
13.534    9.73780727386475    789.322448730469
13.671    9.93947696685791    789.246643066406
13.809    9.83665561676025    789.246643066406
13.946    9.84060382843018    789.094604492188
14.084    9.89597511291504    789.17041015625
14.221    9.65277671813965    789.3603515625
14.359    9.77931022644043    789.436157226563
14.496    9.61916923522949    789.132507324219
14.634    9.62314224243164    789.284545898438
14.771    9.71406936645508    789.322448730469
14.909    9.60532665252686    789.094604492188
15.046    9.84655094146729    788.942993164063
15.184    9.73386001586914    789.436157226563
15.322    9.7714147567749    789.436157226563
15.459    9.56777095794678    789.17041015625
15.597    9.61522102355957    789.588195800781
15.734    9.59150886535645    789.246643066406
15.872    9.51637268066406    789.018798828125
16.009    9.74175548553467    789.246643066406
16.147    9.60732555389404    789.55029296875
16.284    9.74767684936523    789.17041015625
16.422    9.75954627990723    789.284545898438
16.559    9.63895893096924    789.436157226563
16.697    9.70617389678955    789.17041015625
16.834    9.47484493255615    789.132507324219
16.972    9.57766628265381    789.322448730469
17.109    9.48079204559326    789.474060058594
17.247    9.44715881347656    789.208251953125
17.384    9.63696002960205    789.436157226563
17.522    9.53219032287598    789.208251953125
17.659    9.69430541992188    789.246643066406
17.797    9.68838310241699    789.3603515625
17.934    9.62906455993652    789.246643066406
18.072    9.67651462554932    789.17041015625
18.21    9.40762996673584    789.436157226563
18.347    9.56184959411621    789.284545898438
18.485    9.40368175506592    789.132507324219
18.622    9.3937873840332    789.322448730469
18.76    9.54205989837646    789.398254394531
18.897    9.43334197998047    789.17041015625
19.035    9.63103771209717    788.86669921875
19.172    9.56184959411621    789.322448730469
19.31    9.58358764648438    789.284545898438
