sec"   "mA"   "mV
0.154    20.4477100372314    789.056701660156
0.252    19.3504333496094    789.018798828125
0.351    18.8660354614258    789.246643066406
0.449    18.5615711212158    789.208251953125
0.548    18.1048583984375    789.132507324219
0.646    17.6738586425781    789.55029296875
0.744    17.509744644165    789.018798828125
0.843    17.1874885559082    789.094604492188
0.941    16.8039398193359    789.056701660156
1.039    16.7624111175537    789.208251953125
1.138    16.3927040100098    788.942993164063
1.236    16.3492012023926    789.284545898438
1.334    16.0071563720703    789.17041015625
1.433    15.9438886642456    789.018798828125
1.531    15.5998935699463    789.132507324219
1.629    15.5346269607544    789.322448730469
1.728    15.5544176101685    789.17041015625
1.826    15.2182931900024    789.17041015625
1.924    15.2005023956299    789.208251953125
2.023    14.9770936965942    789.398254394531
2.121    14.919774055481    789.132507324219
2.219    14.6271514892578    789.398254394531
2.318    14.3622150421143    789.17041015625
2.416    14.3602409362793    789.55029296875
2.514    14.1289377212524    789.17041015625
2.613    14.1704406738281    789.436157226563
2.711    13.9213209152222    789.284545898438
2.809    13.9272680282593    789.322448730469
2.908    13.7038593292236    789.17041015625
3.006    13.7493362426758    789.246643066406
3.104    13.8145771026611    789.018798828125
3.203    13.5694046020508    789.664001464844
3.301    13.6564092636108    789.17041015625
3.399    13.4369487762451    789.246643066406
3.498    13.4824256896973    789.17041015625
3.596    13.2926244735718    789.474060058594
3.694    13.0514001846313    789.398254394531
3.793    13.1324834823608    789.094604492188
3.891    12.9268655776978    789.284545898438
3.989    13.0098972320557    789.132507324219
4.088    12.7746200561523    789.094604492188
4.186    12.8438091278076    789.701904296875
4.284    12.6559820175171    789.132507324219
4.383    12.7232217788696    789.474060058594
4.481    12.8299655914307    789.17041015625
4.579    12.6381912231445    789.246643066406
4.678    12.7133274078369    789.056701660156
4.776    12.5235261917114    789.284545898438
4.875    12.5907411575317    789.094604492188
4.973    12.464207649231    789.474060058594
5.071    12.2190608978271    788.942993164063
5.17    12.3534898757935    789.246643066406
5.268    12.1320562362671    789.018798828125
5.366    12.2210340499878    789.3603515625
5.465    12.0628671646118    789.056701660156
5.563    12.1241598129272    789.322448730469
5.661    11.9699411392212    789.322448730469
5.76    12.094500541687    789.398254394531
5.858    12.1656637191772    789.208251953125
5.956    11.9936780929565    789.664001464844
6.055    12.1083431243896    789.056701660156
6.153    11.9600458145142    789.398254394531
6.251    12.0470504760742    788.980895996094
6.35    11.849328994751    789.55029296875
6.448    11.6971082687378    789.17041015625
6.546    11.8117733001709    789.474060058594
6.645    11.6536064147949    789.056701660156
6.743    11.7524547576904    789.55029296875
6.841    11.5844173431396    789.056701660156
6.94    11.7148990631104    789.474060058594
7.038    11.5270719528198    789.17041015625
7.136    11.6278944015503    789.588195800781
7.235    11.756402015686    788.828857421875
7.333    11.5686006546021    789.284545898438
7.431    11.7208204269409    789.17041015625
7.53    11.5666017532349    789.474060058594
7.628    11.6575536727905    789.17041015625
7.726    11.4895172119141    789.246643066406
7.825    11.3412189483643    789.246643066406
7.923    11.4262504577637    789.436157226563
8.021    11.2997159957886    789.018798828125
8.12    11.3827476501465    789.246643066406
8.218    11.2680826187134    789.208251953125
8.316    11.3807735443115    789.284545898438
8.415    11.2206325531006    789.056701660156
8.513    11.3708791732788    789.246643066406
8.611    11.4697265625    789.246643066406
8.71    11.3471660614014    789.436157226563
8.808    11.4321718215942    788.86669921875
8.906    11.232476234436    789.474060058594
9.005    11.3847217559814    788.980895996094
9.103    11.2305021286011    789.398254394531
9.201    11.0782814025879    789.018798828125
9.3    11.1593399047852    789.246643066406
9.398    11.0703611373901    788.904602050781
9.496    11.1079158782959    789.322448730469
9.595    11.0407009124756    789.094604492188
9.693    11.1909732818604    789.246643066406
9.791    10.9853553771973    789.3603515625
9.89    11.1593399047852    789.3603515625
9.988    11.2305021286011    789.094604492188
10.086    11.1079158782959    789.588195800781
10.185    11.2127113342285    789.018798828125
10.283    11.0762825012207    789.322448730469
10.381    11.1771297454834    789.246643066406
10.48    11.0308313369751    789.3603515625
10.578    10.9062719345093    789.056701660156
10.676    10.9991979598999    789.588195800781
