sec"   "mA"   "mV
0.193    18.921407699585    789.3603515625
0.331    18.2887382507324    789.208251953125
0.468    18.1622047424316    789.094604492188
0.606    17.7608394622803    789.474060058594
0.743    17.6520957946777    789.094604492188
0.881    17.4188175201416    789.284545898438
1.018    17.0233993530273    789.246643066406
1.156    16.8474407196045    789.398254394531
1.294    16.3709411621094    789.246643066406
1.431    16.1396369934082    789.398254394531
1.569    15.9102811813354    789.512451171875
1.706    15.5306797027588    789.094604492188
1.844    15.4911508560181    789.588195800781
1.981    15.0502557754517    789.208251953125
2.119    14.9019584655762    789.246643066406
2.256    14.6647071838379    789.474060058594
2.394    14.2317333221436    789.208251953125
2.531    14.0874090194702    789.094604492188
2.669    13.6761741638184    789.056701660156
2.806    13.5021896362305    789.398254394531
2.944    13.3301801681519    789.322448730469
3.082    13.0889806747437    789.246643066406
3.219    13.1403789520264    789.132507324219
3.357    12.8339395523071    789.474060058594
3.494    12.7785682678223    789.208251953125
3.632    12.4306001663208    789.208251953125
3.769    12.3396472930908    789.588195800781
3.907    12.1894006729126    789.3603515625
4.044    11.9857578277588    789.094604492188
4.182    12.096474647522    789.322448730469
4.319    11.8809623718262    789.018798828125
4.457    11.8829612731934    789.094604492188
4.594    11.8137474060059    789.094604492188
4.732    11.5804443359375    789.094604492188
4.869    11.56067943573    789.284545898438
5.007    11.2759780883789    789.208251953125
5.144    11.2364492416382    789.512451171875
5.282    11.192946434021    789.474060058594
5.419    11.0505962371826    789.322448730469
5.557    11.2008428573608    789.3603515625
5.695    11.0505962371826    789.3603515625
5.832    11.0584917068481    789.132507324219
5.97    11.0466480255127    789.094604492188
6.107    10.8153190612793    789.436157226563
6.245    10.8864822387695    789.322448730469
6.382    10.589937210083    789.246643066406
6.52    10.6175975799561    789.322448730469
6.657    10.6116752624512    789.474060058594
6.795    10.4772462844849    789.246643066406
6.932    10.6571521759033    789.3603515625
7.07    10.5246963500977    789.398254394531
7.207    10.578067779541    789.132507324219
7.345    10.5701475143433    789.17041015625
7.482    10.3526859283447    789.322448730469
7.62    10.4040842056274    789.17041015625
7.757    10.2043886184692    789.17041015625
7.895    10.1707811355591    789.17041015625
8.033    10.2478904724121    789.588195800781
8.17    10.3546600341797    789.17041015625
8.308    10.3012628555298    789.55029296875
8.445    10.1292781829834    789.436157226563
8.583    10.2399950027466    789.474060058594
8.72    9.95924186706543    789.056701660156
8.858    10.0027437210083    789.436157226563
8.995    9.98890113830566    789.398254394531
9.133    9.90584468841553    789.094604492188
9.27    10.1233310699463    789.322448730469
9.408    9.97308444976807    789.55029296875
9.545    10.0739068984985    789.17041015625
9.683    10.0501937866211    789.398254394531
9.82    9.87818431854248    789.3603515625
9.958    9.95329475402832    789.322448730469
10.095    9.73386001586914    789.056701660156
10.233    9.77536296844482    789.398254394531
10.37    9.81491756439209    789.322448730469
10.508    9.70617389678955    789.322448730469
10.645    9.92366027832031    789.398254394531
10.783    9.81094360351563    789.474060058594
10.921    9.86039352416992    789.3603515625
11.058    9.87818431854248    788.980895996094
11.196    9.66069793701172    789.512451171875
11.333    9.77536296844482    789.398254394531
11.471    9.57369327545166    789.17041015625
11.608    9.57569217681885    789.018798828125
11.746    9.66661930084229    789.474060058594
11.883    9.56579685211182    789.246643066406
12.021    9.77338886260986    789.398254394531
12.158    9.67848873138428    789.398254394531
12.296    9.69825267791748    789.626098632813
12.433    9.46100234985352    789.246643066406
12.571    9.52229499816895    789.474060058594
12.708    9.53811168670654    789.474060058594
12.846    9.44715881347656    789.474060058594
12.984    9.67651462554932    789.094604492188
13.121    9.57569217681885    789.246643066406
13.259    9.61916923522949    789.284545898438
13.396    9.6409330368042    789.056701660156
13.534    9.45310592651367    789.284545898438
13.671    9.56974506378174    789.3603515625
13.809    9.35425758361816    789.056701660156
13.946    9.37994384765625    789.246643066406
14.084    9.44321155548096    789.512451171875
14.221    9.37797069549561    789.398254394531
14.359    9.59545707702637    789.246643066406
14.496    9.50450420379639    789.626098632813
14.634    9.52824211120605    789.474060058594
14.771    9.56777095794678    789.246643066406
14.909    9.35028457641602    789.398254394531
15.046    9.43134212493896    789.474060058594
15.184    9.27120113372803    789.17041015625
15.321    9.30283451080322    789.246643066406
15.459    9.38983917236328    789.398254394531
15.596    9.29691314697266    789.474060058594
15.734    9.49263572692871    789.322448730469
15.872    9.43134212493896    789.436157226563
16.009    9.42147254943848    789.17041015625
16.147    9.47681903839111    789.094604492188
16.284    9.2257251739502    789.474060058594
16.422    9.34831047058105    789.512451171875
16.559    9.21190738677979    789.322448730469
16.697    9.44321155548096    789.17041015625
16.834    9.33052062988281    789.398254394531
16.972    9.3937873840332    789.322448730469
17.109    9.441237449646    788.942993164063
17.247    9.25341033935547    789.474060058594
17.384    9.33844089508057    789.284545898438
17.522    9.16048431396484    789.208251953125
17.659    9.19806480407715    789.398254394531
17.797    9.28504371643066    789.512451171875
17.934    9.17630100250244    789.246643066406
18.072    9.40565586090088    789.17041015625
18.209    9.30680751800537    789.322448730469
18.347    9.32262420654297    789.436157226563
18.484    9.38786506652832    789.246643066406
18.622    9.16643142700195    789.246643066406
18.759    9.27517414093018    789.436157226563
18.897    9.11106014251709    789.018798828125
19.034    9.10316371917725    789.474060058594
19.172    9.23759365081787    789.3603515625
19.31    9.1328239440918    789.246643066406
19.447    9.37797069549561    789.17041015625
19.585    9.28109645843506    789.3603515625
19.722    9.31075572967529    789.512451171875
19.86    9.34436321258545    789.094604492188
19.997    9.12490272521973    789.094604492188
20.135    9.194091796875    789.55029296875
20.272    9.08932113647461    789.246643066406
20.41    9.0636100769043    789.246643066406
20.547    9.20596027374268    789.588195800781
20.685    9.11898040771484    789.588195800781
