sec"   "mA"   "mV
0.193    18.9352512359619    789.094604492188
0.331    18.1958122253418    789.17041015625
0.468    17.9783248901367    789.398254394531
0.606    17.5908279418945    789.17041015625
0.743    17.2962322235107    789.474060058594
0.881    17.1815662384033    789.55029296875
1.019    16.8237037658691    789.398254394531
1.156    16.8276519775391    789.322448730469
1.294    16.4777088165283    789.398254394531
1.431    16.2345371246338    789.284545898438
1.569    15.9854173660278    789.094604492188
1.706    15.4950981140137    789.398254394531
1.844    15.3052978515625    789.398254394531
1.981    14.8980102539063    789.208251953125
2.119    14.6113348007202    789.3603515625
2.256    14.4551420211792    789.436157226563
2.394    14.0992774963379    789.512451171875
2.531    14.0933303833008    789.056701660156
2.669    13.7354927062988    789.322448730469
2.806    13.599063873291    789.398254394531
2.944    13.1700382232666    789.094604492188
3.082    13.0790863037109    789.436157226563
3.219    12.8596258163452    789.398254394531
3.357    12.6263475418091    789.322448730469
3.494    12.69948387146    789.436157226563
3.632    12.4088611602783    789.398254394531
3.769    12.4009399414063    789.17041015625
3.907    12.2862749099731    789.3603515625
4.044    12.0292596817017    789.474060058594
4.182    11.9996004104614    789.246643066406
4.319    11.677318572998    789.246643066406
4.457    11.6239461898804    789.3603515625
4.594    11.5310201644897    789.246643066406
4.732    11.3491401672363    788.904602050781
4.869    11.4934644699097    789.17041015625
5.007    11.2878475189209    789.436157226563
5.144    11.3471660614014    789.018798828125
5.282    11.2581872940063    789.246643066406
5.419    11.0683870315552    789.322448730469
5.557    11.1237325668335    789.208251953125
5.695    10.8073978424072    789.208251953125
5.832    10.8350839614868    789.55029296875
5.97    10.7500782012939    789.398254394531
6.107    10.6571521759033    789.246643066406
6.245    10.8073978424072    789.474060058594
6.382    10.6788902282715    789.322448730469
6.52    10.7342615127563    789.018798828125
6.657    10.7223930358887    789.246643066406
6.795    10.5523567199707    789.3603515625
6.932    10.5701475143433    789.094604492188
7.07    10.3170795440674    789.132507324219
7.207    10.4396657943726    789.398254394531
7.345    10.3250007629395    789.398254394531
7.483    10.4693250656128    789.284545898438
7.62    10.3981618881226    789.208251953125
7.758    10.3507118225098    789.284545898438
7.895    10.3724508285522    789.436157226563
8.033    10.1114616394043    789.322448730469
8.17    10.172755241394    789.398254394531
8.308    10.0462207794189    789.284545898438
8.445    10.0066919326782    789.284545898438
8.583    10.0936708450317    789.474060058594
8.72    10.0205345153809    789.512451171875
8.858    10.1767282485962    788.980895996094
8.995    10.1015920639038    789.474060058594
9.133    10.0402994155884    789.398254394531
9.27    10.0936708450317    789.132507324219
9.408    9.86828899383545    789.17041015625
9.545    9.94737243652344    789.512451171875
9.683    9.8030481338501    789.284545898438
9.82    9.76349353790283    788.942993164063
9.958    9.85444641113281    789.398254394531
10.095    9.71804237365723    789.246643066406
10.233    9.95726776123047    789.094604492188
10.371    9.83665561676025    789.512451171875
10.508    9.85049819946289    789.474060058594
10.646    9.88805389404297    789.322448730469
10.783    9.66069793701172    789.436157226563
10.921    9.75954627990723    789.3603515625
11.058    9.60137844085693    789.284545898438
11.196    9.58556175231934    789.322448730469
11.333    9.67454051971436    789.55029296875
11.471    9.79117965698242    789.246643066406
11.608    9.79117965698242    789.094604492188
11.746    9.59743118286133    789.474060058594
11.883    9.72396469116211    789.322448730469
12.021    9.49858283996582    789.018798828125
12.158    9.52426910400391    789.246643066406
12.296    9.55392837524414    789.436157226563
12.433    9.45113182067871    789.398254394531
12.571    9.70617389678955    789.3603515625
12.708    9.57369327545166    789.322448730469
12.846    9.65080261230469    789.322448730469
12.983    9.66464519500732    789.018798828125
13.121    9.49460887908936    789.322448730469
13.259    9.61324787139893    789.284545898438
13.396    9.37994384765625    789.322448730469
13.534    9.41157817840576    789.322448730469
13.671    9.41355133056641    789.322448730469
13.809    9.37204837799072    789.17041015625
13.946    9.57964038848877    789.3603515625
14.084    9.45310592651367    789.436157226563
14.221    9.54800701141357    788.942993164063
14.359    9.56382369995117    789.018798828125
14.496    9.40565586090088    789.322448730469
14.634    9.49263572692871    789.246643066406
14.771    9.28899192810059    789.246643066406
14.909    9.32459831237793    789.398254394531
15.046    9.34041500091553    789.322448730469
15.184    9.24946212768555    789.17041015625
15.321    9.48473930358887    789.474060058594
15.459    9.35820579528809    789.474060058594
15.596    9.47681903839111    789.208251953125
15.734    9.26922702789307    789.322448730469
15.872    9.34041500091553    789.284545898438
16.009    9.24354076385498    789.17041015625
16.147    9.21782875061035    789.018798828125
16.284    9.39970874786377    789.512451171875
16.422    9.25935745239258    789.284545898438
16.559    9.44915866851807    789.17041015625
16.697    9.4096040725708    789.284545898438
16.834    9.33052062988281    789.664001464844
16.972    9.41552543640137    789.322448730469
17.109    9.18224811553955    789.094604492188
17.247    9.28504371643066    789.436157226563
17.384    9.19014358520508    789.246643066406
17.522    9.15851020812988    789.17041015625
17.659    9.33052062988281    789.398254394531
17.797    9.2257251739502    789.55029296875
17.934    9.39970874786377    789.284545898438
18.072    9.34436321258545    789.246643066406
18.209    9.32657241821289    789.284545898438
18.347    9.36215400695801    789.17041015625
18.484    9.1328239440918    789.246643066406
18.622    9.22772407531738    789.322448730469
18.76    9.10711193084717    789.056701660156
18.897    9.09524345397949    789.398254394531
19.035    9.24154186248779    789.474060058594
19.172    9.14466762542725    789.208251953125
19.31    9.34831047058105    789.132507324219
19.447    9.3147029876709    789.474060058594
19.585    9.25143623352051    789.284545898438
19.722    9.30878162384033    789.3603515625
19.86    9.0833740234375    789.132507324219
19.997    9.18027400970459    789.588195800781
20.135    9.11898040771484    789.246643066406
20.272    9.33644199371338    789.246643066406
20.41    9.2257251739502    789.512451171875
20.547    9.27517414093018    789.398254394531
20.685    9.30283451080322    789.3603515625
20.822    9.13479804992676    789.398254394531
20.96    9.25935745239258    789.284545898438
21.097    9.05571365356445    789.3603515625
21.235    9.0636100769043    789.436157226563
21.372    9.14466762542725    789.664001464844
21.51    9.07350444793701    789.398254394531
21.647    9.28899192810059    789.094604492188
21.785    9.1782751083374    789.474060058594
21.922    9.26725292205811    789.322448730469
22.06    9.27120113372803    789.588195800781
22.197    9.11898040771484    789.3603515625
22.335    9.19806480407715    789.3603515625
22.472    9.00429058074951    789.208251953125
22.61    9.03000259399414    789.3603515625
22.748    9.09129524230957    789.398254394531
