sec"   "mA"   "mV
0.154    32.8698310852051    789.410583496094
0.252    28.503303527832    789.410583496094
0.351    25.8252105712891    789.410583496094
0.449    23.4770050048828    789.334777832031
0.547    21.6526927947998    789.372680664063
0.646    20.1001396179199    789.524780273438
0.744    18.5282096862793    789.221069335938
0.842    17.2667922973633    789.410583496094
0.941    16.1410045623779    789.334777832031
1.039    15.3647270202637    789.6005859375
1.137    14.666202545166    789.144714355469
1.236    14.0839328765869    789.448486328125
1.334    13.7152938842773    789.296875
1.432    13.3270320892334    789.524780273438
1.531    13.0555210113525    789.372680664063
1.629    12.8225135803223    789.486389160156
1.727    12.6285066604614    789.296875
1.826    12.453875541687    789.448486328125
1.924    12.3761234283447    789.6005859375
2.022    12.143364906311    789.448486328125
2.12    12.0656127929688    789.372680664063
2.219    11.988109588623    789.372680664063
2.317    11.9491090774536    789.448486328125
2.415    11.7551021575928    789.486389160156
2.514    11.7938537597656    789.448486328125
2.612    11.7163505554199    789.524780273438
2.71    11.6582231521606    789.448486328125
2.809    11.5417194366455    789.524780273438
2.907    11.5610952377319    789.486389160156
3.005    11.4833431243896    789.448486328125
3.104    11.4445915222168    789.334777832031
3.202    11.4058399200439    789.258972167969
3.3    11.2312088012695    789.106811523438
3.399    11.3087120056152    789.524780273438
3.497    11.250584602356    789.334777832031
3.595    11.1340808868408    789.372680664063
3.694    11.1924571990967    789.144714355469
3.792    11.1924571990967    789.524780273438
3.89    11.095329284668    789.638488769531
3.988    11.0759534835815    789.524780273438
4.087    11.095329284668    789.106811523438
4.185    11.0759534835815    789.372680664063
4.283    11.0372018814087    789.372680664063
4.382    11.0759534835815    789.448486328125
4.48    10.9982013702393    789.410583496094
4.578    10.9594497680664    789.524780273438
4.677    10.94007396698    789.258972167969
4.775    10.9206981658936    789.334777832031
4.873    10.94007396698    789.182678222656
4.972    10.8819465637207    789.372680664063
5.07    10.8623218536377    789.182678222656
5.168    10.9206981658936    789.372680664063
5.267    10.8623218536377    789.372680664063
5.365    10.9013223648071    789.486389160156
5.463    10.94007396698    789.410583496094
5.562    10.8623218536377    789.448486328125
5.66    10.8623218536377    789.6005859375
5.758    10.9206981658936    789.524780273438
5.857    10.8041944503784    789.372680664063
5.955    10.8235702514648    789.448486328125
6.053    10.8235702514648    789.410583496094
6.151    10.7266912460327    789.372680664063
6.25    10.8041944503784    789.562683105469
6.348    10.7266912460327    789.448486328125
6.446    10.7070665359497    789.372680664063
6.545    10.6101875305176    789.448486328125
6.643    10.7070665359497    789.258972167969
6.741    10.7266912460327    789.486389160156
6.84    10.6683149337769    789.372680664063
6.938    10.7070665359497    789.486389160156
7.036    10.6489391326904    789.258972167969
7.135    10.6489391326904    789.448486328125
7.233    10.6489391326904    789.410583496094
7.331    10.5714359283447    789.524780273438
7.43    10.5518112182617    789.372680664063
7.528    10.4936838150024    789.562683105469
7.626    10.5324354171753    789.524780273438
7.725    10.4936838150024    789.562683105469
7.823    10.474308013916    789.448486328125
7.921    10.5714359283447    789.6005859375
8.019    10.4549322128296    789.182678222656
8.118    10.4936838150024    789.448486328125
8.216    10.5130596160889    789.448486328125
8.314    10.5324354171753    789.486389160156
8.413    10.5130596160889    789.258972167969
8.511    10.4355564117432    789.524780273438
8.609    10.3771800994873    789.182678222656
8.708    10.4355564117432    789.448486328125
8.806    10.5714359283447    789.6005859375
8.904    10.4355564117432    789.334777832031
9.003    10.5130596160889    789.410583496094
9.101    10.4161806106567    789.334777832031
9.199    10.5518112182617    789.296875
9.298    10.4936838150024    789.448486328125
9.396    10.4549322128296    789.524780273438
9.494    10.3965559005737    789.486389160156
9.593    10.3771800994873    789.258972167969
9.691    10.3771800994873    789.6005859375
9.789    10.3771800994873    789.372680664063
9.887    10.3384284973145    789.486389160156
9.986    10.3965559005737    789.182678222656
10.084    10.3771800994873    789.524780273438
10.182    10.3771800994873    789.372680664063
10.281    10.2996768951416    789.524780273438
10.379    10.3384284973145    789.486389160156
10.477    10.2996768951416    789.448486328125
10.576    10.3384284973145    789.524780273438
10.674    10.319052696228    789.524780273438
10.772    10.2803010940552    789.334777832031
10.871    10.2413005828857    789.334777832031
10.969    10.2996768951416    789.372680664063
11.067    10.2803010940552    789.372680664063
11.165    10.2219247817993    789.258972167969
11.264    10.2219247817993    789.410583496094
11.362    10.2219247817993    789.6005859375
11.46    10.2413005828857    789.448486328125
11.559    10.2413005828857    789.372680664063
11.657    10.2413005828857    789.524780273438
11.755    10.1831731796265    789.6005859375
11.854    10.2219247817993    789.372680664063
11.952    10.2413005828857    789.372680664063
12.05    10.16379737854    789.448486328125
12.149    10.1444215774536    789.258972167969
12.247    10.0860452651978    789.410583496094
12.345    10.1056699752808    789.372680664063
12.443    10.2025489807129    789.486389160156
12.542    10.1250457763672    789.486389160156
12.64    10.1250457763672    789.524780273438
12.738    10.16379737854    789.410583496094
12.837    10.16379737854    789.372680664063
12.935    10.1056699752808    789.524780273438
13.033    10.1250457763672    789.410583496094
13.132    10.0085420608521    789.258972167969
13.23    10.1250457763672    789.524780273438
13.328    10.0472936630249    789.334777832031
13.427    10.0279178619385    789.524780273438
13.525    10.0666694641113    789.334777832031
13.623    10.0472936630249    789.372680664063
13.721    10.0279178619385    789.486389160156
13.82    10.0860452651978    789.524780273438
13.918    10.0472936630249    789.372680664063
14.016    10.0279178619385    789.372680664063
14.115    10.0085420608521    789.714294433594
14.213    10.0472936630249    789.524780273438
14.311    9.98916625976563    789.524780273438
14.41    10.0085420608521    789.448486328125
14.508    9.98916625976563    789.524780273438
14.606    10.0279178619385    789.334777832031
14.704    10.0085420608521    789.6005859375
14.803    9.93078994750977    789.334777832031
14.901    9.95041465759277    789.334777832031
14.999    9.91141414642334    789.410583496094
15.098    9.9697904586792    789.448486328125
15.196    10.0085420608521    789.448486328125
15.294    9.95041465759277    789.448486328125
15.393    10.0085420608521    789.6005859375
15.491    10.0085420608521    789.6005859375
15.589    10.0279178619385    789.486389160156
15.688    10.0279178619385    789.448486328125
15.786    10.0279178619385    789.562683105469
15.884    10.0085420608521    789.524780273438
15.982    10.0279178619385    789.562683105469
16.081    9.9697904586792    789.524780273438
16.179    10.0085420608521    789.372680664063
16.277    9.9697904586792    789.372680664063
16.376    10.0472936630249    789.486389160156
16.474    10.0279178619385    789.448486328125
16.572    10.0472936630249    789.524780273438
16.671    9.95041465759277    789.372680664063
16.769    9.91141414642334    789.448486328125
16.867    9.91141414642334    789.486389160156
16.965    9.91141414642334    789.524780273438
17.064    9.91141414642334    789.372680664063
17.162    9.93078994750977    789.372680664063
17.26    9.93078994750977    789.372680664063
17.359    9.87266254425049    789.448486328125
17.457    9.91141414642334    789.410583496094
17.555    9.89203834533691    789.448486328125
17.654    9.95041465759277    789.296875
17.752    9.91141414642334    789.448486328125
17.85    10.0279178619385    789.372680664063
17.949    9.9697904586792    789.752258300781
18.047    9.95041465759277    789.372680664063
18.145    10.0279178619385    789.448486328125
18.243    9.9697904586792    789.486389160156
18.342    9.93078994750977    789.448486328125
18.44    9.91141414642334    789.486389160156
18.538    9.95041465759277    789.410583496094
18.637    9.95041465759277    789.258972167969
18.735    9.95041465759277    789.448486328125
18.833    9.91141414642334    789.486389160156
18.932    9.91141414642334    789.410583496094
19.03    9.91141414642334    789.524780273438
19.128    9.91141414642334    789.448486328125
19.227    9.89203834533691    789.258972167969
19.325    9.91141414642334    789.448486328125
19.423    9.91141414642334    789.410583496094
19.522    9.87266254425049    789.562683105469
19.62    9.9697904586792    789.6005859375
19.718    9.93078994750977    789.410583496094
19.816    9.89203834533691    789.524780273438
19.915    9.91141414642334    789.372680664063
20.013    9.91141414642334    789.448486328125
20.111    9.91141414642334    789.524780273438
20.21    9.87266254425049    789.562683105469
20.308    9.85328674316406    789.524780273438
20.406    9.91141414642334    789.562683105469
20.505    9.95041465759277    789.258972167969
20.603    9.93078994750977    789.524780273438
20.701    9.91141414642334    789.524780273438
20.8    9.87266254425049    789.334777832031
20.898    9.91141414642334    789.486389160156
20.996    9.87266254425049    789.714294433594
21.094    9.91141414642334    789.372680664063
21.193    9.91141414642334    789.752258300781
21.291    9.91141414642334    789.448486328125
21.389    9.91141414642334    789.562683105469
21.488    9.85328674316406    789.410583496094
21.586    9.87266254425049    789.258972167969
21.684    9.79515933990479    789.524780273438
21.783    9.93078994750977    789.448486328125
21.881    9.89203834533691    789.524780273438
21.979    9.81453514099121    789.6005859375
22.078    9.85328674316406    789.372680664063
22.176    9.87266254425049    789.448486328125
22.274    9.77553462982178    789.372680664063
22.372    9.81453514099121    789.334777832031
22.471    9.79515933990479    789.334777832031
22.569    9.75615882873535    789.258972167969
22.667    9.79515933990479    789.448486328125
22.766    9.83391094207764    789.410583496094
22.864    9.77553462982178    789.524780273438
22.962    9.79515933990479    789.334777832031
23.061    9.81453514099121    789.296875
23.159    9.85328674316406    789.524780273438
23.257    9.79515933990479    789.6005859375
23.356    9.81453514099121    789.448486328125
23.454    9.73678302764893    789.296875
23.552    9.85328674316406    789.448486328125
23.65    9.69803142547607    789.258972167969
23.749    9.67865562438965    789.334777832031
23.847    9.79515933990479    789.524780273438
23.945    9.69803142547607    789.448486328125
24.044    9.77553462982178    789.486389160156
24.142    9.75615882873535    789.334777832031
24.24    9.75615882873535    789.410583496094
24.339    9.73678302764893    789.372680664063
24.437    9.75615882873535    789.486389160156
24.535    9.7174072265625    789.410583496094
24.634    9.69803142547607    789.448486328125
24.732    9.63990306854248    789.486389160156
24.83    9.75615882873535    789.448486328125
24.928    9.79515933990479    789.6005859375
25.027    9.67865562438965    789.334777832031
25.125    9.77553462982178    789.448486328125
25.223    9.69803142547607    789.524780273438
25.322    9.75615882873535    789.334777832031
25.42    9.67865562438965    789.372680664063
25.518    9.69803142547607    789.448486328125
25.617    9.65927982330322    789.448486328125
25.715    9.65927982330322    789.221069335938
25.813    9.65927982330322    789.448486328125
25.912    9.69803142547607    789.372680664063
26.01    9.63990306854248    789.448486328125
26.108    9.60090351104736    789.448486328125
26.206    9.69803142547607    789.562683105469
26.305    9.65927982330322    789.372680664063
26.403    9.60090351104736    789.334777832031
26.501    9.58152770996094    789.448486328125
26.6    9.60090351104736    789.334777832031
26.698    9.54277610778809    789.448486328125
26.796    9.58152770996094    789.372680664063
26.895    9.60090351104736    789.448486328125
26.993    9.54277610778809    789.334777832031
27.091    9.58152770996094    789.524780273438
27.19    9.58152770996094    789.182678222656
27.288    9.60090351104736    789.524780273438
27.386    9.54277610778809    789.448486328125
27.484    9.58152770996094    789.448486328125
27.583    9.54277610778809    789.524780273438
27.681    9.56215190887451    789.638488769531
27.779    9.50402450561523    789.296875
27.878    9.54277610778809    789.334777832031
27.976    9.50402450561523    789.296875
28.074    9.52340030670166    789.562683105469
28.173    9.48464775085449    789.486389160156
28.271    9.52340030670166    789.372680664063
28.369    9.52340030670166    789.486389160156
28.468    9.48464775085449    789.334777832031
28.566    9.52340030670166    789.6005859375
28.664    9.48464775085449    789.448486328125
28.762    9.48464775085449    789.372680664063
28.861    9.50402450561523    789.448486328125
28.959    9.4650239944458    789.448486328125
29.057    9.58152770996094    789.6005859375
29.156    9.4650239944458    789.258972167969
29.254    9.52340030670166    789.486389160156
29.352    9.52340030670166    789.334777832031
29.451    9.48464775085449    789.6005859375
29.549    9.52340030670166    789.486389160156
29.647    9.48464775085449    789.486389160156
29.746    9.44564819335938    789.676391601563
29.844    9.44564819335938    789.410583496094
29.942    9.54277610778809    789.524780273438
30.04    9.48464775085449    789.486389160156
30.139    9.50402450561523    789.258972167969
30.237    9.48464775085449    789.372680664063
30.335    9.48464775085449    789.562683105469
30.434    9.42627239227295    789.448486328125
30.532    9.48464775085449    789.372680664063
30.63    9.50402450561523    789.6005859375
30.729    9.42627239227295    789.372680664063
30.827    9.44564819335938    789.372680664063
30.925    9.50402450561523    789.372680664063
31.024    9.48464775085449    789.524780273438
31.122    9.40689659118652    789.221069335938
31.22    9.44564819335938    789.448486328125
31.318    9.48464775085449    789.068908691406
31.417    9.44564819335938    789.6005859375
31.515    9.48464775085449    789.334777832031
31.613    9.48464775085449    789.448486328125
31.712    9.48464775085449    789.182678222656
31.81    9.4650239944458    789.676391601563
31.908    9.40689659118652    789.410583496094
32.007    9.44564819335938    789.524780273438
32.105    9.42627239227295    789.144714355469
32.203    9.44564819335938    789.410583496094
32.301    9.42627239227295    789.448486328125
32.4    9.44564819335938    789.448486328125
32.498    9.44564819335938    789.144714355469
32.596    9.4650239944458    789.6005859375
32.695    9.52340030670166    789.372680664063
32.793    9.48464775085449    789.638488769531
32.891    9.44564819335938    789.410583496094
32.99    9.44564819335938    789.562683105469
33.088    9.50402450561523    789.448486328125
33.186    9.52340030670166    789.524780273438
33.285    9.4650239944458    789.524780273438
33.383    9.58152770996094    789.524780273438
33.481    9.58152770996094    789.106811523438
33.579    9.60090351104736    789.6005859375
33.678    9.65927982330322    789.524780273438
33.776    9.65927982330322    789.410583496094
33.874    9.7174072265625    789.410583496094
33.973    9.62027931213379    789.486389160156
34.071    9.65927982330322    789.372680664063
34.169    9.67865562438965    789.524780273438
34.268    9.62027931213379    789.372680664063
34.366    9.62027931213379    789.448486328125
34.464    9.58152770996094    789.562683105469
34.563    9.65927982330322    789.486389160156
34.661    9.63990306854248    789.410583496094
34.759    9.67865562438965    789.524780273438
34.857    9.73678302764893    789.524780273438
34.956    9.67865562438965    789.486389160156
35.054    9.73678302764893    789.524780273438
35.152    9.63990306854248    789.448486328125
35.251    9.73678302764893    789.486389160156
35.349    9.65927982330322    789.524780273438
35.447    9.62027931213379    789.182678222656
35.546    9.63990306854248    789.372680664063
35.644    9.63990306854248    789.258972167969
35.742    9.58152770996094    789.448486328125
35.84    9.65927982330322    789.372680664063
35.939    9.63990306854248    789.524780273438
36.037    9.69803142547607    789.562683105469
36.135    9.73678302764893    789.524780273438
36.234    9.67865562438965    789.524780273438
36.332    9.69803142547607    789.562683105469
36.43    9.67865562438965    789.296875
36.529    9.60090351104736    789.372680664063
36.627    9.62027931213379    789.448486328125
36.725    9.60090351104736    789.524780273438
36.824    9.58152770996094    789.182678222656
36.922    9.63990306854248    789.334777832031
37.02    9.58152770996094    789.182678222656
37.118    9.58152770996094    789.562683105469
37.217    9.58152770996094    789.562683105469
37.315    9.56215190887451    789.562683105469
37.413    9.52340030670166    789.372680664063
37.512    9.52340030670166    789.524780273438
37.61    9.50402450561523    789.106811523438
37.708    9.50402450561523    789.524780273438
37.807    9.54277610778809    789.334777832031
37.905    9.56215190887451    789.448486328125
38.003    9.50402450561523    789.410583496094
38.101    9.50402450561523    789.486389160156
38.2    9.52340030670166    789.372680664063
38.298    9.56215190887451    789.562683105469
38.396    9.44564819335938    789.410583496094
38.495    9.52340030670166    789.524780273438
38.593    9.48464775085449    789.524780273438
38.691    9.52340030670166    789.524780273438
38.79    9.48464775085449    789.182678222656
38.888    9.44564819335938    789.524780273438
38.986    9.52340030670166    789.182678222656
39.084    9.54277610778809    789.6005859375
39.183    9.48464775085449    789.486389160156
39.281    9.48464775085449    789.486389160156
39.379    9.58152770996094    789.752258300781
39.478    9.48464775085449    789.448486328125
39.576    9.50402450561523    789.448486328125
39.674    9.48464775085449    789.372680664063
39.773    9.48464775085449    789.524780273438
39.871    9.52340030670166    789.410583496094
39.969    9.44564819335938    789.182678222656
40.067    9.48464775085449    789.448486328125
40.166    9.42627239227295    789.182678222656
40.264    9.54277610778809    789.524780273438
40.362    9.54277610778809    789.258972167969
40.461    9.50402450561523    789.486389160156
40.559    9.48464775085449    789.372680664063
40.657    9.54277610778809    789.524780273438
40.756    9.48464775085449    789.638488769531
40.854    9.48464775085449    789.562683105469
40.952    9.52340030670166    789.448486328125
41.051    9.48464775085449    789.448486328125
41.149    9.4650239944458    789.372680664063
41.247    9.54277610778809    789.524780273438
41.345    9.54277610778809    789.676391601563
41.444    9.48464775085449    789.524780273438
41.542    9.52340030670166    789.334777832031
41.64    9.50402450561523    789.410583496094
41.739    9.4650239944458    789.221069335938
41.837    9.44564819335938    789.372680664063
41.935    9.44564819335938    789.448486328125
42.034    9.50402450561523    789.448486328125
42.132    9.44564819335938    789.372680664063
42.23    9.44564819335938    789.410583496094
42.328    9.4650239944458    789.334777832031
42.427    9.50402450561523    789.448486328125
42.525    9.44564819335938    789.448486328125
42.623    9.50402450561523    789.524780273438
42.722    9.48464775085449    789.258972167969
42.82    9.48464775085449    789.524780273438
42.918    9.4650239944458    789.410583496094
43.017    9.44564819335938    789.448486328125
43.115    9.42627239227295    789.372680664063
43.213    9.48464775085449    789.448486328125
43.311    9.44564819335938    789.334777832031
43.41    9.48464775085449    789.524780273438
43.508    9.42627239227295    789.486389160156
43.606    9.44564819335938    789.448486328125
43.705    9.42627239227295    789.144714355469
43.803    9.42627239227295    789.296875
43.901    9.4650239944458    789.372680664063
44    9.40689659118652    789.524780273438
44.098    9.44564819335938    789.334777832031
44.196    9.42627239227295    789.6005859375
44.295    9.42627239227295    789.334777832031
44.393    9.42627239227295    789.372680664063
44.491    9.44564819335938    789.372680664063
44.589    9.42627239227295    789.524780273438
44.688    9.42627239227295    789.258972167969
44.786    9.42627239227295    789.486389160156
44.884    9.3875207901001    789.296875
44.983    9.48464775085449    789.562683105469
45.081    9.48464775085449    789.448486328125
45.179    9.44564819335938    789.562683105469
45.278    9.44564819335938    789.524780273438
45.376    9.44564819335938    789.448486328125
45.474    9.40689659118652    789.448486328125
45.572    9.44564819335938    789.410583496094
45.671    9.4650239944458    789.372680664063
45.769    9.40689659118652    789.448486328125
45.867    9.44564819335938    789.524780273438
45.966    9.42627239227295    789.562683105469
46.064    9.42627239227295    789.372680664063
46.162    9.42627239227295    789.486389160156
46.261    9.42627239227295    789.448486328125
46.359    9.3875207901001    789.6005859375
46.457    9.3875207901001    789.448486328125
46.556    9.40689659118652    789.448486328125
46.654    9.42627239227295    789.6005859375
46.752    9.3875207901001    789.486389160156
46.85    9.36814498901367    789.334777832031
46.949    9.3875207901001    789.524780273438
47.047    9.40689659118652    789.372680664063
47.145    9.42627239227295    789.372680664063
47.244    9.34876823425293    789.524780273438
47.342    9.36814498901367    789.410583496094
47.44    9.40689659118652    789.372680664063
47.539    9.40689659118652    789.372680664063
47.637    9.3875207901001    789.448486328125
47.735    9.3293924331665    789.524780273438
47.833    9.42627239227295    789.372680664063
47.932    9.36814498901367    789.372680664063
48.03    9.36814498901367    789.486389160156
48.128    9.3875207901001    789.638488769531
48.227    9.40689659118652    789.714294433594
48.325    9.3875207901001    789.410583496094
48.423    9.3875207901001    789.410583496094
48.522    9.40689659118652    789.372680664063
48.62    9.42627239227295    789.638488769531
48.718    9.3875207901001    789.6005859375
48.817    9.3875207901001    789.410583496094
48.915    9.3875207901001    789.410583496094
49.013    9.40689659118652    789.334777832031
49.111    9.34876823425293    789.448486328125
49.21    9.30976867675781    789.448486328125
49.308    9.3875207901001    789.638488769531
49.406    9.3875207901001    789.258972167969
49.505    9.36814498901367    789.296875
49.603    9.3293924331665    789.410583496094
49.701    9.3875207901001    789.448486328125
49.8    9.40689659118652    789.486389160156
49.898    9.3293924331665    789.676391601563
49.996    9.42627239227295    789.638488769531
50.095    9.44564819335938    789.714294433594
50.193    9.4650239944458    789.562683105469
50.291    9.3293924331665    789.448486328125
50.389    9.3875207901001    789.448486328125
50.488    9.42627239227295    789.182678222656
50.586    9.40689659118652    789.6005859375
50.684    9.3875207901001    789.448486328125
50.783    9.36814498901367    789.372680664063
50.881    9.34876823425293    789.334777832031
50.979    9.36814498901367    789.448486328125
51.078    9.36814498901367    789.524780273438
51.176    9.3875207901001    789.410583496094
51.274    9.3293924331665    789.334777832031
51.373    9.3293924331665    789.372680664063
51.471    9.3293924331665    789.410583496094
51.569    9.29039287567139    789.448486328125
51.668    9.30976867675781    789.638488769531
51.766    9.3293924331665    789.524780273438
51.864    9.3875207901001    789.372680664063
51.962    9.29039287567139    789.448486328125
52.061    9.3293924331665    789.562683105469
52.159    9.3293924331665    789.372680664063
52.257    9.3293924331665    789.638488769531
