sec"   "mA"   "mV
0.154    25.6118278503418    788.385620117188
0.253    22.4289703369141    788.423522949219
0.351    20.5465297698975    788.46142578125
0.449    19.3626136779785    788.233520507813
0.548    18.7222175598145    788.46142578125
0.646    18.295202255249    788.385620117188
0.744    17.8684368133545    788.613525390625
0.843    17.6741809844971    788.689392089844
0.941    17.422046661377    788.46142578125
1.039    17.1890392303467    788.271423339844
1.138    17.0531597137451    788.385620117188
1.236    17.0531597137451    788.347717285156
1.334    16.8204021453857    788.46142578125
1.433    16.8397769927979    788.195617675781
1.531    16.7426490783691    788.423522949219
1.629    16.6845226287842    788.46142578125
1.728    16.6457691192627    788.537231445313
1.826    16.5680179595947    788.309326171875
1.925    16.4711380004883    788.537231445313
2.023    16.490514755249    788.309326171875
2.121    16.4515151977539    788.46142578125
2.22    16.3933868408203    788.347717285156
2.318    16.3158836364746    788.46142578125
2.416    16.1993789672852    788.347717285156
2.515    16.2575073242188    788.385620117188
2.613    16.2575073242188    788.613525390625
2.711    16.2381324768066    788.537231445313
2.81    16.180004119873    788.613525390625
2.908    16.180004119873    788.499328613281
3.006    16.1993789672852    788.499328613281
3.105    16.1410045623779    788.46142578125
3.203    16.1606273651123    788.309326171875
3.301    16.1022529602051    788.309326171875
3.4    16.1216278076172    788.385620117188
3.498    16.1022529602051    788.46142578125
3.596    16.1410045623779    788.385620117188
3.695    16.1216278076172    788.423522949219
3.793    16.0635013580322    788.385620117188
3.891    16.0635013580322    788.499328613281
3.99    15.9857482910156    788.46142578125
4.088    16.0053730010986    788.385620117188
4.186    16.0053730010986    788.46142578125
4.285    15.9469966888428    788.347717285156
4.383    15.9857482910156    788.613525390625
4.481    15.9663724899292    788.347717285156
4.58    16.0635013580322    788.651489257813
4.678    16.0053730010986    788.46142578125
4.776    15.8888692855835    788.613525390625
4.875    15.9276208877563    788.537231445313
4.973    15.9663724899292    788.499328613281
5.071    15.9469966888428    788.347717285156
5.17    15.9469966888428    788.423522949219
5.268    15.9469966888428    788.309326171875
5.366    15.8694934844971    788.46142578125
5.465    15.8888692855835    788.347717285156
5.563    15.9469966888428    788.309326171875
5.661    15.8888692855835    788.613525390625
5.76    15.8304929733276    788.46142578125
5.858    15.9082450866699    788.347717285156
5.956    15.8304929733276    788.537231445313
6.055    15.8888692855835    788.347717285156
6.153    15.8501176834106    788.46142578125
6.251    15.8888692855835    788.195617675781
6.35    15.8694934844971    788.46142578125
6.448    15.8501176834106    788.46142578125
6.547    15.7917413711548    788.499328613281
6.645    15.7917413711548    788.309326171875
6.743    15.6752376556396    788.575134277344
6.842    15.8111171722412    788.385620117188
6.94    15.7336139678955    788.46142578125
7.038    15.7529897689819    788.233520507813
7.137    15.6948623657227    788.46142578125
7.235    15.7336139678955    788.423522949219
7.333    15.7336139678955    788.423522949219
7.432    15.6752376556396    788.233520507813
7.53    15.6364860534668    788.537231445313
7.628    15.6752376556396    788.385620117188
7.727    15.6364860534668    788.46142578125
7.825    15.6364860534668    788.347717285156
7.923    15.6948623657227    788.651489257813
8.022    15.6171102523804    788.271423339844
8.12    15.6364860534668    788.385620117188
8.218    15.6171102523804    788.46142578125
8.317    15.6171102523804    788.613525390625
8.415    15.6171102523804    788.347717285156
8.514    15.6171102523804    788.575134277344
8.612    15.6364860534668    788.651489257813
8.71    15.5977344512939    788.575134277344
8.809    15.6171102523804    788.347717285156
8.907    15.5783586502075    788.537231445313
9.005    15.5977344512939    788.309326171875
9.104    15.5783586502075    788.385620117188
9.202    15.5589828491211    788.347717285156
9.3    15.5396070480347    788.46142578125
9.399    15.5589828491211    788.423522949219
9.497    15.5783586502075    788.613525390625
9.595    15.5977344512939    788.271423339844
9.694    15.5396070480347    788.537231445313
9.792    15.5199823379517    788.423522949219
9.89    15.5977344512939    788.575134277344
9.989    15.5199823379517    788.499328613281
10.087    15.5589828491211    788.385620117188
10.185    15.6558618545532    788.46142578125
10.284    15.6171102523804    788.499328613281
