sec"   "mA"   "mV
0.154    33.5298538208008    788.46142578125
0.253    29.3960838317871    788.347717285156
0.351    26.0192184448242    788.385620117188
0.449    23.2827491760254    788.423522949219
0.548    20.7017841339111    788.537231445313
0.646    19.0908546447754    788.46142578125
0.744    17.7713088989258    788.46142578125
0.843    16.7816486358643    788.271423339844
0.941    16.0635013580322    788.613525390625
1.039    15.5199823379517    788.309326171875
1.138    15.13196849823    788.46142578125
1.236    14.7243299484253    788.309326171875
1.334    14.510947227478    788.727294921875
1.433    14.3169403076172    788.423522949219
1.531    14.1423082351685    788.46142578125
1.63    14.0451812744141    788.499328613281
1.728    13.9093017578125    788.499328613281
1.826    13.8317975997925    788.309326171875
1.925    13.7540464401245    788.423522949219
2.023    13.6959180831909    788.385620117188
2.121    13.5016632080078    788.575134277344
2.22    13.462911605835    788.347717285156
2.318    13.4435358047485    788.46142578125
2.416    13.4241590499878    788.537231445313
2.515    13.4241590499878    788.499328613281
2.613    13.3464078903198    788.537231445313
2.711    13.3660316467285    788.46142578125
2.81    13.1717767715454    788.385620117188
2.908    13.1717767715454    788.46142578125
3.007    13.1717767715454    788.575134277344
3.105    13.1911525726318    788.613525390625
3.203    13.1911525726318    788.347717285156
3.302    13.1717767715454    788.613525390625
3.4    13.0942726135254    788.309326171875
3.498    13.1330242156982    788.423522949219
3.597    12.997145652771    788.385620117188
3.695    13.0358972549438    788.575134277344
3.793    12.9583930969238    788.309326171875
3.892    12.9777688980103    788.423522949219
3.99    12.9777688980103    788.233520507813
4.088    12.9390172958374    788.423522949219
4.187    12.919641494751    788.309326171875
4.285    12.9390172958374    788.46142578125
4.383    12.919641494751    788.347717285156
4.482    12.9002656936646    788.613525390625
4.58    12.919641494751    788.347717285156
4.678    12.9002656936646    788.537231445313
4.777    12.8418893814087    788.271423339844
4.875    12.8806419372559    788.46142578125
4.974    12.8225135803223    788.347717285156
5.072    12.8418893814087    788.537231445313
5.17    12.8418893814087    788.309326171875
5.269    12.7837619781494    788.537231445313
5.367    12.8031377792358    788.347717285156
5.465    12.764386177063    788.46142578125
5.564    12.7450103759766    788.347717285156
5.662    12.7837619781494    788.499328613281
5.76    12.7837619781494    788.537231445313
5.859    12.764386177063    788.499328613281
5.957    12.7060108184814    788.385620117188
6.055    12.7450103759766    788.423522949219
6.154    12.6866340637207    788.46142578125
6.252    12.6672582626343    788.537231445313
6.35    12.6672582626343    788.309326171875
6.449    12.6478824615479    788.385620117188
6.547    12.6672582626343    788.385620117188
6.645    12.6866340637207    788.271423339844
6.744    12.6672582626343    788.537231445313
6.842    12.6672582626343    788.347717285156
6.941    12.6478824615479    788.271423339844
7.039    12.6478824615479    788.613525390625
7.137    12.6478824615479    788.347717285156
7.236    12.6478824615479    788.46142578125
7.334    12.6478824615479    788.385620117188
7.432    12.6478824615479    788.46142578125
7.531    12.6285066604614    788.309326171875
7.629    12.609130859375    788.347717285156
7.727    12.5897550582886    788.423522949219
7.826    12.5897550582886    788.423522949219
7.924    12.6285066604614    788.423522949219
8.022    12.609130859375    788.309326171875
8.121    12.5701313018799    788.385620117188
8.219    12.5701313018799    788.423522949219
8.317    12.609130859375    788.727294921875
8.416    12.609130859375    788.46142578125
8.514    12.609130859375    788.233520507813
8.613    12.5507545471191    788.423522949219
8.711    12.5507545471191    788.271423339844
8.809    12.5120029449463    788.46142578125
8.908    12.4926271438599    788.575134277344
9.006    12.5313787460327    788.537231445313
9.104    12.5313787460327    788.423522949219
9.203    12.5507545471191    788.385620117188
9.301    12.5313787460327    788.385620117188
9.399    12.4926271438599    788.46142578125
9.498    12.5313787460327    788.347717285156
9.596    12.4926271438599    788.309326171875
9.694    12.5120029449463    788.499328613281
9.793    12.5313787460327    788.651489257813
9.891    12.4926271438599    788.575134277344
9.989    12.5120029449463    788.613525390625
10.088    12.4732513427734    788.46142578125
10.186    12.453875541687    788.46142578125
10.284    12.5313787460327    788.385620117188
10.383    12.4732513427734    788.46142578125
10.481    12.4732513427734    788.347717285156
10.579    12.5120029449463    788.651489257813
10.678    12.4732513427734    788.499328613281
10.776    12.4732513427734    788.423522949219
10.874    12.4732513427734    788.499328613281
10.973    12.4148759841919    788.499328613281
11.071    12.3954992294312    788.537231445313
11.169    12.4148759841919    788.385620117188
11.268    12.3761234283447    788.537231445313
11.366    12.4148759841919    788.613525390625
11.464    12.3761234283447    788.385620117188
11.563    12.4148759841919    788.46142578125
11.661    12.3761234283447    788.613525390625
11.76    12.3761234283447    788.423522949219
11.858    12.3179960250854    788.46142578125
11.956    12.4732513427734    788.309326171875
12.055    12.3761234283447    788.385620117188
12.153    12.3954992294312    788.499328613281
12.251    12.4148759841919    788.575134277344
12.35    12.3761234283447    788.46142578125
12.448    12.3761234283447    788.499328613281
12.546    12.2792444229126    788.46142578125
12.645    12.298620223999    788.537231445313
12.743    12.3567476272583    788.347717285156
12.841    12.2792444229126    788.499328613281
12.94    12.3373718261719    788.537231445313
13.038    12.3179960250854    788.423522949219
13.136    12.3179960250854    788.385620117188
13.235    12.3179960250854    788.46142578125
13.333    12.3179960250854    788.499328613281
13.431    12.298620223999    788.46142578125
13.53    12.3179960250854    788.423522949219
13.628    12.2792444229126    788.537231445313
13.727    12.2596197128296    788.309326171875
13.825    12.298620223999    788.575134277344
13.923    12.2596197128296    788.309326171875
14.022    12.2792444229126    788.575134277344
14.12    12.2792444229126    788.46142578125
14.218    12.3179960250854    788.537231445313
14.317    12.2596197128296    788.499328613281
14.415    12.2792444229126    788.46142578125
14.513    12.2596197128296    788.309326171875
14.612    12.2792444229126    788.689392089844
14.71    12.2792444229126    788.423522949219
14.808    12.3179960250854    788.499328613281
14.907    12.2792444229126    788.537231445313
15.005    12.2014923095703    788.385620117188
15.103    12.2208681106567    788.347717285156
15.202    12.2208681106567    788.537231445313
15.3    12.1627407073975    788.195617675781
15.398    12.2208681106567    788.46142578125
15.497    12.2014923095703    788.309326171875
15.595    12.2208681106567    788.499328613281
15.693    12.2402439117432    788.309326171875
15.792    12.2792444229126    788.689392089844
15.89    12.2596197128296    788.309326171875
15.988    12.2596197128296    788.499328613281
16.087    12.2596197128296    788.309326171875
16.185    12.2014923095703    788.499328613281
16.284    12.2014923095703    788.233520507813
16.382    12.2208681106567    788.385620117188
16.48    12.2014923095703    788.309326171875
16.579    12.2596197128296    788.575134277344
16.677    12.2208681106567    788.233520507813
16.775    12.2208681106567    788.537231445313
16.874    12.2014923095703    788.309326171875
16.972    12.2014923095703    788.46142578125
17.07    12.1627407073975    788.233520507813
17.169    12.2014923095703    788.46142578125
17.267    12.1627407073975    788.233520507813
17.365    12.2014923095703    788.537231445313
17.464    12.2014923095703    788.385620117188
17.562    12.1821165084839    788.499328613281
17.66    12.2596197128296    788.46142578125
17.759    12.1627407073975    788.613525390625
17.857    12.1821165084839    788.309326171875
17.955    12.1043643951416    788.46142578125
18.054    12.2014923095703    788.233520507813
18.152    12.2014923095703    788.347717285156
18.25    12.1627407073975    788.15771484375
18.349    12.1627407073975    788.347717285156
18.447    12.1627407073975    788.309326171875
18.545    12.143364906311    788.46142578125
18.644    12.2014923095703    788.233520507813
18.742    12.2014923095703    788.309326171875
18.84    12.1627407073975    788.271423339844
18.939    12.1627407073975    788.46142578125
19.037    12.1821165084839    788.195617675781
19.135    12.143364906311    788.499328613281
19.234    12.1043643951416    788.271423339844
19.332    12.1043643951416    788.46142578125
