sec"   "mA"   "mV
0.154    5.36249351501465    789.132507324219
0.253    4.8721752166748    789.55029296875
0.351    4.42141056060791    789.246643066406
0.449    4.13471031188965    789.588195800781
0.548    3.73929190635681    789.208251953125
0.646    3.5158839225769    789.664001464844
0.744    3.25492024421692    789.55029296875
0.843    3.09280514717102    789.55029296875
0.941    2.97416710853577    789.474060058594
1.039    2.81205177307129    789.436157226563
1.138    2.74483704566956    789.322448730469
1.236    2.58072257041931    789.398254394531
1.334    2.56095814704895    789.246643066406
1.433    2.45616269111633    789.474060058594
1.531    2.41860747337341    789.3603515625
1.629    2.36323618888855    789.55029296875
1.728    2.24857115745544    789.17041015625
1.826    2.25449299812317    789.588195800781
1.924    2.17938256263733    789.398254394531
2.023    2.15761876106262    789.474060058594
2.121    2.09435176849365    789.474060058594
2.219    2.10819458961487    789.55029296875
2.318    2.12795925140381    789.398254394531
2.416    2.05087471008301    789.55029296875
2.514    2.09040379524231    789.132507324219
2.613    1.99945139884949    789.436157226563
2.711    2.0132942199707    789.208251953125
2.809    1.9599221944809    789.588195800781
2.908    1.97771286964417    789.474060058594
3.006    1.9223415851593    789.322448730469
3.104    1.86304783821106    789.208251953125
3.203    1.88873422145844    789.474060058594
3.301    1.8215194940567    789.132507324219
3.4    1.82944047451019    789.664001464844
3.498    1.78396415710449    789.322448730469
3.596    1.80372881889343    789.322448730469
3.695    1.8215194940567    789.512451171875
3.793    1.74638366699219    789.398254394531
3.891    1.79383385181427    789.246643066406
3.99    1.76220035552979    789.246643066406
4.088    1.78199028968811    789.322448730469
4.186    1.73651397228241    789.55029296875
4.285    1.74440968036652    788.942993164063
4.383    1.73651397228241    789.474060058594
4.481    1.66335213184357    789.17041015625
4.58    1.71872329711914    789.3603515625
4.678    1.64358747005463    789.094604492188
4.776    1.691037774086    789.626098632813
4.875    1.59416341781616    789.55029296875
4.973    1.65743029117584    789.664001464844
5.071    1.60205912590027    789.3603515625
5.17    1.60403299331665    789.512451171875
5.268    1.669273853302    789.094604492188
5.366    1.59613728523254    789.474060058594
5.465    1.68114280700684    789.322448730469
5.563    1.63369262218475    789.322448730469
5.661    1.63764047622681    789.322448730469
5.76    1.58624231815338    789.436157226563
5.858    1.53089642524719    789.398254394531
5.956    1.59416341781616    789.474060058594
6.055    1.53287041187286    789.3603515625
6.153    1.54273998737335    789.588195800781
