sec"   "mA"   "mV
0.154    5.64324712753296    789.094604492188
0.253    5.17466688156128    789.626098632813
0.351    4.66655731201172    789.322448730469
0.449    4.33243227005005    789.436157226563
0.548    3.88956356048584    789.17041015625
0.646    3.45658993721008    789.588195800781
0.744    3.16791558265686    789.17041015625
0.843    2.88124060630798    789.588195800781
0.941    2.72702097892761    789.3603515625
1.039    2.5668797492981    789.474060058594
1.138    2.49174404144287    789.322448730469
1.236    2.37510514259338    789.55029296875
1.334    2.28020477294922    789.436157226563
1.433    2.23078060150146    789.55029296875
1.531    2.14180207252502    789.398254394531
1.629    2.16356587409973    789.246643066406
1.728    2.05877041816711    789.55029296875
1.826    2.08842992782593    789.588195800781
1.924    2.09040379524231    789.132507324219
2.023    2.03900575637817    789.474060058594
2.121    2.04690146446228    789.701904296875
2.219    1.98760783672333    789.664001464844
2.318    1.99945139884949    789.398254394531
2.416    1.92434084415436    789.512451171875
2.514    1.94607937335968    789.436157226563
2.613    1.85907471179962    789.588195800781
2.711    1.84128403663635    789.322448730469
2.809    1.86699569225311    789.55029296875
2.908    1.78988599777222    789.322448730469
3.006    1.82349336147308    789.512451171875
3.104    1.776043176651    789.3603515625
3.203    1.78791201114655    789.3603515625
3.301    1.84723114967346    789.55029296875
3.4    1.80175483226776    789.284545898438
3.498    1.82546734809875    789.284545898438
3.596    1.71277618408203    789.55029296875
3.695    1.7918598651886    789.246643066406
3.793    1.75825250148773    789.588195800781
3.891    1.74835753440857    789.094604492188
3.99    1.70882833003998    789.284545898438
4.088    1.67916882038116    789.3603515625
4.186    1.70488047599792    789.626098632813
4.285    1.669273853302    789.398254394531
4.383    1.65940427780151    789.474060058594
4.481    1.62579679489136    789.284545898438
4.58    1.63171863555908    789.55029296875
4.678    1.69301164150238    789.626098632813
4.776    1.64753532409668    789.474060058594
4.875    1.691037774086    789.322448730469
4.973    1.59811127185822    789.55029296875
5.071    1.63764047622681    789.626098632813
5.17    1.67522096633911    789.512451171875
5.268    1.6455614566803    789.474060058594
5.366    1.62579679489136    789.474060058594
5.465    1.5684517621994    789.246643066406
5.563    1.62579679489136    789.474060058594
5.661    1.55066108703613    789.246643066406
5.76    1.5387921333313    789.322448730469
5.858    1.56450390815735    789.474060058594
5.956    1.58229446411133    789.398254394531
6.055    1.584268450737    789.474060058594
6.153    1.5387921333313    789.588195800781
6.252    1.57834661006927    789.436157226563
6.35    1.57042562961578    789.3603515625
6.448    1.58229446411133    789.436157226563
6.547    1.58032059669495    789.246643066406
6.645    1.59218943119049    789.398254394531
6.743    1.57637274265289    789.588195800781
6.842    1.52892255783081    789.474060058594
6.94    1.56647777557373    789.398254394531
7.038    1.5229754447937    789.474060058594
7.137    1.48542022705078    789.3603515625
7.235    1.50913262367249    789.588195800781
7.333    1.48542022705078    789.3603515625
7.432    1.52100145816803    789.436157226563
7.53    1.47157740592957    789.322448730469
7.628    1.51310575008392    789.55029296875
7.727    1.49528980255127    789.322448730469
7.825    1.51110661029816    789.588195800781
7.923    1.56055593490601    789.398254394531
8.022    1.50913262367249    789.322448730469
8.12    1.50913262367249    789.512451171875
8.218    1.5071587562561    789.55029296875
8.317    1.5387921333313    789.474060058594
8.415    1.48936808109283    789.3603515625
8.513    1.4616824388504    789.284545898438
8.612    1.49134194850922    789.474060058594
8.71    1.42412722110748    789.284545898438
8.808    1.51902759075165    789.398254394531
8.907    1.43004894256592    789.436157226563
9.005    1.46365630626678    789.626098632813
9.103    1.45773458480835    788.980895996094
9.202    1.44389176368713    789.55029296875
9.3    1.5071587562561    789.322448730469
9.398    1.44586575031281    789.512451171875
9.497    1.48936808109283    789.284545898438
9.595    1.47947311401367    789.474060058594
9.693    1.51705360412598    789.246643066406
9.792    1.49134194850922    789.474060058594
9.89    1.41423225402832    789.322448730469
9.988    1.48739409446716    789.398254394531
10.087    1.4003894329071    789.3603515625
10.185    1.48542022705078    789.512451171875
10.283    1.41225826740265    789.284545898438
10.382    1.42807507514954    789.739807128906
10.48    1.38457274436951    789.322448730469
10.579    1.40633654594421    789.474060058594
10.677    1.45181274414063    789.322448730469
10.775    1.4083104133606    789.55029296875
10.874    1.47157740592957    789.094604492188
10.972    1.46365630626678    789.664001464844
11.07    1.44983887672424    789.246643066406
11.169    1.44191789627075    789.55029296875
11.267    1.3766770362854    789.512451171875
