sec"   "mA"   "mV
0.193    6.6060938835144    789.17041015625
0.331    5.70651388168335    789.436157226563
0.468    4.86427927017212    789.588195800781
0.606    4.17821264266968    789.246643066406
0.743    3.65626049041748    789.284545898438
0.881    3.39727091789246    789.474060058594
1.019    3.15209889411926    789.246643066406
1.156    3.12243938446045    789.436157226563
1.294    2.95242857933044    789.436157226563
1.431    2.92671680450439    789.246643066406
1.569    2.83973741531372    789.322448730469
1.706    2.71320366859436    789.398254394531
1.844    2.756680727005    789.398254394531
1.981    2.59851336479187    789.398254394531
2.119    2.59259152412415    789.436157226563
2.256    2.53327250480652    789.322448730469
2.394    2.47792649269104    789.474060058594
2.531    2.54119348526001    789.474060058594
2.669    2.43639802932739    789.588195800781
2.807    2.4957172870636    789.208251953125
2.944    2.40871238708496    789.3603515625
3.082    2.40871238708496    789.3603515625
3.219    2.34347152709961    789.322448730469
3.357    2.29404759407043    789.398254394531
3.494    2.33952379226685    789.588195800781
3.632    2.29207348823547    789.246643066406
3.769    2.36126232147217    789.208251953125
3.907    2.30591630935669    789.322448730469
4.044    2.29996919631958    789.398254394531
4.182    2.31975913047791    789.208251953125
4.319    2.25649213790894    789.246643066406
4.457    2.27823066711426    789.322448730469
4.594    2.16553974151611    789.17041015625
4.732    2.16553974151611    789.246643066406
4.869    2.20506882667542    789.398254394531
5.007    2.14377593994141    789.474060058594
5.145    2.21693778038025    789.398254394531
5.282    2.13785409927368    789.588195800781
5.42    2.22683262825012    789.474060058594
5.557    2.20506882667542    789.436157226563
5.695    2.15761876106262    789.246643066406
5.832    2.16948747634888    789.436157226563
5.97    2.09435176849365    789.664001464844
6.107    2.10819458961487    789.436157226563
6.245    2.09832501411438    789.208251953125
6.382    2.05877041816711    789.056701660156
6.52    2.14774894714355    789.588195800781
6.657    2.0607442855835    789.398254394531
6.795    2.1200635433197    789.246643066406
6.932    2.11414170265198    789.322448730469
7.07    2.03505802154541    789.474060058594
7.208    2.10424661636353    789.132507324219
7.345    2.01724195480347    789.3603515625
7.483    2.02713704109192    789.474060058594
7.62    2.0053985118866    789.398254394531
7.758    2.09435176849365    789.322448730469
7.895    2.0607442855835    789.474060058594
8.033    2.06271839141846    789.398254394531
8.17    2.05284857749939    789.398254394531
8.308    2.01724195480347    789.474060058594
8.445    2.02713704109192    789.132507324219
8.583    1.95597434043884    789.322448730469
8.72    1.9520012140274    789.398254394531
8.858    1.97771286964417    789.55029296875
8.995    1.94607937335968    789.322448730469
9.133    2.02713704109192    789.436157226563
9.27    1.97771286964417    789.55029296875
9.408    2.01132035255432    789.246643066406
9.546    2.03703188896179    789.246643066406
9.683    1.98958170413971    789.474060058594
9.821    2.02318906784058    789.436157226563
9.958    1.9223415851593    789.322448730469
10.096    1.94805335998535    789.208251953125
10.233    1.93421053886414    789.436157226563
10.371    1.90455090999603    789.246643066406
10.508    1.95794820785522    789.322448730469
10.646    1.91247200965881    789.588195800781
10.783    1.99945139884949    789.17041015625
10.921    1.99945139884949    789.322448730469
11.058    1.97771286964417    789.474060058594
11.196    1.96387004852295    789.246643066406
11.334    1.8828125    789.322448730469
11.471    1.91247200965881    789.474060058594
11.609    1.90257704257965    789.322448730469
11.746    1.86304783821106    789.17041015625
11.884    1.9144458770752    789.398254394531
12.021    1.94213151931763    789.436157226563
12.159    1.9836345911026    789.208251953125
12.296    1.92828869819641    789.398254394531
12.434    1.93421053886414    789.512451171875
12.571    1.8215194940567    789.284545898438
12.709    1.86304783821106    789.474060058594
12.846    1.85710072517395    789.55029296875
12.984    1.84325790405273    789.17041015625
13.122    1.92828869819641    789.322448730469
13.259    1.89468133449554    789.474060058594
13.397    1.89665520191193    789.474060058594
13.534    1.94410538673401    789.3603515625
13.672    1.88478636741638    789.436157226563
13.809    1.9223415851593    789.512451171875
13.947    1.81559765338898    789.322448730469
14.084    1.8531528711319    789.512451171875
14.222    1.82744121551514    789.55029296875
14.359    1.80175483226776    789.246643066406
14.497    1.90852415561676    789.322448730469
14.634    1.82744121551514    789.246643066406
14.772    1.88873422145844    789.094604492188
14.91    1.91247200965881    789.3603515625
15.047    1.85907471179962    789.436157226563
15.185    1.87094354629517    789.17041015625
15.322    1.78791201114655    789.322448730469
15.46    1.84920501708984    789.55029296875
15.597    1.79580771923065    789.588195800781
15.735    1.78988599777222    789.474060058594
15.872    1.82744121551514    789.474060058594
16.01    1.80570268630981    789.3603515625
16.147    1.88873422145844    789.284545898438
16.285    1.87291753292084    789.588195800781
16.422    1.84920501708984    789.398254394531
16.56    1.8986291885376    789.246643066406
16.698    1.78791201114655    789.474060058594
16.835    1.78988599777222    789.398254394531
16.973    1.75825250148773    789.436157226563
17.11    1.83338832855225    789.3603515625
17.248    1.80372881889343    789.398254394531
17.385    1.86304783821106    789.436157226563
17.523    1.85512685775757    789.474060058594
17.66    1.81362366676331    789.55029296875
17.798    1.84920501708984    789.246643066406
17.935    1.74046182632446    789.322448730469
18.073    1.77209532260895    789.474060058594
18.21    1.78396415710449    789.398254394531
18.348    1.73454010486603    789.17041015625
18.485    1.82546734809875    789.588195800781
18.623    1.76617348194122    789.474060058594
18.761    1.8215194940567    789.474060058594
18.898    1.8373361825943    789.246643066406
19.036    1.80175483226776    789.322448730469
19.173    1.83338832855225    789.322448730469
19.311    1.72267115116119    789.284545898438
19.448    1.7602264881134    789.512451171875
19.586    1.72464513778687    789.512451171875
19.723    1.7147501707077    789.132507324219
19.861    1.78199028968811    789.55029296875
19.998    1.75627863407135    789.474060058594
20.136    1.80767667293549    789.55029296875
20.273    1.82546734809875    789.398254394531
20.411    1.79383385181427    789.398254394531
20.548    1.81559765338898    789.094604492188
20.686    1.71672403812408    789.17041015625
20.824    1.74835753440857    789.3603515625
20.961    1.68114280700684    789.398254394531
21.099    1.70488047599792    789.246643066406
21.236    1.7602264881134    789.512451171875
21.374    1.80767667293549    789.474060058594
21.511    1.80175483226776    789.398254394531
