sec"   "mA"   "mV
0.154    6.7326283454895    789.246643066406
0.253    6.07424688339233    789.55029296875
0.351    5.72627878189087    789.398254394531
0.449    5.04221105575562    789.739807128906
0.548    4.64084577560425    789.132507324219
0.646    4.18415975570679    789.436157226563
0.744    3.88561582565308    789.322448730469
0.843    3.60881018638611    789.474060058594
0.941    3.33005619049072    789.436157226563
1.039    3.26479005813599    789.588195800781
1.138    3.06709361076355    789.512451171875
1.236    2.99590563774109    789.512451171875
1.334    2.8713710308075    789.17041015625
1.433    2.85158109664917    789.626098632813
1.531    2.73494219779968    789.246643066406
1.629    2.75470662117004    789.664001464844
1.728    2.7724974155426    789.322448730469
1.826    2.66375422477722    789.3603515625
1.924    2.70528244972229    789.018798828125
2.023    2.64793729782104    789.512451171875
2.121    2.66970133781433    789.246643066406
2.219    2.62225103378296    789.588195800781
2.318    2.4957172870636    789.436157226563
2.416    2.5510630607605    789.55029296875
2.514    2.43047642707825    789.3603515625
2.613    2.45813655853271    789.436157226563
2.711    2.41860747337341    789.55029296875
2.809    2.46210980415344    789.626098632813
2.908    2.37707901000977    789.588195800781
3.006    2.36126232147217    789.398254394531
3.105    2.45813655853271    789.284545898438
3.203    2.34149765968323    789.474060058594
3.301    2.42255520820618    789.474060058594
3.4    2.38499999046326    789.436157226563
3.498    2.36521005630493    789.436157226563
3.596    2.40673851966858    789.322448730469
3.695    2.27823066711426    789.398254394531
3.793    2.3355758190155    789.474060058594
3.891    2.24462342262268    789.436157226563
3.99    2.26044011116028    789.246643066406
4.088    2.21298980712891    789.436157226563
4.186    2.21101593971252    789.398254394531
4.285    2.21693778038025    789.398254394531
4.383    2.19519925117493    789.474060058594
4.481    2.27625679969788    789.398254394531
4.58    2.19717311859131    789.322448730469
4.678    2.25649213790894    789.322448730469
4.776    2.25449299812317    789.588195800781
4.875    2.24857115745544    789.55029296875
4.973    2.23670244216919    789.3603515625
5.071    2.14577507972717    789.322448730469
5.17    2.21298980712891    789.588195800781
5.268    2.12795925140381    789.474060058594
5.366    2.14180207252502    789.246643066406
5.465    2.10819458961487    789.398254394531
5.563    2.10819458961487    789.474060058594
5.661    2.11214232444763    789.436157226563
5.76    2.08050894737244    789.284545898438
5.858    2.1754093170166    789.474060058594
5.956    2.07656121253967    789.322448730469
6.055    2.16356587409973    789.588195800781
6.153    2.17146158218384    789.398254394531
6.251    2.15564465522766    789.588195800781
6.35    2.13390612602234    789.398254394531
6.448    2.09237790107727    789.474060058594
6.546    2.12598514556885    789.474060058594
6.645    2.06271839141846    789.398254394531
6.743    2.02318906784058    789.512451171875
6.841    2.06271839141846    789.474060058594
6.94    2.01724195480347    789.512451171875
7.038    2.02121520042419    789.3603515625
7.136    2.01924133300781    789.284545898438
7.235    2.0607442855835    789.474060058594
7.333    2.02121520042419    789.474060058594
7.431    2.07853507995605    789.398254394531
7.53    2.10029888153076    789.132507324219
7.628    2.08645606040955    789.512451171875
7.726    2.10819458961487    789.398254394531
7.825    2.03108477592468    789.474060058594
7.923    2.0825080871582    789.55029296875
8.021    2.03305864334106    789.512451171875
8.12    1.9836345911026    789.322448730469
8.218    2.04887557029724    789.474060058594
8.316    2.00142526626587    789.474060058594
8.415    2.00342440605164    789.474060058594
8.513    1.98560857772827    789.322448730469
8.611    2.03505802154541    789.512451171875
8.71    1.9599221944809    789.322448730469
8.808    2.02713704109192    789.398254394531
8.906    2.05877041816711    789.436157226563
9.005    2.0053985118866    789.474060058594
9.103    2.05284857749939    789.246643066406
9.201    1.97771286964417    789.55029296875
9.3    2.04887557029724    789.208251953125
9.398    1.98166072368622    789.512451171875
9.496    1.91839373111725    789.17041015625
9.595    1.97573888301849    789.55029296875
9.693    1.92631483078003    789.246643066406
9.792    1.99747741222382    789.246643066406
9.89    1.94805335998535    789.512451171875
9.988    1.98560857772827    789.474060058594
10.087    1.91247200965881    789.398254394531
10.185    1.97179102897644    789.588195800781
10.283    2.0053985118866    789.208251953125
10.382    1.9836345911026    789.512451171875
10.48    1.98958170413971    789.3603515625
10.578    1.97376501560211    789.777709960938
10.677    2.0449275970459    789.094604492188
10.775    1.95794820785522    789.588195800781
10.873    1.90455090999603    789.322448730469
10.972    1.95397508144379    789.474060058594
11.07    1.88083851337433    789.436157226563
11.168    1.967817902565    789.474060058594
11.267    1.88478636741638    789.322448730469
11.365    1.92434084415436    789.701904296875
11.463    1.87094354629517    789.17041015625
11.562    1.94410538673401    789.739807128906
11.66    1.98560857772827    789.284545898438
11.758    1.92631483078003    789.284545898438
11.857    1.99352955818176    789.246643066406
11.955    1.96189606189728    789.17041015625
12.053    1.97573888301849    789.018798828125
12.152    1.94607937335968    789.474060058594
12.25    1.86304783821106    789.322448730469
12.349    1.9520012140274    789.626098632813
12.447    1.88083851337433    789.474060058594
12.545    1.92036771774292    789.55029296875
12.644    1.86896967887878    788.904602050781
12.742    1.90257704257965    789.664001464844
12.84    1.83931005001068    789.474060058594
12.939    1.88873422145844    789.436157226563
13.037    1.96387004852295    789.322448730469
13.135    1.9065248966217    789.626098632813
13.234    1.97376501560211    789.17041015625
13.332    1.92036771774292    789.474060058594
13.43    1.94410538673401    789.3603515625
13.529    1.92434084415436    789.55029296875
13.627    1.84920501708984    789.322448730469
13.725    1.93026268482208    789.398254394531
13.824    1.83141434192657    789.246643066406
13.922    1.9065248966217    789.474060058594
14.02    1.81757152080536    789.55029296875
14.119    1.85907471179962    789.512451171875
14.217    1.81757152080536    789.018798828125
14.315    1.87291753292084    789.55029296875
14.414    1.94805335998535    789.398254394531
14.512    1.88083851337433    789.588195800781
14.61    1.92434084415436    789.55029296875
14.709    1.92434084415436    789.398254394531
14.807    1.90852415561676    789.322448730469
14.905    1.89270734786987    789.55029296875
15.004    1.82349336147308    789.398254394531
15.102    1.8828125    789.588195800781
15.2    1.81559765338898    789.512451171875
15.299    1.87689065933228    789.322448730469
15.397    1.78988599777222    789.55029296875
15.495    1.84325790405273    789.398254394531
15.594    1.78988599777222    789.17041015625
15.692    1.84723114967346    789.246643066406
15.791    1.91839373111725    789.664001464844
15.889    1.83338832855225    789.322448730469
15.987    1.92036771774292    789.398254394531
16.086    1.88676035404205    789.398254394531
16.184    1.9144458770752    789.436157226563
16.282    1.88478636741638    789.55029296875
16.381    1.81362366676331    789.322448730469
16.479    1.90257704257965    789.246643066406
16.577    1.79383385181427    789.512451171875
16.676    1.85907471179962    789.664001464844
16.774    1.81362366676331    789.512451171875
16.872    1.79580771923065    789.55029296875
16.971    1.8215194940567    789.3603515625
17.069    1.80767667293549    789.474060058594
17.167    1.87689065933228    789.398254394531
17.266    1.82349336147308    789.474060058594
17.364    1.85512685775757    789.474060058594
17.462    1.8986291885376    789.626098632813
17.561    1.90257704257965    789.3603515625
17.659    1.87291753292084    789.17041015625
17.757    1.80570268630981    789.3603515625
17.856    1.85512685775757    789.474060058594
17.954    1.80965054035187    789.322448730469
18.052    1.87886452674866    789.398254394531
18.151    1.80372881889343    789.17041015625
18.249    1.76814746856689    789.398254394531
18.347    1.78791201114655    789.246643066406
18.446    1.80570268630981    789.208251953125
18.544    1.85117900371552    789.322448730469
18.642    1.78199028968811    789.398254394531
18.741    1.86304783821106    789.474060058594
18.839    1.8373361825943    789.512451171875
18.938    1.84723114967346    789.322448730469
19.036    1.86699569225311    789.55029296875
19.134    1.78199028968811    789.398254394531
19.233    1.87489140033722    789.284545898438
19.331    1.78988599777222    789.664001464844
19.429    1.88676035404205    789.474060058594
19.528    1.7602264881134    789.664001464844
19.626    1.78396415710449    789.55029296875
19.724    1.77209532260895    789.474060058594
19.823    1.79780697822571    789.398254394531
19.921    1.84525716304779    789.284545898438
20.1    -11.247049331665    -207.664352416992
20.199    -7.39371395111084    -207.664352416992
20.297    -5.89902019500732    -207.778030395508
20.395    -5.13389539718628    -207.512268066406
20.494    -4.5368070602417    -207.588562011719
20.592    -4.17302227020264    -207.512268066406
20.69    -3.96148300170898    -207.436477661133
20.789    -3.7064414024353    -207.588562011719
20.887    -3.56803870201111    -207.512268066406
20.985    -3.43555784225464    -207.740142822266
21.084    -3.3090238571167    -207.664352416992
21.182    -3.23193955421448    -207.588562011719
21.281    -3.09156274795532    -207.398590087891
21.379    -3.04411268234253    -207.588562011719
21.477    -2.95316004753113    -207.284896850586
21.576    -2.91163158416748    -207.702239990234
21.674    -2.80883550643921    -207.626449584961
21.772    -2.74359464645386    -207.778030395508
21.871    -2.71985697746277    -207.664352416992
21.969    -2.66253709793091    -207.740142822266
22.067    -2.61903476715088    -207.436477661133
22.166    -2.57553243637085    -207.664352416992
22.264    -2.55774164199829    -207.398590087891
22.362    -2.53005599975586    -207.664352416992
22.461    -2.45889353752136    -207.778030395508
22.559    -2.46678924560547    -207.664352416992
22.657    -2.42131280899048    -207.360687255859
22.756    -2.38967943191528    -207.664352416992
22.854    -2.34817624092102    -207.626449584961
22.953    -2.36596703529358    -207.664352416992
23.051    -2.3343334197998    -207.436477661133
23.149    -2.25919771194458    -207.664352416992
23.248    -2.25919771194458    -207.398590087891
23.346    -2.1880350112915    -207.664352416992
23.444    -2.12079501152039    -207.436477661133
23.543    -2.06544899940491    -207.512268066406
23.641    -2.02194666862488    -207.512268066406
23.739    -1.94878482818604    -207.474380493164
23.838    -1.88551783561707    -207.322799682617
23.936    -1.85388445854187    -207.740142822266
24.035    -1.77085292339325    -207.436477661133
24.133    -1.75503611564636    -207.892211914063
