sec"   "mA"   "mV
0.193    6.74647092819214    789.626098632813
0.331    5.91213130950928    789.322448730469
0.468    5.13711166381836    789.474060058594
0.606    4.53012847900391    789.55029296875
0.743    4.07739067077637    789.208251953125
0.881    3.63057398796082    789.436157226563
1.019    3.45064306259155    789.664001464844
1.156    3.22723484039307    789.512451171875
1.294    3.07498931884766    789.474060058594
1.431    3.03940796852112    789.739807128906
1.569    2.91882109642029    789.777709960938
1.706    2.97416710853577    789.398254394531
1.844    2.88718771934509    789.398254394531
1.981    2.85158109664917    789.664001464844
2.119    2.8258945941925    789.322448730469
2.256    2.67562294006348    789.436157226563
2.394    2.71912527084351    789.588195800781
2.531    2.59653925895691    789.398254394531
2.669    2.56885385513306    789.436157226563
2.806    2.61433005332947    789.55029296875
2.944    2.52735066413879    789.474060058594
3.082    2.59259152412415    789.398254394531
3.219    2.51745557785034    789.474060058594
3.357    2.53919410705566    789.398254394531
3.494    2.54514122009277    789.398254394531
3.632    2.45221471786499    789.55029296875
3.769    2.49174404144287    789.588195800781
3.907    2.37115716934204    789.398254394531
4.044    2.45616269111633    789.55029296875
4.182    2.40279078483582    789.626098632813
4.319    2.45616269111633    789.398254394531
4.457    2.41663360595703    789.474060058594
4.594    2.38697385787964    789.474060058594
4.732    2.41860747337341    789.588195800781
4.87    2.29009962081909    789.588195800781
5.007    2.32568097114563    789.55029296875
5.145    2.2821786403656    789.739807128906
5.282    2.26044011116028    789.512451171875
5.42    2.32568097114563    789.55029296875
5.557    2.27428293228149    789.739807128906
5.695    2.36126232147217    789.512451171875
5.832    2.35534048080444    789.512451171875
5.97    2.32173299789429    789.55029296875
6.107    2.3138120174408    789.55029296875
6.245    2.21496391296387    789.398254394531
6.382    2.26438784599304    789.664001464844
6.52    2.20704293251038    789.474060058594
6.657    2.16356587409973    789.588195800781
6.795    2.23670244216919    789.512451171875
6.933    2.1912260055542    789.55029296875
7.07    2.27230906486511    789.398254394531
7.208    2.23078060150146    789.588195800781
7.345    2.24857115745544    789.398254394531
7.483    2.25649213790894    789.246643066406
7.62    2.1675136089325    789.398254394531
7.758    2.23275446891785    789.664001464844
7.895    2.14180207252502    789.398254394531
8.033    2.12795925140381    789.55029296875
8.17    2.1675136089325    789.816101074219
8.308    2.15761876106262    789.398254394531
8.445    2.20904207229614    789.398254394531
8.583    2.17938256263733    789.626098632813
8.72    2.20309495925903    789.474060058594
8.858    2.10227274894714    789.588195800781
8.995    2.1358802318573    789.626098632813
9.133    2.11214232444763    789.512451171875
9.271    2.06669139862061    789.512451171875
9.408    2.14774894714355    789.398254394531
9.546    2.14180207252502    789.664001464844
9.683    2.19717311859131    789.322448730469
9.821    2.14577507972717    789.474060058594
9.958    2.13982796669006    789.512451171875
10.096    2.17938256263733    789.322448730469
10.233    2.06866526603699    789.3603515625
10.371    2.11611557006836    789.701904296875
10.508    2.10424661636353    789.398254394531
10.646    2.03900575637817    789.17041015625
10.783    2.09040379524231    789.55029296875
10.921    2.07656121253967    789.588195800781
11.058    2.14377593994141    789.3603515625
11.196    2.10819458961487    789.55029296875
11.333    2.1200635433197    789.664001464844
11.471    2.13982796669006    789.664001464844
11.608    2.03900575637817    789.512451171875
11.746    2.09040379524231    789.664001464844
11.884    2.01132035255432    789.398254394531
12.021    2.01924133300781    789.436157226563
12.159    2.06469225883484    789.626098632813
12.296    2.01526808738708    789.474060058594
12.434    2.11414170265198    789.322448730469
12.571    2.07261323928833    789.701904296875
12.709    2.08050894737244    789.512451171875
12.846    2.02713704109192    789.474060058594
12.984    2.02713704109192    789.626098632813
13.121    2.01724195480347    789.626098632813
13.259    1.99945139884949    789.55029296875
13.396    2.03703188896179    789.739807128906
13.534    1.97376501560211    789.626098632813
13.671    2.10424661636353    789.398254394531
13.809    2.07063937187195    789.474060058594
13.946    2.04295372962952    789.664001464844
14.084    2.07261323928833    789.398254394531
14.222    1.97376501560211    789.436157226563
14.359    2.02318906784058    789.55029296875
14.497    1.97968673706055    789.474060058594
14.634    1.967817902565    789.322448730469
14.772    1.99352955818176    789.512451171875
14.909    1.97771286964417    789.55029296875
15.047    2.07656121253967    789.17041015625
15.184    2.03900575637817    789.436157226563
15.322    2.0291109085083    789.55029296875
15.459    2.03703188896179    789.398254394531
15.597    1.95002722740173    789.398254394531
15.734    2.02318906784058    789.588195800781
15.872    1.93223655223846    789.55029296875
16.009    1.94805335998535    789.474060058594
16.147    1.98958170413971    789.588195800781
16.285    1.9520012140274    789.55029296875
16.422    2.03703188896179    789.3603515625
16.56    1.98560857772827    789.777709960938
16.697    2.01924133300781    789.322448730469
16.835    2.02318906784058    789.284545898438
16.972    1.94213151931763    789.512451171875
17.11    2.00737237930298    789.588195800781
17.247    1.92434084415436    789.398254394531
17.385    2.01132035255432    789.3603515625
17.522    1.96387004852295    789.474060058594
17.66    2.01132035255432    789.322448730469
17.797    1.99945139884949    789.474060058594
17.935    1.97573888301849    789.436157226563
18.072    2.02318906784058    789.284545898438
18.21    1.91247200965881    789.474060058594
18.347    1.94805335998535    789.588195800781
18.485    1.90060305595398    789.55029296875
18.622    1.88873422145844    789.322448730469
18.76    1.96189606189728    789.474060058594
18.898    1.92434084415436    789.626098632813
19.035    2.03505802154541    789.322448730469
19.173    1.98166072368622    789.626098632813
19.31    1.96584391593933    789.777709960938
19.448    1.99945139884949    789.3603515625
19.585    1.9065248966217    789.588195800781
19.723    1.94805335998535    789.474060058594
19.86    1.89665520191193    789.3603515625
19.998    1.89070820808411    789.398254394531
20.135    1.93421053886414    789.701904296875
20.273    1.87689065933228    789.55029296875
20.41    1.97179102897644    789.436157226563
20.548    1.97179102897644    789.512451171875
20.685    1.967817902565    789.55029296875
20.823    1.98760783672333    789.246643066406
20.961    1.88083851337433    789.55029296875
21.098    1.94607937335968    789.512451171875
21.236    1.85512685775757    789.322448730469
21.373    1.87291753292084    789.474060058594
21.511    1.87886452674866    789.816101074219
21.648    1.85512685775757    789.626098632813
21.786    1.95597434043884    789.284545898438
21.923    1.91247200965881    789.512451171875
22.061    1.9520012140274    789.55029296875
22.198    1.8531528711319    789.322448730469
22.336    1.9065248966217    789.436157226563
22.473    1.88083851337433    789.474060058594
22.611    1.84920501708984    789.246643066406
22.749    1.92434084415436    789.626098632813
22.886    1.86304783821106    789.55029296875
23.024    1.94805335998535    789.17041015625
23.161    1.93618440628052    789.322448730469
23.299    1.91641986370087    789.588195800781
23.436    1.94015753269196    789.588195800781
23.574    1.86304783821106    789.398254394531
23.711    1.88676035404205    789.626098632813
23.849    1.87489140033722    789.474060058594
23.986    1.82744121551514    789.17041015625
24.124    1.87689065933228    789.664001464844
24.261    1.87291753292084    789.512451171875
24.399    1.94410538673401    789.588195800781
24.536    1.92434084415436    789.626098632813
24.674    1.90060305595398    789.588195800781
24.811    1.95794820785522    789.474060058594
24.949    1.84920501708984    789.398254394531
25.087    1.91839373111725    789.55029296875
25.224    1.84723114967346    789.398254394531
25.362    1.84128403663635    789.55029296875
25.499    1.87689065933228    789.588195800781
25.637    1.83141434192657    789.664001464844
25.774    1.90852415561676    789.398254394531
