sec"   "mA"   "mV
0.153    4.24940061569214    -14.7271823883057
0.251    3.43087840080261    -10.2864837646484
0.349    3.02953815460205    -5.31377649307251
0.446    2.82392072677612    -1.06256091594696
0.544    2.70133471488953    3.75807452201843
0.644    2.61038208007813    8.57870960235596
0.744    2.5510630607605    13.0573043823242
0.844    2.49174404144287    17.7642498016357
0.945    2.4601104259491    22.3570213317871
1.045    2.42452931404114    27.3292427062988
1.145    2.39684367179871    31.8462200164795
1.245    2.36126232147217    36.9326171875
1.345    2.33952379226685    41.9048385620117
1.446    2.31975913047791    46.3460235595703
1.546    2.28612637519836    51.4703178405762
1.646    2.26438784599304    55.5694618225098
1.746    2.23867630958557    60.5800628662109
1.846    2.21496391296387    65.0591430664063
1.947    2.18530440330505    70.031364440918
2.047    2.15761876106262    74.6620330810547
2.147    2.13390612602234    79.5968475341797
2.247    2.10622072219849    84.075439453125
2.347    2.07261323928833    88.8202819824219
2.448    2.04295372962952    94.0203704833984
2.548    2.01924133300781    98.3094787597656
2.648    1.9836345911026    103.282188415527
2.748    1.96387004852295    107.684989929199
2.848    1.92036771774292    112.657699584961
2.949    1.89468133449554    117.136291503906
3.049    1.86304783821106    122.222686767578
3.149    1.82349336147308    126.701766967773
3.249    1.79780697822571    131.598205566406
3.349    1.7602264881134    136.570419311523
3.449    1.73454010486603    141.277359008789
3.55    1.68906378746033    146.021728515625
3.65    1.65940427780151    150.311325073242
3.75    1.62182366847992    155.473510742188
3.85    1.59416341781616    159.724731445313
3.95    1.54868710041046    164.734848022461
4.051    1.51507973670959    169.365509033203
4.151    1.477499127388    174.186141967773
4.251    1.44389176368713    179.234649658203
4.351    1.4003894329071    183.561660766602
4.451    1.36875593662262    188.875915527344
4.552    1.33514857292175    193.278717041016
4.652    1.30548906326294    197.947769165039
4.752    1.2699077129364    202.464263916016
4.852    1.24222207069397    207.361175537109
4.952    1.2086147069931    211.916046142578
5.052    1.18687617778778    217.078231811523
5.153    1.1552426815033    221.329452514648
5.253    1.14337384700775    226.18798828125
5.353    1.10976648330688    231.084411621094
5.453    1.09789752960205    235.715087890625
5.553    1.08802795410156    240.345748901367
5.654    1.0781329870224    245.090591430664
5.754    1.06626415252686    250.100708007813
5.854    1.05639445781708    254.541900634766
5.954    1.05639445781708    259.324645996094
6.054    1.05242133140564    264.145263671875
6.155    1.05242133140564    268.965911865234
6.255    1.05044734477997    273.862335205078
6.355    1.04649949073792    278.151458740234
6.455    1.04452562332153    283.313629150391
6.555    1.0623162984848    287.868499755859
6.655    1.0623162984848    292.72705078125
6.756    1.0781329870224    297.206115722656
6.856    1.08802795410156    302.178344726563
6.956    1.09000182151794    306.657409667969
7.056    1.10581862926483    311.629638671875
7.156    1.10976648330688    315.880859375
7.257    1.12163531780243    320.967254638672
7.357    1.1394259929657    325.939483642578
7.457    1.14337384700775    330.494354248047
7.557    1.15919053554535    335.390777587891
7.657    1.18292832374573    340.059844970703
7.757    1.19677114486694    344.766296386719
7.858    1.20466685295105    349.397430419922
7.958    1.22245752811432    354.103912353516
8.058    1.24024820327759    358.848754882813
8.158    1.26003801822662    363.441528320313
8.258    1.26793372631073    368.603698730469
8.359    1.29364550113678    372.968597412109
8.459    1.31735789775848    377.941314697266
8.559    1.33317458629608    382.382019042969
8.659    1.35888636112213    387.468414306641
8.759    1.37865090370178    391.909606933594
8.859    1.40436255931854    396.8818359375
8.96    1.43994390964508    401.170928955078
9.06    1.46960341930389    406.333129882813
9.16    1.5071587562561    411.115875244141
9.26    1.53681826591492    415.556549072266
9.36    1.58229446411133    420.491363525391
9.461    1.6297447681427    425.008361816406
9.561    1.68509066104889    430.094268798828
9.661    1.74046182632446    434.573333740234
9.761    1.80767667293549    439.469757080078
9.861    1.87886452674866    444.024627685547
9.961    1.96979176998138    448.731597900391
10.062    2.04690146446228    453.400146484375
10.162    2.14972305297852    458.182891845703
10.262    2.26044011116028    463.155120849609
10.362    2.36918330192566    467.558410644531
10.462    2.50361299514771    472.720581054688
10.563    2.63411998748779    477.275451660156
10.663    2.78634023666382    482.019805908203
10.763    2.93463778495789    486.688873291016
10.863    3.10464882850647    491.433227539063
10.963    3.2707371711731    495.912292480469
11.063    3.44669508934021    500.960815429688
11.164    3.64639091491699    505.8193359375
11.264    3.83221840858459    510.374206542969
11.364    4.04378318786621    515.270629882813
11.464    4.24542760848999    519.825500488281
11.564    4.46488761901855    524.684020996094
11.665    4.66655731201172    529.238891601563
11.765    4.90183448791504    534.173217773438
11.865    5.1193208694458    538.424438476563
11.965    5.36644172668457    543.624572753906
12.065    5.58392810821533    547.837890625
12.165    5.83107376098633    552.810546875
12.266    6.06832504272461    558.08642578125
12.366    6.28381204605103    562.375549316406
12.466    6.51908922195435    567.386169433594
12.566    6.72668123245239    571.826843261719
12.666    6.95008897781372    576.533813476563
12.767    7.14386320114136    581.202392578125
12.867    7.33761167526245    586.175109863281
12.967    7.51951694488525    590.577880859375
13.067    7.70337057113647    595.626403808594
13.167    7.89514541625977    600.5986328125
13.267    8.06123352050781    605.001892089844
13.368    8.24508762359619    609.97412109375
13.468    8.4170970916748    614.225341796875
13.568    8.61481952667236    619.425415039063
13.668    8.81054210662842    623.714538574219
13.768    9.0477933883667    628.876708984375
13.868    9.2633056640625    633.052124023438
13.969    9.52426910400391    638.176452636719
14.069    9.77536296844482    643.300720214844
14.169    10.0304040908813    647.58984375
14.269    10.3111572265625    652.714111328125
14.369    10.580041885376    657.154846191406
14.47    10.8825340270996    661.899658203125
14.57    11.1593399047852    666.530334472656
14.67    11.4657793045044    671.199401855469
14.77    11.7584009170532    675.830078125
14.87    12.0905523300171    680.688598632813
14.97    12.3890972137451    685.281372070313
15.071    12.7311182022095    689.949951171875
15.171    13.077112197876    695.07421875
15.271    13.3934469223022    699.515380859375
15.371    13.7433891296387    704.526000976563
15.471    13.3776302337646    701.223693847656
15.571    12.8952322006226    695.871520996094
15.67    12.4701547622681    691.126647949219
15.77    12.017391204834    686.116577148438
15.869    11.6002340316772    681.333801269531
15.969    11.1711826324463    676.133728027344
16.068    10.775764465332    671.313110351563
16.168    10.3447647094727    665.9609375
16.267    9.96713733673096    661.406066894531
16.366    9.5875358581543    656.661682128906
16.466    9.18619537353516    651.347412109375
16.565    8.81448936462402    646.792541503906
16.665    8.42501831054688    641.478759765625
16.764    8.06518173217773    636.84814453125
16.864    7.67965793609619    631.57177734375
16.963    7.33168983459473    627.054748535156
17.063    6.96393203735352    621.588928222656
17.162    6.62585830688477    616.806701660156
17.262    6.26602125167847    611.758178710938
17.361    5.94573879241943    607.203308105469
17.46    5.59579706192017    601.889038085938
17.56    5.27551412582397    596.916809082031
17.659    4.93938970565796    591.944580078125
17.759    4.63887166976929    587.161865234375
17.858    4.32451105117798    581.999694824219
17.958    4.02796649932861    577.065368652344
18.057    3.71557950973511    572.054748535156
18.157    3.43680024147034    567.309875488281
18.256    3.13430833816528    562.147705078125
18.356    2.86542391777039    557.251281738281
18.455    2.60840821266174    552.62060546875
18.555    2.33754992485046    547.3447265625
18.654    2.09435176849365    542.827758789063
18.754    1.81757152080536    537.361877441406
18.853    1.59416341781616    532.769104003906
18.952    1.33912169933319    527.530639648438
19.052    1.12163531780243    522.82421875
19.151    0.892280042171478    517.5478515625
19.251    0.684688568115234    512.955078125
19.35    0.459306448698044    507.641296386719
19.45    0.265557795763016    503.238006591797
19.549    0.0500453300774097    497.658477783203
19.649    -0.11999087780714    493.027801513672
19.748    -0.327582329511642    487.637756347656
19.848    -0.489697515964508    483.272827148438
19.947    -0.671602606773376    477.920684814453
20.047    -0.829769909381866    473.175842285156
20.146    -0.995832979679108    468.20361328125
20.246    -1.14410531520844    463.345092773438
20.345    -1.30029881000519    458.069213867188
20.445    -1.44462335109711    453.400146484375
20.544    -1.58499991893768    448.655792236328
20.644    -1.73527157306671    443.417327880859
20.743    -1.87167513370514    438.672973632813
20.843    -2.0199728012085    433.472412109375
20.942    -2.1504545211792    428.917510986328
21.042    -2.30072617530823    423.717437744141
21.141    -2.45097231864929    418.935180664063
21.241    -2.61508679389954    413.696716308594
21.34    -2.76928091049194    409.028137207031
21.44    -2.9472382068634    403.828063964844
21.539    -3.11922311782837    399.083221435547
21.639    -3.33078765869141    393.921020507813
21.738    -3.54232692718506    388.948822021484
21.837    -3.77760410308838    384.052368164063
21.937    -4.01090717315674    379.117584228516
22.036    -4.27781772613525    374.259033203125
22.136    -4.52493858337402    369.514678955078
22.235    -4.80174398422241    364.238311767578
22.335    -5.05481147766113    359.076110839844
22.434    -5.31380128860474    354.293884277344
22.534    -5.5490779876709    349.435333251953
22.633    -5.7922511100769    344.234771728516
22.733    -6.01568460464478    339.566192626953
22.832    -6.22722387313843    334.935546875
22.932    -6.42889356613159    329.773345947266
23.031    -6.59298276901245    325.142669677734
23.13    -6.7768611907959    319.562652587891
23.23    -6.89350032806396    315.083587646484
23.329    -7.00026941299438    309.769805908203
23.429    -7.0852746963501    304.949157714844
23.528    -7.14656782150269    299.900665283203
23.628    -7.16238451004028    295.194213867188
23.727    -7.16238451004028    289.918334960938
23.827    -7.13867235183716    285.401336669922
23.926    -7.0852746963501    280.201263427734
24.026    -7.02992868423462    275.342712402344
24.125    -6.95084524154663    270.294219970703
24.225    -6.86978769302368    265.473602294922
24.324    -6.76893997192383    260.159820556641
24.424    -6.65230131149292    255.452865600586
24.523    -6.50797700881958    250.290679931641
24.623    -6.36365270614624    245.811599731445
24.722    -6.17779970169067    240.459930419922
24.822    -6.01568460464478    235.715087890625
24.921    -5.8238844871521    231.160202026367
25.02    -5.61431884765625    225.884323120117
25.12    -5.42649221420288    220.949523925781
25.219    -5.21297883987427    215.86360168457
25.319    -5.03107404708862    211.005081176758
25.418    -4.8116135597229    206.032363891602
25.518    -4.61589097976685    201.211730957031
25.617    -4.39643049240112    196.011642456055
25.717    -4.20070791244507    191.343078613281
25.816    -3.99509048461914    186.218780517578
25.916    -3.82308030128479    181.626022338867
26.015    -3.63920140266418    176.235961914063
26.115    -3.47511219978333    171.339538574219
26.214    -3.32683992385864    166.139450073242
26.314    -3.20227980613708    161.546676635742
26.413    -3.07377219200134    156.346099853516
26.513    -2.96105575561523    151.753326416016
26.612    -2.83652114868164    146.743209838867
26.712    -2.74359464645386    141.884689331055
26.811    -2.63879919052124    136.760391235352
26.91    -2.5498206615448    131.863952636719
27.01    -2.46481513977051    127.309089660645
27.109    -2.37783575057983    122.109001159668
27.209    -2.30072617530823    117.288360595703
27.308    -2.22559022903442    112.126174926758
27.408    -2.16429734230042    107.343437194824
27.507    -2.09510850906372    102.219139099121
27.607    -2.0436851978302    97.3227157592773
27.706    -1.98439145088196    92.2363128662109
27.806    -1.94681084156036    87.5298538208008
27.905    -1.89343893527985    82.2918701171875
28.005    -1.84796261787415    77.6228256225586
28.104    -1.79853856563568    72.422737121582
28.204    -1.77877390384674    67.7157897949219
28.303    -1.74514126777649    62.5536003112793
28.403    -1.71153378486633    57.6571731567383
28.502    -1.67792642116547    52.6091575622559
28.602    -1.64629292488098    48.0921783447266
28.701    -1.61860740184784    42.8541946411133
28.801    -1.60081672668457    37.995662689209
28.9    -1.56523537635803    32.8713684082031
29    -1.54349684715271    27.936559677124
29.099    -1.51975905895233    22.8506469726563
29.199    -1.50591635704041    17.8400440216064
29.298    -1.48417782783508    13.3609628677368
29.398    -1.45846605300903    8.27505207061768
29.497    -1.44264936447144    3.53020930290222
29.597    -1.42880654335022    -1.44201231002808
29.7    -1.41498911380768    -6.68048143386841
29.804    -1.39717304706573    -12.1084337234497
29.907    -1.38135635852814    -17.1185512542725
30.011    -1.36951279640198    -22.5086078643799
30.114    -1.35369610786438    -27.2529640197754
30.218    -1.34774899482727    -32.3393592834473
30.321    -1.31808948516846    -37.4257583618164
30.425    -1.3220626115799    -42.4742584228516
30.528    -1.30427193641663    -47.6743469238281
30.632    -1.29437696933746    -53.0260200500488
30.735    -1.2844820022583    -58.5297622680664
30.839    -1.2686653137207    -63.4645729064941
30.942    -1.26274347305298    -68.5504837036133
31.046    -1.25087463855743    -73.7889556884766
31.149    -1.24692678451538    -78.6853866577148
31.253    -1.23308396339417    -83.7333984375
31.356    -1.223188996315    -88.933967590332
31.46    -1.21726727485657    -94.1719512939453
31.563    -1.20539832115173    -99.4478378295898
31.666    -1.1994765996933    -104.458435058594
31.77    -1.19355475902557    -109.962181091309
31.873    -1.17773807048798    -114.554954528809
31.977    -1.18168592453003    -120.172874450684
32.08    -1.17179095745087    -125.107200622559
32.184    -1.15794813632965    -130.003631591797
32.287    -1.14610457420349    -135.052124023438
32.391    -1.14610457420349    -140.214324951172
32.494    -1.14015746116638    -145.414413452148
32.598    -1.14015746116638    -150.652389526367
32.701    -1.13028788566589    -155.77668762207
