sec"   "mA"   "mV
0.193    40.4914817810059    789.056701660156
0.331    35.186954498291    789.17041015625
0.468    32.6681213378906    789.322448730469
0.606    30.3074798583984    789.246643066406
0.743    29.2141513824463    789.284545898438
0.881    27.6403732299805    789.398254394531
1.019    26.8811702728271    789.246643066406
1.156    25.694917678833    789.018798828125
1.294    25.107723236084    789.398254394531
1.431    24.7142791748047    789.398254394531
1.569    24.1270866394043    789.284545898438
1.706    24.2279090881348    789.246643066406
1.844    23.6446628570557    789.512451171875
1.981    23.6229248046875    789.436157226563
2.119    23.3698577880859    789.17041015625
2.256    22.7826652526855    789.512451171875
2.394    22.8103504180908    789.474060058594
2.531    22.2547912597656    789.3603515625
2.669    22.1737079620361    789.094604492188
2.806    22.1025447845459    789.588195800781
2.944    21.8415565490723    789.436157226563
3.081    22.2073402404785    789.284545898438
3.219    21.8791370391846    789.322448730469
3.356    22.0096187591553    789.284545898438
3.494    21.9503002166748    789.284545898438
3.632    21.4916133880615    789.284545898438
3.769    21.6833896636963    789.322448730469
3.907    21.1891212463379    789.436157226563
4.044    21.1792526245117    789.588195800781
4.182    21.2168083190918    789.512451171875
4.319    21.027006149292    789.322448730469
4.457    21.4659271240234    789.284545898438
4.594    21.195068359375    789.512451171875
4.732    21.3235778808594    789.3603515625
4.869    21.3275241851807    789.322448730469
5.007    20.9182643890381    789.512451171875
5.144    20.8648910522461    789.512451171875
5.282    20.6849613189697    789.17041015625
5.419    21.0586395263672    789.436157226563
5.557    20.7660179138184    789.436157226563
5.695    21.0981693267822    789.284545898438
5.832    21.0764312744141    789.284545898438
5.97    20.8174419403076    789.398254394531
6.107    20.9143161773682    789.3603515625
6.245    20.4378395080566    789.3603515625
6.382    20.5722694396973    789.3603515625
6.52    20.5366878509521    789.3603515625
6.657    20.3547840118408    789.208251953125
6.795    20.7858085632324    789.284545898438
6.932    20.5267925262451    789.436157226563
7.07    20.8233642578125    789.056701660156
7.207    20.8055725097656    789.018798828125
7.345    20.5149250030518    789.436157226563
7.482    20.688907623291    789.512451171875
7.62    20.2223281860352    789.3603515625
7.757    20.3646774291992    789.284545898438
7.895    20.335018157959    789.474060058594
8.032    20.2065105438232    789.512451171875
8.17    20.6355361938477    789.701904296875
8.307    20.344913482666    789.626098632813
8.445    20.6355361938477    789.17041015625
8.583    20.6454315185547    789.208251953125
8.72    20.3409404754639    789.588195800781
8.858    20.530740737915    789.436157226563
8.995    20.0661334991455    789.322448730469
9.133    20.1353225708008    789.246643066406
9.27    20.188720703125    789.701904296875
9.408    20.5584259033203    789.284545898438
9.545    20.501106262207    789.284545898438
9.683    20.2816467285156    789.512451171875
9.82    20.4615516662598    789.284545898438
9.958    20.0147361755371    789.208251953125
10.095    20.1570873260498    789.3603515625
10.233    20.0641593933105    789.701904296875
10.37    19.9415740966797    789.436157226563
10.508    20.3033847808838    789.474060058594
10.645    20.1056880950928    789.512451171875
10.783    20.4180507659912    789.284545898438
10.92    20.3666515350342    789.284545898438
11.058    20.1729030609131    789.436157226563
11.195    20.3488616943359    789.322448730469
11.333    19.8684368133545    789.398254394531
11.47    20.0443954467773    789.284545898438
11.608    19.9455223083496    789.626098632813
11.745    19.8407516479492    789.512451171875
11.883    20.2559356689453    789.626098632813
12.021    19.9850769042969    789.284545898438
12.158    20.3409404754639    789.436157226563
12.296    20.3211765289307    789.3603515625
12.433    20.1076622009277    789.512451171875
12.571    20.2717514038086    789.398254394531
12.708    19.7933025360107    789.436157226563
12.846    19.979154586792    789.626098632813
12.983    19.8743591308594    789.512451171875
13.121    19.7656154632568    789.208251953125
13.258    20.1847724914551    789.588195800781
13.396    19.9771556854248    789.588195800781
13.533    20.2816467285156    789.132507324219
13.671    19.8051700592041    789.398254394531
13.808    19.9909992218018    789.284545898438
13.946    19.7952766418457    789.398254394531
14.083    19.7300357818604    789.436157226563
14.221    20.0839252471924    789.626098632813
14.358    19.8624897003174    789.512451171875
14.496    20.2756996154785    789.322448730469
14.633    20.1610336303711    789.284545898438
14.771    20.1036891937256    789.626098632813
14.909    20.2104587554932    789.094604492188
15.046    19.7161922454834    789.398254394531
15.184    19.9494953155518    789.512451171875
15.321    19.7814331054688    789.474060058594
15.459    19.6845588684082    789.17041015625
15.596    20.0562400817871    789.474060058594
15.734    19.8368034362793    789.208251953125
15.871    20.2302227020264    789.17041015625
16.009    20.1570873260498    789.246643066406
16.146    19.981128692627    789.284545898438
16.284    20.1551132202148    789.474060058594
16.421    19.7003746032715    789.208251953125
16.559    19.8684368133545    789.284545898438
16.696    19.7537479400635    789.436157226563
16.834    19.652925491333    789.284545898438
16.971    20.0364742279053    789.436157226563
17.109    19.7715377807617    789.208251953125
17.246    20.1926689147949    789.284545898438
17.384    20.1412696838379    789.284545898438
17.521    19.9771556854248    789.474060058594
17.659    20.1333484649658    789.056701660156
17.796    19.643030166626    789.398254394531
17.934    19.9573917388916    789.398254394531
18.071    19.6865329742432    789.208251953125
18.209    20.1551132202148    789.208251953125
18.347    20.0384483337402    789.398254394531
18.484    20.0364742279053    789.322448730469
18.622    20.1254539489746    789.322448730469
18.759    19.6786365509033    789.55029296875
18.897    19.9257583618164    789.3603515625
19.034    19.6232662200928    789.284545898438
19.172    19.629186630249    789.474060058594
19.309    19.8862285614014    789.588195800781
19.447    19.652925491333    789.512451171875
19.584    20.1195068359375    789.322448730469
19.722    19.9989185333252    789.436157226563
19.859    19.9870510101318    789.284545898438
19.997    20.1096363067627    789.55029296875
20.134    19.6568737030029    789.3603515625
20.272    19.8723850250244    789.3603515625
20.409    19.6054744720459    789.3603515625
20.547    19.6074485778809    789.436157226563
20.684    19.8486480712891    789.55029296875
20.822    19.6568737030029    789.55029296875
20.959    20.1017150878906    789.398254394531
21.097    20.0167102813721    789.3603515625
21.235    19.9218101501465    789.436157226563
21.372    20.0760288238525    789.3603515625
21.51    19.5718669891357    789.436157226563
21.647    19.8427257537842    789.664001464844
21.785    19.6212921142578    789.132507324219
21.922    19.5599994659424    789.132507324219
22.06    19.8368034362793    789.55029296875
22.197    19.9989185333252    789.284545898438
22.335    20.0602130889893    789.474060058594
22.472    19.641056060791    789.588195800781
22.61    19.8862285614014    789.322448730469
22.747    19.5560512542725    789.246643066406
22.885    19.5975532531738    789.284545898438
23.022    19.7300357818604    789.398254394531
23.16    19.6035003662109    789.436157226563
23.297    20.0522918701172    789.208251953125
23.435    19.8427257537842    789.588195800781
23.572    19.9573917388916    789.398254394531
23.71    20.0542659759521    789.322448730469
23.847    19.6568737030029    789.512451171875
23.985    19.8822555541992    789.474060058594
24.122    19.5422077178955    789.208251953125
24.26    19.5916328430176    789.626098632813
24.397    19.7557220458984    789.3603515625
24.535    19.5758152008057    789.17041015625
24.673    20.0424213409424    789.436157226563
24.81    19.8545951843262    789.588195800781
24.948    19.9455223083496    789.3603515625
25.085    20.0404224395752    789.3603515625
25.223    19.6094226837158    789.3603515625
25.36    19.8684368133545    789.322448730469
25.498    19.5303382873535    789.3603515625
25.635    19.5797634124756    789.436157226563
25.773    19.7379302978516    789.474060058594
25.91    19.5580253601074    789.17041015625
26.048    20.0167102813721    789.284545898438
26.185    19.8565692901611    789.474060058594
26.323    19.9297046661377    789.246643066406
26.46    19.4987049102783    789.398254394531
26.598    19.6153697967529    789.436157226563
26.735    19.629186630249    789.512451171875
26.873    19.5105743408203    789.436157226563
27.01    19.9218101501465    789.512451171875
27.148    19.7300357818604    789.55029296875
27.286    20.0127620697021    789.284545898438
27.423    20.0008926391602    789.246643066406
27.561    19.6845588684082    789.322448730469
27.698    19.9376258850098    789.436157226563
27.836    19.4809150695801    789.208251953125
27.973    19.601526260376    789.436157226563
28.111    19.650951385498    789.512451171875
28.248    19.5066261291504    789.3603515625
28.386    19.9573917388916    789.436157226563
28.523    19.7379302978516    789.512451171875
28.661    19.9613380432129    789.3603515625
28.798    20.0048408508301    789.284545898438
28.936    19.7142181396484    789.3603515625
29.073    19.9178619384766    789.246643066406
29.211    19.4591770172119    789.322448730469
29.348    19.5975532531738    789.322448730469
29.486    19.6153697967529    789.626098632813
29.623    19.486837387085    789.322448730469
29.761    19.9514694213867    789.284545898438
29.898    19.7221145629883    789.398254394531
30.036    19.981128692627    789.398254394531
30.174    19.9771556854248    789.246643066406
30.311    19.6885070800781    789.512451171875
30.449    19.8842544555664    789.208251953125
30.586    19.445333480835    789.474060058594
30.724    19.8189888000488    789.3603515625
30.861    19.5955791473389    789.512451171875
30.999    19.96728515625    789.17041015625
31.136    19.9514694213867    789.3603515625
31.274    19.7537479400635    789.436157226563
31.411    19.9178619384766    789.3603515625
31.549    19.4927845001221    789.3603515625
31.686    19.641056060791    789.626098632813
31.824    19.5580253601074    789.322448730469
31.961    19.4473075866699    789.322448730469
32.099    19.8150405883789    789.436157226563
32.236    19.5955791473389    789.55029296875
32.374    19.9751815795898    789.3603515625
32.511    19.9395999908447    789.474060058594
32.649    19.7893543243408    789.3603515625
32.786    19.9237842559814    789.398254394531
32.924    19.4670715332031    789.208251953125
33.061    19.641056060791    789.588195800781
33.199    19.5204696655273    789.398254394531
33.337    19.4196224212646    789.246643066406
33.474    19.8466739654541    789.474060058594
33.612    19.5659198760986    789.739807128906
33.749    19.9376258850098    789.3603515625
33.887    19.9336776733398    789.398254394531
34.024    19.7438774108887    789.588195800781
34.162    19.9059925079346    789.3603515625
34.299    19.4631252288818    789.398254394531
34.437    19.6252403259277    789.512451171875
34.574    19.4769668579102    789.474060058594
34.712    19.4235706329346    789.398254394531
34.849    19.822961807251    789.436157226563
34.987    19.7933025360107    789.436157226563
35.124    19.9573917388916    789.3603515625
35.262    19.4769668579102    789.3603515625
35.399    19.7458515167236    789.436157226563
35.537    19.5006790161133    789.588195800781
35.674    19.486837387085    789.512451171875
35.812    19.7577209472656    789.588195800781
35.949    19.6054744720459    789.398254394531
36.087    20.0107879638672    789.284545898438
36.224    19.8901767730713    789.436157226563
36.362    19.8486480712891    789.246643066406
36.499    19.969259262085    789.246643066406
36.637    19.5422077178955    789.55029296875
36.774    19.7438774108887    789.664001464844
36.912    19.48486328125    789.284545898438
37.05    19.471019744873    789.132507324219
37.187    19.7794589996338    789.474060058594
37.325    19.5955791473389    789.512451171875
37.462    20.0087890625    789.398254394531
37.6    19.8862285614014    789.398254394531
37.737    19.7873554229736    789.398254394531
37.875    19.9633388519287    789.284545898438
38.012    19.5086002349854    789.398254394531
38.15    19.7438774108887    789.436157226563
38.287    19.4888362884521    789.322448730469
38.425    19.4611511230469    789.208251953125
38.562    19.7755107879639    789.588195800781
38.7    19.5540771484375    789.512451171875
38.837    20.0008926391602    789.018798828125
38.975    19.5857105255127    789.208251953125
39.112    19.8308563232422    789.17041015625
39.25    19.4670715332031    789.17041015625
39.387    19.5086002349854    789.436157226563
39.525    19.6726894378662    789.739807128906
39.662    19.5006790161133    789.284545898438
39.8    19.9831027984619    789.436157226563
39.937    19.7675895690918    789.777709960938
40.075    19.8684368133545    789.246643066406
40.213    19.9850769042969    789.284545898438
40.35    19.5758152008057    789.3603515625
40.488    19.8308563232422    789.55029296875
40.625    19.482889175415    789.3603515625
40.763    19.482889175415    789.436157226563
40.9    19.6272125244141    789.626098632813
41.038    19.5224437713623    789.436157226563
41.175    19.979154586792    789.3603515625
41.313    19.8348045349121    789.3603515625
41.45    19.8723850250244    789.588195800781
41.588    19.9712333679199    789.056701660156
41.725    19.5362854003906    789.246643066406
41.863    19.797248840332    789.436157226563
42    19.471019744873    789.246643066406
42.138    19.457202911377    789.398254394531
42.275    19.6450042724609    789.626098632813
42.413    19.48486328125    789.436157226563
42.55    19.9732074737549    789.322448730469
42.688    19.8051700592041    789.626098632813
42.825    19.9020442962646    789.55029296875
42.963    19.96728515625    789.3603515625
43.1    19.5283660888672    789.322448730469
43.238    19.6113967895508    789.322448730469
43.375    19.4631252288818    789.3603515625
43.513    19.8980712890625    789.3603515625
43.651    19.6568737030029    789.777709960938
43.788    19.9158878326416    789.284545898438
43.926    19.981128692627    789.436157226563
44.063    19.650951385498    789.208251953125
44.201    19.8960971832275    789.436157226563
44.338    19.441385269165    789.512451171875
44.476    19.5441818237305    789.512451171875
44.613    19.6133708953857    789.626098632813
44.751    19.4670715332031    789.474060058594
44.888    19.9198360443115    789.588195800781
45.026    19.6964282989502    789.284545898438
45.163    19.9138889312744    789.208251953125
45.301    19.9712333679199    789.322448730469
45.438    19.6371078491211    789.626098632813
45.576    19.8051700592041    789.398254394531
45.713    19.433464050293    789.208251953125
45.851    19.5066261291504    789.474060058594
45.988    19.6035003662109    789.701904296875
46.126    19.471019744873    789.246643066406
46.263    19.9059925079346    789.436157226563
46.401    19.6786365509033    789.588195800781
46.538    19.8941230773926    789.3603515625
46.676    19.9554176330566    789.284545898438
46.814    19.6035003662109    789.512451171875
46.951    19.822961807251    789.3603515625
47.089    19.4275436401367    789.132507324219
47.226    19.5283660888672    789.284545898438
47.364    19.6094226837158    789.588195800781
47.501    19.9336776733398    789.398254394531
47.639    19.9573917388916    789.3603515625
47.776    19.7260875701904    789.398254394531
47.914    19.9079666137695    789.208251953125
48.051    19.4196224212646    789.398254394531
48.189    19.6450042724609    789.3603515625
48.326    19.5105743408203    789.398254394531
48.464    19.4295177459717    789.284545898438
48.601    19.8526210784912    789.474060058594
