sec"   "mA"   "mV
0.154    34.2090034484863    788.727294921875
0.253    21.3615589141846    786.942687988281
0.351    27.7464027404785    787.929748535156
0.449    17.9265651702881    787.816040039063
0.548    20.7405376434326    789.221069335938
0.646    19.5372447967529    786.942687988281
0.744    19.4597415924072    789.296875
0.843    21.6333179473877    787.094360351563
0.941    18.605712890625    789.106811523438
1.039    21.8660755157471    787.701843261719
1.138    17.7519340515137    788.955200195313
1.236    22.0407066345215    787.891845703125
1.334    20.4687786102295    788.765197753906
1.433    19.6149978637695    788.195617675781
1.531    19.2657356262207    787.853942871094
1.63    15.3065996170044    787.816040039063
1.728    20.1001396179199    787.588134765625
1.826    15.2094717025757    787.550231933594
1.925    16.490514755249    789.106811523438
2.023    15.2678480148315    788.15771484375
2.121    15.2678480148315    789.296875
2.22    18.3535785675049    788.613525390625
2.318    14.821457862854    788.955200195313
2.416    19.9642601013184    788.233520507813
2.515    15.2484722137451    788.803100585938
2.613    18.4310817718506    788.309326171875
2.711    19.4597415924072    787.284362792969
2.81    18.5669612884521    788.423522949219
2.908    19.4597415924072    787.626037597656
3.006    15.2290964126587    788.46142578125
3.105    16.9369049072266    787.588134765625
3.203    15.0932168960571    787.891845703125
3.302    15.8501176834106    788.613525390625
3.4    14.8989610671997    788.233520507813
3.498    14.3750677108765    788.955200195313
3.597    18.916223526001    787.740234375
3.695    15.6752376556396    788.87890625
3.793    18.7803440093994    788.0439453125
3.892    14.5690746307373    788.347717285156
3.99    19.1298561096191    788.841003417969
4.088    18.295202255249    786.90478515625
4.187    19.2461109161377    788.119812011719
4.285    15.6752376556396    787.588134765625
4.383    14.2975635528564    788.46142578125
4.482    17.5773029327393    786.942687988281
4.58    13.5016632080078    788.385620117188
4.678    13.4435358047485    789.031005859375
4.777    12.4148759841919    788.385620117188
4.875    13.1330242156982    788.993103027344
4.973    19.5762462615967    788.46142578125
5.072    14.0064287185669    788.309326171875
5.17    18.2176990509033    788.689392089844
5.269    14.35569190979    788.005554199219
5.367    20.0030117034912    787.929748535156
5.465    16.8591537475586    787.398071289063
5.564    19.4209899902344    788.689392089844
5.662    16.801025390625    787.398071289063
5.76    13.307656288147    788.613525390625
5.859    16.801025390625    786.752685546875
5.957    13.1717767715454    788.803100585938
6.055    15.7336139678955    787.929748535156
6.154    13.3854074478149    788.955200195313
6.252    15.3453512191772    788.15771484375
6.35    13.8121738433838    788.87890625
6.449    12.8418893814087    788.651489257813
6.547    19.1879825592041    788.385620117188
6.645    15.2484722137451    788.233520507813
6.744    19.5372447967529    788.15771484375
6.842    15.2290964126587    787.474365234375
6.94    19.226734161377    788.803100585938
7.039    15.4812307357788    787.246459960938
7.137    14.1423082351685    788.803100585938
7.235    14.9185857772827    787.663940429688
7.334    12.919641494751    788.955200195313
7.432    13.8899259567261    788.575134277344
7.531    12.919641494751    788.955200195313
7.629    13.3270320892334    788.309326171875
7.727    13.8121738433838    789.106811523438
7.826    14.666202545166    788.233520507813
7.924    19.0714797973633    788.689392089844
8.022    16.1410045623779    787.322265625
8.121    19.4013652801514    788.689392089844
8.219    14.1033086776733    787.398071289063
8.317    19.2461109161377    788.87890625
8.416    15.13196849823    787.094360351563
8.514    13.2882804870605    789.258972167969
8.612    12.9002656936646    787.740234375
8.711    12.9002656936646    789.562683105469
8.809    13.6959180831909    787.891845703125
8.907    13.1136484146118    789.6005859375
9.006    16.0441246032715    788.15771484375
9.104    13.074896812439    789.372680664063
9.202    13.3660316467285    788.309326171875
9.301    19.1104793548584    788.803100585938
9.399    13.7540464401245    788.309326171875
9.498    18.7999687194824    789.106811523438
9.596    15.0542163848877    787.246459960938
9.694    19.479118347168    788.613525390625
9.793    14.9960889816284    787.170654296875
9.891    13.4047832489014    789.372680664063
9.989    14.2779397964478    787.094360351563
10.088    12.8612661361694    789.448486328125
10.186    14.8989610671997    787.816040039063
10.284    13.1136484146118    789.372680664063
10.383    14.666202545166    788.0439453125
10.481    13.2689037322998    789.524780273438
10.579    14.6080751419067    787.436462402344
10.678    18.7999687194824    788.651489257813
10.776    15.3453512191772    787.816040039063
10.874    19.0908546447754    788.46142578125
10.973    14.2975635528564    786.828979492188
11.071    19.2461109161377    788.537231445313
11.169    14.510947227478    786.866882324219
11.268    13.0942726135254    789.448486328125
