sec"   "mA"   "mV
0.154    1.12023520469666    789.410583496094
0.252    0.149703025817871    789.221069335938
0.351    -0.490694224834442    789.676391601563
0.449    -0.471318364143372    789.752258300781
0.547    -0.917460143566132    789.676391601563
0.646    -0.898084282875061    789.752258300781
0.744    -1.15046739578247    789.828552246094
0.842    -1.22797083854675    789.942260742188
0.941    -1.11171567440033    789.790161132813
1.039    -1.13109147548676    789.524780273438
1.137    -1.03396379947662    789.790161132813
1.236    -1.26697099208832    790.170166015625
1.334    -1.44160223007202    789.6005859375
1.432    -1.5191056728363    789.562683105469
1.531    -1.44160223007202    789.752258300781
1.629    -1.65498518943787    789.410583496094
1.727    -1.55810582637787    789.752258300781
1.826    -1.38322615623474    789.904357910156
1.924    -1.44160223007202    789.904357910156
2.023    -1.40285050868988    789.448486328125
2.121    -1.55810582637787    789.6005859375
2.219    -1.53848147392273    789.904357910156
2.317    -1.59685754776001    789.790161132813
2.416    -1.57748162746429    789.828552246094
2.514    -1.44160223007202    789.638488769531
2.612    -1.46097803115845    789.752258300781
2.711    -1.44160223007202    789.6005859375
2.809    -1.55810582637787    789.221069335938
2.907    -1.38322615623474    789.448486328125
3.006    -1.42222630977631    789.980163574219
3.104    -1.63560926914215    789.942260742188
3.202    -1.46097803115845    789.676391601563
3.301    -1.49972975254059    789.790161132813
3.399    -1.46097803115845    789.524780273438
3.497    -1.49972975254059    789.714294433594
3.596    -1.55810582637787    789.942260742188
3.694    -1.3444744348526    789.904357910156
3.792    -1.2475950717926    790.01806640625
3.891    -1.40285050868988    789.752258300781
3.989    -1.32509851455688    789.524780273438
4.087    -1.40285050868988    789.752258300781
4.186    -1.40285050868988    790.132263183594
4.284    -1.67436099052429    789.752258300781
4.382    -1.38322615623474    789.676391601563
4.481    -1.61623334884644    789.6005859375
4.579    -1.26697099208832    789.6005859375
4.677    -1.38322615623474    789.752258300781
4.775    -1.53848147392273    789.904357910156
4.874    -1.44160223007202    789.486389160156
4.972    -1.53848147392273    790.01806640625
5.07    -1.13109147548676    789.752258300781
5.169    -1.36385035514832    789.676391601563
5.267    -1.13109147548676    789.942260742188
5.365    -1.69373691082001    789.676391601563
5.464    -1.46097803115845    789.752258300781
5.562    -1.67436099052429    789.676391601563
5.66    -1.53848147392273    789.410583496094
5.759    -1.38322615623474    789.904357910156
5.857    -1.42222630977631    789.486389160156
5.955    -1.40285050868988    789.942260742188
6.054    -1.2475950717926    790.055969238281
6.152    -1.1698431968689    789.904357910156
6.25    -1.44160223007202    790.01806640625
6.349    -1.38322615623474    789.828552246094
6.447    -1.49972975254059    789.828552246094
6.545    -1.46097803115845    789.562683105469
6.644    -1.49972975254059    789.866455078125
6.742    -1.40285050868988    789.752258300781
6.84    -1.53848147392273    789.524780273438
6.938    -1.5191056728363    789.714294433594
7.037    -1.5191056728363    789.752258300781
7.135    -1.53848147392273    789.828552246094
7.233    -1.49972975254059    789.524780273438
7.332    -1.38322615623474    789.562683105469
7.43    -1.44160223007202    789.828552246094
7.528    -1.28634679317474    789.6005859375
7.627    -1.65498518943787    789.904357910156
7.725    -1.3444744348526    789.524780273438
7.823    -1.36385035514832    789.372680664063
7.922    -1.28634679317474    789.942260742188
8.02    -1.26697099208832    789.524780273438
8.118    -1.57748162746429    789.448486328125
8.217    -1.79086458683014    789.790161132813
8.315    -1.36385035514832    789.562683105469
8.413    -1.11171567440033    789.866455078125
8.512    -1.59685754776001    789.752258300781
8.61    -1.55810582637787    789.714294433594
8.708    -1.32509851455688    789.562683105469
8.807    -1.44160223007202    789.752258300781
8.905    -1.49972975254059    789.6005859375
9.003    -1.61623334884644    789.790161132813
9.101    -1.44160223007202    789.676391601563
9.2    -1.32509851455688    789.562683105469
9.298    -1.46097803115845    789.524780273438
9.396    -1.38322615623474    789.828552246094
9.495    -1.49972975254059    790.01806640625
9.593    -1.53848147392273    789.866455078125
9.691    -1.65498518943787    789.524780273438
9.79    -1.40285050868988    789.828552246094
9.888    -1.40285050868988    789.638488769531
9.986    -1.48035395145416    789.676391601563
10.085    -1.11171567440033    789.790161132813
10.183    -1.49972975254059    789.752258300781
10.281    -1.82961630821228    789.562683105469
10.38    -1.42222630977631    789.828552246094
10.478    -1.48035395145416    789.524780273438
10.576    -1.22797083854675    789.6005859375
10.675    -1.57748162746429    789.828552246094
10.773    -1.46097803115845    789.828552246094
10.871    -1.3444744348526    789.676391601563
10.97    -1.46097803115845    789.448486328125
11.068    -1.5191056728363    790.208068847656
11.166    -1.2475950717926    789.904357910156
11.264    -1.67436099052429    789.562683105469
11.363    -1.28634679317474    789.524780273438
11.461    -1.53848147392273    790.055969238281
11.559    -1.3444744348526    789.866455078125
11.658    -1.5191056728363    789.524780273438
11.756    -1.49972975254059    789.676391601563
11.854    -1.36385035514832    789.676391601563
11.953    -1.53848147392273    789.448486328125
12.051    -1.49972975254059    789.448486328125
12.149    -1.53848147392273    789.258972167969
12.248    -1.38322615623474    789.904357910156
12.346    -1.36385035514832    789.828552246094
12.444    -1.36385035514832    789.448486328125
12.543    -1.40285050868988    789.676391601563
12.641    -1.32509851455688    789.866455078125
12.739    -1.69373691082001    789.828552246094
12.838    -1.55810582637787    789.676391601563
12.936    -1.61623334884644    789.752258300781
13.034    -1.3444744348526    789.372680664063
13.133    -1.49972975254059    789.828552246094
13.231    -1.40285050868988    789.904357910156
13.329    -1.2475950717926    789.562683105469
13.427    -1.59685754776001    789.752258300781
13.526    -1.69373691082001    789.638488769531
13.624    -1.30572271347046    790.093872070313
13.722    -1.40285050868988    789.6005859375
13.821    -1.71336114406586    789.6005859375
13.919    -1.38322615623474    789.980163574219
14.017    -1.46097803115845    789.372680664063
14.116    -1.49972975254059    789.714294433594
14.214    -1.49972975254059    789.828552246094
14.312    -1.49972975254059    789.790161132813
14.411    -1.71336114406586    789.638488769531
14.509    -1.38322615623474    789.638488769531
14.607    -1.53848147392273    789.828552246094
14.706    -1.32509851455688    789.334777832031
14.804    -1.53848147392273    789.752258300781
14.902    -1.44160223007202    789.410583496094
15.001    -1.22797083854675    789.828552246094
15.099    -1.44160223007202    789.638488769531
15.197    -1.28634679317474    789.6005859375
15.296    -1.53848147392273    789.714294433594
15.394    -1.71336114406586    789.676391601563
15.492    -1.46097803115845    789.524780273438
15.591    -1.38322615623474    789.448486328125
15.689    -1.82961630821228    789.752258300781
15.787    -1.44160223007202    789.524780273438
15.885    -1.65498518943787    789.828552246094
15.984    -1.71336114406586    789.752258300781
16.082    -1.63560926914215    789.410583496094
16.18    -1.55810582637787    789.676391601563
16.279    -1.44160223007202    789.562683105469
16.377    -1.48035395145416    789.866455078125
16.475    -1.71336114406586    789.334777832031
16.574    -1.49972975254059    789.904357910156
16.672    -1.30572271347046    789.828552246094
16.77    -1.40285050868988    789.676391601563
16.869    -1.53848147392273    789.638488769531
16.967    -1.53848147392273    789.904357910156
17.065    -1.59685754776001    789.410583496094
17.164    -1.38322615623474    789.828552246094
17.262    -1.77148878574371    789.221069335938
17.36    -1.61623334884644    789.448486328125
17.459    -1.848992228508    789.372680664063
17.557    -1.65498518943787    790.01806640625
17.655    -1.71336114406586    789.524780273438
17.753    -1.3444744348526    789.448486328125
17.852    -1.28634679317474    789.524780273438
17.95    -1.59685754776001    789.828552246094
18.048    -1.53848147392273    789.258972167969
18.147    -1.13109147548676    789.524780273438
18.245    -1.42222630977631    790.245971679688
18.343    -1.40285050868988    789.6005859375
18.442    -1.53848147392273    790.01806640625
18.54    -1.55810582637787    789.6005859375
18.638    -1.38322615623474    790.093872070313
18.737    -1.2475950717926    789.258972167969
18.835    -1.42222630977631    789.752258300781
18.933    -1.36385035514832    789.6005859375
19.032    -1.88799238204956    789.752258300781
19.13    -1.36385035514832    790.01806640625
19.228    -1.38322615623474    789.486389160156
19.326    -1.61623334884644    789.448486328125
19.425    -1.61623334884644    789.562683105469
19.523    -1.5191056728363    789.562683105469
19.621    -1.61623334884644    789.524780273438
19.72    -1.55810582637787    789.486389160156
19.818    -1.30572271347046    789.714294433594
19.916    -1.752112865448    789.524780273438
20.015    -1.28634679317474    789.942260742188
20.113    -1.40285050868988    789.524780273438
20.211    -1.05333960056305    789.6005859375
20.31    -1.53848147392273    789.676391601563
20.408    -1.53848147392273    789.562683105469
20.506    -1.65498518943787    789.448486328125
20.605    -1.53848147392273    789.524780273438
20.703    -1.49972975254059    789.524780273438
20.801    -1.53848147392273    789.296875
20.9    -1.59685754776001    789.676391601563
20.998    -1.57748162746429    789.904357910156
21.096    -1.59685754776001    789.866455078125
21.195    -1.2475950717926    789.942260742188
21.293    -1.2475950717926    789.448486328125
21.391    -1.20859491825104    789.524780273438
21.489    -1.59685754776001    789.790161132813
21.588    -1.44160223007202    789.828552246094
21.686    -1.48035395145416    789.6005859375
21.784    -1.55810582637787    789.6005859375
21.883    -1.48035395145416    789.942260742188
21.981    -1.55810582637787    789.448486328125
22.079    -1.69373691082001    789.828552246094
22.178    -1.15046739578247    789.676391601563
22.276    -1.44160223007202    789.6005859375
22.374    -1.40285050868988    790.170166015625
22.473    -1.55810582637787    789.562683105469
22.571    -1.38322615623474    789.904357910156
22.669    -1.59685754776001    789.524780273438
22.768    -1.59685754776001    789.068908691406
22.866    -1.55810582637787    789.372680664063
22.964    -1.59685754776001    789.562683105469
23.063    -1.48035395145416    789.486389160156
23.161    -1.44160223007202    789.638488769531
23.259    -1.40285050868988    789.828552246094
23.357    -1.48035395145416    789.752258300781
23.456    -1.81024050712585    789.334777832031
23.554    -1.55810582637787    789.296875
23.652    -1.2475950717926    789.714294433594
23.751    -1.67436099052429    789.334777832031
23.849    -1.44160223007202    789.942260742188
23.947    -1.55810582637787    789.942260742188
24.046    -1.26697099208832    789.524780273438
24.144    -1.49972975254059    789.524780273438
24.242    -1.36385035514832    789.752258300781
24.341    -1.67436099052429    789.334777832031
24.439    -1.55810582637787    789.904357910156
24.537    -1.32509851455688    789.6005859375
24.636    -1.44160223007202    789.524780273438
24.734    -1.49972975254059    789.334777832031
24.832    -1.53848147392273    789.524780273438
24.931    -1.49972975254059    789.638488769531
25.029    -1.53848147392273    789.524780273438
25.127    -1.65498518943787    789.752258300781
25.226    -1.49972975254059    789.752258300781
25.324    -1.53848147392273    790.245971679688
25.422    -1.49972975254059    789.714294433594
25.521    -1.49972975254059    789.942260742188
25.619    -1.57748162746429    789.980163574219
25.717    -1.20859491825104    789.942260742188
25.816    -1.32509851455688    789.980163574219
25.914    -1.48035395145416    789.410583496094
26.012    -1.55810582637787    789.676391601563
26.11    -1.32509851455688    789.714294433594
26.209    -1.53848147392273    789.524780273438
26.307    -1.40285050868988    789.676391601563
26.405    -1.32509851455688    789.828552246094
26.504    -1.42222630977631    789.410583496094
26.602    -1.57748162746429    789.6005859375
26.7    -1.30572271347046    789.334777832031
26.799    -1.57748162746429    789.6005859375
26.897    -1.49972975254059    790.132263183594
26.995    -1.71336114406586    789.448486328125
27.094    -1.36385035514832    789.828552246094
27.192    -1.40285050868988    789.676391601563
27.29    -1.67436099052429    789.524780273438
27.389    -1.67436099052429    789.410583496094
27.487    -1.53848147392273    789.524780273438
27.585    -1.61623334884644    789.638488769531
27.683    -1.55810582637787    789.904357910156
27.782    -1.44160223007202    789.638488769531
27.88    -1.48035395145416    789.6005859375
27.978    -1.40285050868988    789.106811523438
28.077    -1.22797083854675    789.828552246094
28.175    -1.69373691082001    789.448486328125
28.273    -1.69373691082001    789.448486328125
28.372    -1.49972975254059    789.676391601563
28.47    -1.30572271347046    789.638488769531
28.568    -1.49972975254059    789.524780273438
28.667    -1.67436099052429    789.676391601563
28.765    -1.55810582637787    789.714294433594
28.863    -1.71336114406586    789.486389160156
28.962    -1.46097803115845    789.790161132813
29.06    -1.5191056728363    789.638488769531
29.158    -1.5191056728363    789.448486328125
29.257    -1.49972975254059    789.334777832031
29.355    -1.61623334884644    789.676391601563
29.453    -1.53848147392273    789.980163574219
29.551    -1.26697099208832    789.942260742188
29.65    -1.49972975254059    789.372680664063
29.748    -1.44160223007202    789.828552246094
29.846    -1.53848147392273    789.942260742188
29.945    -1.46097803115845    789.6005859375
30.043    -1.752112865448    789.486389160156
30.141    -1.2475950717926    789.752258300781
30.24    -1.53848147392273    789.676391601563
30.338    -1.5191056728363    789.410583496094
30.436    -1.65498518943787    789.828552246094
30.535    -1.46097803115845    789.904357910156
30.633    -1.28634679317474    789.828552246094
30.731    -1.42222630977631    789.524780273438
30.83    -1.5191056728363    789.372680664063
30.928    -1.5191056728363    789.6005859375
31.026    -1.49972975254059    789.6005859375
31.125    -1.49972975254059    789.6005859375
31.223    -1.40285050868988    789.486389160156
31.321    -1.55810582637787    789.752258300781
31.419    -1.42222630977631    789.486389160156
31.518    -1.3444744348526    789.410583496094
31.616    -1.46097803115845    789.828552246094
31.714    -1.26697099208832    789.410583496094
31.813    -1.49972975254059    789.904357910156
31.911    -1.48035395145416    789.828552246094
32.009    -1.67436099052429    790.055969238281
32.108    -1.53848147392273    789.752258300781
32.206    -1.61623334884644    789.448486328125
32.304    -1.32509851455688    789.410583496094
32.403    -1.59685754776001    789.866455078125
32.501    -1.77148878574371    789.410583496094
32.599    -1.63560926914215    789.676391601563
32.697    -1.5191056728363    789.6005859375
32.796    -1.59685754776001    789.448486328125
32.894    -1.61623334884644    789.6005859375
32.992    -1.59685754776001    789.6005859375
33.091    -1.46097803115845    789.752258300781
33.189    -1.46097803115845    789.182678222656
33.287    -1.49972975254059    789.752258300781
33.386    -1.63560926914215    789.372680664063
33.484    -1.79086458683014    789.410583496094
33.582    -1.32509851455688    789.562683105469
33.681    -1.49972975254059    789.942260742188
33.779    -1.53848147392273    789.790161132813
33.877    -1.46097803115845    789.752258300781
33.976    -1.42222630977631    789.714294433594
34.074    -1.67436099052429    789.638488769531
34.172    -1.22797083854675    789.904357910156
34.271    -1.59685754776001    789.562683105469
34.369    -1.49972975254059    789.828552246094
34.467    -1.63560926914215    789.562683105469
34.565    -1.53848147392273    789.904357910156
34.664    -1.49972975254059    789.448486328125
34.762    -1.49972975254059    789.524780273438
34.86    -1.36385035514832    789.334777832031
34.959    -1.5191056728363    789.562683105469
35.057    -1.49972975254059    789.714294433594
35.155    -1.46097803115845    789.904357910156
35.254    -1.28634679317474    789.334777832031
35.352    -1.49972975254059    789.448486328125
35.45    -1.44160223007202    789.6005859375
35.549    -1.48035395145416    789.676391601563
35.647    -1.3444744348526    789.752258300781
35.745    -1.38322615623474    789.258972167969
35.844    -1.46097803115845    789.410583496094
35.942    -1.63560926914215    789.6005859375
36.04    -1.3444744348526    789.942260742188
36.139    -1.67436099052429    789.866455078125
36.237    -1.81024050712585    789.372680664063
36.335    -1.44160223007202    789.6005859375
36.433    -1.38322615623474    789.486389160156
36.532    -1.73273706436157    789.182678222656
36.63    -1.55810582637787    789.752258300781
