sec"   "mA"   "mV
0.156    -8.48622035980225    -23.56321144104
0.254    -7.80707168579102    -22.8415145874023
0.351    -7.61306428909302    -22.1203022003174
0.449    -7.41880893707275    -20.9053230285645
0.547    -7.26355361938477    -20.4115562438965
0.644    -7.22480201721191    -18.9686470031738
0.742    -7.41880893707275    -18.4753646850586
0.84    -7.14729833602905    -17.5641307830811
0.937    -7.36068105697632    -16.9945487976074
1.035    -7.30255365371704    -15.8932905197144
1.133    -7.01141881942749    -15.1341714859009
1.23    -7.22480201721191    -14.4887742996216
1.328    -7.14729833602905    -13.6154470443726
1.426    -7.3800573348999    -13.0079574584961
1.523    -7.10829830169678    -11.6787700653076
1.621    -6.72028398513794    -10.5779991149902
1.719    -7.14729833602905    -10.2742538452148
1.816    -7.08892250061035    -9.28671932220459
1.914    -7.24417781829834    -8.3375768661499
2.012    -7.1276741027832    -7.76799488067627
2.109    -7.30255365371704    -6.81885290145874
2.207    -7.1860499382019    -5.71808195114136
2.305    -6.97241878509521    -5.03429126739502
2.402    -7.01141881942749    -4.23726511001587
2.5    -6.97241878509521    -3.43975257873535
2.598    -6.99204301834106    -2.56642556190491
2.695    -7.16667413711548    -1.54146897792816
2.793    -7.05017042160034    -0.630234479904175
2.891    -6.95304298400879    -0.516512393951416
2.988    -7.14729833602905    0.850582361221313
3.089    -6.83678770065308    1.98974692821503
3.189    -6.89491510391235    2.29349184036255
3.289    -6.89491510391235    3.43217039108276
3.389    -7.08892250061035    4.3817982673645
3.49    -7.14729833602905    5.06510257720947
3.59    -7.06954622268677    6.05215167999268
3.69    -6.95304298400879    6.73545598983765
3.79    -7.1860499382019    7.72299146652222
3.891    -6.99204301834106    8.48211002349854
3.991    -7.03079462051392    9.31753063201904
4.091    -7.1860499382019    10.2666721343994
4.191    -6.89491510391235    11.2537212371826
4.292    -7.08892250061035    11.9370260238647
4.392    -7.05017042160034    12.8482599258423
4.492    -6.99204301834106    13.7215871810913
4.592    -6.99204301834106    14.3290767669678
4.693    -6.97241878509521    15.0507745742798
4.793    -6.99204301834106    16.1136379241943
4.893    -7.03079462051392    16.7590351104736
4.993    -7.01141881942749    17.8223857879639
5.094    -7.01141881942749    18.3919677734375
5.194    -7.1276741027832    19.6448535919189
5.294    -7.14729833602905    20.5560894012451
5.394    -6.97241878509521    21.4294166564941
5.495    -6.83678770065308    22.1885356903076
5.595    -7.01141881942749    22.8718395233154
5.695    -6.97241878509521    23.6693515777588
5.795    -6.95304298400879    24.5047721862793
5.896    -7.10829830169678    25.9092884063721
5.996    -6.95304298400879    26.5551700592041
6.096    -7.16667413711548    27.124267578125
6.196    -6.87553930282593    28.4155464172363
6.297    -7.10829830169678    29.1746654510498
6.397    -6.95304298400879    29.8200626373291
6.497    -6.89491510391235    30.6933898925781
6.597    -6.95304298400879    31.8704643249512
6.698    -6.99204301834106    32.4021377563477
6.798    -7.20542573928833    33.4270973205566
6.898    -6.93366718292236    34.3383293151855
6.998    -6.95304298400879    35.2874717712402
7.099    -6.95304298400879    35.971263885498
7.199    -7.10829830169678    36.882495880127
7.299    -7.08892250061035    37.4899864196777
7.399    -7.08892250061035    38.552848815918
7.5    -7.06954622268677    39.2740631103516
7.6    -7.01141881942749    40.0336685180664
7.7    -6.95304298400879    41.5902976989746
7.8    -6.99204301834106    42.0461578369141
7.9    -6.87553930282593    42.8431854248047
8.001    -6.99204301834106    43.5264892578125
8.101    -6.8561635017395    44.3998184204102
8.201    -6.91429090499878    45.2731437683105
8.301    -7.26355361938477    46.1843795776367
8.402    -7.06954622268677    47.0577049255371
8.502    -7.10829830169678    47.893123626709
8.602    -6.99204301834106    49.1081047058105
8.702    -6.93366718292236    49.7535018920898
8.803    -7.06954622268677    50.4368057250977
8.903    -6.72028398513794    51.0442962646484
9.003    -7.05017042160034    52.2592735290527
9.103    -7.08892250061035    52.7909507751465
9.204    -7.03079462051392    53.8922080993652
9.304    -6.87553930282593    54.9550704956055
9.404    -7.05017042160034    55.7146759033203
9.504    -6.83678770065308    56.3600730895996
9.605    -6.89491510391235    57.3850288391113
9.705    -6.87553930282593    58.0304260253906
9.805    -7.05017042160034    58.9416618347168
9.905    -6.89491510391235    59.8149871826172
10.006    -6.83678770065308    60.8783378601074
10.106    -7.01141881942749    62.2828559875488
10.206    -6.75903558731079    62.8524360656738
10.306    -7.14729833602905    63.3841133117676
10.407    -7.01141881942749    64.0674133300781
10.507    -7.06954622268677    64.9407424926758
10.607    -6.91429090499878    66.0036087036133
10.707    -7.01141881942749    66.5731887817383
10.807    -7.1276741027832    67.5986328125
10.908    -7.16667413711548    68.9273300170898
11.008    -7.14729833602905    69.3831939697266
11.108    -7.06954622268677    70.5597763061523
11.208    -7.06954622268677    70.9777297973633
11.309    -6.97241878509521    72.1168975830078
11.409    -7.05017042160034    72.4964599609375
11.509    -7.10829830169678    73.7493438720703
11.609    -7.16667413711548    74.6605758666992
11.71    -6.8561635017395    75.4959945678711
11.81    -7.01141881942749    76.2172088623047
11.91    -6.97241878509521    76.9768142700195
12.01    -6.83678770065308    78.2676086425781
12.111    -6.7977876663208    78.5713500976563
12.211    -6.66190814971924    79.7105178833008
12.311    -7.01141881942749    80.5075454711914
12.411    -6.95304298400879    81.1150360107422
12.512    -7.06954622268677    82.0641784667969
12.612    -6.75903558731079    83.2033386230469
12.712    -6.68153238296509    83.6212921142578
12.812    -6.91429090499878    84.9120864868164
12.913    -7.06954622268677    85.4816665649414
13.013    -6.87553930282593    86.4308090209961
13.113    -7.28292942047119    87.6078872680664
13.213    -7.05017042160034    88.3290939331055
13.314    -6.89491510391235    88.974494934082
13.414    -7.16667413711548    89.8857269287109
13.514    -7.05017042160034    90.7590560913086
13.614    -6.83678770065308    91.8224029541016
13.714    -7.03079462051392    92.5436172485352
13.815    -6.99204301834106    93.6827774047852
13.915    -6.95304298400879    93.948616027832
14.015    -7.10829830169678    94.8977584838867
14.115    -6.83678770065308    96.1127395629883
14.216    -6.75903558731079    97.213508605957
14.316    -6.7977876663208    97.707275390625
14.416    -6.95304298400879    98.4664001464844
14.516    -6.93366718292236    99.3776321411133
14.617    -7.08892250061035    100.631004333496
14.717    -7.06954622268677    101.086380004883
14.817    -7.28292942047119    102.111335754395
14.917    -7.22480201721191    102.908843994141
15.018    -7.01141881942749    103.820083618164
15.118    -7.01141881942749    104.351753234863
15.218    -6.97241878509521    105.680458068848
15.318    -6.91429090499878    106.440063476563
15.419    -6.99204301834106    107.274993896484
15.519    -6.93366718292236    107.844581604004
15.619    -6.75903558731079    109.173767089844
15.719    -6.8561635017395    109.743347167969
15.82    -7.01141881942749    110.540374755859
15.92    -6.93366718292236    111.337890625
16.02    -6.73965978622437    112.780799865723
16.12    -7.01141881942749    112.818702697754
16.221    -6.95304298400879    114.18531036377
16.321    -6.75903558731079    115.134452819824
16.421    -7.05017042160034    115.552406311035
16.521    -6.70090818405151    116.615272521973
16.622    -6.56502866744995    117.222763061523
16.722    -6.89491510391235    118.324020385742
16.822    -7.20542573928833    118.931510925293
16.922    -6.97241878509521    120.070671081543
17.022    -6.87553930282593    121.019813537598
17.123    -6.89491510391235    121.361465454102
17.223    -6.91429090499878    122.234794616699
17.323    -6.99204301834106    123.449775695801
17.423    -6.6037802696228    124.323097229004
17.524    -7.03079462051392    124.96849822998
17.624    -6.89491510391235    125.917640686035
17.724    -6.99204301834106    126.828872680664
17.824    -7.05017042160034    127.43635559082
17.925    -6.95304298400879    128.57551574707
18.025    -6.89491510391235    129.486755371094
18.125    -6.99204301834106    130.170059204102
18.225    -6.83678770065308    131.385040283203
18.326    -6.83678770065308    132.220458984375
18.426    -6.95304298400879    132.827941894531
18.526    -6.87553930282593    133.587066650391
18.626    -6.68153238296509    134.30827331543
18.727    -7.01141881942749    135.447448730469
18.827    -6.75903558731079    136.169143676758
18.927    -6.87553930282593    137.00407409668
19.027    -7.1860499382019    138.105331420898
19.127    -6.97241878509521    138.94075012207
19.228    -6.83678770065308    139.586151123047
19.328    -6.87553930282593    140.611099243164
19.428    -7.05017042160034    141.63655090332
19.528    -7.01141881942749    142.244033813477
19.629    -6.89491510391235    143.116882324219
19.729    -6.95304298400879    144.028106689453
19.829    -6.95304298400879    145.167282104492
19.929    -6.95304298400879    145.585235595703
20.03    -6.75903558731079    146.800216674805
20.13    -6.87553930282593    147.331405639648
20.23    -6.95304298400879    148.015182495117
20.33    -6.87553930282593    148.926422119141
20.43    -6.95304298400879    149.913467407227
20.531    -7.01141881942749    150.634689331055
20.631    -6.93366718292236    151.811752319336
20.731    -7.06954622268677    152.381332397461
20.831    -6.87553930282593    152.875106811523
20.932    -7.01141881942749    154.127990722656
21.032    -6.95304298400879    155.115036010742
21.132    -6.93366718292236    155.83625793457
21.232    -6.81716346740723    156.97541809082
21.333    -6.77841138839722    157.848739624023
21.433    -7.08892250061035    158.646255493164
21.533    -7.05017042160034    159.177444458008
21.633    -6.87553930282593    160.01286315918
21.734    -6.8561635017395    161.076217651367
21.834    -6.58440446853638    161.56950378418
21.934    -7.26355361938477    162.632843017578
22.034    -6.87553930282593    163.771530151367
22.134    -6.66190814971924    164.569046020508
22.235    -6.8561635017395    165.670303344727
22.335    -6.91429090499878    166.239883422852
22.435    -6.58440446853638    167.151107788086
22.535    -6.7977876663208    168.138168334961
22.636    -6.75903558731079    169.315231323242
22.736    -6.77841138839722    169.922729492188
22.836    -7.20542573928833    170.758148193359
22.936    -6.68153238296509    171.630981445313
23.037    -6.8561635017395    172.011032104492
23.137    -6.95304298400879    173.035980224609
23.237    -6.95304298400879    173.985122680664
23.337    -7.10829830169678    174.820556640625
23.438    -7.16667413711548    175.428039550781
23.538    -6.87553930282593    176.567199707031
23.638    -6.8561635017395    177.136779785156
23.738    -6.77841138839722    178.085922241211
23.838    -6.87553930282593    179.263000488281
23.939    -6.75903558731079    180.135833740234
24.039    -7.01141881942749    180.705429077148
24.139    -6.95304298400879    181.465026855469
24.239    -6.7977876663208    182.604187011719
24.34    -7.05017042160034    183.287490844727
24.44    -6.99204301834106    184.084518432617
24.54    -7.05017042160034    185.185775756836
24.64    -7.08892250061035    185.831176757813
24.741    -6.87553930282593    186.89453125
24.841    -6.89491510391235    187.995300292969
24.941    -6.89491510391235    188.451156616211
25.041    -6.89491510391235    189.172378540039
25.142    -6.99204301834106    190.159423828125
25.242    -6.7977876663208    191.260681152344
25.342    -6.77841138839722    192.399841308594
25.442    -6.91429090499878    192.703582763672
25.542    -7.06954622268677    193.500610351563
25.643    -6.83678770065308    194.260223388672
25.743    -6.95304298400879    195.475204467773
25.843    -6.75903558731079    196.310623168945
25.943    -6.99204301834106    197.259765625
26.044    -7.10829830169678    197.943069458008
26.144    -6.99204301834106    198.588455200195
26.244    -7.05017042160034    199.727630615234
26.344    -7.01141881942749    200.904693603516
26.445    -6.99204301834106    201.625915527344
26.545    -7.1276741027832    202.157577514648
26.645    -6.87553930282593    203.106719970703
26.745    -6.89491510391235    204.093780517578
26.845    -6.77841138839722    204.815475463867
26.946    -6.91429090499878    205.840423583984
27.046    -6.89491510391235    206.751663208008
27.146    -6.89491510391235    207.397064208984
27.246    -6.73965978622437    208.194580078125
27.347    -6.73965978622437    208.953689575195
27.447    -7.05017042160034    209.90283203125
27.547    -6.7977876663208    210.890365600586
27.647    -7.05017042160034    211.535766601563
27.748    -6.7977876663208    212.636535644531
27.848    -6.83678770065308    213.396148681641
27.948    -6.97241878509521    214.307373046875
28.048    -6.83678770065308    214.990676879883
28.149    -6.91429090499878    215.977737426758
28.249    -7.10829830169678    216.888961791992
28.349    -6.77841138839722    217.154800415039
28.449    -6.73965978622437    218.256057739258
28.55    -6.91429090499878    219.015182495117
28.65    -6.87553930282593    220.078521728516
28.75    -7.03079462051392    220.989761352539
28.85    -6.83678770065308    221.78727722168
28.951    -6.93366718292236    222.58430480957
29.051    -6.99204301834106    223.229705810547
29.151    -7.01141881942749    224.406768798828
29.251    -7.03079462051392    225.052169799805
29.351    -6.99204301834106    226.381362915039
29.452    -6.95304298400879    227.102569580078
29.552    -6.81716346740723    227.596328735352
29.652    -6.93366718292236    228.583389282227
29.752    -6.72028398513794    229.342498779297
29.853    -6.73965978622437    230.367950439453
29.953    -6.83678770065308    231.582931518555
30.053    -6.91429090499878    232.038299560547
30.153    -6.83678770065308    232.722091674805
30.254    -6.93366718292236    233.784957885742
30.354    -6.62315607070923    234.924118041992
30.454    -6.72028398513794    235.607421875
30.554    -6.83678770065308    236.404937744141
30.654    -6.83678770065308    237.429885864258
30.755    -7.06954622268677    238.227401733398
30.855    -6.77841138839722    239.214447021484
30.955    -6.97241878509521    240.011962890625
31.055    -6.89491510391235    240.771087646484
31.156    -6.73965978622437    241.378570556641
31.256    -7.01141881942749    242.555648803711
31.356    -6.77841138839722    243.201049804688
31.456    -6.99204301834106    244.225997924805
31.557    -6.97241878509521    244.79557800293
31.657    -6.97241878509521    245.858932495117
31.757    -6.87553930282593    246.694351196289
31.857    -6.93366718292236    247.605590820313
31.958    -7.08892250061035    248.060958862305
32.058    -6.95304298400879    249.238037109375
32.158    -6.87553930282593    250.300903320313
32.258    -6.75903558731079    250.908386230469
32.359    -6.72028398513794    251.819625854492
32.459    -6.89491510391235    252.807159423828
32.559    -6.81716346740723    253.452560424805
32.659    -6.95304298400879    254.553329467773
32.759    -6.89491510391235    255.122909545898
32.86    -6.83678770065308    256.262084960938
32.96    -6.83678770065308    256.907470703125
33.06    -6.83678770065308    257.629180908203
33.16    -6.89491510391235    258.426177978516
33.261    -7.06954622268677    259.489532470703
33.361    -7.1276741027832    260.362854003906
33.461    -6.70090818405151    261.197814941406
33.561    -6.73965978622437    262.109039306641
33.662    -6.89491510391235    262.982360839844
33.762    -6.70090818405151    263.704071044922
33.862    -6.7977876663208    264.72900390625
33.962    -6.68153238296509    265.640258789063
34.062    -6.83678770065308    266.247741699219
34.163    -6.81716346740723    267.272705078125
34.263    -7.01141881942749    268.260223388672
34.363    -6.73965978622437    268.943542480469
34.463    -6.95304298400879    269.778961181641
34.564    -6.66190814971924    270.728088378906
34.664    -6.8561635017395    271.601440429688
34.764    -6.7977876663208    272.246826171875
34.864    -6.91429090499878    273.271789550781
34.965    -6.72028398513794    274.220916748047
35.065    -6.95304298400879    275.09423828125
35.165    -6.81716346740723    275.777557373047
35.265    -6.89491510391235    276.575073242188
35.366    -6.89491510391235    277.524200439453
35.466    -6.95304298400879    278.435455322266
35.566    -6.73965978622437    279.270874023438
35.666    -6.87553930282593    280.068389892578
35.767    -6.87553930282593    280.979614257813
35.867    -6.93366718292236    281.776641845703
35.967    -6.89491510391235    282.649963378906
36.067    -6.83678770065308    283.447479248047
36.167    -6.83678770065308    284.396606445313
36.268    -6.73965978622437    284.928283691406
36.368    -6.95304298400879    285.953247070313
36.468    -6.87553930282593    286.750762939453
36.568    -6.91429090499878    288.041564941406
36.669    -6.89491510391235    288.686950683594
36.769    -6.73965978622437    289.598175048828
36.869    -6.95304298400879    290.319396972656
36.969    -6.99204301834106    291.003204345703
37.069    -6.81716346740723    291.876037597656
37.17    -6.95304298400879    293.053100585938
37.27    -6.89491510391235    293.584777832031
37.37    -6.83678770065308    294.571838378906
37.47    -6.81716346740723    295.445159912109
37.571    -6.93366718292236    296.356384277344
37.671    -6.89491510391235    297.267608642578
37.771    -7.01141881942749    298.027221679688
37.871    -6.95304298400879    298.596801757813
37.972    -7.14729833602905    299.773406982422
38.072    -6.73965978622437    300.608825683594
38.172    -6.77841138839722    301.634246826172
38.272    -6.72028398513794    302.241760253906
38.373    -6.83678770065308    302.925048828125
38.473    -7.08892250061035    304.140045166016
38.573    -6.7977876663208    304.861236572266
38.673    -6.77841138839722    305.658752441406
38.773    -6.8561635017395    306.532073974609
38.874    -6.70090818405151    307.443328857422
38.974    -6.83678770065308    308.354553222656
39.074    -6.89491510391235    309.227874755859
39.174    -6.93366718292236    310.100708007813
39.275    -6.75903558731079    311.239898681641
39.375    -6.7977876663208    311.619445800781
39.475    -6.68153238296509    312.872802734375
39.575    -6.8561635017395    313.290283203125
39.676    -6.95304298400879    314.581085205078
39.776    -6.73965978622437    315.112762451172
39.876    -6.73965978622437    315.871887207031
39.976    -6.7977876663208    316.783111572266
40.077    -6.95304298400879    317.580627441406
40.177    -7.05017042160034    318.529754638672
40.277    -6.93366718292236    319.478912353516
40.377    -6.89491510391235    320.200592041016
40.477    -6.93366718292236    321.035522460938
40.578    -6.77841138839722    322.212615966797
40.678    -6.70090818405151    322.858001708984
40.778    -6.93366718292236    323.503875732422
40.878    -6.89491510391235    324.187194824219
40.979    -6.81716346740723    325.287963867188
41.079    -6.99204301834106    326.161285400391
41.179    -6.89491510391235    326.9208984375
41.279    -7.08892250061035    327.528381347656
41.38    -6.83678770065308    328.932891845703
41.48    -6.7977876663208    329.426666259766
41.58    -6.7977876663208    330.565826416016
41.68    -6.91429090499878    331.287048339844
41.78    -6.75903558731079    332.274078369141
41.881    -6.70090818405151    333.223724365234
41.981    -6.77841138839722    334.096557617188
42.081    -6.89491510391235    334.59033203125
42.181    -6.89491510391235    335.881134033203
42.282    -6.72028398513794    336.944488525391
42.382    -6.87553930282593    337.476135253906
42.482    -6.99204301834106    338.463195800781
42.582    -6.89491510391235    339.070678710938
42.683    -6.72028398513794    340.095642089844
42.783    -6.89491510391235    340.778961181641
42.883    -6.7977876663208    341.690185546875
42.983    -6.89491510391235    342.373962402344
43.083    -6.72028398513794    343.323120117188
43.184    -6.87553930282593    344.272247314453
43.284    -6.87553930282593    344.917663574219
43.384    -6.87553930282593    346.056823730469
43.484    -6.87553930282593    346.322662353516
43.585    -6.77841138839722    347.689270019531
43.685    -6.83678770065308    348.714721679688
43.785    -6.70090818405151    349.284301757813
43.885    -6.87553930282593    350.005493164063
43.986    -6.68153238296509    351.182586669922
44.086    -6.87553930282593    351.903778076172
44.186    -6.97241878509521    352.777099609375
44.286    -6.72028398513794    353.384613037109
44.387    -6.95304298400879    354.485870361328
44.487    -6.5262770652771    355.624542236328
44.587    -6.77841138839722    356.308319091797
44.687    -7.08892250061035    356.953735351563
44.787    -6.7977876663208    357.940765380859
44.888    -6.81716346740723    358.852020263672
44.988    -6.83678770065308    359.763244628906
45.088    -6.87553930282593    360.750305175781
45.188    -6.75903558731079    361.091949462891
45.289    -6.64253234863281    362.269012451172
45.389    -6.83678770065308    363.028625488281
45.489    -6.64253234863281    364.243591308594
45.589    -6.89491510391235    364.585266113281
45.69    -6.48727703094482    365.838134765625
45.79    -6.73965978622437    366.028167724609
45.89    -6.7977876663208    367.508972167969
45.99    -6.91429090499878    368.002258300781
46.09    -6.89491510391235    369.065612792969
46.191    -6.77841138839722    370.204284667969
46.291    -6.77841138839722    370.773864746094
46.391    -6.83678770065308    371.685119628906
46.491    -6.7977876663208    372.330505371094
46.592    -6.83678770065308    373.431762695313
46.692    -6.77841138839722    373.849212646484
46.792    -6.95304298400879    375.178405761719
46.892    -6.91429090499878    376.089660644531
46.993    -6.8561635017395    376.735046386719
47.093    -6.81716346740723    377.532562255859
47.193    -6.73965978622437    378.405395507813
47.293    -6.8561635017395    379.392944335938
47.393    -6.58440446853638    380.114135742188
47.494    -6.77841138839722    381.101196289063
47.594    -6.72028398513794    381.74658203125
47.694    -6.77841138839722    382.619934082031
47.794    -6.81716346740723    383.455352783203
47.895    -6.7977876663208    384.404479980469
47.995    -6.87553930282593    385.353637695313
48.095    -6.75903558731079    386.151123046875
48.195    -6.77841138839722    386.720703125
48.296    -6.72028398513794    387.935699462891
48.396    -6.77841138839722    388.581085205078
48.496    -6.7977876663208    389.568145751953
48.596    -6.72028398513794    390.289855957031
48.696    -6.64253234863281    391.201080322266
48.797    -6.68153238296509    392.150207519531
48.897    -6.75903558731079    392.909332275391
48.997    -6.73965978622437    394.086395263672
49.097    -6.72028398513794    394.542266845703
49.198    -6.89491510391235    395.301391601563
49.298    -6.70090818405151    396.402648925781
49.398    -6.72028398513794    397.161773681641
49.498    -6.72028398513794    398.263031005859
49.599    -6.66190814971924    398.870513916016
49.699    -6.77841138839722    399.933380126953
49.799    -6.87553930282593    400.655059814453
49.899    -6.73965978622437    401.376281738281
50    -6.68153238296509    402.287506103516
50.1    -6.62315607070923    403.274566650391
50.2    -6.83678770065308    404.147888183594
50.3    -6.73965978622437    405.097045898438
50.4    -6.73965978622437    405.5908203125
50.501    -6.70090818405151    406.805786132813
50.601    -6.64253234863281    407.261169433594
50.701    -6.66190814971924    408.134490966797
50.801    -6.7977876663208    409.122009277344
50.902    -6.56502866744995    410.14697265625
51.002    -6.70090818405151    410.868194580078
51.102    -6.77841138839722    411.855712890625
51.202    -6.72028398513794    412.424835205078
51.303    -6.68153238296509    413.678192138672
51.403    -6.62315607070923    414.095672607422
51.503    -6.8561635017395    415.082702636719
51.603    -6.50665283203125    416.069763183594
51.703    -6.70090818405151    416.980987548828
51.804    -6.66190814971924    417.778503417969
51.904    -6.72028398513794    418.348083496094
52.004    -6.77841138839722    419.259307861328
52.104    -6.81716346740723    420.246368408203
52.205    -6.75903558731079    421.043884277344
52.305    -6.95304298400879    421.993011474609
52.405    -6.77841138839722    422.79052734375
52.505    -6.56502866744995    423.701782226563
52.606    -6.66190814971924    424.650909423828
52.706    -6.66190814971924    425.410034179688
52.806    -6.66190814971924    426.473388671875
