sec"   "mA"   "mV
0.154    6.910560131073    963.356506347656
0.252    5.5404257774353    963.242858886719
0.351    4.97299718856812    963.318664550781
0.449    4.61515951156616    963.052856445313
0.547    4.41941165924072    963.242858886719
0.646    4.25927019119263    963.204956054688
0.744    4.12681484222412    963.394409179688
0.842    4.01412343978882    963.242858886719
0.941    3.93898773193359    963.242858886719
1.039    3.84408736228943    963.318664550781
1.137    3.76302981376648    963.167053222656
1.236    3.72347521781921    963.356506347656
1.334    3.6701033115387    963.204956054688
1.432    3.63057398796082    963.318664550781
1.53    3.56730723381042    963.090759277344
1.629    3.53962159156799    963.204956054688
1.727    3.51785778999329    963.090759277344
1.825    3.46843361854553    963.28076171875
1.924    3.44274711608887    963.242858886719
2.022    3.40714049339294    963.242858886719
2.12    3.37550711631775    963.090759277344
2.219    3.35574245452881    963.432312011719
2.317    3.32608294487    962.863403320313
2.415    3.30434441566467    963.242858886719
2.514    3.26876306533813    963.090759277344
2.612    3.26876306533813    963.432312011719
2.71    3.23712968826294    962.939208984375
2.808    3.22920870780945    963.432312011719
2.907    3.21733975410461    963.318664550781
3.005    3.19954919815063    963.28076171875
3.103    3.17386269569397    963.014953613281
3.202    3.15407276153564    963.432312011719
3.3    3.14617705345154    963.128662109375
3.398    3.13430833816528    963.470703125
3.497    3.13036036491394    963.204956054688
3.595    3.09675312042236    963.318664550781
3.693    3.09080600738525    963.28076171875
3.791    3.07498931884766    963.356506347656
3.89    3.0571985244751    963.052856445313
3.988    3.05127668380737    963.394409179688
4.086    3.02953815460205    963.242858886719
4.185    3.03151226043701    963.318664550781
4.283    3.03545999526978    963.356506347656
4.381    3.00580048561096    963.470703125
4.48    2.99987864494324    963.052856445313
4.578    2.98208808898926    963.432312011719
4.676    2.96427202224731    963.167053222656
4.774    2.96824526786804    963.356506347656
4.873    2.94845533370972    963.167053222656
4.971    2.95045447349548    963.318664550781
5.069    2.93463778495789    963.242858886719
5.168    2.92671680450439    963.318664550781
5.266    2.90892624855042    963.090759277344
5.364    2.91287398338318    963.242858886719
5.463    2.88718771934509    963.128662109375
5.561    2.89705729484558    963.394409179688
5.659    2.88321447372437    963.167053222656
5.757    2.86344981193542    963.318664550781
5.856    2.87334489822388    963.356506347656
5.954    2.87729263305664    963.318664550781
6.052    2.85158109664917    963.167053222656
6.151    2.85158109664917    963.242858886719
6.249    2.83379030227661    963.167053222656
6.347    2.84763312339783    963.167053222656
6.446    2.80610466003418    963.090759277344
6.544    2.82192158699036    963.318664550781
6.642    2.81599974632263    963.242858886719
6.74    2.79623508453369    963.318664550781
6.839    2.7883141040802    963.167053222656
6.937    2.7883141040802    963.128662109375
7.035    2.79028797149658    963.28076171875
7.134    2.78436613082886    963.242858886719
7.232    2.76854944229126    963.356506347656
7.33    2.7724974155426    963.167053222656
7.429    2.77844452857971    963.28076171875
7.527    2.76262760162354    963.242858886719
7.625    2.76657557487488    963.356506347656
7.724    2.75865459442139    963.128662109375
7.822    2.75273275375366    963.432312011719
7.92    2.73888993263245    963.052856445313
8.018    2.73099422454834    963.242858886719
8.117    2.74283790588379    962.939208984375
8.215    2.74086380004883    963.318664550781
8.313    2.73494219779968    963.128662109375
8.412    2.73296809196472    963.432312011719
8.51    2.70725655555725    963.204956054688
8.608    2.71715140342712    963.470703125
8.707    2.71912527084351    963.167053222656
8.805    2.70528244972229    963.432312011719
8.903    2.67957091331482    963.128662109375
9.001    2.69538760185242    963.356506347656
9.1    2.68551802635193    963.128662109375
9.198    2.68749189376831    963.356506347656
9.296    2.66970133781433    962.863403320313
9.395    2.68749189376831    963.432312011719
9.493    2.68551802635193    963.014953613281
9.591    2.67562294006348    963.432312011719
9.69    2.66575336456299    963.242858886719
9.788    2.66772723197937    963.318664550781
9.886    2.65191054344177    963.014953613281
9.985    2.67364907264709    963.394409179688
10.083    2.67562294006348    963.242858886719
10.181    2.65388441085815    963.318664550781
10.279    2.65388441085815    963.167053222656
10.378    2.6578323841095    963.356506347656
10.476    2.66375422477722    963.090759277344
10.574    2.6578323841095    963.318664550781
10.673    2.64993667602539    963.356506347656
10.771    2.64004158973694    963.394409179688
10.869    2.63212060928345    963.090759277344
10.967    2.63014674186707    963.242858886719
11.066    2.63212060928345    963.167053222656
11.164    2.61038208007813    963.432312011719
11.262    2.61630392074585    963.052856445313
11.361    2.6261990070343    963.242858886719
11.459    2.61630392074585    963.167053222656
11.557    2.62225103378296    963.356506347656
11.656    2.61630392074585    963.014953613281
11.754    2.62225103378296    963.318664550781
11.852    2.61433005332947    963.128662109375
11.95    2.62027716636658    963.432312011719
12.049    2.60048723220825    963.28076171875
12.147    2.61038208007813    963.242858886719
12.245    2.57874870300293    963.128662109375
12.344    2.5886435508728    963.167053222656
12.442    2.57677483558655    963.167053222656
12.54    2.5886435508728    963.394409179688
12.639    2.57677483558655    963.28076171875
12.737    2.57282686233521    963.432312011719
12.835    2.59456539154053    963.242858886719
12.933    2.59061765670776    963.204956054688
13.032    2.5886435508728    963.318664550781
13.13    2.57677483558655    962.97705078125
13.228    2.57282686233521    963.204956054688
13.327    2.57282686233521    963.318664550781
13.425    2.57677483558655    963.432312011719
13.523    2.56885385513306    963.167053222656
13.622    2.55701017379761    963.242858886719
13.72    2.52932453155518    962.901306152344
13.818    2.54514122009277    963.167053222656
13.916    2.5352463722229    963.204956054688
14.015    2.53919410705566    963.318664550781
14.113    2.53919410705566    963.167053222656
14.211    2.53327250480652    963.470703125
14.31    2.53722023963928    963.090759277344
14.408    2.53722023963928    963.356506347656
14.506    2.54119348526001    963.128662109375
14.605    2.53919410705566    963.356506347656
14.703    2.54514122009277    963.28076171875
14.801    2.54119348526001    963.318664550781
14.899    2.52337741851807    963.167053222656
14.998    2.53327250480652    963.318664550781
15.096    2.50955986976624    963.090759277344
15.194    2.49374318122864    963.318664550781
15.293    2.49966502189636    963.242858886719
15.391    2.51745557785034    963.394409179688
15.489    2.51548171043396    963.167053222656
15.587    2.52337741851807    963.242858886719
15.686    2.51745557785034    962.787109375
15.784    2.50756072998047    963.356506347656
15.882    2.51548171043396    963.242858886719
15.981    2.50163888931274    963.318664550781
16.079    2.50955986976624    963.204956054688
16.177    2.5115339756012    963.356506347656
16.276    2.50163888931274    963.090759277344
16.374    2.51745557785034    963.318664550781
