sec"    "mA"    "mV
0.154    9.18619537353516    766.016540527344
0.253    7.6322078704834    765.674987792969
0.351    6.39452934265137    765.674987792969
0.449    5.45739412307739    765.712890625
0.548    4.72192859649658    765.712890625
0.646    4.21776723861694    765.561340332031
0.744    3.95480442047119    765.561340332031
0.843    3.71952748298645    765.561340332031
0.941    3.60881018638611    765.826599121094
1.039    3.46251177787781    765.788696289063
1.138    3.38342809677124    765.712890625
1.236    3.2786328792572    765.712890625
1.334    3.24305152893066    765.902893066406
1.433    3.17386269569397    765.637084960938
1.531    3.12443852424622    765.978698730469
1.63    3.07498931884766    765.485046386719
1.728    3.01964330673218    765.750793457031
1.826    2.98998379707336    765.599243164063
1.925    2.94648146629333    765.826599121094
2.023    2.90892624855042    765.637084960938
2.121    2.88718771934509    765.788696289063
2.22    2.8199474811554    765.52294921875
2.318    2.83379030227661    766.130249023438
2.416    2.77647042274475    765.599243164063
2.515    2.76854944229126    765.978698730469
2.613    2.72902035713196    765.637084960938
2.711    2.71912527084351    765.561340332031
2.81    2.72902035713196    765.788696289063
2.908    2.64993667602539    765.826599121094
3.006    2.64596343040466    765.409240722656
3.105    2.64004158973694    765.637084960938
3.203    2.63212060928345    765.637084960938
3.301    2.61630392074585    765.902893066406
3.4    2.5886435508728    765.674987792969
3.498    2.57480072975159    765.637084960938
3.596    2.54908919334412    765.485046386719
3.695    2.52735066413879    765.561340332031
3.793    2.52735066413879    765.826599121094
3.891    2.50163888931274    765.561340332031
3.99    2.49374318122864    765.674987792969
4.088    2.46408367156982    765.788696289063
4.187    2.45024085044861    765.637084960938
4.285    2.44826698303223    765.826599121094
4.383    2.43442416191101    765.485046386719
4.482    2.42452931404114    765.902893066406
4.58    2.42058134078979    765.712890625
4.678    2.41068649291992    765.826599121094
4.777    2.4126603603363    765.826599121094
4.875    2.38302612304688    765.902893066406
4.973    2.34347152709961    765.485046386719
5.072    2.36323618888855    765.902893066406
5.17    2.35336661338806    765.561340332031
5.268    2.32765483856201    766.016540527344
5.367    2.32765483856201    765.788696289063
5.465    2.31775999069214    766.054443359375
5.563    2.31578612327576    765.978698730469
5.662    2.28812575340271    765.826599121094
5.76    2.30394244194031    765.940795898438
5.858    2.27625679969788    765.637084960938
5.957    2.29207348823547    765.599243164063
6.055    2.27625679969788    765.826599121094
6.154    2.2426495552063    765.599243164063
6.252    2.25054526329041    765.826599121094
6.35    2.2426495552063    765.637084960938
6.449    2.25054526329041    765.674987792969
6.547    2.22088551521301    765.637084960938
6.645    2.21496391296387    765.978698730469
6.744    2.21101593971252    765.978698730469
6.842    2.21101593971252    765.788696289063
6.94    2.16948747634888    765.712890625
7.039    2.1912260055542    765.712890625
7.137    2.21693778038025    765.637084960938
7.235    2.18925213813782    766.168640136719
7.334    2.18530440330505    765.561340332031
7.432    2.18530440330505    765.712890625
7.53    2.17146158218384    765.788696289063
7.629    2.1675136089325    765.902893066406
7.727    2.15564465522766    765.826599121094
7.825    2.17146158218384    765.788696289063
7.924    2.1358802318573    765.447143554688
8.022    2.14774894714355    765.788696289063
8.12    2.11016845703125    765.788696289063
8.219    2.1200635433197    765.712890625
8.317    2.12401127815247    765.712890625
8.415    2.1358802318573    765.750793457031
8.514    2.12995839118958    765.561340332031
8.612    2.12995839118958    765.978698730469
8.71    2.11611557006836    765.712890625
8.809    2.11414170265198    765.788696289063
8.907    2.11414170265198    765.750793457031
9.005    2.10424661636353    765.864990234375
9.104    2.09237790107727    765.599243164063
9.202    2.10622072219849    765.712890625
9.3    2.07853507995605    765.561340332031
9.399    2.08645606040955    765.788696289063
9.497    2.08645606040955    765.712890625
9.596    2.0607442855835    765.674987792969
9.694    2.07853507995605    765.674987792969
9.792    2.07063937187195    765.750793457031
9.891    2.08050894737244    765.750793457031
9.989    2.05087471008301    765.864990234375
10.087    2.06669139862061    765.712890625
10.186    2.05482268333435    765.750793457031
10.284    2.07063937187195    766.130249023438
10.382    2.05087471008301    765.712890625
10.481    2.03505802154541    765.826599121094
10.579    2.0449275970459    765.788696289063
10.677    2.02121520042419    765.599243164063
10.776    2.02121520042419    765.826599121094
10.874    2.01724195480347    765.864990234375
10.972    2.02713704109192    765.788696289063
11.071    2.00934624671936    765.674987792969
11.169    2.02318906784058    765.788696289063
11.267    2.01132035255432    765.674987792969
11.366    2.01526808738708    765.485046386719
11.464    2.01724195480347    765.750793457031
11.562    2.02318906784058    765.712890625
11.661    2.01724195480347    765.674987792969
11.759    2.02318906784058    765.750793457031
11.857    1.99550354480743    765.902893066406
11.956    2.01132035255432    765.712890625
12.054    2.0053985118866    765.788696289063
12.152    1.9836345911026    765.637084960938
12.251    1.97771286964417    765.750793457031
12.349    1.98958170413971    765.333435058594
12.447    1.9836345911026    765.637084960938
12.546    1.98166072368622    765.788696289063
12.644    1.99352955818176    765.637084960938
12.742    1.96387004852295    765.826599121094
12.841    1.9836345911026    765.826599121094
12.939    1.98166072368622    765.826599121094
13.037    1.96979176998138    765.826599121094
13.136    1.94015753269196    765.52294921875
13.234    1.95597434043884    765.902893066406
13.333    1.95002722740173    765.295532226563
13.431    1.96387004852295    765.637084960938
13.529    1.90852415561676    765.674987792969
13.628    1.92828869819641    765.788696289063
13.726    1.93421053886414    765.599243164063
13.824    1.93815839290619    765.712890625
13.923    1.91049802303314    765.485046386719
14.021    1.92434084415436    765.637084960938
14.119    1.92631483078003    765.409240722656
14.218    1.93026268482208    765.826599121094
14.316    1.90852415561676    765.561340332031
14.414    1.92631483078003    765.826599121094
14.513    1.93815839290619    765.750793457031
14.611    1.9144458770752    765.788696289063
