sec"    "mA"    "mV
0.154    3.09080600738525    -14.9929437637329
0.253    3.08685803413391    22.1291561126709
0.351    3.0947790145874    55.7973251342773
0.449    3.08291029930115    83.5444030761719
0.548    3.09675312042236    108.748039245605
0.646    3.09080600738525    133.761703491211
0.744    3.09080600738525    154.979888916016
0.843    3.09080600738525    174.717666625977
0.941    3.09280514717102    195.707992553711
1.039    3.08291029930115    213.548034667969
1.138    3.08685803413391    232.944259643555
1.236    3.09080600738525    249.000259399414
1.334    3.09080600738525    264.942077636719
1.433    3.09080600738525    282.250579833984
1.531    3.09280514717102    297.471405029297
1.629    3.08488416671753    312.996337890625
1.728    3.0947790145874    328.938171386719
1.826    3.08883190155029    343.855316162109
1.925    3.0947790145874    357.899871826172
2.023    3.08883190155029    373.651733398438
2.121    3.09280514717102    387.0126953125
2.22    3.08685803413391    399.311096191406
2.318    3.09280514717102    412.634155273438
2.416    3.09080600738525    422.464904785156
2.515    3.09280514717102    432.979248046875
2.613    3.08488416671753    440.988067626953
2.711    3.09280514717102    448.162170410156
2.81    3.09280514717102    455.525756835938
2.908    3.09280514717102    461.636810302734
3.006    3.08685803413391    468.241516113281
3.105    3.09675312042236    474.656219482422
3.203    3.09080600738525    481.033050537109
3.301    3.09080600738525    486.840454101563
3.4    3.09280514717102    493.938781738281
3.498    3.09280514717102    500.163513183594
3.596    3.09080600738525    506.388763427734
3.695    3.09080600738525    513.828125
3.793    3.09280514717102    520.584411621094
3.891    3.08883190155029    529.011047363281
3.99    3.09080600738525    536.526733398438
4.088    3.09080600738525    544.80126953125
4.186    3.09280514717102    555.467224121094
4.285    3.09675312042236    565.260559082031
4.383    3.08685803413391    576.685424804688
4.481    3.0947790145874    589.401123046875
4.58    3.09080600738525    601.813232421875
4.678    3.0947790145874    614.642700195313
4.776    3.08883190155029    627.738342285156
4.875    3.09080600738525    638.973754882813
4.973    3.0947790145874    648.804504394531
5.071    3.09280514717102    658.711486816406
5.17    3.09280514717102    665.9609375
5.268    3.09872698783875    673.590759277344
5.367    3.08488416671753    678.980346679688
5.465    3.09280514717102    683.307861328125
5.563    3.09080600738525    688.849487304688
5.662    3.09080600738525    692.644958496094
5.76    3.08883190155029    696.554626464844
5.858    3.09080600738525    699.85693359375
5.957    3.09280514717102    703.690856933594
6.055    3.09080600738525    706.689514160156
6.153    3.09080600738525    709.611938476563
6.252    3.09280514717102    712.496948242188
6.35    3.08883190155029    714.622497558594
6.448    3.09280514717102    717.393371582031
6.547    3.09280514717102    719.328979492188
6.645    3.09080600738525    721.644592285156
6.743    3.08883190155029    723.466491699219
6.842    3.09080600738525    724.756958007813
6.94    3.08883190155029    727.22412109375
7.038    3.09080600738525    728.742370605469
7.137    3.09280514717102    730.678527832031
7.235    3.09080600738525    732.0068359375
7.333    3.08685803413391    733.752990722656
7.432    3.08685803413391    735.802795410156
7.53    3.08685803413391    736.865356445313
7.628    3.08685803413391    738.801025390625
7.727    3.09675312042236    739.901977539063
7.825    3.09080600738525    741.344482421875
7.923    3.08685803413391    742.55908203125
8.022    3.08883190155029    744.266845703125
8.12    3.09280514717102    744.950439453125
8.218    3.08685803413391    745.78515625
8.317    3.09280514717102    747.493408203125
8.415    3.09080600738525    748.214416503906
8.513    3.08685803413391    749.315368652344
8.612    3.09080600738525    750.340026855469
8.71    3.09080600738525    751.440979003906
8.808    3.0947790145874    752.769287109375
8.907    3.09675312042236    753.452880859375
9.005    3.09080600738525    754.781188964844
9.103    3.08685803413391    755.122741699219
9.202    3.08685803413391    756.489440917969
9.3    3.09280514717102    757.058898925781
9.398    3.09280514717102    757.855712890625
9.497    3.09280514717102    758.766662597656
9.595    3.0947790145874    758.956604003906
9.693    3.09280514717102    760.133361816406
9.792    3.09080600738525    760.399108886719
9.89    3.09080600738525    761.044372558594
9.988    3.0947790145874    762.069030761719
10.087    3.09280514717102    762.221069335938
10.185    3.09280514717102    763.397338867188
10.283    3.08685803413391    763.625183105469
10.382    3.09675312042236    764.764038085938
10.48    3.09280514717102    765.143493652344
10.578    3.09080600738525    765.826599121094
10.677    3.09872698783875    766.358093261719
10.775    3.09080600738525    766.8896484375
10.873    3.09080600738525    767.344909667969
10.972    3.09280514717102    767.876403808594
11.07    3.0947790145874    768.44580078125
11.168    3.08883190155029    768.673706054688
11.267    3.09080600738525    768.787414550781
11.365    3.09080600738525    769.584655761719
11.464    3.08883190155029    769.888305664063
11.562    3.08685803413391    771.065063476563
11.66    3.08883190155029    770.912963867188
11.759    3.08685803413391    771.786071777344
11.857    3.08685803413391    772.051818847656
11.955    3.08883190155029    772.84912109375
12.054    3.09280514717102    773.5322265625
12.152    3.08291029930115    773.797973632813
12.25    3.09280514717102    774.101623535156
12.349    3.09080600738525    774.329040527344
12.447    3.09280514717102    774.8984375
12.545    3.09280514717102    775.316284179688
12.644    3.09080600738525    775.164184570313
12.742    3.09280514717102    776.113098144531
12.84    3.09872698783875    776.189331054688
12.939    3.09280514717102    776.910339355469
13.037    3.09080600738525    776.644592285156
13.135    3.08883190155029    777.707641601563
13.234    3.09080600738525    778.390747070313
13.332    3.09080600738525    778.542358398438
13.43    3.09280514717102    778.846008300781
13.529    3.09080600738525    779.263854980469
13.627    3.09675312042236    779.794860839844
13.725    3.08291029930115    779.98486328125
13.824    3.08685803413391    780.554260253906
13.922    3.08685803413391    780.66796875
14.02    3.09280514717102    780.516357421875
14.119    3.08883190155029    781.199462890625
14.217    3.09080600738525    781.047912597656
14.315    3.08685803413391    781.731018066406
14.414    3.08883190155029    781.731018066406
14.512    3.08883190155029    782.452026367188
14.61    3.09080600738525    783.173522949219
14.709    3.08685803413391    782.983520507813
14.807    3.09080600738525    783.818725585938
14.905    3.09080600738525    783.666625976563
15.004    3.09080600738525    784.501831054688
15.102    3.09280514717102    784.57763671875
15.2    3.08883190155029    785.147033691406
15.299    3.09080600738525    785.184936523438
15.397    3.09080600738525    785.184936523438
15.495    3.09080600738525    785.830139160156
15.594    3.08883190155029    785.602783203125
15.692    3.09080600738525    786.285888671875
15.79    3.09280514717102    786.399536132813
15.889    3.08685803413391    786.778991699219
15.987    3.08685803413391    787.50048828125
16.085    3.09280514717102    787.538391113281
16.184    3.08685803413391    787.955749511719
16.282    3.09080600738525    787.879943847656
16.38    3.09080600738525    788.715148925781
16.479    3.09080600738525    788.600952148438
16.577    3.09080600738525    789.018798828125
16.675    3.09080600738525    789.474060058594
16.774    3.08291029930115    789.056701660156
16.872    3.09280514717102    789.85400390625
16.97    3.08685803413391    789.588195800781
17.069    3.08883190155029    789.891906738281
17.167    3.08883190155029    790.461303710938
17.265    3.09080600738525    790.650756835938
17.364    3.08685803413391    791.372253417969
17.462    3.09080600738525    791.182312011719
17.56    3.09080600738525    792.055358886719
17.659    3.08488416671753    791.523864746094
17.757    3.09080600738525    792.510620117188
17.855    3.09280514717102    792.624816894531
17.954    3.09080600738525    792.700622558594
18.052    3.09280514717102    793.004272460938
18.15    3.09080600738525    793.042175292969
18.249    3.09280514717102    793.421630859375
18.347    3.09280514717102    793.4599609375
18.445    3.09675312042236    793.383728027344
18.544    3.08685803413391    794.067321777344
18.642    3.09280514717102    794.14306640625
18.74    3.09080600738525    794.826171875
18.839    3.09280514717102    794.44677734375
18.937    3.08685803413391    795.243530273438
19.035    3.09675312042236    795.357727050781
19.134    3.08883190155029    795.81298828125
19.232    3.08883190155029    795.889221191406
19.33    3.08685803413391    795.889221191406
19.429    3.08685803413391    796.458190917969
19.527    3.09280514717102    796.306579589844
19.625    3.09280514717102    796.800231933594
19.724    3.08883190155029    796.648132324219
19.822    3.09280514717102    796.610229492188
19.92    3.09080600738525    797.065490722656
20.019    3.09080600738525    796.951782226563
20.117    3.09080600738525    797.86279296875
20.215    3.09080600738525    797.293334960938
20.314    3.08685803413391    798.242248535156
20.412    3.08685803413391    798.394287109375
20.51    3.08883190155029    798.697937011719
20.609    3.09280514717102    798.849548339844
20.707    3.09280514717102    799.267395019531
20.805    3.08291029930115    799.343200683594
20.904    3.09080600738525    799.267395019531
21.002    3.09080600738525    799.646850585938
21.1    3.08883190155029    799.874694824219
21.199    3.09280514717102    799.533142089844
21.297    3.09080600738525    800.026306152344
21.395    3.09080600738525    800.026306152344
21.494    3.08685803413391    800.709411621094
21.592    3.09080600738525    800.633605957031
21.69    3.09080600738525    801.08935546875
21.789    3.09280514717102    801.316711425781
21.887    3.08291029930115    801.393005371094
21.985    3.0947790145874    801.734558105469
22.084    3.09080600738525    802.000305175781
22.182    3.09080600738525    802.151916503906
22.28    3.08883190155029    802.000305175781
22.379    3.09280514717102    802.531372070313
22.477    3.08883190155029    802.417663574219
22.575    3.09080600738525    802.45556640625
22.674    3.08883190155029    802.797119140625
22.772    3.09280514717102    802.607604980469
22.87    3.09280514717102    803.177062988281
22.969    3.09280514717102    802.987060546875
23.067    3.08488416671753    803.708068847656
23.165    3.08291029930115    803.898071289063
23.264    3.09280514717102    804.01171875
23.362    3.09080600738525    804.239624023438
23.46    3.08291029930115    804.391662597656
23.559    3.09080600738525    804.581176757813
23.657    3.08685803413391    804.619079589844
23.755    3.08685803413391    804.922729492188
23.854    3.09280514717102    804.960632324219
23.952    3.09080600738525    804.656982421875
24.05    3.09280514717102    805.302673339844
24.149    3.08685803413391    804.884826660156
24.247    3.09080600738525    805.530029296875
24.345    3.08883190155029    805.302673339844
24.444    3.09080600738525    805.833679199219
24.542    3.09080600738525    806.365234375
24.64    3.08883190155029    806.213623046875
24.739    3.09080600738525    806.440979003906
24.837    3.08883190155029    806.440979003906
24.935    3.0947790145874    806.782592773438
25.034    3.09080600738525    806.934631347656
25.132    3.09280514717102    807.314086914063
25.23    3.09280514717102    807.124633789063
25.329    3.08685803413391    807.162475585938
25.427    3.08685803413391    807.579833984375
25.525    3.09080600738525    807.23828125
25.624    3.08685803413391    807.807739257813
25.722    3.09080600738525    807.655639648438
25.82    3.08883190155029    807.807739257813
25.919    3.09080600738525    808.452941894531
26.017    3.08883190155029    808.4150390625
26.115    3.09080600738525    808.794494628906
26.214    3.09080600738525    808.794494628906
26.312    3.0947790145874    809.022338867188
26.41    3.09080600738525    809.136047363281
26.509    3.08883190155029    809.363891601563
