sec"   "mA"   "mV
0.154    11.0288324356079    766.244445800781
0.252    9.59348297119141    766.320251464844
0.351    9.09326934814453    766.39599609375
0.449    8.67413806915283    766.472290039063
0.547    8.38546371459961    766.472290039063
0.646    8.31627559661865    766.358093261719
0.744    8.22927093505859    766.39599609375
0.842    8.08494567871094    766.39599609375
0.941    8.01180934906006    766.20654296875
1.039    8.02762603759766    766.39599609375
1.137    7.95446443557739    766.282348632813
1.236    7.86945915222168    766.39599609375
1.334    7.87538051605225    766.39599609375
1.432    7.88330173492432    766.39599609375
1.53    7.79827117919922    766.320251464844
1.629    7.76663732528687    766.282348632813
1.727    7.79827117919922    766.320251464844
1.825    7.7607159614563    766.358093261719
1.924    7.70731830596924    766.282348632813
2.022    7.71129179000854    766.244445800781
2.12    7.71918725967407    766.20654296875
2.219    7.66778945922852    766.472290039063
2.317    7.65789413452148    766.358093261719
2.415    7.67965793609619    766.39599609375
2.514    7.64605093002319    766.320251464844
2.612    7.61044406890869    766.39599609375
2.71    7.62033891677856    766.282348632813
2.809    7.61241817474365    766.320251464844
2.907    7.59067964553833    766.168640136719
3.005    7.57091474533081    766.39599609375
3.103    7.58078479766846    766.168640136719
3.202    7.5629940032959    766.320251464844
3.3    7.5471773147583    766.244445800781
3.398    7.55115032196045    766.320251464844
3.497    7.50764799118042    766.358093261719
3.595    7.56496810913086    766.433898925781
3.693    7.47798871994019    766.433898925781
3.792    7.49775314331055    766.39599609375
3.89    7.52346467971802    766.168640136719
3.988    7.47996234893799    766.320251464844
4.087    7.46019792556763    766.244445800781
4.185    7.48193645477295    766.548095703125
4.283    7.48391008377075    766.282348632813
4.382    7.43053817749023    766.472290039063
4.48    7.42856454849243    766.39599609375
4.578    7.48193645477295    766.510192871094
4.676    7.44043302536011    766.320251464844
4.775    7.39890480041504    766.433898925781
4.873    7.42261743545532    766.320251464844
4.971    7.43843412399292    766.320251464844
5.07    7.38111400604248    766.244445800781
5.168    7.38111400604248    766.433898925781
5.266    7.42461633682251    766.244445800781
5.365    7.39098358154297    766.320251464844
