sec"   "mA"   "mV
0.153    0.0599402785301208    -16.1696796417236
0.251    -0.129860520362854    -16.1317844390869
0.349    -0.183257803320885    -15.3344984054565
0.446    -0.214891269803047    -13.7025175094604
0.544    -0.232681944966316    -12.5636777877808
0.641    -0.256394386291504    -12.0700511932373
0.739    -0.250472605228424    -10.4001731872559
0.837    -0.276184290647507    -10.0965156555176
0.934    -0.278158217668533    -10.4380702972412
1.032    -0.284079998731613    -8.99557209014893
1.13    -0.303844571113586    -8.80608940124512
1.227    -0.282106071710587    -6.37682342529297
1.325    -0.293974936008453    -5.42746591567993
1.422    -0.30187064409256    -5.3516731262207
1.52    -0.313739538192749    -5.01011800765991
1.618    -0.325608402490616    -4.06124687194824
1.715    -0.307817757129669    -1.97353565692902
1.813    -0.307817757129669    -1.40411579608917
1.911    -0.341425150632858    0.265761703252792
2.011    -0.309791684150696    1.55667364597321
2.111    -0.339451223611832    2.20188665390015
2.211    -0.327582329511642    3.30234432220459
2.311    -0.343399077653885    2.50554490089417
2.412    -0.341425150632858    3.87176418304443
2.512    -0.351294785737991    4.17542219161987
2.612    -0.329556256532669    5.84578561782837
2.712    -0.337451964616776    6.94624328613281
2.812    -0.353268712759018    7.28779792785645
2.913    -0.363163650035858    7.06041860580444
3.013    -0.345373004674911    8.54081344604492
3.113    -0.351294785737991    9.413405418396
3.213    -0.351294785737991    10.9700794219971
3.313    -0.339451223611832    10.7422142028809
3.414    -0.351294785737991    13.4751386642456
3.514    -0.355267941951752    13.4372415542603
3.614    -0.343399077653885    14.6897716522217
3.714    -0.369085431098938    16.2080631256104
3.814    -0.351294785737991    17.7642498016357
3.915    -0.363163650035858    18.3715667724609
4.015    -0.367111504077911    17.4605922698975
4.115    -0.357241868972778    19.2067489624023
4.215    -0.357241868972778    19.2825412750244
4.315    -0.357241868972778    20.1556205749512
4.416    -0.378980398178101    21.6739120483398
4.516    -0.38490217924118    21.7118072509766
4.616    -0.380954325199127    22.6606788635254
4.716    -0.375032544136047    24.2547626495361
4.816    -0.369085431098938    24.3689384460449
4.917    -0.38490217924118    25.3936042785645
5.017    -0.369085431098938    26.2666816711426
5.117    -0.363163650035858    26.6461334228516
5.217    -0.38490217924118    27.3676242828369
5.317    -0.367111504077911    28.8475341796875
5.418    -0.369085431098938    29.6448192596436
5.518    -0.396771043539047    30.5178966522217
5.618    -0.367111504077911    31.3909759521484
5.718    -0.377006471157074    32.3019485473633
5.818    -0.378980398178101    33.1371307373047
5.919    -0.380954325199127    34.4275588989258
6.019    -0.363163650035858    37.3499641418457
6.119    -0.365137577056885    37.9193840026855
6.219    -0.38490217924118    37.4641418457031
6.319    -0.396771043539047    38.2993202209473
6.42    -0.38490217924118    39.6276435852051
6.52    -0.402718156576157    39.7792320251465
6.62    -0.388875335454941    41.829044342041
6.72    -0.392823189496994    42.8541946411133
6.82    -0.388875335454941    43.8409652709961
6.921    -0.390849262475967    43.3852348327637
7.021    -0.40666601061821    43.8409652709961
7.121    -0.380954325199127    45.3592567443848
7.221    -0.408639937639236    45.7387046813965
7.321    -0.386901408433914    46.9912376403809
7.422    -0.373058617115021    49.0031547546387
7.522    -0.40666601061821    48.6994972229004
7.622    -0.396771043539047    50.1036109924316
