sec"   "mA"   "mV
0.156    -1.9665755033493    -20.0793418884277
0.254    -1.74514126777649    -19.206262588501
0.351    -1.60873770713806    -18.2194957733154
0.449    -1.49999451637268    -17.7258682250977
0.546    -1.40904200077057    -16.6249256134033
0.644    -1.32008862495422    -15.790228843689
0.742    -1.23111009597778    -15.0687370300293
0.839    -1.15992212295532    -14.2340412139893
0.937    -1.10457623004913    -13.5125494003296
1.035    -1.06502175331116    -12.6394710540771
1.132    -1.01164972782135    -11.8426713943481
1.23    -0.948382794857025    -11.0074901580811
1.327    -0.900932610034943    -10.172308921814
1.425    -0.867325186729431    -9.413405418396
1.523    -0.851508438587189    -8.80608940124512
1.62    -0.804058253765106    -7.93301105499268
1.718    -0.768476963043213    -7.0220365524292
1.816    -0.748687028884888    -6.07316493988037
1.913    -0.715079665184021    -5.20008659362793
2.011    -0.721026718616486    -4.47859477996826
2.108    -0.673576533794403    -3.79548525810242
2.206    -0.657759785652161    -2.73292422294617
2.304    -0.645890951156616    -2.16350436210632
2.401    -0.634022057056427    -1.51829123497009
2.499    -0.614257454872131    -0.303658246994019
2.597    -0.604362487792969    0.265761703252792
2.697    -0.594492852687836    1.44249820709229
2.797    -0.598440706729889    2.04981470108032
2.897    -0.582624018192291    2.88499641418457
2.997    -0.580650091171265    3.98593974113464
3.098    -0.564833343029022    4.66904926300049
3.198    -0.564833343029022    5.46584844589233
3.298    -0.54901659488678    6.18734073638916
3.398    -0.560885488986969    6.87045001983643
3.498    -0.568781197071075    7.81932163238525
3.599    -0.55493837594986    8.6923999786377
3.699    -0.552964448928833    9.90703296661377
3.799    -0.562859416007996    10.590142250061
3.899    -0.54306948184967    11.0837688446045
3.999    -0.547042667865753    11.8426713943481
4.1    -0.533199846744537    12.7536468505859
4.2    -0.547042667865753    13.6267251968384
4.3    -0.547042667865753    14.6139783859253
4.4    -0.529251992702484    15.2591915130615
4.5    -0.54901659488678    16.2838554382324
4.6    -0.533199846744537    16.929069519043
4.701    -0.54306948184967    17.726354598999
4.801    -0.537147700786591    18.6752262115479
4.901    -0.547042667865753    19.2446460723877
5.001    -0.531225919723511    20.1556205749512
5.101    -0.52330493927002    21.1044921875
5.202    -0.539121627807617    21.6360149383545
5.302    -0.529251992702484    22.5848865509033
5.402    -0.535173773765564    23.5716533660889
5.502    -0.521331012248993    24.4826278686523
5.602    -0.519357085227966    25.1657390594482
5.703    -0.521331012248993    25.9251270294189
5.803    -0.525278866291046    26.9497909545898
5.903    -0.533199846744537    27.7470760345459
6.003    -0.515409231185913    28.4680824279785
6.103    -0.533199846744537    29.0753993988037
6.204    -0.515409231185913    30.2142391204834
6.304    -0.52330493927002    30.935245513916
6.404    -0.519357085227966    31.8841171264648
6.504    -0.515409231185913    32.6814002990723
6.604    -0.51738315820694    33.478687286377
6.705    -0.525278866291046    34.4275588989258
6.805    -0.529251992702484    35.3764305114746
6.905    -0.507488191127777    36.0595397949219
7.005    -0.51143604516983    37.0084114074707
7.105    -0.525278866291046    37.5399322509766
7.206    -0.509462118148804    38.6408767700195
7.306    -0.509462118148804    39.3618812561035
