"sec"    "mA"    "mV"
0.153   -0.11009593307972   -5.46584844589233
0.251   -0.238603726029396   -3.52972340583801
0.349   -0.29594886302948   -1.783567070961
0.446   -0.325608402490616   0.493626862764359
0.547   -0.375032544136047   3.03658246994019
0.647   -0.363163650035858   4.17542219161987
0.747   -0.380954325199127   4.97270774841309
0.847   -0.41258779168129   6.11154747009277
0.947   -0.416535645723343   7.43986988067627
1.048   -0.40666601061821   8.95816135406494
1.148   -0.41258779168129   12.2605056762695
1.248   -0.410613864660263   14.8792543411255
1.348   -0.42248272895813   16.549617767334
1.448   -0.418534874916077   17.7642498016357
1.549   -0.432352364063263   19.9656505584717
1.649   -0.420508801937103   21.2560768127441
1.749   -0.424456655979156   23.1922035217285
1.849   -0.42840451002121   24.7483901977539
1.949   -0.424456655979156   25.9630241394043
2.05   -0.432352364063263   30.2900314331055
2.15   -0.434351623058319   30.7836589813232
2.25   -0.416535645723343   34.1617965698242
2.35   -0.40666601061821   35.5663986206055
2.45   -0.42840451002121   37.1225852966309
2.551   -0.434351623058319   39.3618812561035
2.651   -0.444221258163452   39.5897483825684
2.751   -0.42248272895813   41.9432220458984
2.851   -0.420508801937103   44.9414215087891
2.951   -0.420508801937103   47.4469680786133
3.052   -0.410613864660263   48.7752876281738
3.152   -0.424456655979156   50.7493095397949
3.252   -0.442247331142426   52.6849479675293
3.352   -0.426430583000183   54.9621429443359
3.452   -0.432352364063263   57.5813789367676
3.553   -0.42248272895813   58.8339080810547
3.653   -0.434351623058319   59.2133598327637
3.753   -0.42248272895813   61.9083862304688
3.853   -0.432352364063263   63.692440032959
3.954   -0.416535645723343   65.7043609619141
4.054   -0.42248272895813   67.4121322631836
4.154   -0.438299477100372   68.6651458740234
4.254   -0.418534874916077   70.7144775390625
4.354   -0.418534874916077   71.5496597290039
4.455   -0.42840451002121   73.9410247802734
4.555   -0.434351623058319   74.965690612793
4.655   -0.438299477100372   76.3323974609375
4.755   -0.42248272895813   78.0785522460938
4.855   -0.432352364063263   79.5205688476563
4.955   -0.418534874916077   82.5955276489258
5.056   -0.408639937639236   84.7969284057617
5.156   -0.424456655979156   85.517936706543
5.256   -0.42248272895813   87.6814422607422
5.356   -0.42248272895813   88.7823867797852
5.456   -0.434351623058319   90.8700942993164
5.557   -0.42248272895813   92.9578094482422
5.657   -0.438299477100372   92.5778732299805
5.757   -0.404692083597183   100.055633544922
5.857   -0.418534874916077   99.9419479370117
5.957   -0.40666601061821   103.471672058105
6.058   -0.402718156576157   103.775329589844
6.158   -0.398744970560074   108.330200195313
6.258   -0.416535645723343   108.064437866211
6.358   -0.416535645723343   110.000564575195
6.458   -0.420508801937103   110.79736328125
6.559   -0.42248272895813   113.075042724609
6.659   -0.410613864660263   115.276443481445
6.759   -0.432352364063263   115.732177734375
6.859   -0.416535645723343   117.971473693848
6.959   -0.448169112205505   117.21257019043
7.06   -0.410613864660263   120.249153137207
7.16   -0.40666601061821   122.830009460449
7.26   -0.416535645723343   123.475219726563
7.36   -0.398744970560074   126.549697875977
7.46   -0.410613864660263   127.916404724121
7.561   -0.418534874916077   130.383560180664
7.661   -0.392823189496994   132.964416503906
7.761   -0.410613864660263   134.293228149414
7.861   -0.390849262475967   136.228866577148
7.961   -0.41258779168129   138.354476928711
8.062   -0.40666601061821   139.227554321289
8.162   -0.42248272895813   139.834869384766
8.262   -0.41258779168129   141.618927001953
8.362   -0.386901408433914   144.313949584961
8.462   -0.392823189496994   146.971084594727
8.563   -0.394797116518021   149.172485351563
8.663   -0.394797116518021   150.614974975586
8.763   -0.380954325199127   153.005859375
8.863   -0.4007188975811   154.448364257813
8.963   -0.41258779168129   154.752014160156
9.064   -0.4007188975811   157.750701904297
9.164   -0.392823189496994   158.851654052734
9.264   -0.390849262475967   161.318817138672
9.364   -0.416535645723343   161.698257446289
9.464   -0.40666601061821   163.216552734375
9.564   -0.375032544136047   167.581939697266
9.665   -0.388875335454941   168.644500732422
9.765   -0.390849262475967   170.087005615234
9.865   -0.404692083597183   171.149566650391
9.965   -0.402718156576157   172.629959106445
10.065   -0.388875335454941   173.540939331055
10.166   -0.414561718702316   174.641876220703
10.266   -0.380954325199127   177.526382446289
10.366   -0.398744970560074   179.196746826172
10.466   -0.378980398178101   181.853881835938
10.566   -0.410613864660263   181.815505981445
10.667   -0.398744970560074   184.472625732422
10.767   -0.371084690093994   187.167663574219
10.867   -0.377006471157074   188.382293701172
10.967   -0.382928252220154   188.838027954102
11.067   -0.378980398178101   191.456771850586
11.168   -0.378980398178101   193.810241699219
11.268   -0.388875335454941   195.21484375
11.368   -0.382928252220154   197.264175415039
11.468   -0.378980398178101   198.896636962891
11.568   -0.378980398178101   199.693435668945
11.669   -0.38490217924118   201.401702880859
11.769   -0.377006471157074   203.755172729492
11.869   -0.373058617115021   204.741943359375
